segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
20	0xda4be	0xda607	0x149	79	79	38	0	0	169643985b0d037bfba68496ad31d31306eac94941582a3f560f4766cd4051fc	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x670:1	33013a9daf9900ece37b099900ddf7e8012f74f301289c9b00085afae8019c76737c01f6750812bb9d39a2e80161f261086a72fac6840d833702e80171f27a06	2fc2dc22ad27753d01e54968979b6f5621629e18d00a10fe8a22c03d01715c8da5000000700600003d012239625fb3fe196bb0e801ff822308e4540cd417e73c
21	0xdac57	0xdad78	0x121	78	78	38	0	0	00942a69a0c3002cf3ed8f9621b0b06ea9d87966eb371895e6e4bd5102a94cfd	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	5b011937310983837e398b06e801d027aee757fed5003d01033003763d36316fb806e8045cbbc468000e8a6c031cfd003d0134eefc80b30062cfbe900015af18	4118e52208e80145e3222fb231d60a3ae1aae801a00a8f403f2800e8013a0f3353c41a8f043ae8010177beac3f6bd80320aa3ae80138a2818c800580e8013d8f
22	0xdad86	0xdaf39	0x1b3	116	116	38	0	0	364f64563edd0d25a5875c8cb13fb00f8dd7b4cfca3c62acf57ab3ad2ba0a5e6	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	b9001bab3ae98cdd13145e9ecf82bbe801d80aa6d30d4f439f9f47db459ae801a00a70181f8900d79236169a0ae80166d822ed147578011803b6e80184cdfc14	2a1ae11b4ce801fedec43e2301e09a3a9295e8015ba33a7c914d54fba5e801e07289d0f00428e8014b99a0998ad070353a3090e80148039900ba75affa5ae801
23	0x11ac5e	0x11aee0	0x282	170	170	61	0	0	49f393e2b75da7057f62a5354ff0b3974dc3d15119e8dda4aadf0b4a5e120bed	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	+0x4:104,+0x3:41,+0x5:11,+0x2:9,+0x6:5	ab00e801ac00b2afeb00348bde02f81356204ae801fd650d305c1144b198dce5ce94e8018bf889005245ad5386243b859ee8012006b0ad5454fe77f3dcc24296	4701084797612de801e805089c70109fe8012e7702494c375d4c8c48ece801fe7e79cca000cee801d97a7cfa74e66fbc0ae801126eb889da00a00d56e8018d76
24	0x11aeee	0x11b122	0x234	150	150	53	0	0	608a17aa1adeb64d2187d720e31ded5aecd24511387fbe68a30f38cb0515193b	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	72006b648cacbf9e7576880904dd52e801f57d71e14b1690c3efab00a0a9e80110691ed809067cfa818900c701e8019f483a3399a24f37b02800e80131f51fe7	ad4d623aade801062577163abdf410e5884ee8017109e90608051c19d9e8017a168900b175af2268e801c19376da6f073ae80153da8b0f3e014389e6e801828d
25	0x11b130	0x11b364	0x234	150	150	51	0	0	fb0a73e08e32265ac9a5cec3055c2e91cf18d3d600d8c96c4cd20ec271bf3aac	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	5401d4179900cfef9900880984e160e8016006320093a309c58792cbac99e8013af5ae89e0c6d4c6bf1cee1d9fe801cf9d04761b0f3abb1e2800e801a485215e	ca837ea5aee80136ee7a3db4146b23e0149ee8019003480ea217efe8018f75d41c8900588710a003e8011bc2abfcff6b8a3a73e8019003e6b34d9c7feb73e801
26	0x11b372	0x11b5a6	0x234	150	150	53	0	0	f7674b4635fe81bfa3756782b12aa8ba656deb73300e3165d2cc9c7ae923a8ba	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	420021913af67108b0a3f99900cdd3e801692b64e35801f01375f701e8014ec8da61757f236769de213b0be80140c6e32b33085537647a41fa2872a1e8011fad	4701bccface801733490036309478e8fae58e801ad0d2f80730e3ae8019de6f25e890041b24ae8012d847bc5b19448d9fc70fae80115b399fe3097dae8015cf3
27	0x11b5b4	0x11b7e8	0x234	150	150	55	0	0	952c9f216794c5552b02a960c7bd534d49bd545590aaf0b773ba99e7d2c6ae87	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	cb004f9135766d4e57a6d8ddc0e8017a49d608d04648748ef826fa3ae801f9fa48d8aec10c9d26d81d9ee9bf5ce80127c51d2b968b09cb0928000d16e801a00b	885d1d3b8cde30e8013a08ec084825af1b16e801e1578aa87a70a8e801c82cff98e563a00083e8011f03f82b2e17bd3f4b7238e80113263a22829900332ee801
28	0x11b7f6	0x11ba2a	0x234	150	150	54	0	0	64c1247aa60e29e762dcf78c0dfbabc95211655680825d4c16be162c4b0b4071	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	5101e09999008025faf2b3ab0d8d23e801c3fac4d5dcc92e68860a3ae801d1fa82df89009118da0f993597e8012cc8946446d5cba814e9f80a36e80199f46e4c	4e81e1d74cb47fe801cc88184670055fe364e801e8055237b944e8e80198ed4ff1b52473bdaeda74e801b4a4549b08054c8653e8018f8eaa0cd19900e8017536
29	0x11ba38	0x11bb7e	0x146	85	85	41	0	0	ce4c64f6178a86c7d9007101d59f0599c2d84ccc7a192dd2fb5fbe94323cf8eb	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	1200e8043afeca99003364a3145ecde8010002e099a445ca22f808eff4afe8018414106ed80a88c1808d01b41ee8016bf2a8f54b84a26bbb4db1859ee801b96a	f5ae50f79ed9e8fa6000916e003d0152f9e80448fbc468005831680066bfc088c57d00bcf73d01d7944fba50518bcfa4453a10b6a749643da4c13aeef7af3d01
30	0x11bb8f	0x11bd5f	0x1d0	103	103	45	0	0	67966002c9c51291da2fdc37e26498b45df75e5e738535320e06f57966be0a1a	123:7,337:5,114:5,347:5,66:5,198:4,64:4,28:4	123:7,337:5,114:5,347:5,66:5,198:4,64:4,28:4	+0x4:56,+0x3:25,+0x5:9,+0x2:9,+0x6:3,+0x54:1	e801d3ef4f916576ad864e3704ad0200622b3d010fdedf9c3af4ed008cc7c0e48988feaa02cbb13d01066d0087f43a59fb47944a218b0cd80afcaf01b782003d	4a7f8005e0e80175848e79b1b48a2301a0fce801f90a318397d35efa7be8013f923849a0281ae801f17f10081d1e6b9b3be8010e1f9c840a8f6b2020de76e801
