observation	delta	shape	constant_bytes	ip_reads	frame_writes	table_reads	calls	rets	events	entries	top_entries	target_entropy	top_targets	top_sites	top_deltas
sampled_backedge	-0x2306	sampled	-	+0x0/4,+0x4/2,+0x0/2,+0x2/2	0x170,0x23,0x1dc,0x81,0xa	dyn/8	0	1	3	1	195@0x9fb50:16	0.918	310@0xb8556:2,86@0x8a37f:1	dispatch@0xc80b9:3	-0x2306:1,-0x542a:1,-0x8c8e:1
exact	+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0xdf,b3=0x2e,b4=0xed	+0x4/1,+0x0/2,+0x2/2	0x71,0x0,0xa	dyn/8	0	0	2	1	31@0x7ecd2:2	0.000	352@0xc1ec4:2	tail@0x7efa6:2	+0x5:2
exact	+0x5	CCCCC	b0=0x75,b1=0xd8,b2=0x3d,b3=0x01,b4=0x5b	+0x2/2,+0x4/1,+0x0/2	0x71,0x60,0x0,0x170,0xa	dyn/8	0	0	2	1	136@0x9461b:2	0.000	198@0xa037e:2	tail@0x94970:2	+0x5:2
exact	+0x5	ECCEE	b1=0x3d,b2=0x01	+0x0/1,+0x1/2,+0x3/2	0x170,0x23,0x71,0x0,0x60,0xa	dyn/8	0	0	2	1	112@0x8faec:2	1.000	160@0x994cf:1,108@0x8f24b:1	tail@0x9026c:2	+0x5:2
exact	+0x5	EECCE	b2=0x3d,b3=0x01	+0x4/1,+0x2/2,+0x0/2	0x23,0x170,0x71,0x0,0x60,0xa	dyn/8	0	0	2	1	209@0xa2935:2	1.000	257@0xadbfd:1,352@0xc1ec4:1	tail@0xa2da1:2	+0x5:2
exact	+0xd	CCCCCCCCCCCCC	b0=0x00,b1=0x09,b2=0xc9,b3=0x8e,b4=0x9a,b5=0x20,b6=0x65,b7=0xea,b8=0x55,b9=0x36,b10=0x00,b11=0x80	+0x7/4,+0x0/1,+0x1/1,+0x2/1,+0x3/4,+0xb/2,+0x3/2,+0x0/2	0x23,0x170,0x71,0x1dc,0x60,0x0,0xa	dyn/8	0	1	2	1	69@0x85f24:23	0.000	310@0xb8556:2	dispatch@0xc80b9:2	+0xd:2
exact	+0xd	EEECCCCCCCCEE	b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x22,b9=0xe8,b10=0x01	+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2	0x12,0x1dc,0x170,0xa	dyn/8	0	1	2	1	241@0xa9ffa:2	1.000	333@0xbd8af:1,66@0x855ff:1	tail@0xaa87a:2	+0xd:2
sampled_backedge	-0x7fe6	sampled	-	+0x0/4,+0x4/2,+0x0/2,+0x2/2	0x170,0x23,0x1dc,0x60,0xa	dyn/8	0	1	2	1	299@0xb6bba:10	1.000	169@0x9af18:1,310@0xb8556:1	dispatch@0xc80b9:2	-0x7fe6:1,-0xcf8b:1
central_or_long	+0x2cef7	sampled	-	+0x0/4,+0x4/2,+0x0/2,+0x2/2	0x170,0x1dc,0x23,0xa	dyn/8	0	1	1	1	175@0x9c08f:5	0.000	310@0xb8556:1	dispatch@0xcdac7:1	+0x2cef7:1
exact	+0x20	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC	b0=0xab,b1=0x00,b2=0x00,b3=0x00,b4=0x20,b5=0x00,b6=0x00,b7=0x00,b8=0xa8,b9=0x00,b10=0xb3,b11=0x00	+0x0/2,+0x4/4	0xa	dyn/8	0	0	1	1	308@0xb837c:246	0.000	171@0x9b4b3:1	tail@0xb84a4:1	+0x20:1
exact	+0x4	CCCC	b0=0x36,b1=0x01,b2=0x00,b3=0x00	+0x0/2	0x23,0x170,0xa	dyn/8	0	0	1	1	323@0xbb6e6:1	0.000	310@0xb8556:1	tail@0xbb8a8:1	+0x4:1
exact	+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x00,b3=0x59,b4=0x47	+0x2/1,+0x0/2,+0x3/2	0x170,0x71,0x60,0x0,0x23,0xa	dyn/8	0	0	1	1	229@0xa71fe:1	0.000	352@0xc1ec4:1	tail@0xa757c:1	+0x5:1
exact	+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x67,b3=0x85,b4=0x4f	+0x0/2,+0x4/1,+0x2/2	0x170,0x71,0x0,0xa	dyn/8	0	0	1	1	285@0xb3ff4:1	0.000	160@0x994cf:1	tail@0xb42df:1	+0x5:1
exact	+0x5	CCCCC	b0=0x69,b1=0xf8,b2=0x00,b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x71,0x0,0x60,0xa	dyn/8	0	0	1	1	35@0x7fd4d:1	0.000	256@0xad849:1	tail@0x8009e:1	+0x5:1
