rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
29	uncovered_source_start	0x231217	1920	64	1	1	308:64	171:64	-0x9de:64	backedge_sample:64	tail@0xb84a4:64	prev=167@0x230e18-0x231217+0x0;next=168@0x2316bf-0x2319b3-0x4a8	0x231217	0x230839	instruction source VM IP is not in an exact recovered segment
30	decoded_long_branch_source	117	1830	122	0	0	117:122	354@0xc2241:71,165@0x9a24c:48,171@0x9b4b3:3	-0x40:83,-0xbc1:9,-0x584:6,-0xbc0:6,-0x2ce:5	decoded_long_branch:122	tail@0x90c21:122				source_target=0x90acd;unique_vm_ips=18;top_targets=354@0xc2241:71,165@0x9a24c:48,171@0x9b4b3:3;top_deltas=-0x40:83,-0xbc1:9,-0x584:6,-0xbc0:6,-0x2ce:5;long_branch_events=122;long_branch_variants=14;long_branch_operand_lens=0x8:122;long_branch_operand_shapes=122=target_u32@+0,delta_u32@+4;long_branch_top_ir=56=next = table[354], ip -= 0x40,27=next = table[165], ip -= 0x40,9=next = table[165], ip -= 0xbc1,6=next = table[354], ip -= 0x584,5=next = table[165], ip -= 0x55d
31	uncovered_exact_destination	0x3427f5	1800	18	1	1	108:18	266:18	+0x2:18	exact:18	tail@0x8f6cf:18	prev=339@0x3427e3-0x3427f5+0x0;next=340@0x3427fd-0x342cde-0x8	0x3427f3	0x3427f5	exact positive instruction exits recovered bytecode coverage
32	uncovered_exact_destination	0x33196d	1700	17	1	1	144:17	308:17	+0x2:17	exact:17	tail@0x95b59:17	prev=260@0x33195b-0x33196d+0x0;next=261@0x331975-0x331c7a-0x8	0x33196b	0x33196d	exact positive instruction exits recovered bytecode coverage
33	uncovered_exact_destination	0x340f43	1700	17	1	1	198:17	266:17	+0x2:17	exact:17	tail@0xa062e:17	prev=329@0x340f31-0x340f43+0x0;next=330@0x340f4b-0x34142c-0x8	0x340f41	0x340f43	exact positive instruction exits recovered bytecode coverage
34	decoded_long_branch_source	302	1635	109	0	0	302:109	171@0x9b4b3:70,165@0x9a24c:35,354@0xc2241:4	-0x40:61,+0x22:25,-0x55d:9,-0x2ce:8,-0x24c:4	decoded_long_branch:109	tail@0xb7699:109				source_target=0xb7586;unique_vm_ips=10;top_targets=171@0x9b4b3:70,165@0x9a24c:35,354@0xc2241:4;top_deltas=-0x40:61,+0x22:25,-0x55d:9,-0x2ce:8,-0x24c:4;long_branch_events=109;long_branch_variants=9;long_branch_operand_lens=0x8:109;long_branch_operand_shapes=109=target_u32@+0,delta_u32@+4;long_branch_top_ir=39=next = table[171], ip -= 0x40,25=next = table[171], ip += 0x22,22=next = table[165], ip -= 0x40,9=next = table[165], ip -= 0x55d,5=next = table[171], ip -= 0x2ce
35	hidden_transition_destination	0x230b1b	1600	64	1	1	123:64	50:64	+0x4:64	exact:64	tail@0x91e7f:64	prev=165@0x230722-0x230b1b+0x0;next=166@0x230b2c-0x230e07-0x11	0x230b17	0x230b1b	exact positive instruction enters adjacent hidden span; hidden=50->171:+0x11:events=320:obs=target_only:320
36	hidden_transition_destination	0x230e07	1600	64	1	1	176:64	321:64	+0x4:64	exact:64	tail@0x9c3f4:64	prev=166@0x230b2c-0x230e07+0x0;next=167@0x230e18-0x231217-0x11	0x230e03	0x230e07	exact positive instruction enters adjacent hidden span; hidden=321->165:+0x11:events=66:obs=exact:66
37	uncovered_exact_destination	0x334ca3	1400	14	1	1	144:14	117:14	+0x2:14	exact:14	tail@0x95b59:14	prev=278@0x334c91-0x334ca3+0x0;next=279@0x334cab-0x33518c-0x8	0x334ca1	0x334ca3	exact positive instruction exits recovered bytecode coverage
38	uncovered_exact_destination	0x30eee2	1300	13	1	1	352:13	117:13	+0x2:13	exact:13	tail@0xc21c0:13	prev=213@0x30eed0-0x30eee2+0x0;next=214@0x30eeea-0x30f3c5-0x8	0x30eee0	0x30eee2	exact positive instruction exits recovered bytecode coverage
39	decoded_long_branch_sample	316->165:-0x3c4	1275	255	1	1	316:255	165:255	-0x3c4:255	backedge_sample:255	tail@0xba0cc:255	inside=162@0x22ffc2-0x230111+0x28	0x2303ae	0x22ffea	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=255;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[165], ip -= 0x3c4
40	decoded_long_branch_sample	75->171:-0x6d	1275	255	1	1	75:255	171:255	-0x6d:255	backedge_sample:255	tail@0x87c25:255	inside=161@0x22fe2d-0x22ffb1+0x117	0x22ffb1	0x22ff44	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=255;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[171], ip -= 0x6d
41	uncovered_source_start	0x36b386	1230	41	1	1	117:41	354:41	-0x40:41	backedge_sample:41	tail@0x90c21:41	prev=393@0x36b374-0x36b386+0x0;next=394@0x36b38e-0x36b693-0x8	0x36b386	0x36b346	instruction source VM IP is not in an exact recovered segment
42	uncovered_source_start	0x367725	1170	39	1	1	302:39	171:39	-0x40:39	backedge_sample:39	tail@0xb7699:39	prev=369@0x367713-0x367725+0x0;next=370@0x36772d-0x367c0e-0x8	0x367725	0x3676e5	instruction source VM IP is not in an exact recovered segment
43	hidden_transition_destination	0x36b35e	1050	42	1	1	52:42	316:42	+0x5:42	exact:42	tail@0x8371b:42	prev=392@0x36b124-0x36b35e+0x0;next=393@0x36b374-0x36b386-0x16	0x36b359	0x36b35e	exact positive instruction enters adjacent hidden span; hidden=316->196:+0x16:events=41:obs=sampled_backedge:41
44	hidden_transition_destination	0x3676fd	1000	40	1	1	52:40	334:40	+0x5:40	exact:40	tail@0x8371b:40	prev=368@0x3674c3-0x3676fd+0x0;next=369@0x367713-0x367725-0x16	0x3676f8	0x3676fd	exact positive instruction enters adjacent hidden span; hidden=334->114:+0x16:events=39:obs=sampled_long_or_sparse:39
45	uncovered_exact_destination	0x3401bb	1000	10	1	1	257:10	308:10	+0x2:10	exact:10	tail@0xadf29:10	prev=323@0x3401a9-0x3401bb+0x0;next=324@0x3401c3-0x3406cb-0x8	0x3401b9	0x3401bb	exact positive instruction exits recovered bytecode coverage
46	uncovered_exact_destination	0x341a6d	1000	10	1	1	257:10	266:10	+0x2:10	exact:10	tail@0xadf29:10	prev=333@0x341a5b-0x341a6d+0x0;next=334@0x341a75-0x341f7d-0x8	0x341a6b	0x341a6d	exact positive instruction exits recovered bytecode coverage
47	uncovered_exact_destination	0x343f34	1000	10	1	1	108:10	117:10	+0x2:10	exact:10	tail@0x8f6cf:10	prev=347@0x343f22-0x343f34+0x0;next=348@0x343f3c-0x34556c-0x8	0x343f32	0x343f34	exact positive instruction exits recovered bytecode coverage
