source_entry	source_target	site	instruction_events	target_reg	live_slot_reg	byte_index_reg	static_kind	static_load_site	static_slot_temp	static_index_reg	static_index_add_site	top_targets
127	0x926c3	0x92998	384	r14	rsi	r12	live_slot		rsi	r12		108:256,144:64,257:64
311	0xb86f8	0xcdac7	368	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	169:184,310:183,42:1
201	0xa0dca	0xa13d3	341	r10	r15	rdi	live_slot		r15	rdi		173:257,256:72,160:4,144:4,198:2,257:2
330	0xbc9b8	0xbcfc5	316	r15	rdi	r11	live_slot		rdi	r11		260:91,18:68,140:25,66:13,122:12,291:10,281:9,349:8
92	0x8b8cb	0x8bcec	307	r13	r9		live_slot		r9			282:67,49:31,17:29,3:26,332:26,18:16,154:14,131:10
48	0x82477	0x8281e	283	rdx		r12	consumed_slot	0x827f3	r11	r12	0x827e3	239:31,317:30,269:26,66:25,281:18,18:11,92:11,297:11
264	0xaf4cf	0xcdac7	280	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	169:186,310:94
75	0x873fc	0x87c25	276	r14		r15	consumed_slot	0x87b5b	r9	r15	0x87b4e	171:256,165:16,354:4
282	0xb3128	0xb360f	269	r8	rsi	r14	live_slot		rsi	r14		280:64,220:27,90:21,199:13,66:12,140:12,281:11,345:11
107	0x8eef4	0x8f248	256	r9	rax	r8	live_slot		rax	r8		160:256
222	0xa5f3c	0xa646d	254	r13	rsi	r14	live_slot		rsi	r14		220:67,301:20,268:14,49:13,28:12,43:11,297:10,269:10
308	0xb837c	0xb84a4	246	r10	rdi		live_slot		rdi			171:226,354:20
190	0x9eacb	0x9ede7	224	rax	rsi	r11	live_slot		rsi	r11		352:134,257:86,144:4
217	0xa4b11	0xa4df4	215	r14	r15	rdx	live_slot		r15	rdx		198:70,352:66,144:66,108:7,173:3,160:1,256:1,257:1
266	0xaf8af	0xafa1d	200	rdx			consumed_slot	0xaf946	r12	r14	0xaf93c	354:135,171:57,165:8
242	0xaa87d	0xaab67	181	r8	rsi	rcx	live_slot		rsi	rcx		75:92,246:38,145:33,199:9,334:4,210:2,316:2,114:1
331	0xbcfc8	0xbd36a	157	r13	r15	r8	live_slot		r15	r8		340:125,196:25,99:3,222:1,168:1,333:1,146:1
88	0x8aa14	0x8b026	149	rsi	r9		live_slot		r9			352:65,257:64,173:11,256:6,108:3
148	0x96b6e	0x96eb1	144	r14	r12	r9	live_slot		r12	r9		160:74,144:25,352:23,173:12,257:6,108:4
82	0x8920e	0x89478	142	r8	r14	rdx	live_slot		r14	rdx		99:67,333:65,217:4,307:2,168:2,157:1,18:1
145	0x95b5c	0x9634f	142	r12			consumed_slot	0x9624f	r15	r8	0x96246	354:132,165:6,171:4
129	0x92f21	0x931d0	139	r11	r14	r13	live_slot		r14	r13		215:64,99:64,66:3,217:2,199:2,172:1,300:1,146:1
125	0x922c4	0x92612	129	r14	rsi	rbx	live_slot		rsi	rbx		316:96,334:9,246:6,18:4,75:3,114:3,210:3,145:2
117	0x90acd	0x90c21	122	rax	r10	rdx	live_slot		r10	rdx		354:71,165:48,171:3
62	0x84aa3	0x84e1b	120	rax	r11	rbx	live_slot		r11	rbx		157:93,307:13,347:3,200:2,253:2,66:1,297:1,28:1
302	0xb7586	0xb7699	109	r12	r10		live_slot		r10			171:70,165:35,354:4
280	0xb2661	0xb2db4	108	rdx		r13	consumed_slot	0xb2d7f	rax	r13	0xb2d7c	257:66,160:12,108:10,198:8,173:7,256:5
321	0xbb1dd	0xcdac7	97	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	169:94,310:3
94	0x8bd69	0x8c41a	91	rbx	rcx		live_slot		rcx			173:74,144:13,160:3,198:1
0	0x78561	0x78833	89	rdx		r12	consumed_slot	0x78818	r14	r12	0x78812	352:41,144:31,257:10,108:7
245	0xab141	0xab424	75	r12	r10	rsi	live_slot		r10	rsi		145:28,316:28,75:12,210:3,334:3,43:1
250	0xac802	0xacbc3	75	rbx	r14	r10	live_slot		r14	r10		43:71,196:3,157:1
326	0xbc06d	0xbc31d	70	r13	r8	rbx	live_slot		r8	rbx		108:57,352:13
131	0x937d0	0x93f76	66	r14	r13	r12	live_slot		r13	r12		144:31,173:15,108:10,160:4,352:2,198:2,257:2
102	0x8d71d	0x8df99	64	r11	rdi	r14	live_slot		rdi	r14		268:64
186	0x9dcae	0x9e07a	50	r8	rdi	r10	live_slot		rdi	r10		257:25,144:9,173:6,160:4,198:2,256:2,108:2
151	0x97311	0x97689	45	r11	r13	rcx	live_slot		r13	rcx		198:16,173:12,352:7,160:6,144:4
336	0xbe8cd	0xbec0b	44	r10	r13	r12	live_slot		r13	r12		256:12,173:8,108:8,352:7,144:5,198:4
334	0xbdd18	0xbe55b	42	rdx		rsi	consumed_slot	0xbe4a7	r12	rsi	0xbe49a	354:33,171:5,165:4
246	0xab427	0xabc56	39	r9		r13	consumed_slot	0xabb7c	r12	r13	0xabb79	165:31,354:6,171:2
251	0xacbc5	0xacefb	39	rsi	r14	r11	live_slot		r14	r11		108:22,198:17
348	0xc0d7d	0xc1409	37	rsi	r13	rax	live_slot		r13	rax		352:12,257:7,160:5,173:5,108:3,198:3,144:1,256:1
74	0x86d43	0x873fa	33	rsi	rax	r14	live_slot		rax	r14		160:9,108:9,352:5,198:4,173:4,144:2
56	0x83e76	0x841f6	27	r14	r12		live_slot		r12			160:13,173:10,108:4
290	0xb4c00	0xb4eda	27	r11		r15	consumed_slot	0xb4eb8	rdx	r15	0xb4eab	257:17,108:10
65	0x85371	0x855fc	23	r13	r8	r9	live_slot		r8	r9		18:4,253:4,199:2,43:2,337:2,215:1,28:1,64:1
248	0xac110	0xac43d	20	r11	r12	r13	live_slot		r12	r13		258:9,168:4,189:2,157:2,124:1,345:1,114:1
95	0x8c41c	0xc80b9	17	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	169:9,310:5,86:2,42:1
311	0xb86f8	0xc80b9	16	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	169:8,310:7,42:1
210	0xa2da3	0xa35dd	15	r13		r9	consumed_slot	0xa3502	rbx	r9	0xa34f1	354:7,171:6,165:2
87	0x8a49e	0x8aa11	12	r14		r15	consumed_slot	0x8a9df	rbx	r15	0x8a9c6	257:4,108:4,256:4
264	0xaf4cf	0xc80b9	11	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	310:6,169:5
153	0x979ab	0x97ce3	10	r9	rdi	rbx	live_slot		rdi	rbx		144:5,173:5
356	0xc291a	0xc80b9	8	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	310:6,169:2
216	0xa4a61	0xc80b9	7	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	169:4,310:3
240	0xa9cf7	0xa9ff7	7	r8		rbx	consumed_slot	0xa9fd6	r9	rbx	0xa9fc9	173:5,108:2
225	0xa6af9	0xa6e53	6				no_static_load					144:6
278	0xb2342	0xc80b9	6	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	310:3,169:2,86:1
357	0xc29cf	0xc2d35	6	rbx	r10	r9	live_slot		r10	r9		352:3,144:3
359	0xc3406	0xc3716	6	rbx	rax	r12	live_slot		rax	r12		108:4,160:2
13	0x7aee8	0x7b3bb	5	r12	rcx	rbx	live_slot		rcx	rbx		256:4,257:1
86	0x8a37f	0x8a49b	5	r8	r10	rcx	live_slot		r10	rcx		310:4,169:1
130	0x931d3	0x937cd	5	r13	r9		live_slot		r9			144:4,198:1
187	0x9e07d	0x9e333	5	r10	r14	r8	live_slot		r14	r8		173:5
36	0x800a1	0x80682	4	r15		rdx	consumed_slot	0x80668	r8	rdx	0x8065c	108:4
214	0xa3fe9	0xa4606	4	r13	rax	rcx	live_slot		rax	rcx		257:4
221	0xa5889	0xa5f3a	4	rdi	rsi	r13	live_slot		rsi	r13		256:4
231	0xa799b	0xa7ef6	4	rsi	rdx	r15	live_slot		rdx	r15		198:4
267	0xafa1f	0xb0005	4	rax	r15	rsi	live_slot		r15	rsi		144:4
313	0xb8b42	0xb8fcc	4	r14	r12		live_slot		r12			352:4
9	0x79da3	0x7a04c	3				no_static_load					256:3
42	0x815ea	0x8173b	3	rax	rcx		live_slot		rcx			169:2,310:1
195	0x9fb50	0xc80b9	3	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	310:2,86:1
31	0x7ecd2	0x7efa6	2	rax	r9		live_slot		r9			352:2
69	0x85f24	0xc80b9	2	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	310:2
112	0x8faec	0x9026c	2				no_static_load					108:1,160:1
136	0x9461b	0x94970	2	r13	r11	r15	live_slot		r11	r15		198:2
209	0xa2935	0xa2da1	2	rdi	r12	r13	live_slot		r12	r13		257:1,352:1
241	0xa9ffa	0xaa87a	2	r13	rsi	r9	live_slot		rsi	r9		333:1,66:1
299	0xb6bba	0xc80b9	2	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	169:1,310:1
35	0x7fd4d	0x8009e	1	r8	rcx		live_slot		rcx			256:1
54	0x837cb	0x83b3d	1	r12	r13	r9	live_slot		r13	r9		256:1
78	0x883c0	0xc80b9	1	*rax	rax	rbx	central_indirect	0xc80b9	rax	rbx	tail_memory_jmp	310:1
85	0x89b37	0x8a37d	1	rdi	r12	r14	live_slot		r12	r14		64:1
101	0x8ceb4	0x8d71b	1	rcx	r8	rax	live_slot		r8	rax		199:1
142	0x953b1	0x957d6	1				no_static_load					83:1
175	0x9c08f	0xcdac7	1	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	310:1
188	0x9e336	0x9e7ac	1				no_static_load					173:1
229	0xa71fe	0xa757c	1				no_static_load					352:1
259	0xae332	0xae909	1				no_static_load					28:1
276	0xb1b2d	0xb1fd3	1				no_static_load					157:1
284	0xb379b	0xb3ff1	1	r9		rcx	consumed_slot	0xb3fd3	rdi	rcx	0xb3fc6	239:1
285	0xb3ff4	0xb42df	1	r12	rax	r13	live_slot		rax	r13		160:1
314	0xb8fcf	0xb944f	1	rcx	r9	r14	live_slot		r9	r14		189:1
323	0xbb6e6	0xbb8a8	1	rax	r8		live_slot		r8			310:1
358	0xc2d37	0xc3403	1				no_static_load					144:1
