delta	shape	constant_bytes	events	entries	unique_signatures	top_entries	top_targets	top_sites
+0x5	CCCCC	b0=0x7d,b1=0x1a,b2=0x3d,b3=0x01,b4=0x00	1	1	1	358@0xc2d37:1	144@0x95887:1	tail@0xc3403:1
+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x00,b3=0x59,b4=0x47	1	1	1	229@0xa71fe:1	352@0xc1ec4:1	tail@0xa757c:1
+0x5	CCCCC	b0=0xff,b1=0xfe,b2=0x3d,b3=0x01,b4=0x00	1	1	1	188@0x9e336:1	173@0x9ba74:1	tail@0x9e7ac:1
+0x5	CCCCC	b0=0xf1,b1=0x1b,b2=0xbd,b3=0x3d,b4=0x01	1	1	1	54@0x837cb:1	256@0xad849:1	tail@0x83b3d:1
+0xa	CCCCCCCCCC	b0=0xe0,b1=0x00,b2=0xff,b3=0xff,b4=0x13,b5=0x05,b6=0x00,b7=0x00,b8=0xec,b9=0xfa	1	1	1	259@0xae332:1	28@0x7e390:1	tail@0xae909:1
+0xa	CCCCCCCCCC	b0=0x2c,b1=0x74,b2=0xfa,b3=0x95,b4=0xff,b5=0xff,b6=0xff,b7=0xff,b8=0x6a,b9=0xbb	1	1	1	314@0xb8fcf:1	189@0x9e7af:1	tail@0xb944f:1
+0xa	CCCCCCCCCC	b0=0xd9,b1=0x69,b2=0xff,b3=0xff,b4=0xff,b5=0xff,b6=0xff,b7=0xff,b8=0xff,b9=0xff	1	1	1	276@0xb1b2d:1	157@0x98a9a:1	tail@0xb1fd3:1
+0xa	CCCCCCCCCC	b0=0xc9,b1=0xc7,b2=0xf0,b3=0xc6,b4=0x36,b5=0x38,b6=0x0f,b7=0x39,b8=0x98,b9=0x02	1	1	1	142@0x953b1:1	83@0x8947b:1	tail@0x957d6:1
+0xd	CCCCCCCCCCCCC	b0=0x1e,b1=0x1e,b2=0x02,b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x22,b9=0xe8,b10=0x01,b11=0x54,b12=0xb0	1	1	1	101@0x8ceb4:1	199@0xa0631:1	tail@0x8d71b:1
+0xd	CCCCCCCCCCCCC	b0=0x1e,b1=0x1e,b2=0x02,b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x22,b9=0xe8,b10=0x01,b11=0x00,b12=0x02	1	1	1	85@0x89b37:1	64@0x85059:1	tail@0x8a37d:1
+0xd	CCCCCCCCCCCCC	b0=0x1e,b1=0x1e,b2=0x02,b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x9a,b9=0xe8,b10=0x01,b11=0xc4,b12=0x71	1	1	1	284@0xb379b:1	239@0xa991e:1	tail@0xb3ff1:1
+0xd	CCCCCCCCCCCCC	b0=0xd5,b1=0xa3,b2=0xe8,b3=0xf5,b4=0xb1,b5=0x34,b6=0x21,b7=0xdf,b8=0xd2,b9=0x33,b10=0x00,b11=0x80,b12=0x00	1	1	1	78@0x883c0:1	310@0xb8556:1	dispatch@0xc80b9:1
+0x20	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC	b0=0xab,b1=0x00,b2=0x00,b3=0x00,b4=0x20,b5=0x00,b6=0x00,b7=0x00,b8=0xa8,b9=0x00,b10=0xb3,b11=0x00,b12=0x6e,b13=0xd9,b14=0x4c,b15=0x0b,b16=0xb3,b17=0x00,b18=0x20,b19=0x08,b20=0x84,b21=0x16,b22=0x01,b23=0x8e,b24=0x00,b25=0x00,b26=0x3d,b27=0x01,b28=0x50,b29=0xe5,b30=0x14,b31=0xcf	1	1	1	308@0xb837c:1	171@0x9b4b3:1	tail@0xb84a4:1
