source_entry	formula	formula_class	rows	events	matched_rows	matched_events	coverage_pct	skipped_rows	skipped_events
40	constant:0x390	constant_target	93	928	10	77	8.3	0	0
119	constant:0xad8	constant_target	94	922	9	72	7.8	0	0
208	constant:0x278	constant_target	87	802	4	75	9.4	0	0
17	constant:0x960	constant_target	73	758	1	256	33.8	0	0
216	constant:0x9b0	constant_target	22	742	12	552	74.4	0	0
356	constant:0x9b0	constant_target	17	741	9	373	50.3	0	0
179	constant:0x90	constant_target	107	737	5	83	11.3	0	0
99	constant:0x630	constant_target	26	695	5	387	55.7	0	0
105	u16_2	direct_u16	89	671	89	671	100.0	0	0
292	constant:0x5c8	constant_target	84	651	3	259	39.8	0	0
146	constant:0x230	constant_target	101	578	1	64	11.1	0	0
90	constant:0x188	constant_target	96	567	2	257	45.3	0	0
95	constant:0x548	constant_target	16	562	11	374	66.5	0	0
281	constant:0x868	constant_target	73	555	2	257	46.3	0	0
278	constant:0x548	constant_target	13	553	8	368	66.5	0	0
317	constant:0xe0	constant_target	85	537	6	34	6.3	0	0
349	u16_2	direct_u16	99	503	99	503	100.0	0	0
122	constant:0x690	constant_target	41	498	8	59	11.8	0	0
291	constant:0xa50	constant_target	89	479	6	69	14.4	0	0
118	constant:0xa60	constant_target	12	398	1	256	64.3	0	0
127	constant:0x360	constant_target	3	384	1	256	66.7	0	0
311	constant:0x548	constant_target	13	382	6	192	50.3	0	0
201	constant:0x568	constant_target	11	341	2	257	75.4	0	0
330	u16_0	direct_u16	89	316	89	316	100.0	0	0
92	constant:0x8d0	constant_target	81	307	4	67	21.8	0	0
264	constant:0x548	constant_target	15	291	8	191	65.6	0	0
48	constant:0x2e0	constant_target	93	283	5	11	3.9	0	0
282	constant:0x8c0	constant_target	95	269	1	64	23.8	0	0
107	(state-u16_0)&0x7ff	state_expr	1	256	0	0	0.0	1	256
222	constant:0x6e0	constant_target	80	254	3	67	26.4	0	0
190	(u16_1&0x1ff)*8	other_expr	10	224	5	86	38.4	0	0
217	(u16_1-post)&0x1fff	state_expr	19	215	0	0	0.0	19	215
242	constant:0x258	constant_target	17	181	1	92	50.8	0	0
331	constant:0x318	constant_target	7	157	1	3	1.9	0	0
88	constant:0xb00	constant_target	11	149	2	65	43.6	0	0
148	constant:0x500	constant_target	18	144	4	74	51.4	0	0
82	constant:0xa68	constant_target	11	142	2	65	45.8	0	0
129	(b1&0x1ff)*8	other_expr	10	139	0	0	0.0	10	139
125	constant:0x9e0	constant_target	26	129	6	96	74.4	0	0
62	constant:0x4e8	constant_target	16	120	2	93	77.5	0	0
280	constant:0x808	constant_target	12	108	2	66	61.1	0	0
321	constant:0x548	constant_target	3	97	2	94	96.9	0	0
94	constant:0x568	constant_target	8	91	4	74	81.3	0	0
0	constant:0x480	constant_target	5	89	2	31	34.8	0	0
245	constant:0x258	constant_target	18	75	4	12	16.0	0	0
250	constant:0x158	constant_target	6	75	4	71	94.7	0	0
326	constant:0x360	constant_target	3	70	2	57	81.4	0	0
131	constant:0x360	constant_target	18	66	4	10	15.2	0	0
102	constant:0x860	constant_target	1	64	1	64	100.0	0	0
186	(u16_2&0x1ff)*8	other_expr	13	50	2	9	18.0	0	0
151	constant:0x630	constant_target	12	45	4	16	35.6	0	0
336	constant:0x800	constant_target	14	44	3	12	27.3	0	0
251	constant:0x630	constant_target	2	39	1	17	43.6	0	0
348	(u16_3&0x1ff)*8	other_expr	16	37	2	7	18.9	0	0
74	(u16_0-post)&0x1fff	state_expr	13	33	0	0	0.0	13	33
56	constant:0x360	constant_target	4	27	1	4	14.8	0	0
290	constant:0x808	constant_target	3	27	2	17	63.0	0	0
65	(u16_2-post)&0x1ff	state_expr	16	23	0	0	0.0	16	23
248	constant:0x810	constant_target	7	20	1	9	45.0	0	0
87	u16_2	direct_u16	3	12	3	12	100.0	0	0
153	(u16_1-post)&0x7ff	state_expr	2	10	0	0	0.0	2	10
240	constant:0x568	constant_target	2	7	1	5	71.4	0	0
357	constant:0xb00	constant_target	2	6	1	3	50.0	0	0
359	constant:0x360	constant_target	2	6	1	4	66.7	0	0
13	constant:0x800	constant_target	2	5	1	4	80.0	0	0
86	(u16_0&0x1ff)*8	other_expr	2	5	2	5	100.0	0	0
130	constant:0x480	constant_target	2	5	1	4	80.0	0	0
187	constant:0x568	constant_target	1	5	1	5	100.0	0	0
36	constant:0x360	constant_target	1	4	1	4	100.0	0	0
214	constant:0x808	constant_target	1	4	1	4	100.0	0	0
221	constant:0x800	constant_target	1	4	1	4	100.0	0	0
231	constant:0x630	constant_target	1	4	1	4	100.0	0	0
267	constant:0x480	constant_target	1	4	1	4	100.0	0	0
313	constant:0xb00	constant_target	1	4	1	4	100.0	0	0
42	(u16_2&0x1ff)*8	other_expr	3	3	3	3	100.0	0	0
31	constant:0xb00	constant_target	1	2	1	2	100.0	0	0
136	constant:0x630	constant_target	1	2	1	2	100.0	0	0
209	(u16_3&0x1ff)*8	other_expr	2	2	1	1	50.0	0	0
241	constant:0xa68	constant_target	2	2	1	1	50.0	0	0
35	(u16_2&0x1ff)*8	other_expr	1	1	1	1	100.0	0	0
54	constant:0x800	constant_target	1	1	1	1	100.0	0	0
78	constant:0x9b0	constant_target	1	1	1	1	100.0	0	0
85	constant:0x200	constant_target	1	1	1	1	100.0	0	0
101	constant:0x638	constant_target	1	1	1	1	100.0	0	0
284	constant:0x778	constant_target	1	1	1	1	100.0	0	0
285	constant:0x500	constant_target	1	1	1	1	100.0	0	0
314	constant:0x5e8	constant_target	1	1	1	1	100.0	0	0
323	(u16_0&0x1ff)*8	other_expr	1	1	1	1	100.0	0	0
