source_entry	opcode_name	dispatch_slot_kind	variant_count	proved_variants	proof_status_mix	target_binding_mix	target_coverage_pct	target_mismatched_events	reduced_dispatch_preview
290	vmop_290_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
291	vmop_291_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
292	vmop_292_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
295	vmop_295_plus0x5_state_mixed_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
297	vmop_297_plus0x3_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
300	vmop_300_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
301	vmop_301_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
305	vmop_305_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
311	vmop_311_plus0xa_state_preserve_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	67	
313	vmop_313_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
314	vmop_314_plus0xa_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
315	vmop_315_plus0x4_state_mixed_slot_mba_stateful	slot_mba_stateful	1	1	proved_equivalent:1	target_binding_validated:1	100.0	0	128=((u16_2 & 0xffffu) & 0xffffu) ^ 0xf071u
317	vmop_317_plus0x4_state_add_const_slot_multi_path	slot_multi_path	3	0	candidate_refuted:3	target_binding_validated:3	100.0	0	
319	vmop_319_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
320	vmop_320_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
321	vmop_321_plus0xd_state_preserve_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	19	
322	vmop_322_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
326	vmop_326_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	1	proved_equivalent:1	target_binding_validated:1	100.0	0	31=((u16_1 & 0xffffu) & 0xffffu) ^ 0xeebeu
331	vmop_331_plus0x3_state_formula_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
332	vmop_332_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
333	vmop_333_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
336	vmop_336_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	1	proved_equivalent:1	target_binding_validated:1	100.0	0	33=((u16_2 & 0xffffu) & 0xffffu) ^ 0x9e8u
337	vmop_337_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
338	vmop_338_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
340	vmop_340_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
345	vmop_345_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
346	vmop_346_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
347	vmop_347_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
348	vmop_348_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
350	vmop_350_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
351	vmop_351_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
352	vmop_352_plus0x2_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
356	vmop_356_plus0xa_state_preserve_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	116	
357	vmop_357_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
359	vmop_359_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
