source_entry	source_target	site	instruction_events	register_trace_events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	frame_reg	frame_events	frame_pct	top_targets	top_deltas	byte_statuses
183	0x9d495	0x9d692	2326	41	rcx	41	100.0	r13	41	100.0	r11	2	4.9	rbp	41	100.0	114:323,297:232,215:140,333:137,337:136,18:123,172:120,66:113	+0x4:2326	exact:2326
91	0x8b6de	0x8b8c9	2251	50	rdx	50	100.0	r9	50	100.0	r13	50	100.0	rbp	50	100.0	340:205,258:201,337:180,220:171,199:144,347:138,203:130,79:126	+0x4:2251	exact:2251
154	0x97ce6	0x980a9	2209	25	rax	25	100.0	rsi	25	100.0	r9	25	100.0	rbp	25	100.0	91:389,180:275,196:157,185:156,105:134,215:104,189:104,3:95	+0x4:2209	exact:2209
121	0x91379	0x9170b	2198	142	rdx	142	100.0	r10	142	100.0	rsi	142	100.0	rbp	142	100.0	307:350,180:244,114:190,91:171,196:117,66:117,83:117,258:96	+0x4:2198	exact:2198
140	0x94e5a	0x951c0	2190	48	rsi	48	100.0	r15	48	100.0	rax	48	100.0	rbp	48	100.0	64:260,189:224,185:208,347:189,37:132,17:125,340:108,199:108	+0x6:2190	exact:2190
273	0xb11ca	0xb1545	2115	140	r12	140	100.0				rsi	140	100.0	rbp	140	100.0	183:269,199:258,180:171,196:159,347:155,258:123,43:93,168:92	+0x4:2115	exact:2115
320	0xbada5	0xbb1db	2080	47	rsi	47	100.0	r14	47	100.0	rax	47	100.0	rbp	47	100.0	173:379,198:371,256:314,160:243,257:234,352:226,144:165,108:148	+0x5:2080	exact:2080
37	0x80685	0x80d77	2035	250	rdx	250	100.0	r15	250	100.0	r9	250	100.0	rbp	250	100.0	160:437,257:427,256:373,144:276,352:163,108:159,173:157,198:43	+0x5:2035	exact:2035
254	0xad32c	0xad766	1988	137	rsi	137	100.0	r10	137	100.0	r8	137	100.0	rbp	137	100.0	180:282,66:270,183:207,28:197,91:184,297:160,196:96,64:94	+0x4:1988	exact:1988
253	0xacfb1	0xad329	1984	306	r8	306	100.0	rdi	306	100.0	rdx	306	100.0	rbp	306	100.0	297:269,199:208,337:194,28:173,17:151,340:125,114:121,49:95	+0x6:1984	exact:1984
345	0xc02e4	0xc0532	1883	159	r14	159	100.0				r11	159	100.0	rbp	159	100.0	52:345,196:333,172:109,189:104,37:98,192:86,114:76,66:70	+0x6:1883	exact:1883
354	0xc2241	0xc240d	1872	43	rdx	43	100.0	r10	43	100.0	rbx	43	100.0	rbp	43	100.0	185:251,268:225,168:197,340:195,157:190,189:188,43:107,203:98	+0x2:1872	exact:1872
319	0xba72f	0xbada2	1850	227	r8	227	100.0	r15	227	100.0	r13	227	100.0	rbp	227	100.0	173:559,257:324,144:250,108:207,198:186,160:161,352:90,256:73	+0x5:1850	exact:1850
180	0x9cf32	0x9d13d	1848	30	rdx	30	100.0	r15	30	100.0	r10	30	100.0	rbp	30	100.0	168:355,79:232,337:148,269:134,157:129,297:117,203:105,199:53	+0x4:1848	exact:1848
322	0xbb3c9	0xbb6e3	1847	283	r8	283	100.0	rax	283	100.0	r9	283	100.0	r15	283	100.0	91:280,347:276,157:257,183:172,337:134,64:98,49:94,28:94	+0x4:1847	exact:1847
351	0xc1d48	0xc1ec2	1844	142	rsi	142	100.0	rax	142	100.0				rbp	142	100.0	297:256,258:188,189:185,172:182,28:102,254:98,199:97,18:97	+0x5:1844	exact:1844
165	0x9a24c	0x9a46b	1825	133	r9	133	100.0	rcx	133	100.0				rbp	133	100.0	114:356,333:215,340:198,268:188,203:186,18:159,64:125,337:121	+0x2:1825	exact:1825
124	0x91e81	0x922c1	1796	66	r12	66	100.0	rsi	66	100.0	r13	66	100.0	rbp	66	100.0	320:235,192:199,43:191,37:147,333:139,268:123,307:123,185:107	+0x6:1796	exact:1796
169	0x9af18	0x9b0c5	1796	55	r10	55	100.0	rsi	55	100.0	r8	55	100.0	rbp	55	100.0	171:756,354:658,165:382	+0x4:1796	exact:1796
338	0xbf128	0xbf2d3	1753	59	rsi	59	100.0	r9	59	100.0	r8	59	100.0	rbp	59	100.0	283:648,351:582,295:523	+0x6:1753	exact:1753
70	0x8610e	0x86763	1629	142	r8	142	100.0	rax	142	100.0	r13	142	100.0	rbp	142	100.0	108:577,198:236,144:215,256:181,160:165,352:138,257:81,173:36	+0x5:1629	exact:1629
310	0xb8556	0xb86f5	1614	143	r13	143	100.0	r12	143	100.0	r9	143	100.0	rbp	143	100.0	165:666,354:566,171:382	+0x4:1614	exact:1614
237	0xa8e1f	0xa94a3	1537	290	rdx	290	100.0	r13	290	100.0	r10	290	100.0	rbp	290	100.0	352:472,108:350,144:218,160:173,256:150,257:77,198:57,173:40	+0x5:1537	exact:1537
200	0xa0a9e	0xa0dc7	1511	58	r10	58	100.0	r13	58	100.0	rcx	58	100.0	rbp	58	100.0	297:228,18:138,199:111,185:108,333:104,43:103,49:96,3:93	+0x6:1511	exact:1511
283	0xb3612	0xb3799	1438	32	rdi	32	100.0	rsi	32	100.0	rcx	32	100.0	rbp	32	100.0	333:186,215:185,168:184,258:168,185:98,307:97,254:96,189:95	+0x5:1438	exact:1438
181	0x9d13f	0x9d24a	1407	114	rax	114	100.0	r10	114	100.0	r13	114	100.0	rbp	114	100.0	215:256,189:189,297:120,337:108,347:100,340:98,66:97,258:97	+0x6:1407	exact:1407
128	0x9299b	0x92f1f	1158	330	rdx	330	100.0	r13	330	100.0	rcx	330	100.0	rbp	330	100.0	268:282,215:268,64:262,3:71,196:45,347:32,185:19,307:18	+0x5:1158	exact:1158
52	0x833c7	0x8371b	1103	360	rcx	360	100.0	rax	360	100.0				rbp	360	100.0	316:335,75:297,145:156,196:91,64:67,334:63,246:43,210:42	+0x5:1103	exact:1103
261	0xaeda2	0xaeeff	1074	23	r12	23	100.0	r11	23	100.0	rdx	10	43.5	rbp	23	100.0	114:215,297:189,347:184,18:110,337:101,215:95,189:93,185:52	+0x6:1074	exact:1074
295	0xb60e0	0xb625a	980	24	r15	24	100.0	r8	24	100.0				rbp	24	100.0	258:218,28:184,66:183,64:100,43:97,157:92,196:13,268:8	+0x5:980	exact:980
40	0x8115d	0x8129b	928	35	rcx	35	100.0	r13	35	100.0	r14	35	100.0	rbp	35	100.0	66:102,64:102,340:100,215:99,297:97,199:97,18:95,307:92	+0x6:928	exact:928
119	0x90ebc	0x91067	922	25	r11	25	100.0	rsi	25	100.0				rbp	25	100.0	28:190,64:187,340:107,337:99,18:96,297:96,347:72,215:19	+0x6:922	exact:922
208	0xa2361	0xa2933	802	13	rbx	13	100.0	r11	13	100.0				rbp	13	100.0	307:225,114:91,79:75,49:74,340:66,297:66,172:65,43:14	+0x5:802	exact:802
17	0x7bae9	0x7be98	758	106	r14	106	100.0	rsi	106	100.0	r15	106	100.0	rbp	106	100.0	300:256,122:150,28:132,18:31,92:31,200:30,345:26,254:11	+0x5:758	exact:758
179	0x9ca8d	0x9cf2f	737	29	r12	29	100.0	r9	29	100.0	rcx	29	100.0	rbp	29	100.0	99:131,337:117,268:106,43:103,18:83,203:22,157:22,172:14	+0x5:737	exact:737
216	0xa4a61	0xcdac7	735	0													310:549,169:186	+0xa:735	exact:735
356	0xc291a	0xcdac7	733	0													310:367,169:366	+0xa:733	exact:733
99	0x8c99a	0x8cc7f	695	106	rax	106	100.0	r9	106	100.0				rbp	106	100.0	198:387,108:153,173:132,160:8,256:7,144:5,257:2,352:1	+0x5:695	exact:695
105	0x8e6b4	0x8eb77	671	103	rdx	103	100.0	rdi	103	100.0	r10	103	100.0	rbp	103	100.0	350:256,28:129,291:72,140:33,92:32,349:13,220:11,317:9	+0x5:671	exact:671
292	0xb540f	0xb593d	651	260	rbx	260	100.0							r10	260	100.0	185:259,350:64,307:64,317:34,90:34,199:28,140:27,332:16	+0x5:651	exact:651
146	0x96407	0x96915	578	21	r12	21	100.0	r14	21	100.0	rdx	21	100.0	rbp	21	100.0	258:186,172:98,70:64,28:30,199:25,79:21,189:13,43:12	+0x5:578	exact:578
90	0x8b334	0x8b6db	567	258	r12	258	100.0							rbp	258	100.0	49:257,260:64,140:34,220:32,3:25,330:18,200:13,28:12	+0x4:567	exact:567
