row_type	section	start	stop	bytes	covered_bytes	uncovered_bytes	coverage_x100	range_count	merged_range_count	source	detail
gap	.text	0x496fb	0x4a1b4	2745	0	2745	0	0	0		
gap	.text	0x4a3d2c	0x4a47d0	2724	0	2724	0	0	0		
gap	.text	0x566d39	0x5677a0	2663	0	2663	0	0	0		
gap	.text	0x548f0e	0x549920	2578	0	2578	0	0	0		
gap	.text	0x564314	0x564d20	2572	0	2572	0	0	0		
gap	.text	0x370ef	0x37af9	2570	0	2570	0	0	0		
gap	.text	0x4ae218	0x4aec20	2568	0	2568	0	0	0		
gap	.text	0x4ccdd9	0x4cd7d0	2551	0	2551	0	0	0		
gap	.text	0x4bbfe0	0x4bc9a0	2496	0	2496	0	0	0		
gap	.text	0x4c3b04	0x4c4470	2412	0	2412	0	0	0		
gap	.text	0x4b389f	0x4b4200	2401	0	2401	0	0	0		
gap	.text	0x48ec68	0x48f5c8	2400	0	2400	0	0	0		
gap	.text	0x2b858	0x2c1b0	2392	0	2392	0	0	0		
gap	.text	0x582b11	0x583450	2367	0	2367	0	0	0		
gap	.text	0x50f79a	0x5100a0	2310	0	2310	0	0	0		
gap	.text	0x54ff7a	0x550870	2294	0	2294	0	0	0		
gap	.text	0x4cab22	0x4cb410	2286	0	2286	0	0	0		
gap	.text	0x4d002f	0x4d08f0	2241	0	2241	0	0	0		
gap	.text	0x491fd9	0x492898	2239	0	2239	0	0	0		
gap	.text	0x51d33	0x525f0	2237	0	2237	0	0	0		
gap	.text	0x4fc425	0x4fcce0	2235	0	2235	0	0	0		
gap	.text	0x464bc	0x46d75	2233	0	2233	0	0	0		
gap	.text	0x49aac2	0x49b370	2222	0	2222	0	0	0		
gap	.text	0x4af02a	0x4af8d0	2214	0	2214	0	0	0		
gap	.text	0x381c6	0x38a5e	2200	0	2200	0	0	0		
gap	.text	0x32f90d	0x330190	2179	0	2179	0	0	0		
gap	.text	0x4c4893	0x4c5100	2157	0	2157	0	0	0		
gap	.text	0x5b569	0x5bda0	2103	0	2103	0	0	0		
gap	.text	0x77a3d	0x7826e	2097	0	2097	0	0	0		
gap	.text	0x4c9071	0x4c98a0	2095	0	2095	0	0	0		
gap	.text	0x4c53a4	0x4c5bd0	2092	0	2092	0	0	0		
gap	.text	0x488e87	0x489630	1961	0	1961	0	0	0		
gap	.text	0x4f6c8e	0x4f7430	1954	0	1954	0	0	0		
gap	.text	0x494633	0x494dd0	1949	0	1949	0	0	0		
gap	.text	0x4cf85	0x4d70e	1929	0	1929	0	0	0		
gap	.text	0x45b82	0x4630a	1928	0	1928	0	0	0		
gap	.text	0x15b6f2	0x15be73	1921	0	1921	0	0	0		
gap	.text	0x4b967c	0x4b9df0	1908	0	1908	0	0	0		
