source_entry	source_target	opcode_name	problem_kind	status	readability_status	operation_family_mix	unresolved_mix	dispatch_slot_kind	state_kind	delta	shape	word_shape	operand_layout	word_layout	programs	program_count	observation_rows	target_entries	target_entry_count	trace_rows	trace_files	dynamic_start_vm_ip_count	exact_string_refs	side_effect_categories	formula_variables	formula_constants	required_inputs	operator_summary	state_formula	dispatch_formula	next_step
198	0xa037e	vmop_198_plus0x2_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:517	algebraic_state_or_slot_formula:517	slot_mba_stateful	state_add_const	+0x2	VV	V	b0=var217(top=0xe3:5.4%);b1=var220(top=0x54:5.3%)	w0=var513(top=0xefe3:5.2%)	000;002;003;004;006;007;008;009;010;011;012;013;014;015;016;017;019;020;021;023;024;025;026;027;...+28	52	517	17;18;28;30;43;48;62;64;65;66;90;92;105;114;117;121;124;128;140;146;154;157;165;168;...+39	63	9910	vm_instruction_trace.tsv:4955;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:4955	517	0		flags0;state0;u16_0	0xffff;0x15b2dfa5;0x3cd02127;0x3fe99379;0x5e173fc7	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:7;&:1;^:2;+:9;-:9	state0 + flags0 - 0x5e173fc7 - 0x3cd02127 + flags0 + 0x15b2dfa5 - u16_0 - state0 + flags0 - 0x5e173fc7 - 0x3cd02127 + flags0 + 0x15b2dfa5 ^ 0x3fe99379	128=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 + (mask32(flags0 - 0x5e173fc7)))) - 0x3cd02127)) + (mask32(flags0 + 0x15b2dfa5)))))) ^ 0x3fe99379)) & 0xffff	simplify_to_c_expression_or_table
199	0xa0631	vmop_199_plus0x3_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:1802	algebraic_state_or_slot_formula:1802	slot_multi_path	state_add_const	+0x3	VVV	V	b0=var128(top=0xc7:3.5%);b1=var256(top=0x88:2.4%);b2=var179(top=0x3a:9.8%)	w0=var1708(top=0xc186:1.3%)	000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;019;020;021;022;023;...+40	64	1802	3;17;20;26;30;33;37;43;48;49;52;64;70;79;83;90;92;105;112;114;121;122;123;124;...+63	87	39282	vm_instruction_trace.tsv:19641;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:19641	1802	3	crypto_hashing;cxx_runtime;embedded_data_or_token	b2;flags0;state0;u16_0	0xffff;0x20d5418;0x24d1328a;0x3030bb89;0x7353b039;0x7e708197	pre_state;pre_flags;raw_vm_bytes:b2,u16_0	mask32:18;&:4;|:1;^:9;+:10;-:3	state0 + b2 + flags0 ^ 0x7353b039 - 0x24d1328a ^ 0x7e708197 & 0x20d5418 + flags0 ^ 0x7353b039 - 0x24d1328a	106=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32(state0 + (mask32(b2 + flags0)))) ^ 0x7e708197)) & 0x20d5418)) + flags0)))) + 0x3030bb89)) & 0xffff | 22=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32(state0 + (mask32(b2 + (mask32((mask32(flags0 ^ 0x7353b039)) - 0x24d1328a)))))) ^ 0x7e708197)) & 0x20d5418)) + (mask32((mask32(flags0 ^ 0x7353b039))...#ac9d0d548603	simplify_to_c_expression_or_table
201	0xa0dca	vmop_201_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:11	algebraic_state_or_slot_formula:11	slot_mba_stateful	state_add_const	+0x5	CCEEV	CE	b0=0x3d;b1=0x01;b2=enum5(0xa1:257,0x39:76,0xb9:4,0x69:2,0x41:2);b3=enum4(0xc5:261,0xc8:74,0xc4:4,0xc6:2);b4=var11(top=0xe1:75.1%)	w0=0x013d;w1=enum6(0xc5a1:257,0xc839:72,0xc4b9:4,0xc539:4,0xc669:2,0xc841:2)	029;030;041;046;052;055;061	7	11	144;160;173;198;256;257	6	682	vm_instruction_trace.tsv:341;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:341	11	0		flags0;state0;u16_2	0xffff;0x289c039;0x6499103;0x1940e110;0x2daa0966;0x3f73d5c3;0x4f2c497c;0x5efd26e6;0x708b6fb1;0x71fea721;0x7e894c58	pre_state;pre_flags;raw_vm_bytes:u16_2	mask32:1;&:7;|:3;^:10;+:1;-:5	state0 ^ flags0 ^ 0x1940e110 ^ 0x5efd26e6 & flags0 ^ 0x71fea721 ^ flags0 & 0x3f73d5c3 | 0x4f2c497c | 0x6499103 & flags0 & state0 ^ flags0 ^ 0x1940e110 ^ 0x5efd26e6 & flags0 ^ 0x71fea721 ^ flags0 & 0x3f73d5c3 | 0x4f2c497c + 0x2daa0966 - 0x708b6fb1 - 0x7e894c58 - u16_2 - 0x289c039	128=(mask32(u16_2 - 0x289c039)) & 0xffff	simplify_to_c_expression_or_table
203	0xa1484	vmop_203_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:1044	algebraic_state_or_slot_formula:1044	slot_mba_stateful	state_add_const	+0x4	VVVV	VV	b0=var26(top=0x17:11.8%);b1=var11(top=0x91:19.4%);b2=var120(top=0x3f:5.5%);b3=var99(top=0x76:14.3%)	w0=var62(top=0x9017:7.1%);w1=var838(top=0x7635:3.0%)	000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;018;019;020;021;022;023;024;...+35	59	1044	3;18;26;28;30;33;37;49;52;64;66;70;79;83;87;94;99;114;121;124;128;140;148;151;...+38	62	19640	vm_instruction_trace.tsv:9820;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:9820	1044	0		flags0;state0;u16_0	0xffff;0x1f1759c;0x97da242;0x1f5b0269;0x24d2add8;0x2c217984;0x32825086;0x370370f1;0x4ccb9807;0x6ef19bee;0x71376753	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:1;&:10;|:5;^:5;+:10;-:6	state0 - flags0 + 0x97da242 & flags0 + 0x97da242 ^ 0x370370f1 | 0x1f1759c | flags0 + 0x97da242 & state0 - flags0 + 0x97da242 & flags0 + 0x97da242 ^ 0x370370f1 | 0x1f1759c & 0x71376753 + 0x2c217984 | 0x24d2add8 & 0x6ef19bee - flags0 + 0x97da242 & state0 - flags0 + 0x97da242 & flags0 + 0x97da242 ^ 0x370370f1 | 0x1f1759c & 0x71376753 + 0x2c217984 - 0x32825086 - 0x1f5b0269 & u16_0 ^ 0x4ccb9807	128=(mask32(u16_0 ^ 0x4ccb9807)) & 0xffff	simplify_to_c_expression_or_table
208	0xa2361	vmop_208_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:87	algebraic_state_or_slot_formula:87	slot_multi_path	state_add_const	+0x5	EVVVV	VV	b0=enum3(0x3a:404,0x62:335,0x50:63);b1=var62(top=0xa7:15.7%);b2=var77(top=0xf1:15.7%);b3=var29(top=0xa5:28.8%);b4=var52(top=0xe2:19.6%)	w0=var74(top=0xa73a:15.7%);w1=var86(top=0xa5f1:15.7%)	000;010;011;023;025;026;030;032;034;035;041;042;045;046;048;050;051;052;053;055;056;059;060;061;...+1	25	87	3;18;28;43;49;79;82;83;94;99;114;118;129;157;168;172;185;189;196;199;203;215;220;258;...+8	32	1604	vm_instruction_trace.tsv:802;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:802	87	0		flags0;state0;u16_3	0x7be050b;0x1477a707;0x24472eba;0x37c3d0a5;0x39b69246;0x42fb6768;0x58abcfc7;0x60ff2036;0x72f7690f;0x73f21f4d;0x7627b830;0x790391ce;0x7a909dc0;0x7ad87935	pre_state;pre_flags;raw_vm_bytes:u16_3	mask32:26;&:4;|:17;^:36;+:18;-:22	state0 + flags0 - 0x24472eba ^ 0x60ff2036 + 0x7627b830 - 0x42fb6768 ^ state0 + 0x7ad87935 ^ 0x39b69246 ^ state0 | 0x7a909dc0 ^ 0x58abcfc7 | 0x1477a707 - flags0 - 0x24472eba ^ 0x60ff2036 + 0x7627b830 - 0x42fb6768 ^ state0 + 0x7ad87935 ^ 0x39b69246 ^ state0 | 0x7a909dc0 ^ 0x58abcfc7 | 0x72f7690f & flags0 - 0x24472eba ^ 0x60ff2036 + 0x7627b830 - 0x42fb6768 ^ state0 + 0x7ad87935 ^ 0x39b69246 ^ state0 | 0x7a909dc0 ^ 0x58abcfc7 | 0x7be050b - 0x790391ce & 0x37c3d0a5 | 0x73f21f4d - u16_3 - state0 + flags0 - 0x24472eba ^ 0x60ff2036 + 0x7627b830 - 0x42fb6768 ^ state0 + 0x7ad87935 ^ 0x39b69246 ^ state0 | 0x7a909dc0 ^ 0x58abcfc7 | 0x1477a707 - flags0 - 0x24472eba ^ 0x60ff2036 + 0x7627b830 - 0x42fb6768 ^ state0 + 0x7ad87935 ^ 0x39b69246 ^ state0 | 0x7a909dc0 ^ 0x58abcfc7 | 0x72f7690f & flags0 - 0x24472eba ^ 0x60ff2036 + 0x7627b830 - 0x42fb6768 ^ state0 + 0x7ad87935 ^ 0x39b69246 ^ state0 | 0x7a909dc0 ^ 0x58abcfc7 | 0x7be050b - 0x790391ce & 0x37c3d0a5 | 0x73f21f4d	50=(mask32(u16_3 - (mask32((mask32((mask32((mask32(state0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - 0x24472eba)) ^ 0x60ff2036)) + 0x7627b830)) - 0x42fb6768)) ^ (mask...#88b045eb4c1f | 49=(mask32(u16_3 - (mask32((mask32((mask32((mask32(state0 + (mask32((mask32((mask32((mask32((mask32(flags0 ^ (mask32(state0 + 0x7ad87935)))) ^ 0x39b69246)) ^ (mask32(state0 | 0x7a909dc0)))) ^ 0x58abcfc7)) |...#1640106bbf26	simplify_to_c_expression_or_table
209	0xa2935	vmop_209_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:2	algebraic_state_or_slot_formula:2	slot_multi_path	state_add_const	+0x5	EECCE	EC	b0=enum2(0x9c:1,0x80:1);b1=enum2(0x9c:1,0x0f:1);b2=0x3d;b3=0x01;b4=enum2(0xd9:1,0x85:1)	w0=enum2(0x9c9c:1,0x0f80:1);w1=0x013d	000;023	2	2	257;352	2	4	vm_instruction_trace.tsv:2;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2	2	0		flags0;state0;u16_0	0xffff;0x22939484;0x36c108d8;0x55c2f3a2;0x57058be5	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:3;&:4;|:5;^:6;-:1	state0 & flags0 | 0x57058be5 ^ 0x36c108d8 | 0x22939484 ^ 0x55c2f3a2 - u16_0 ^ state0 & flags0 | 0x57058be5 ^ 0x36c108d8 | 0x22939484 ^ 0x55c2f3a2	1=(mask32(u16_0 ^ (mask32(state0 & (mask32(flags0 | 0x22939484)))))) & 0xffff	simplify_to_c_expression_or_table
210	0xa2da3	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	dispatch_unknown	needs_dispatch_resolution_or_trace	named_structural	long_or_backedge_control:13	dispatch_slot_unknown;static_model_or_runtime_validation_incomplete:13	slot_unknown	sampled_long_or_sparse	+0x30	sampled				005;012;041;042;046;048;055;059;061	9	13	165;171;354	3	124	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:109;vm_instruction_trace.tsv:15	20	8	cxx_runtime;locale_i18n	state0		pre_state	-:1	state0	dispatch slot expression not recovered; use per-row target evidence when available	collect_missing_dispatch_targets
214	0xa3fe9	vmop_214_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:1	algebraic_state_or_slot_formula:1	slot_multi_path	state_add_const	+0x5	CCCCC	CC	b0=0xd2;b1=0xbd;b2=0xb3;b3=0x3d;b4=0x01	w0=0xbdd2;w1=0x3db3	050	1	1	257	1	8	vm_instruction_trace.tsv:4;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:4	1	0		flags0;state0;u16_0	0x4cc9d7b;0x7e64782;0x234dc07a;0x2ce4baee;0x3231759e;0x352ca91c;0x5bda5c23;0x74a805eb;0x784f7133;0x79233229	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:14;&:7;|:3;^:6;+:10;-:8	state0 ^ flags0 + 0x784f7133 ^ 0x7e64782 & 0x5bda5c23 + 0x352ca91c | flags0 + 0x784f7133 & 0x4cc9d7b & 0x79233229 - 0x234dc07a - 0x2ce4baee - 0x3231759e - u16_0 + state0 ^ flags0 + 0x784f7133 ^ 0x7e64782 & 0x5bda5c23 + 0x352ca91c | flags0 + 0x784f7133 & 0x4cc9d7b & 0x79233229 - 0x234dc07a - 0x2ce4baee - 0x3231759e - 0x74a805eb	4=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x784f7133)))) ^ 0x7e64782)) & 0x5bda5c23)) + 0x352ca91c)) | (mask32((mask32((mask32((mask32((mask32(flag...#62b71ea32ab9	simplify_to_c_expression_or_table
215	0xa4609	vmop_215_plus0x3_state_mixed_slot_u16_0	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	operand_table_dispatch:1728	algebraic_state_or_slot_formula;state_formula_not_named:1728	slot_u16_0	state_mixed	+0x3	VVV	V	b0=var29(top=0x88:10.5%);b1=var11(top=0x05:21.1%);b2=var114(top=0xc8:9.2%)	w0=var88(top=0x0390:6.4%)	000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;019;020;021;022;023;...+38	62	1728	3;9;17;20;26;30;33;37;43;48;49;64;70;79;83;88;90;92;94;105;114;121;122;123;...+64	88	42348	vm_instruction_trace.tsv:21174;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:21174	1728	0		b2;flags0;state0;u16_0	0xffff;0xee9796d;0x15a799dd;0x38d2bdd3;0x6c5f0f12;0x717a207c;0x760f463f;0x77dcc51b	pre_state;pre_flags;raw_vm_bytes:b2,u16_0	&:1;|:7;^:4;+:4;-:3	state0 | 0x760f463f - flags0 | 0x77dcc51b ^ 0xee9796d ^ 0x717a207c + 0x15a799dd | 0x6c5f0f12 + b2 + state0 | 0x760f463f - flags0 | 0x77dcc51b ^ 0xee9796d ^ 0x717a207c + 0x15a799dd | 0x6c5f0f12 | 0x38d2bdd3 - u16_0	128=u16_0 & 0xffff	simplify_to_c_expression_or_table
216	0xa4a61	vmop_216_plus0xa_state_preserve_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:22	algebraic_state_or_slot_formula:22	slot_mba_stateful	state_preserve	+0xa	VVECCCVVEC	VECVE	b0=var20(top=0x4e:12.4%);b1=var22(top=0x7e:12.3%);b2=enum4(0x31:732,0x33:4,0x34:3,0x36:3);b3=0x00;b4=0x80;b5=0x00;b6=var15(top=0x92:24.7%);b7=var12(top=0x34:24.8%);b8=enum4(0x07:371,0x02:278,0x03:91,0x01:2);b9=0x00	w0=var22(top=0x7ed3:12.3%);w1=enum4(0x0031:732,0x0033:4,0x0034:3,0x0036:3);w2=0x0080;w3=var16(top=0x9d94:24.5%);w4=enum4(0x0007:371,0x0002:278,0x0003:91,0x0001:2)	041;048;049;052;055;056	6	22	169;310	2	1521	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:779;vm_instruction_trace.tsv:742	49	0		flags0;state0;u16_1	0xffff	pre_state;pre_flags;raw_vm_bytes:u16_1	mask32:2;&:1;^:2;-:1	state0 ^ flags0	112=(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff	simplify_to_c_expression_or_table
217	0xa4b11	vmop_217_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:19	algebraic_state_or_slot_formula:19	slot_mba_stateful	state_add_const	+0x5	CVVCC	VV	b0=0x00;b1=var19(top=0x0c:29.8%);b2=var18(top=0x87:30.7%);b3=0x3d;b4=0x01	w0=var19(top=0x0c00:29.8%);w1=var18(top=0x3d87:30.7%)	001;010;028;030;035;041;042;047;049;052;055;058;059;060;062	15	19	108;144;160;173;198;256;257;352	8	430	vm_instruction_trace.tsv:215;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:215	19	0		flags0;state0;u16_1	0xffff	pre_state;pre_flags;raw_vm_bytes:u16_1	mask32:2;&:1;^:2;-:1	state0 ^ flags0	128=(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff	simplify_to_c_expression_or_table
220	0xa522e	vmop_220_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:423	algebraic_state_or_slot_formula:423	slot_multi_path	state_add_const	+0x5	CCCVV	CV	b0=0x00;b1=0x3d;b2=0x01;b3=var164(top=0x03:9.0%);b4=var199(top=0x7e:7.4%)	w0=0x3d00;w1=var164(top=0x0301:9.0%)	000;001;002;006;007;008;010;011;012;015;018;019;020;021;022;023;025;026;028;029;030;031;032;034;...+21	45	423	108;144;160;173;198;256;257;352	8	7152	vm_instruction_trace.tsv:3576;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:3576	423	0		flags0;state0;u16_3	0x8f8037a;0x2332d827;0x4297c9dd;0x46462807;0x6f8e6e16	pre_state;pre_flags;raw_vm_bytes:u16_3	mask32:10;&:6;|:6;^:1;+:8;-:8	state0 | flags0 + 0x46462807 & 0x2332d827 - flags0 - state0 | flags0 & 0x4297c9dd + 0x6f8e6e16 ^ u16_3 - state0 | flags0 + 0x46462807 & 0x2332d827 - flags0 - state0 | flags0 & 0x4297c9dd + 0x6f8e6e16 + 0x8f8037a	128=(mask32((mask32(u16_3 - (mask32((mask32((mask32((mask32((mask32(state0 | flags0)) + 0x46462807)) & 0x2332d827)) - (mask32(flags0 - (mask32((mask32(state0 | flags0)) & 0x4297c9dd)))))) + 0x6f8e6e16)))) + ...#d715de7234c8	simplify_to_c_expression_or_table
222	0xa5f3c	vmop_222_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:80	algebraic_state_or_slot_formula:80	slot_multi_path	state_add_const	+0x5	VVVVE	VV	b0=var60(top=0x10:25.6%);b1=var60(top=0xf8:25.2%);b2=var58(top=0xd9:25.2%);b3=var46(top=0x4e:25.2%);b4=enum4(0x3a:97,0x50:89,0x62:67,0x32:1)	w0=var80(top=0xf810:25.2%);w1=var76(top=0x4ed9:25.2%)	001;002;010;012;014;015;018;021;023;026;027;028;030;032;034;041;042;043;045;046;048;050;052;053;...+6	30	80	3;18;28;35;43;49;64;66;79;82;83;99;114;131;157;168;172;185;189;196;199;203;215;220;...+10	34	508	vm_instruction_trace.tsv:254;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:254	80	0		flags0;state0;u16_0;u16_2	0x11da3648;0x169ceafa;0x17d780ca;0x29e369df;0x30319008;0x39a63024;0x4cc95222;0x5b15ab43;0x70d72f46	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	mask32:26;&:10;|:27;^:1;+:17;-:5	state0 + flags0 | 0x11da3648 & 0x169ceafa & u16_0 - state0 + flags0 | 0x11da3648 & 0x169ceafa + flags0 | 0x5b15ab43 | 0x4cc95222 | 0x70d72f46 | 0x30319008 | 0x39a63024 + flags0 | 0x5b15ab43 | 0x4cc95222 | 0x70d72f46 | 0x30319008 + 0x17d780ca ^ u16_2 + state0 + flags0 | 0x11da3648 & 0x169ceafa & u16_0 - state0 + flags0 | 0x11da3648 & 0x169ceafa + flags0 | 0x5b15ab43 | 0x4cc95222 | 0x70d72f46 | 0x30319008 | 0x39a63024 + flags0 | 0x5b15ab43 | 0x4cc95222 | 0x70d72f46 | 0x30319008 + 0x17d780ca - 0x29e369df	95=(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32(state0 + (mask32(flags0 | 0x11da3648)))) & 0x169ceafa)) & (mask32((mask32(u16_0 - (mask32((mask32(state0 + (mask32(flags0 | 0x11da3648)))) ...#748cb9dddd28 | 33=(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32(state0 + (mask32(flags0 | 0x11da3648)))) & 0x169ceafa)) & (mask32((mask32(u16_0 - (mask32((mask32(state0 + (mask32(flags0 | 0x11da3648)))) ...#dfc27f9ab102	simplify_to_c_expression_or_table
225	0xa6af9	vmop_225_plus0x5_state_formula_slot_unknown	dispatch_unknown	needs_dispatch_resolution_or_trace	named_structural;needs_algebraic_simplification	unresolved_dispatch:1	algebraic_state_or_slot_formula;dispatch_slot_unknown;static_model_or_runtime_validation_incomplete;state_formula_not_named:1	slot_unknown	state_formula	+0x5	CCCCC	CC	b0=0xce;b1=0x13;b2=0x3d;b3=0x01;b4=0x87	w0=0x13ce;w1=0x013d	063	1	1	144	1	12	vm_instruction_trace.tsv:6;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:6	1	0		flags0;state0;u16_0		pre_state;pre_flags;raw_vm_bytes:u16_0	&:1;|:2;^:1;-:1	state0 | flags0 & u16_0 ^ state0 | flags0	dispatch slot expression not recovered; use per-row target evidence when available	collect_missing_dispatch_targets
229	0xa71fe	vmop_229_plus0x5_state_formula_slot_unknown	dispatch_unknown	needs_dispatch_resolution_or_trace	named_structural;needs_algebraic_simplification	unresolved_dispatch:1	algebraic_state_or_slot_formula;dispatch_slot_unknown;static_model_or_runtime_validation_incomplete;state_formula_not_named:1	slot_unknown	state_formula	+0x5	CCCCC	CC	b0=0x3d;b1=0x01;b2=0x00;b3=0x59;b4=0x47	w0=0x013d;w1=0x5900	026	1	1	352	1	2	vm_instruction_trace.tsv:1;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1	1	0		flags0;state0;u16_3	0x381ae5a5;0x4a304ad7	pre_state;pre_flags;raw_vm_bytes:u16_3	^:6;-:2	state0 ^ flags0 ^ 0x4a304ad7 - u16_3 ^ state0 ^ flags0 ^ 0x4a304ad7 ^ 0x381ae5a5	dispatch slot expression not recovered; use per-row target evidence when available	collect_missing_dispatch_targets
231	0xa799b	vmop_231_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:1	algebraic_state_or_slot_formula:1	slot_mba_stateful	state_add_const	+0x5	CCCCC	CC	b0=0x3d;b1=0x01;b2=0x03;b3=0x6c;b4=0xa7	w0=0x013d;w1=0x6c03	050	1	1	198	1	8	vm_instruction_trace.tsv:4;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:4	1	0		flags0;state0;u16_3	0x500184b;0x37d0b9a9;0x5041c185;0x6307e167;0x69e2cccd;0x796ead7f	pre_state;pre_flags;raw_vm_bytes:u16_3	mask32:11;&:1;^:12;+:13;-:4	state0 + flags0 + 0x37d0b9a9 ^ 0x6307e167 + flags0 + 0x37d0b9a9 ^ 0x6307e167 ^ 0x69e2cccd ^ 0x500184b - 0x796ead7f & u16_3 - state0 + flags0 + 0x37d0b9a9 ^ 0x6307e167 + flags0 + 0x37d0b9a9 ^ 0x6307e167 ^ 0x69e2cccd ^ 0x500184b - 0x796ead7f + 0x5041c185	4=(mask32((mask32(u16_3 - (mask32((mask32((mask32((mask32((mask32(state0 + (mask32((mask32(flags0 + 0x37d0b9a9)) ^ 0x6307e167)))) + (mask32((mask32(flags0 + 0x37d0b9a9)) ^ 0x6307e167)))) ^ 0x69e2cccd)) ^ 0...#e7a757642793	simplify_to_c_expression_or_table
237	0xa8e1f	vmop_237_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:236	algebraic_state_or_slot_formula:236	slot_multi_path	state_add_const	+0x5	VVVCC	VV	b0=var26(top=0x00:89.4%);b1=var137(top=0x66:16.8%);b2=var159(top=0x6d:16.9%);b3=0x3d;b4=0x01	w0=var150(top=0x6600:16.8%);w1=var159(top=0x3d6d:16.9%)	001;002;004;007;009;010;011;012;014;015;018;019;020;021;022;023;024;026;028;029;030;032;034;035;...+16	40	236	108;144;160;173;198;256;257;352	8	3074	vm_instruction_trace.tsv:1537;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1537	236	0		flags0;state0;u16_1	0xffff;0x22900c8;0x4813dbc;0x8178b71;0x3fbeaa1d;0x4f4105f2	pre_state;pre_flags;raw_vm_bytes:u16_1	mask32:15;&:2;|:1;^:12;+:3;-:15	state0 - flags0 ^ 0x22900c8 - flags0 + 0x3fbeaa1d ^ 0x8178b71 - 0x4813dbc ^ u16_1 ^ state0 - flags0 ^ 0x22900c8 - flags0 + 0x3fbeaa1d ^ 0x8178b71 - 0x4813dbc - 0x4f4105f2	117=(mask32((mask32(u16_1 ^ (mask32((mask32((mask32(state0 - (mask32(flags0 ^ 0x22900c8)))) - (mask32((mask32(flags0 + 0x3fbeaa1d)) ^ 0x8178b71)))) - 0x4813dbc)))) - 0x4f4105f2)) & 0xffff | 11=(mask32((mask32(u16_1 ^ (mask32((mask32((mask32(state0 - (mask32(flags0 ^ 0x22900c8)))) - (mask32(flags0 ^ 0x8178b71)))) - 0x4813dbc)))) - 0x4f4105f2)) & 0xffff	simplify_to_c_expression_or_table
239	0xa991e	vmop_239_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:323	algebraic_state_or_slot_formula:323	slot_mba_stateful	state_add_const	+0x6	VVVVVV	VVV	b0=var140(top=0x2a:5.5%);b1=var65(top=0x02:11.2%);b2=var36(top=0xc1:13.6%);b3=var23(top=0x21:15.7%);b4=var72(top=0xbe:8.8%);b5=var29(top=0xa6:21.0%)	w0=var312(top=0x2994:5.0%);w1=var178(top=0x09c0:8.6%);w2=var181(top=0xa18e:7.6%)	000;001;002;004;007;010;011;012;013;014;015;016;017;018;020;021;022;023;026;028;029;030;032;034;...+19	43	323	3;18;28;37;43;48;49;52;64;66;70;79;83;90;92;105;114;122;157;168;172;185;186;189;...+27	51	5038	vm_instruction_trace.tsv:2519;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2519	323	0		flags0;state0;u16_4;u32_0	0x3650a0ae;0x39d16b3e;0x40a7aa16	pre_state;pre_flags;raw_vm_bytes:u16_4,u32_0	mask32:10;&:9;+:14;-:6	state0 + 0x40a7aa16 + flags0 & 0x39d16b3e & u32_0 - state0 + 0x40a7aa16 + flags0 & 0x39d16b3e - u16_4 + state0 + 0x40a7aa16 + flags0 & 0x39d16b3e & u32_0 - state0 + 0x40a7aa16 + flags0 & 0x39d16b3e - 0x3650a0ae	128=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32(state0 + 0x40a7aa16)) + flags0)) & 0x39d16b3e)) & (mask32(u32_0 - (mask32((mask32((mask32(state0 + 0x40a7aa16)) + flags0)) & 0x39d16b3e)))))))) - 0...#398cebc46e7f	simplify_to_c_expression_or_table
