hidden_source_entry	hidden_source_target	hidden_target_entry	hidden_target	delta	events	unique_start_ips	unique_end_ips	statuses	source_observations	prev_sources	prev_sites	next_targets	all_start_ips	all_end_ips	start_ips	end_ips	top_ip_reads	top_bytes	top_sha256	inference	lifted_ir
75	0x873fc	168	0x9aa83	+0x16	17	1	1	file_backed:17	sampled_backedge:17	52:17	tail@0x8371b:17	28:17	0x340f1b	0x340f31	0x340f1b	0x340f31	+0x8/2,+0xa/1,+0x0/2,+0x4/4:17	a5000000300000003d012267b79d01fc8313003d0180:17	75279989f0c827e19e6442b9211597a1cd8963efa6c6f1e41f8e6db687c1bf8a	adjacent_unhooked_span	inferred table[75] -> table[168], ip += 0x16
80	0x88a58	171	0x9b4b3	+0x11	17	4	4	file_backed:17	target_only:17	20:15,176:2	tail@0x7ca96:15,tail@0x9c3f4:2	64:12,157:4,168:1	0xd43cf,0x1a519e,0x33e02a,0x36d3a2	0xd43e0,0x1a51af,0x33e03b,0x36d3b3	0xd43cf,0x1a519e,0x33e02a,0x36d3a2	0xd43e0,0x1a51af,0x33e03b,0x36d3b3	+0x7/4,+0x0/1,+0x1/1,+0x3/4,+0x2/1,+0xb/2,+0x4/1,+0x2/2,+0x0/2:17	113547ba55216be8e933008000ab00e801:12,1584be1a3e5b4202de36008000e801ab00:3,1a11005d560d4376600d008000e801ab00:1,48bb51538d5b5647601a008000e801ab00:1	384ae1a713828a5a49702760c591d693b1b9c22bedcabe0a9515aab35b310696	adjacent_unhooked_span	inferred table[80] -> table[171], ip += 0x11
210	0xa2da3	340	0xbf435	+0x16	17	1	1	file_backed:17	sampled_long_or_sparse:17	122:17	tail@0x91a57:17	203:17	0x331945	0x33195b	0x331945	0x33195b	+0x8/2,+0xa/1,+0x0/2,+0x4/4:17	ab000000300000003d01221a75809d019cc83d011300:17	1122aa10c1db517d28bb77a1b5ac81640c91326c1756bf2a3e2c2f92601a0812	adjacent_unhooked_span	inferred table[210] -> table[340], ip += 0x16
78	0x883c0	165	0x9a24c	+0x11	16	2	2	file_backed:16	exact:16	123:11,158:5	tail@0x91e7f:11,tail@0x992ca:5	333:11,18:5	0x331c7a,0x36b693	0x331c8b,0x36b6a4	0x331c7a,0x36b693	0x331c8b,0x36b6a4	+0x7/4,+0x0/1,+0x1/1,+0x3/4,+0x2/1,+0xb/2,+0x4/1,+0x2/2,+0x0/2:16	4c90bfd11d1725f3da36008000e801a500:11,206105e4180518cf3b33008000e801a500:5	252b12084f7bc557ac4687c6a11a4849875497bd04e8f1d6a8e77cbb56a57000	adjacent_unhooked_span	inferred table[78] -> table[165], ip += 0x11
69	0x85f24	171	0x9b4b3	+0x11	15	4	4	file_backed:15	exact:15	123:9,176:5,158:1	tail@0x91e7f:9,tail@0x9c3f4:5,tail@0x992ca:1	28:9,337:3,66:2,168:1	0xd5044,0x31c33a,0x33e707,0x369951	0xd5055,0x31c34b,0x33e718,0x369962	0xd5044,0x31c33a,0x33e707,0x369951	0xd5055,0x31c34b,0x33e718,0x369962	+0x7/4,+0x0/1,+0x1/1,+0x2/1,+0x3/4,+0xb/2,+0x3/2,+0x0/2:15	ca6c3d5e33ae7740eb33008000ab00e801:9,f925247ee1a8623da236008000ab00e801:3,120bfc05e4d8611cf431008000e801ab00:2,00ccb947a5047cb4610d008000ab00e801:1	df4efd0bfb4e0745f3e95e0c68a52babd8a1ec9d75107aa35b124d96feebebfd	adjacent_unhooked_span	inferred table[69] -> table[171], ip += 0x11
278	0xb2342	354	0xc2241	+0xe	15	11	11	file_backed:15	exact:15	174:4,176:3,161:3,184:2,20:2,123:1	tail@0x9c08c:4,tail@0x9c3f4:3,tail@0x99b3a:3,tail@0x9d961:2,tail@0x7ca96:2,tail@0x91e7f:1	114:3,337:3,66:2,172:2,347:1,340:1,307:1,157:1	0x11c3f9,0x11d207,0x121199,0x171c41,0x172122,0x1a5793,0x249b99,0x24b39b,0x332de3,0x3391ac,0x36977c	0x11c407,0x11d215,0x1211a7,0x171c4f,0x172130,0x1a57a1,0x249ba7,0x24b3a9,0x332df1,0x3391ba,0x36978a	0x11c3f9,0x11d207,0x121199,0x171c41,0x172122,0x1a5793,0x249b99,0x24b39b,...+3	0x11c407,0x11d215,0x1211a7,0x171c4f,0x172130,0x1a57a1,0x249ba7,0x24b3a9,...+3	+0x6/4,+0x4/2,+0x0/4,+0x4/1,+0x0/2,+0x2/2:15	b4ab36008000c9d748006201e801:3,d3bf2400800010034c00e8016201:2,90cb24008000c00f4b00e8016201:2,ce3912008000c0ae0200e8016201:1,6b4012008000100b0200e8016201:1,714233008000300b02006201e801:1,8aa933008000ae510700e8016201:1,dd63120080005f6303006201e801:1	f6b5d613bd31554b2834607cac7bf97d789dab900346d5658c8f37dfddd70d6e	adjacent_unhooked_span	inferred table[278] -> table[354], ip += 0xe
95	0x8c41c	354	0xc2241	+0xe	14	11	11	file_backed:14	exact:14	174:4,161:4,176:2,184:2,123:1,158:1	tail@0x9c08c:4,tail@0x99b3a:4,tail@0x9c3f4:2,tail@0x9d961:2,tail@0x91e7f:1,tail@0x992ca:1	168:2,172:2,340:2,43:2,199:2,268:1,337:1,185:1	0xd5641,0x11ca2a,0x170db1,0x1770e9,0x249ddc,0x24a01f,0x24ab6a,0x333123,0x339432,0x36bee0,0x36c395	0xd564f,0x11ca38,0x170dbf,0x1770f7,0x249dea,0x24a02d,0x24ab78,0x333131,0x339440,0x36beee,0x36c3a3	0xd5641,0x11ca2a,0x170db1,0x1770e9,0x249ddc,0x24a01f,0x24ab6a,0x333123,...+3	0xd564f,0x11ca38,0x170dbf,0x1770f7,0x249dea,0x24a02d,0x24ab78,0x333131,...+3	+0x4/2,+0x6/4,+0x0/4,+0x6/2,+0x2/2,+0x0/2:14	1fc124008000e0f94b006201e801:2,84c22400800070624b006201e801:2,a7c724008000a01c4b006201e801:2,863c12008000b05002006201e801:1,656a0d008000b6290700e8016201:1,d9433300800000ff0100e8016201:1,e1aa330080000fd54800e8016201:1,6ddf360080005c8307006201e801:1	3f111b979b9470cb76ab137908586f2b1300f338e998c8b8ea216ca2013efe2e	adjacent_unhooked_span	inferred table[95] -> table[354], ip += 0xe
145	0x95b5c	215	0xa4609	+0x16	14	1	1	file_backed:14	sampled_long_or_sparse:14	52:14	tail@0x8371b:14	43:14	0x334c7b	0x334c91	0x334c7b	0x334c91	+0x8/2,+0xa/1,+0x0/2,+0x4/4:14	62010000300000003d01224007809d01b4c43d011300:14	ef0c216ba81402f0513bcf3387bc8c84ccd5e2d60cd3892a9cd775ae4f7c64c1	adjacent_unhooked_span	inferred table[145] -> table[215], ip += 0x16
210	0xa2da3	199	0xa0631	+0x16	13	1	1	file_backed:13	sampled_long_or_sparse:13	52:13	tail@0x8371b:13	337:13	0x30eeba	0x30eed0	0x30eeba	0x30eed0	+0x8/2,+0xa/1,+0x0/2,+0x4/4:13	a5000000300000003d0122300213003d019d0180c00c:13	2fa7a2aea46640345cffab99f86f9dd34c69b27c956e142272640d84bbc2d80e	adjacent_unhooked_span	inferred table[210] -> table[199], ip += 0x16
356	0xc291a	354	0xc2241	+0xe	13	9	9	file_backed:13	exact:13	184:5,174:4,176:2,123:1,20:1	tail@0x9d961:5,tail@0x9c08c:4,tail@0x9c3f4:2,tail@0x91e7f:1,tail@0x7ca96:1	18:4,340:4,64:2,268:1,196:1,307:1	0xd5cfb,0x11ba2a,0x11f39b,0x1ec347,0x332469,0x3398e6,0x368944,0x369525,0x36cf76	0xd5d09,0x11ba38,0x11f3a9,0x1ec355,0x332477,0x3398f4,0x368952,0x369533,0x36cf84	0xd5cfb,0x11ba2a,0x11f39b,0x1ec347,0x332469,0x3398e6,0x368944,0x369525,...+1	0xd5d09,0x11ba38,0x11f3a9,0x1ec355,0x332477,0x3398f4,0x368952,0x369533,...+1	+0x3/2,+0x6/4,+0x4/2,+0x0/4,+0x2/1,+0x0/2:13	84aa36008000388207006201e801:3,23e63600800038820700e8016201:3,c835120080001c600300e8016201:1,466f0d008000ce290700e8016201:1,313d3300800080090200e8016201:1,27ae33008000300b02006201e801:1,63a636008000ff4d02006201e801:1,be5112008000e0bd4800e8016201:1	2de65cdda30ba8698d94e5b0ea62fe1988823f9056678eeb671aa45e75851d6e	adjacent_unhooked_span	inferred table[356] -> table[354], ip += 0xe
