source_program	case_state	block	terminal_kind	successor_vm_ip	target_program	relation	successor_entry	edge_kind	edge_delta	edge_semantic_ir	status
010	0x11ca38	46	exact_instruction	0x11ccf7	010	intra_program	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
010	0x11cd05	47	exact_instruction	0x11cf21	010	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
010	0x11cf2f	48	exact_instruction	0x11d207	010	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
010	0x11d215	49	exact_instruction	0x11d3d3	010	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
010	0x11d3e1	50	exact_instruction	0x11d6a2	010	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
010	0x11d6b0	51	exact_instruction	0x11d91b	010	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
010	0x11d929	52	exact_instruction	0x11da3a	010	intra_program	145	covered_synthetic_fallthrough	+0x5	next = 145@0x95b5c:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
010	0x11da4b	53	sampled_operand_forward	0x33f278	055	inter_program	323	decoded_control	+0x221770	sampled operand footprint 0xa; observed target table[323], delta +0x221770	ready_for_mba_reduction
010	0x11db16	54	exact_instruction	0x11dc27	010	intra_program	210	covered_synthetic_fallthrough	+0x5	next = 210@0xa2da3:1, ip += +0x5; dispatch_model=static_100	ready_for_mba_reduction
010	0x11dc37	55	sampled_operand_forward	0x3603af	056	inter_program	86	decoded_control	+0x2426ba	sampled operand footprint 0xa; observed target table[86], delta +0x2426ba	ready_for_mba_reduction
010	0x11dd03	56	exact_instruction	0x11de14	010	intra_program	210	covered_synthetic_fallthrough	+0x5	next = 210@0xa2da3:1, ip += +0x5; dispatch_model=static_100	ready_for_mba_reduction
010	0x11de27	57	long_branch_forward	0x11de9f	011	inter_program	171	decoded_control	+0x66	next = table[171], ip += 0x66	ready_for_mba_reduction
011	0x11de9f	58	exact_instruction	0x11e02d	011	intra_program	78	covered_synthetic_fallthrough	+0x4	next = 78@0x883c0:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
011	0x11e03e	59	exact_instruction	0x11e14f	011	intra_program	316	covered_synthetic_fallthrough	+0x5	next = 316@0xb987b:1, ip += +0x5; dispatch_model=static_100	ready_for_mba_reduction
011	0x11e15f	60	exact_instruction	0x11e27c	011	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
011	0x11e28a	61	long_branch_forward	0x11e574	012	inter_program	165	decoded_control	+0x1d9	next = table[165], ip += 0x1d9	ready_for_mba_reduction
012	0x11e574	62	exact_instruction	0x11e695	012	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
012	0x11e6a3	63	exact_instruction	0x11e962	012	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
012	0x11e970	64	exact_instruction	0x11eb8c	012	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
012	0x11eb9a	65	exact_instruction	0x11edcf	012	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
012	0x11eddd	66	long_branch_forward	0x11ef65	013	inter_program	171	decoded_control	+0x77	next = table[171], ip += 0x77	ready_for_mba_reduction
013	0x11ef65	67	exact_instruction	0x11f1b9	013	intra_program	5	covered_synthetic_fallthrough	+0x4	next = 5@0x79675:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
013	0x11f1c5	68	exact_instruction	0x11f39b	013	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
013	0x11f3a9	69	long_branch_forward	0x1209d2	014	inter_program	354	decoded_control	+0x1518	next = table[354], ip += 0x1518	ready_for_mba_reduction
014	0x1209d2	70	exact_instruction	0x120af4	014	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
014	0x120b02	71	exact_instruction	0x120d67	014	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
014	0x120d75	72	long_branch_forward	0x1210d6	015	inter_program	165	decoded_control	+0x238	next = table[165], ip += 0x238	ready_for_mba_reduction
015	0x1210d6	73	exact_instruction	0x121199	015	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
015	0x1211a7	74	exact_instruction	0x121435	015	intra_program	311	covered_synthetic_fallthrough	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
015	0x121443	75	exact_instruction	0x121690	015	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
015	0x12169e	76	exact_instruction	0x1217c7	015	intra_program	316	covered_synthetic_fallthrough	+0x5	next = 316@0xb987b:1, ip += +0x5; dispatch_model=static_100	ready_for_mba_reduction
015	0x1217d8	77	exact_instruction	0x121924	015	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
015	0x121932	78	long_branch_forward	0x121a8a	015	intra_program	171	decoded_control	+0x2f	next = table[171], ip += 0x2f	ready_for_mba_reduction
015	0x121a8a	79	long_branch_forward	0x121b31	016	inter_program	171	decoded_control	+0x77	next = table[171], ip += 0x77	ready_for_mba_reduction
016	0x121b31	80	exact_instruction	0x121c83	016	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
016	0x121c91	81	exact_instruction	0x121ec6	016	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
016	0x121ed4	82	long_branch_forward	0x122074	017	inter_program	354	decoded_control	+0x77	next = table[354], ip += 0x77	ready_for_mba_reduction
017	0x122074	83	exact_instruction	0x122196	017	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
017	0x1221a4	84	long_branch_forward	0x122344	018	inter_program	171	decoded_control	+0x77	next = table[171], ip += 0x77	ready_for_mba_reduction
018	0x122344	85	exact_instruction	0x122466	018	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
018	0x122474	86	exact_instruction	0x122615	018	intra_program	75	covered_synthetic_fallthrough	+0x5	next = 75@0x873fc:1, ip += +0x5; dispatch_model=static_100	ready_for_mba_reduction
018	0x122626	87	long_branch_forward	0x122a46	019	inter_program	171	decoded_control	+0x380	next = table[171], ip += 0x380	ready_for_mba_reduction
019	0x122a46	88	exact_instruction	0x122c7b	019	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
019	0x122c89	89	exact_instruction	0x122e3c		external_or_exit	299	covered_synthetic_fallthrough	+0x4	next = 299@0xb6bba:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
020	0x128952	90	exact_instruction	0x128b72	020	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
020	0x128b80	91	exact_instruction	0x128de7	020	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
020	0x128df5	92	exact_instruction	0x12906f		external_or_exit	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x1705a9	93	exact_instruction	0x170856	021	intra_program	311	covered_synthetic_fallthrough	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x170864	94	exact_instruction	0x170b41	021	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x170b4f	95	exact_instruction	0x170db1	021	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x170dbf	96	exact_instruction	0x170fdb	021	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x170fe9	97	exact_instruction	0x171205	021	intra_program	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x171213	98	exact_instruction	0x1714bc	021	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x1714ca	99	exact_instruction	0x1717a7	021	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x1717b5	100	exact_instruction	0x171a17	021	intra_program	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x171a25	101	exact_instruction	0x171c41	021	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x171c4f	102	exact_instruction	0x171e6b	021	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x171e79	103	exact_instruction	0x172122	021	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x172130	104	exact_instruction	0x17240d	021	intra_program	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x17241b	105	exact_instruction	0x17264d	021	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x17265b	106	exact_instruction	0x172877	021	intra_program	311	covered_synthetic_fallthrough	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x172885	107	exact_instruction	0x172aa1	021	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x172aaf	108	exact_instruction	0x172d58	021	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x172d66	109	exact_instruction	0x173043	021	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x173051	110	exact_instruction	0x1732b3	021	intra_program	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x1732c1	111	exact_instruction	0x1734dd	021	intra_program	311	covered_synthetic_fallthrough	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
021	0x1734eb	112	exact_instruction	0x173707	021	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	ready_for_mba_reduction
