ref_index	program	first_seen_rank	site	text	section_name	role	role_confidence	role_evidence	behavior_tags	opcode_name	source_entry	row_start	semantic_ir
21	048	19	0x336b3c	long double	.rodata	compiler_type_name	medium	compiler/runtime type-name string	cxx_runtime	vmop_028_plus0x3_state_add_const_slot_u16_0	28	0x336b3c	next = 220@0xa522e:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
22	052	27	0x33b7f2	dropping unexpected ChangeCipherSpec	.rodata	tls_protocol_message	high	TLS protocol diagnostic text	tls_or_ssl;host_environment	vmop_066_plus0x3_state_add_const_slot_multi_path	66	0x33b7f2	next = 301@0xb708d:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
23	052	27	0x33c3d4	GLIBC_2.17	.dynstr	libc_version_requirement	high	GLIBC symbol-version string	tls_or_ssl;host_environment	vmop_246_plus0x78_sampled_long_or_sparse_slot_unknown	246	0x33be94	next = table[171], ip += 0x724
24	055	30	0x33f6e3	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x33f6e0	next = table[171], ip += 0x30
25	055	30	0x33f70b	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x33f6e0	next = table[171], ip += 0x30
26	055	30	0x33f7c5	NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE	.rodata	cxx_runtime_type_or_exception_text	medium	C++ ABI/libstdc++ type or diagnostic text	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_189_plus0x4_state_add_const_slot_mba_stateful	189	0x33f7c2	next = 124@0x91e81:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
27	055	30	0x340196	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x340193	next = table[171], ip += 0x30
28	055	30	0x3401be	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x340193	next = table[171], ip += 0x30
29	055	30	0x3403f3	/home/richard/code/mbedtls/library/ssl_tls.c	.rodata	tls_library_source_path	high	mbedTLS source-path string	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_066_plus0x3_state_add_const_slot_multi_path	66	0x3403f1	next = 37@0x80685:3, ip += +0x3; dispatch_model=static_100; state=state_add_const
30	055	30	0x3408e1	pthread_cond_timedwait	.dynstr	threading_import_symbol	high	pthread synchronization import name	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x3406cb	next = table[354], ip += 0x288
31	055	30	0x340f1e	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x340f1b	next = table[165], ip += 0x30
32	055	30	0x340f46	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x340f1b	next = table[165], ip += 0x30
33	055	30	0x341a48	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x341a45	next = table[354], ip += 0x30
34	055	30	0x341a70	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x341a45	next = table[354], ip += 0x30
35	055	30	0x34230a	pthread_mutex_destroy	.dynstr	threading_import_symbol	high	pthread synchronization import name	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_172_plus0x4_state_add_const_slot_mba_stateful	172	0x342309	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
36	055	30	0x3427d0	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x3427cd	next = table[171], ip += 0x30
37	055	30	0x3427f8	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x3427cd	next = table[171], ip += 0x30
38	055	30	0x343f0f	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x343f0c	next = table[354], ip += 0x30
39	055	30	0x343f37	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x343f0c	next = table[354], ip += 0x30
40	055	30	0x34448e	uname	.dynstr	process_or_host_import_symbol	high	process/host libc import name	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_172_plus0x4_state_add_const_slot_mba_stateful	172	0x34448d	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100
41	059	33	0x367607	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w	.rodata	embedded_token_or_encoded_blob	medium	long base64-like embedded data string	cxx_runtime	vmop_199_plus0x3_state_add_const_slot_multi_path	199	0x367605	next = 83@0x8947b:1, ip += +0x3; dispatch_model=static_100
42	059	33	0x367700	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x3676fd	next = table[354], ip += 0x30
43	059	33	0x367728	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x3676fd	next = table[354], ip += 0x30
44	059	33	0x367ee7	basic_string::_S_construct null not valid	.rodata	cxx_runtime_type_or_exception_text	medium	C++ ABI/libstdc++ type or diagnostic text	cxx_runtime	vmop_350_plus0x4_state_add_const_slot_mba_stateful	350	0x367ee5	next = 91@0x8b6de:1, ip += +0x4; dispatch_model=static_100
45	061	35	0x36b361	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x36b35e	next = table[171], ip += 0x30
46	061	35	0x36b389	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x36b35e	next = table[171], ip += 0x30
47	062	36	0x36d81e	:$23	.rodata	unclassified_data_string	low	no stronger role heuristic matched	control_transfer_or_native_bridge_candidate	vmop_140_plus0x6_state_add_const_slot_multi_path	140	0x36d819	next = 70@0x8610e:1, ip += +0x6; dispatch_model=static_100
48	063	37	0x36ee05	pclose	.dynstr	process_or_host_import_symbol	high	process/host libc import name	tls_or_ssl;cxx_runtime;process_or_shell	vmop_172_plus0x4_state_add_const_slot_mba_stateful	172	0x36ee04	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100
49	063	37	0x36ef19	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	tls_or_ssl;cxx_runtime;process_or_shell	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x36ef16	next = table[171], ip += 0x30
50	063	37	0x36ef41	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	tls_or_ssl;cxx_runtime;process_or_shell	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x36ef16	next = table[171], ip += 0x30
51	063	37	0x37138e	client hello, adding server name extension: %s	.rodata	tls_protocol_message	high	TLS protocol diagnostic text	tls_or_ssl;cxx_runtime;process_or_shell	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x3707a0	next = table[165], ip += 0x12c3
