source_entry	source_target	events	unique_start_ips	unique_signatures	top_deltas	dominant_delta	dominant_delta_pct	dominant_shape	dominant_word_shape	target_entropy	top_targets	top_sites	top_bytes
215	0xa4609	21174	1728	1728	+0x3:21174	+0x3	100.0	VVV	V	5.212	114@0x90319:1359,337@0xbec0e:1186,347@0xc088d:1123,189@0x9e7af:1119,258@0xadf2c:1070,340@0xbf435:1042	tail@0xa4a5e:21174	d80ae8:348,1008e8:348,880a88:280,e805bc:258,d8033c:257,900300:257
297	0xb64d7	20640	1843	1843	+0x3:20640	+0x3	100.0	VVV	V	5.210	347@0xc088d:1305,258@0xadf2c:1285,340@0xbf435:1194,114@0x90319:909,123@0x91a59:902,43@0x8173d:896	tail@0xb68ff:20640	fca726:256,c3fc4e:256,85267a:256,a9b61d:256,892ead:256,fd2537:256
199	0xa0631	19641	1802	1802	+0x3:19641	+0x3	100.0	VVV	V	5.311	258@0xadf2c:1481,64@0x85059:1221,340@0xbf435:993,189@0x9e7af:968,184@0x9d694:957,346@0xc0535:947	tail@0xa0a9c:19641	86c159:256,07051a:256,87403a:256,c71b3a:256,0f893a:256,27547a:256
43	0x8173d	16136	1458	1458	+0x4:16136	+0x4	100.0	VVVV	VV	4.966	347@0xc088d:1058,287@0xb45d2:806,337@0xbec0e:770,26@0x7dbbb:765,189@0x9e7af:762,297@0xb64d7:745	tail@0x81b7c:16136	b77ba301:256,0032ec49:256,f3745f00:256,0332af46:256,1731ab4b:256,c8d07cae:256
157	0x98a9a	14693	1395	1395	+0x4:14693	+0x4	100.0	VVVE	VV	5.043	18@0x7be9b:993,199@0xa0631:922,66@0x855ff:885,340@0xbf435:831,64@0x85059:828,185@0x9d964:813	tail@0x99026:14693	7b8b6800:256,87ced300:256,63089100:256,dbd8b300:256,f3386800:256,ffd49900:182
196	0x9fbcd	14371	1138	1138	+0x4:14371	+0x4	100.0	VVVV	VV	4.991	18@0x7be9b:1113,189@0x9e7af:988,340@0xbf435:880,66@0x855ff:807,258@0xadf2c:771,33@0x7f7c4:666	tail@0xa0068:14371	fd6e0cf4:347,237754f0:256,4f6eb4ee:256,56c84dc0:256,9ff1e5c8:256,b7f9ccf6:256
168	0x9aa83	14368	1365	1365	+0x4:14368	+0x4	100.0	VVVV	VV	4.881	340@0xbf435:964,258@0xadf2c:861,337@0xbec0e:839,305@0xb78b0:795,189@0x9e7af:776,26@0x7dbbb:749	tail@0x9af16:14368	4c565ed9:256,dd4f99d7:256,0071ddd9:256,2ecd84d8:256,e368ded4:256,4144aed9:256
172	0x9b68a	12531	1093	1093	+0x4:12531	+0x4	100.0	VVVV	VV	4.963	28@0x7e390:851,258@0xadf2c:760,199@0xa0631:756,305@0xb78b0:674,340@0xbf435:647,189@0x9e7af:642	tail@0x9ba72:12531	3ea0d30a:256,5a71ab03:256,6975330e:256,2b4b5300:256,b3e5c30d:256,b3ae0b0c:256
333	0xbd8af	12194	1165	1165	+0x4:12194	+0x4	100.0	VVVE	VV	4.905	305@0xb78b0:766,114@0x90319:750,199@0xa0631:703,243@0xaab6a:667,64@0x85059:626,18@0x7be9b:613	tail@0xbdd16:12194	83f92800:256,07e76800:256,a7e66800:256,83df6800:125,73e99900:102,d3e46800:96
184	0x9d694	12094	856	856	+0x4:12094	+0x4	100.0	VVCC	VC	4.163	340@0xbf435:1208,28@0x7e390:1166,337@0xbec0e:993,66@0x855ff:931,18@0x7be9b:885,114@0x90319:813	tail@0x9d961:12094	2a63e801:256,5ab4e801:256,50e9e801:256,eaaee801:93,a22ee801:92,4cb2e801:92
268	0xb0007	12038	1112	1112	+0x4:12038	+0x4	100.0	VVVV	VV	5.081	243@0xaab6a:816,28@0x7e390:796,64@0x85059:710,185@0x9d964:693,215@0xa4609:585,305@0xb78b0:479	tail@0xb0458:12038	c0c5726b:256,2ea29a29:256,191cbe6c:125,4a1cae67:96,4a1c866c:93,9c7d3e2b:92
174	0x9bd8f	11742	889	889	+0x4:11742	+0x4	100.0	VVCC	VC	4.233	28@0x7e390:1083,258@0xadf2c:1081,114@0x90319:941,347@0xc088d:812,337@0xbec0e:757,185@0x9d964:748	tail@0x9c08c:11742	036ce801:256,8c42e801:256,338ae801:256,0566e801:102,a924e801:92,c17de801:92
305	0xb78b0	10874	771	771	+0x4:10874	+0x4	100.0	VVCC	VC	4.447	307@0xb8064:1290,189@0x9e7af:771,297@0xb64d7:684,28@0x7e390:581,338@0xbf128:576,199@0xa0631:546	tail@0xb7bb8:10874	b50ce801:256,40f3e801:256,100ae801:183,10ffe801:95,6000e801:93,6007e801:92
123	0x91a59	10598	889	889	+0x4:10598	+0x4	100.0	VVCC	VC	4.173	337@0xbec0e:1011,114@0x90319:972,66@0x855ff:944,347@0xc088d:901,64@0x85059:880,18@0x7be9b:646	tail@0x91e7f:10598	81dee801:256,4496e801:256,b9e6e801:92,c47de801:92,f62ae801:92,cceae801:92
176	0x9c10b	10138	878	878	+0x4:10138	+0x4	100.0	CCVV	CV	4.194	307@0xb8064:959,28@0x7e390:933,189@0x9e7af:821,340@0xbf435:797,18@0x7be9b:752,337@0xbec0e:714	tail@0x9c3f4:10138	e801822e:256,e801922d:92,e80177c6:92,e8010c1c:92,e8014e53:92,e801da51:92
315	0xb9451	9921	813	813	+0x4:9921	+0x4	100.0	CCVV	CV	4.445	28@0x7e390:1006,337@0xbec0e:731,307@0xb8064:617,215@0xa4609:544,64@0x85059:543,157@0x98a9a:512	tail@0xb9878:9921	e80191f0:1006,e801f9fa:731,e801e9f9:617,e801c9f6:544,e80171f2:543,e80199f4:512
26	0x7dbbb	9886	849	849	+0x4:9886	+0x4	100.0	VVCC	VC	4.478	157@0x98a9a:959,66@0x855ff:687,114@0x90319:655,28@0x7e390:652,258@0xadf2c:567,185@0x9d964:518	tail@0x7dfbd:9886	9e5ae801:256,3b6be801:256,d677e801:256,13cfe801:256,183be801:94,1a0de801:92
203	0xa1484	9820	1044	1044	+0x4:9820	+0x4	100.0	VVVV	VV	5.100	258@0xadf2c:699,297@0xb64d7:584,64@0x85059:479,315@0xb9451:473,189@0x9e7af:461,66@0x855ff:445	tail@0xa1936:9820	a7993fba:256,4f91aff7:256,1790b79a:256,df915d1f:256,879e8f42:125,17903576:95
287	0xb45d2	9723	866	866	+0x4:9723	+0x4	100.0	VVCC	VC	4.502	28@0x7e390:769,297@0xb64d7:686,199@0xa0631:651,189@0x9e7af:621,196@0x9fbcd:582,258@0xadf2c:541	tail@0xb497e:9723	8ab8e801:256,86aee801:256,0028e801:256,c2bee801:100,5a4fe801:94,06bee801:94
20	0x7c62b	9485	857	857	+0x4:9485	+0x4	100.0	CCVV	CV	4.252	114@0x90319:1277,258@0xadf2c:806,337@0xbec0e:720,185@0x9d964:712,347@0xc088d:691,18@0x7be9b:539	tail@0x7ca96:9485	e801a57c:348,e801874a:256,e801e975:182,e80131fd:155,e801d97a:99,e8019877:97
161	0x9975a	9482	818	818	+0x4:9482	+0x4	100.0	VVCC	VC	4.372	28@0x7e390:776,337@0xbec0e:707,340@0xbf435:650,18@0x7be9b:637,64@0x85059:606,258@0xadf2c:559	tail@0x99b3a:9482	0a70e801:257,e96de801:256,da4fe801:182,9674e801:182,ae6ee801:182,7678e801:101
243	0xaab6a	9466	761	761	+0x4:9466	+0x4	100.0	VVCC	VC	4.472	307@0xb8064:733,189@0x9e7af:698,18@0x7be9b:642,185@0x9d964:578,28@0x7e390:559,337@0xbec0e:510	tail@0xaaf3c:9466	5d91e801:274,5d9de801:274,3d93e801:257,5598e801:203,4598e801:190,9d9ee801:188
158	0x99029	9432	804	804	+0x4:9432	+0x4	100.0	CCVV	CV	4.212	340@0xbf435:989,189@0x9e7af:726,337@0xbec0e:710,18@0x7be9b:695,258@0xadf2c:648,64@0x85059:648	tail@0x992ca:9432	e801120a:256,e801c1d6:256,e801341b:256,e8012edd:93,e80146d3:93,e801d226:92
33	0x7f7c4	9247	806	806	+0x4:9247	+0x4	100.0	CCVV	CV	4.428	258@0xadf2c:873,307@0xb8064:735,157@0x98a9a:700,114@0x90319:514,167@0x9a8d2:489,64@0x85059:438	tail@0x7fba1:9247	e801348c:256,e801c4cd:188,e801b4c8:183,e801ecc4:105,e801a4c9:100,e801fcca:98
346	0xc0535	9073	764	764	+0x4:9073	+0x4	100.0	VVCC	VC	4.434	28@0x7e390:862,168@0x9aa83:678,258@0xadf2c:614,185@0x9d964:572,64@0x85059:531,347@0xc088d:490	tail@0xc088b:9073	9b3ee801:182,0e94e801:95,169de801:93,5e94e801:93,74f5e801:92,0321e801:92
108	0x8f24b	5239	719	719	+0x2:5239	+0x2	100.0	VV	V	5.050	337@0xbec0e:401,215@0xa4609:378,333@0xbd8af:371,196@0x9fbcd:328,297@0xb64d7:248,345@0xc02e4:227	tail@0x8f6cf:5239	ce1e:256,1085:256,eb03:256,bd40:125,0404:125,79f6:125
144	0x95887	5218	619	619	+0x2:5218	+0x2	100.0	VV	V	5.054	258@0xadf2c:577,268@0xb0007:365,18@0x7be9b:315,168@0x9aa83:310,114@0x90319:236,347@0xc088d:211	tail@0x95b59:5218	8790:283,0f99:272,b79b:263,f79e:188,c79a:133,7f9e:125
160	0x994cf	5207	576	576	+0x2:5207	+0x2	100.0	VV	V	4.946	185@0x9d964:351,215@0xa4609:346,43@0x8173d:319,18@0x7be9b:310,172@0x9b68a:268,157@0x98a9a:268	tail@0x99757:5207	482e:338,e92b:276,f12f:263,592f:263,8121:259,7928:252
173	0x9ba74	5101	535	535	+0x2:5101	+0x2	100.0	VV	V	4.977	64@0x85059:483,196@0x9fbcd:369,337@0xbec0e:364,340@0xbf435:287,114@0x90319:283,349@0xc140b:264	tail@0x9bd8c:5101	af82:257,ce8c:256,f60b:256,360b:125,3f03:102,ab8a:93
257	0xadbfd	4958	509	509	+0x2:4958	+0x2	100.0	VV	V	4.869	172@0x9b68a:777,43@0x8173d:281,157@0x98a9a:273,185@0x9d964:247,203@0xa1484:215,168@0x9aa83:213	tail@0xadf29:4958	c7b4:261,27b5:258,e7c4:257,4fb1:257,e7f4:256,2ff9:125
198	0xa037e	4955	517	517	+0x2:4955	+0x2	100.0	VV	V	4.896	199@0xa0631:355,300@0xb6c36:328,18@0x7be9b:316,258@0xadf2c:314,337@0xbec0e:296,215@0xa4609:272	tail@0xa062e:4955	e3ef:256,c747:256,2a54:256,3bc8:256,ec65:256,2474:150
352	0xc1ec4	4424	542	542	+0x2:4424	+0x2	100.0	VV	V	4.955	258@0xadf2c:408,307@0xb8064:319,196@0x9fbcd:305,340@0xbf435:288,292@0xb540f:263,172@0x9b68a:240	tail@0xc21c0:4424	16db:347,0af9:257,5a06:127,ea04:125,bad8:92,5ef4:92
301	0xb708d	4380	389	389	+0x5:4380	+0x5	100.0	CCCVV	CV	2.883	160@0x994cf:954,198@0xa037e:729,173@0x9ba74:669,352@0xc1ec4:627,256@0xad849:458,144@0x95887:350	tail@0xb7583:4380	003d01ef74:256,003d014768:256,003d019018:256,003d01df0e:256,003d019152:150,003d01dffe:126
49	0x82820	4132	415	415	+0x5:4132	+0x5	100.0	CVVCC	VV	2.846	144@0x95887:1018,352@0xc1ec4:600,257@0xadbfd:590,198@0xa037e:521,160@0x994cf:514,173@0x9ba74:413	tail@0x82e73:4132	0052963d01:256,0078fd3d01:256,004aa73d01:256,0046823d01:125,0074793d01:91,00d0bc3d01:91
256	0xad849	3880	507	507	+0x2:3880	+0x2	100.0	VV	V	4.806	340@0xbf435:390,189@0x9e7af:295,199@0xa0631:233,168@0x9aa83:225,215@0xa4609:209,114@0x90319:207	tail@0xadbfa:3880	3d27:256,8e1d:127,2a11:92,1e1f:92,4622:92,4e14:91
79	0x885b0	3633	417	417	+0x5:3633	+0x5	100.0	VVCCC	VC	2.839	257@0xadbfd:865,198@0xa037e:745,160@0x994cf:451,108@0x8f24b:397,144@0x95887:373,256@0xad849:350	tail@0x88a55:3633	36283d0100:256,9ea53d0100:256,9e2b3d0100:182,96293d0100:95,56c53d0100:94,28283d0100:92
220	0xa522e	3576	423	423	+0x5:3576	+0x5	100.0	CCCVV	CV	2.883	144@0x95887:813,108@0x8f24b:555,173@0x9ba74:520,198@0xa037e:485,352@0xc1ec4:405,256@0xad849:351	tail@0xa5886:3576	003d01c500:256,003d01cb7e:256,003d010317:256,003d015fb3:256,003d01385d:92,003d01c321:91
3	0x78c77	3434	401	401	+0x5:3434	+0x5	100.0	VVCCC	VC	2.938	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377	tail@0x792f5:3434	9927003d01:184,9121003d01:126,19c1003d01:119,69c1003d01:116,1920003d01:102,1160003d01:95
332	0xbd36d	3292	258	258	+0x4:3292	+0x4	100.0	VVVV	VV	4.514	347@0xc088d:268,114@0x90319:257,90@0x8b334:256,99@0x8c99a:256,319@0xba72f:256,258@0xadf2c:249	tail@0xbd8ad:3292	ad873b07:256,0bd7ffc7:256,11d7f7ca:256,8bd79fca:256,0bd71f58:256,1c97b709:91
300	0xb6c36	3190	238	238	+0x4:3190	+0x4	100.0	VVVV	VV	3.964	258@0xadf2c:517,220@0xa522e:355,183@0x9d495:268,337@0xbec0e:262,333@0xbd8af:262,185@0x9d964:260	tail@0xb708a:3190	2c856042:256,270979bc:256,2002dbc2:256,df540fa8:256,3439d068:256,1213f5a4:256
260	0xae90b	2645	228	228	+0x4:2645	+0x4	100.0	VVVV	VV	4.157	180@0x9cf32:356,189@0x9e7af:271,340@0xbf435:257,183@0x9d495:247,91@0x8b6de:204,64@0x85059:186	tail@0xaeda0:2645	380e3811:256,60039000:256,950f3d31:150,3d0cdf01:116,9d0fbf01:92,9d0f3951:91
269	0xb045b	2612	415	415	+0x5:2612	+0x5	100.0	CCCVV	CV	2.873	108@0x8f24b:571,352@0xc1ec4:384,256@0xad849:368,160@0x994cf:364,173@0x9ba74:364,257@0xadbfd:274	tail@0xb092e:2612	003d01f3be:256,003d01f7c1:189,003d01f7b4:93,003d01519a:92,003d01564f:92,003d012fb1:91
30	0x7e849	2590	244	244	+0x4:2590	+0x4	100.0	VVVV	VV	3.930	183@0x9d495:397,203@0xa1484:350,91@0x8b6de:266,192@0x9f00a:256,337@0xbec0e:187,185@0x9d964:185	tail@0x7ecd0:2590	b664cf57:256,dc96e301:256,3db67802:125,3b5e1401:91,649aac44:91,ef6f9f09:91
171	0x9b4b3	2533	185	185	+0x2:2533	+0x2	100.0	VE	V	4.093	196@0x9fbcd:352,337@0xbec0e:328,322@0xbb3c9:256,333@0xbd8af:191,43@0x8173d:186,66@0x855ff:152	tail@0x9b687:2533	c400:352,5101:328,4201:256,4d01:191,2b00:186,4200:152
239	0xa991e	2519	323	323	+0x6:2519	+0x6	100.0	VVVVVV	VVV	4.557	297@0xb64d7:255,28@0x7e390:228,320@0xbada5:208,37@0x80685:177,157@0x98a9a:154,340@0xbf435:138	tail@0xa9cf4:2519	9429c00926ab:125,2a09c139d2a1:125,90029130a6aa:91,d82ac0098ea1:91,fe6b512196a5:91,e46180219eaa:91
167	0x9a8d2	2509	174	174	+0x6:2509	+0x6	100.0	CCCCVV	CCV	1.471	351@0xc1d48:1262,283@0xb3612:790,295@0xb60e0:457	tail@0x9aa81:2509	e8013d01d033:256,e8013d01f52f:183,e8013d01c52d:104,e8013d01fd2b:101,e8013d01ff00:92,e8013d01dd2d:92
83	0x8947b	2508	432	432	+0x5:2508	+0x5	100.0	VVCCC	VC	2.897	173@0x9ba74:548,108@0x8f24b:441,160@0x994cf:336,257@0xadbfd:286,352@0xc1ec4:284,144@0x95887:271	tail@0x89839:2508	a819003d01:125,bc19003d01:93,9491003d01:92,1092003d01:92,2b9b003d01:91,5d9d003d01:91
350	0xc1926	2414	231	231	+0x4:2414	+0x4	100.0	VVVV	VV	4.204	183@0x9d495:318,258@0xadf2c:257,281@0xb2db6:257,91@0x8b6de:203,114@0x90319:158,180@0x9cf32:147	tail@0xc1d46:2414	6aa6b734:256,12c1d734:256,4688a638:125,ba4f273f:92,0693863e:91,49824c35:91
192	0x9f00a	2339	231	231	+0x5:2339	+0x5	100.0	VVCCV	VC	2.809	198@0xa037e:509,257@0xadbfd:419,108@0x8f24b:383,256@0xad849:324,144@0x95887:319,173@0x9ba74:181	tail@0x9f779:2339	0ad73d0100:256,4ea33d0100:256,34aa3d0100:125,96d13d0100:125,2fdb3d0100:91,a1923d01df:91
183	0x9d495	2326	379	379	+0x4:2326	+0x4	100.0	CCVV	CV	4.408	114@0x90319:323,297@0xb64d7:232,215@0xa4609:140,333@0xbd8af:137,337@0xbec0e:136,18@0x7be9b:123	tail@0x9d692:2326	e8013e84:129,e801002a:125,e801074a:125,e801a8c1:92,e801ce7c:92,e801c688:92
91	0x8b6de	2251	363	363	+0x4:2251	+0x4	100.0	VVCC	VC	4.437	340@0xbf435:205,258@0xadf2c:201,337@0xbec0e:180,220@0xa522e:171,199@0xa0631:144,347@0xc088d:138	tail@0x8b8c9:2251	c15be801:125,4008e801:93,3c20e801:92,d000e801:91,f4a8e801:91,786ae801:91
154	0x97ce6	2209	252	252	+0x4:2209	+0x4	100.0	VVVV	VV	4.245	91@0x8b6de:389,180@0x9cf32:275,196@0x9fbcd:157,185@0x9d964:156,105@0x8e6b4:134,189@0x9e7af:104	tail@0x980a9:2209	b96a8f7b:125,f03af048:125,08487055:91,b3e8f3b1:91,1536b300:91,c7adc7b8:91
121	0x91379	2198	215	215	+0x4:2198	+0x4	100.0	VVVV	VV	4.160	307@0xb8064:350,180@0x9cf32:244,114@0x90319:190,91@0x8b6de:171,196@0x9fbcd:117,66@0x855ff:117	tail@0x9170b:2198	7b93372f:256,418fe003:92,b74d12af:92,6fd410fb:91,b61d9a4b:91,e0e7077d:91
140	0x94e5a	2190	248	248	+0x6:2190	+0x6	100.0	VVVVVV	VVV	4.486	64@0x85059:260,189@0x9e7af:224,185@0x9d964:208,347@0xc088d:189,37@0x80685:132,17@0x7bae9:125	tail@0x951c0:2190	ce952b9ef379:150,10b7ad40ef5c:125,c19355aac13b:125,3e1807977d16:91,62f5ed6de1a2:91,07ccb8526878:91
273	0xb11ca	2115	218	218	+0x4:2115	+0x4	100.0	VVVV	VV	4.261	183@0x9d495:269,199@0xa0631:258,180@0x9cf32:171,196@0x9fbcd:159,347@0xc088d:155,258@0xadf2c:123	tail@0xb1545:2115	abcace32:256,eaa985db:92,f8eaad83:92,e6e49a82:91,0a8a0a02:91,90effca9:91
320	0xbada5	2080	232	232	+0x5:2080	+0x5	100.0	VCCVV	VV	2.929	173@0x9ba74:379,198@0xa037e:371,256@0xad849:314,160@0x994cf:243,257@0xadbfd:234,352@0xc1ec4:226	tail@0xbb1db:2080	003d01d40c:125,003d016cb0:91,003d014ccc:91,003d01ac4c:91,c33d01bb31:91,003d015bc7:91
37	0x80685	2035	221	221	+0x5:2035	+0x5	100.0	VVVCC	VV	2.771	160@0x994cf:437,257@0xadbfd:427,256@0xad849:373,144@0x95887:276,352@0xc1ec4:163,108@0x8f24b:159	tail@0x80d77:2035	743e003d01:256,c15c693d01:256,d860003d01:125,7315003d01:92,994f003d01:92,3636003d01:91
254	0xad32c	1988	242	242	+0x4:1988	+0x4	100.0	VVVV	VV	3.929	180@0x9cf32:282,66@0x855ff:270,183@0x9d495:207,28@0x7e390:197,91@0x8b6de:184,297@0xb64d7:160	tail@0xad766:1988	749cb243:256,5c478242:125,80015a47:92,e4907a44:91,e3fee246:91,9a2ca243:91
253	0xacfb1	1984	332	332	+0x6:1984	+0x6	100.0	VVVVVV	VVV	4.436	297@0xb64d7:269,199@0xa0631:208,337@0xbec0e:194,28@0x7e390:173,17@0x7bae9:151,340@0xbf435:125	tail@0xad329:1984	46c134a10408:256,86b88ac6a9c6:150,36bef88e1eb5:92,36be8557860d:91,deb890f2c34d:91,86c2739d775a:91
345	0xc02e4	1883	305	305	+0x6:1883	+0x6	100.0	VVVVVV	VVV	4.347	52@0x833c7:345,196@0x9fbcd:333,172@0x9b68a:109,189@0x9e7af:104,37@0x80685:98,192@0x9f00a:86	tail@0xc0532:1883	693f111cc434:256,f99a1dd68333:125,a99295e9f443:92,a802eed25516:91,8d36c8ec00fe:91,2960cfa1fa7f:91
354	0xc2241	1872	178	178	+0x2:1872	+0x2	100.0	VE	V	3.872	185@0x9d964:251,268@0xb0007:225,168@0x9aa83:197,340@0xbf435:195,157@0x98a9a:190,189@0x9e7af:188	tail@0xc240d:1872	b900:251,0c01:225,a800:197,5401:195,9d00:190,bd00:188
319	0xba72f	1850	225	225	+0x5:1850	+0x5	100.0	CCVVV	CV	2.742	173@0x9ba74:559,257@0xadbfd:324,144@0x95887:250,108@0x8f24b:207,198@0xa037e:186,160@0x994cf:161	tail@0xbada2:1850	3d01862e00:260,3d01e6c300:256,3d01e62b00:167,3d01ab2c00:152,3d01ee2900:102,3d01e66b71:91
180	0x9cf32	1848	382	382	+0x4:1848	+0x4	100.0	VVCC	VC	4.169	168@0x9aa83:355,79@0x885b0:232,337@0xbec0e:148,269@0xb045b:134,157@0x98a9a:129,297@0xb64d7:117	tail@0x9d13d:1848	3b0be801:355,7308e801:232,8310e801:148,630ee801:134,e30ae801:129,430fe801:117
322	0xbb3c9	1847	213	213	+0x4:1847	+0x4	100.0	VVVV	VV	3.819	91@0x8b6de:280,347@0xc088d:276,157@0x98a9a:257,183@0x9d495:172,337@0xbec0e:134,64@0x85059:98	tail@0xbb6e3:1847	13005796:256,77beac94:92,e83bb144:91,4e13944a:91,0981d493:91,1c9e2f37:91
351	0xc1d48	1844	114	114	+0x5:1844	+0x5	100.0	CCVVC	CV	4.039	297@0xb64d7:256,258@0xadf2c:188,189@0x9e7af:185,172@0x9b68a:182,28@0x7e390:102,254@0xad32c:98	tail@0xc1ec2:1844	e8011b2210:256,e801783d10:92,e801f0b110:91,e801296e10:91,e801203d10:91,e801d83910:91
165	0x9a24c	1825	159	159	+0x2:1825	+0x2	100.0	VE	V	3.577	114@0x90319:356,333@0xbd8af:215,340@0xbf435:198,268@0xb0007:188,203@0xa1484:186,18@0x7be9b:159	tail@0x9a46b:1825	7200:356,4d01:215,5401:198,0c01:188,cb00:186,1200:159
124	0x91e81	1796	306	306	+0x6:1796	+0x6	100.0	VVVVVV	VVV	4.303	320@0xbada5:235,192@0x9f00a:199,43@0x8173d:191,37@0x80685:147,333@0xbd8af:139,307@0xb8064:123	tail@0x922c1:1796	29eef01bcdcb:125,c10600b5d7c6:91,7910008327cb:91,2a90111cafc0:91,f97f00ac25c8:91,bb69f0d0a7cb:91
169	0x9af18	1796	71	71	+0x4:1796	+0x4	100.0	EECC	EC	1.531	171@0x9b4b3:756,354@0xc2241:658,165@0x9a24c:382	tail@0x9b0c5:1796	ab00e801:756,6201e801:658,a500e801:382
338	0xbf128	1753	178	178	+0x6:1753	+0x6	100.0	VVCCCC	VCC	1.579	283@0xb3612:648,351@0xc1d48:582,295@0xb60e0:523	tail@0xbf2d3:1753	c4c73d01e801:182,a4d33d01e801:92,d4cf3d01e801:92,04cb3d01e801:91,9d863d01e801:91,02d53d01e801:91
70	0x8610e	1629	229	229	+0x5:1629	+0x5	100.0	VVVCC	VV	2.645	108@0x8f24b:577,198@0xa037e:236,144@0x95887:215,256@0xad849:181,160@0x994cf:165,352@0xc1ec4:138	tail@0x86763:1629	8bb7b93d01:256,da87bf3d01:125,8afe003d01:91,ec56513d01:91,1c8e003d01:91,2a76003d01:91
