source_entry	opcode_name	dispatch_slot_kind	variant_index	observed_expr_count	entry_events	unique_slot_exprs	target_coverage_pct	target_mismatched_events	target_binding_status	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	original_expr	variables	smt2	solver_output_excerpt
64	vmop_064_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	51	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	204	134	(((u16_0 + 0x2701cdcdu) - (((0x869eb21bu + state0) ^ (0xbf6ea75eu + flags0)) ^ ((flags0 + u16_2) + 0x4cd0c9aeu))) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 - 0x79614de5)) ^ (mask32(u16_2 + (mask32(flags0 + 0x4cd0c9ae)))))) ^ (mask32((mask32(flags0 + 0x4cd0c9ae)) + 0x729dddb0)))))) + 0x2701cdcd)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_064_01.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
65	vmop_065_plus0x4_state_simple_slot_mba_stateful	slot_mba_stateful	0	9	9	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	56	54	(((state0 ^ u16_0) - 0x5db84d25u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ state0)) - 0x5db84d25)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_065_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
66	vmop_066_plus0x3_state_add_const_slot_multi_path	slot_multi_path	0	99	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	224	163	((((0xc32e7eadu + (flags0 ^ 0x42a6ffd6u)) + u16_0) - ((((state0 & 0x2f6cb1f6u) - (b2 ^ (state0 & 0x2f6cb1f6u))) ^ 0x745ff1d2u) & 0x13de2cddu)) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & 0x2f6cb1f6)) - (mask32(b2 ^ (mask32(state0 & 0x2f6cb1f6)))))) ^ 0x745ff1d2)) & 0x13de2cdd)) - (mask32(flags0 ^ 0x42a6ffd6)))))) - 0x3cd18153)) & 0xffff	b2;flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_066_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
66	vmop_066_plus0x3_state_add_const_slot_multi_path	slot_multi_path	1	29	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	270	195	((((0xc32e7eadu + (((flags0 - 0x50170614u) | 0x7167293au) ^ 0x42a6ffd6u)) + u16_0) - ((((state0 & 0x2f6cb1f6u) - (b2 ^ (state0 & 0x2f6cb1f6u))) ^ 0x745ff1d2u) & 0x13de2cddu)) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & 0x2f6cb1f6)) - (mask32(b2 ^ (mask32(state0 & 0x2f6cb1f6)))))) ^ 0x745ff1d2)) & 0x13de2cdd)) - (mask32((mask32((mask32(flags0 - 0x50170614)) | 0x7167293a)) ^ 0x42a6ffd6)))))) - 0x3cd18153)) & 0xffff	b2;flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_066_01.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
70	vmop_070_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	826	308	(((0x37bbf653u + u16_0) - (((((((0xfb3ee75du + flags0) + state0) ^ state0) | 0x58fb4a0cu) ^ ((state0 - ((((0xfb3ee75du + flags0) + state0) ^ state0) | 0x58fb4a0cu)) ^ 0x62ac6845u)) | 0x528cef01u) ^ ((state0 - ((((0xfb3ee75du + flags0) + state0) ^ state0) | 0x58fb4a0cu)) ^ 0x62ac6845u))) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 ^ flags0)) ^ flags0)) - (mask32((mask32((mask32((mask32(flags0 + (mask32((mask32((mask32(state0 ^ flags0)) ^ flags0)) + 0x55fafa0c)))) - 0x5abc12af)) ^ (mask32((mask32(state0 ^ flags0)) ^ flags0)))) | 0x58fb4a0c)))) ^ 0x62ac6845)) ^ (mask32((mask32((mask32((mask32((mask32((mask32(flags0 + (mask32((mask32((mask32(state0 ^ flags0)) ^ flags0)) + 0x55fafa0c)))) - 0x5abc12af)) ^ (mask32((mask32(state0 ^ flags0)) ^ flags0)))) | 0x58fb4a0c)) ^ (mask32((mask32((mask32((mask32(state0 ^ flags0)) ^ flags0)) - (mask32((mask32((mask32((mask32(flags0 + (mask32((mask32((mask32(state0 ^ flags0)) ^ flags0)) + 0x55fafa0c)))) - 0x5abc12af)) ^ (mask32((mask32(state0 ^ flags0)) ^ flags0)))) | 0x58fb4a0c)))) ^ 0x62ac6845)))) | 0x528cef01)))))) + 0x37bbf653)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_070_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
74	vmop_074_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	25	25	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	163	124	(((u16_0 - 0x33d7fc12u) - (((0x619b65dcu + state0) - ((state0 - 0x7af5a4e2u) & flags0)) ^ 0x65dcaffcu)) & 0xffffu) & 0xffffu	(mask32(u16_0 - (mask32((mask32((mask32(state0 - (mask32((mask32(flags0 & (mask32(state0 - 0x7af5a4e2)))) - 0x619b65dc)))) ^ 0x65dcaffc)) + 0x33d7fc12)))) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_074_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
78	vmop_078_plus0xd_state_preserve_slot_multi_path	slot_multi_path	0	1	1	1	0.0	1	target_binding_not_validated	compiler_expression_recovered	proved_equivalent	293	166	(((((((((state0 - (flags0 ^ 0x6e42b8abu)) & 0xd4da920u) | (flags0 ^ 0x2e238e7eu)) - 0x6110d031u) ^ flags0) ^ 0x33b51ad5u) + 0x60a9dba6u) ^ u16_0) & 0xffffu) & 0xffffu	(mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x623ccce4)))) & 0xd4da920)) | (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x225dfa31)))) - 0x6110d031)) ^ 0x3fcb6e9a)) ^ (mask32(flags0 ^ 0xc7e744f)))) + 0x60a9dba6)))) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_078_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
79	vmop_079_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	293	166	(((((((((state0 - (flags0 ^ 0x6e42b8abu)) & 0xd4da920u) | (flags0 ^ 0x2e238e7eu)) - 0x6110d031u) ^ flags0) ^ 0x33b51ad5u) + 0x60a9dba6u) ^ u16_0) & 0xffffu) & 0xffffu	(mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x623ccce4)))) & 0xd4da920)) | (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x225dfa31)))) - 0x6110d031)) ^ 0x3fcb6e9a)) ^ (mask32(flags0 ^ 0xc7e744f)))) + 0x60a9dba6)))) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_079_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
82	vmop_082_plus0x3_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	75	65	(((0x5cc5e4d8u + (flags0 + state0)) + u16_0) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x5cc5e4d8)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_082_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
83	vmop_083_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	144	97	((((0x2c3e26b4u + ((state0 & 0x122d7f19u) | flags0)) + u16_0) ^ 0x4b7ebb84u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32(state0 & 0x122d7f19)) | flags0)) + 0x60e2eab8)) - 0x34a4c404)))) ^ 0x4b7ebb84)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_083_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
