source_entry	opcode_name	problem_kind	state_kind	variables	status	template	candidate_c	random_tests	validation	original_state_formula
154	vmop_154_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - u16_2 ^ state0 - flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb + flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb ^ 0x18426e67 - u16_0 - state0 - u16_2 ^ state0 - flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb + flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb ^ 0x18426e67 - 0x6535d747
157	vmop_157_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ 0x2f4dfd84 + u16_2 | 0x1f5cd114 - flags0 + 0x3f0d8c6a + 0x2832271c ^ 0x520e3305 & 0x7edaa354 ^ 0x68e1604d ^ 0x3d2638af & state0 ^ 0x2f4dfd84 + u16_2 ^ u16_0 + state0 ^ 0x2f4dfd84 + u16_2 | 0x1f5cd114 - flags0 + 0x3f0d8c6a + 0x2832271c ^ 0x520e3305 & 0x7edaa354 ^ 0x68e1604d ^ 0x3d2638af & state0 ^ 0x2f4dfd84 + u16_2 ^ 0x17d39c9f
158	vmop_158_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ 0x1fbfc3f3 ^ flags0 ^ 0x3c39b020 ^ 0x1f711c95 | 0xfb6049e ^ flags0 ^ 0x3c39b020 + u16_2 + state0 ^ 0x1fbfc3f3 ^ flags0 ^ 0x3c39b020 ^ 0x1f711c95 | 0xfb6049e ^ flags0 ^ 0x3c39b020 ^ 0x3ffdb46c
160	vmop_160_plus0x2_state_const_post_slot_multi_path	algebraic_mba	state_const_post	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | 0x67f1fed6 & 0x256c03d7 | 0x72df8f7a & 0x5a1beb81 | u16_0 ^ state0 | 0x67f1fed6 & 0x256c03d7 | 0x72df8f7a & 0x5a1beb81 - 0x4cf19f11
161	vmop_161_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0	candidate_simplified	or_mask	state0 | 0x69145e52u	4107	random_differential_against_compiled_original_not_formal_proof	state0 | 0x69145e52
167	vmop_167_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_4	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - u16_4 ^ state0 ^ 0x5f92615
168	vmop_168_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | 0x6899d5d4 & u16_0 + flags0 & 0x66031b5e - 0x2eab70d9 ^ 0x7c2abc25 & 0x46cbe42d & 0x69af076d | 0x4ee70776 & u16_2 + state0 | 0x6899d5d4 & u16_0 + flags0 & 0x66031b5e - 0x2eab70d9 ^ 0x7c2abc25 & 0x46cbe42d & 0x69af076d | 0x4ee70776 + 0x553030a2
172	vmop_172_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ 0x7070916c - 0x6ecee241 + u16_0 ^ state0 ^ 0x7070916c - 0x6ecee241 ^ flags0 ^ 0x15bf847f & state0 | 0x3eba9edf | u16_2 ^ 0x715f0a33
173	vmop_173_plus0x2_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + 0x5eced92d ^ 0x456d7018 | 0xebbbd20 & flags0 - state0 + 0x5eced92d | 0x1f8bac4c & 0x74128b65 & u16_0 ^ state0 + 0x5eced92d ^ 0x456d7018 | 0xebbbd20 & flags0 - state0 + 0x5eced92d | 0x1f8bac4c & 0x74128b65 + 0x1f118051
174	vmop_174_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 & flags0 ^ flags0 + flags0 ^ 0x5fa9d2b1 | u16_0 + state0 - flags0 & flags0 ^ flags0 + flags0 ^ 0x5fa9d2b1 + 0x397fd954
175	vmop_175_plus0x2cef7_central_or_long_slot_unknown	dispatch_unknown	central_or_long	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0 & 0x2c46ace3 | flags0 - 0x14b22a15
176	vmop_176_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0 & 0x2c46ace3 | flags0 - 0x14b22a15
179	vmop_179_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_1;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | flags0 ^ u16_3 ^ flags0 + 0x7ef33dc5 ^ u16_1 - state0 | flags0 ^ u16_3 ^ flags0 + 0x7ef33dc5 - 0x263c3887
180	vmop_180_plus0x4_state_mixed_slot_mba_stateful	algebraic_mba	state_mixed	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | u16_0 + 0x7920fa05
181	vmop_181_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_4	candidate_simplified	const_sub	0x0u - u16_4	4107	random_differential_against_compiled_original_not_formal_proof	state0 - u16_4 - state0
183	vmop_183_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + 0xfaa325c ^ 0x694e1f66 | u16_2 - state0 + 0xfaa325c ^ 0x694e1f66 - 0x1aed554c
184	vmop_184_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | flags0 | 0x19d0d4d + 0x3c030b15 ^ flags0 + 0x7db9efb0 ^ flags0 - flags0 ^ flags0 + u16_0 - state0 | flags0 | 0x19d0d4d + 0x3c030b15 ^ flags0 + 0x7db9efb0 ^ flags0 - flags0 ^ flags0 + 0x3f05b2f0
185	vmop_185_plus0x3_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ flags0 | 0x17e55682 ^ 0x2000c224 & 0x1f29f35 + flags0 | 0x17e55682 + 0x28030c24 ^ 0x30d03eec | 0x7fa981a ^ 0x5ea8d1c5 | u16_0 ^ state0 ^ flags0 | 0x17e55682 ^ 0x2000c224 & 0x1f29f35 + flags0 | 0x17e55682 + 0x28030c24 ^ 0x30d03eec | 0x7fa981a ^ 0x5ea8d1c5
186	vmop_186_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & u16_3 + state0 + 0x72198f10
187	vmop_187_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_3	candidate_simplified	identity	u16_3	4107	random_differential_against_compiled_original_not_formal_proof	state0 + u16_3 - state0
