loop	header_block	header_vm_ip	latch_block	latch_vm_ip	target_vm_ip	backedge_kind	latch_events	body_blocks	body_rows	body_events	terminal_source_entry	terminal_target_entry	delta	semantic_ir
42	365	0x341c79	366	0x3421fd	0x341c79	long_branch_backedge	2	2	364	927	308	354	-0x584	next = table[354], ip -= 0x584
43	368	0x342376	369	0x342644	0x342376	long_branch_backedge	2	2	184	386	117	165	-0x2ce	next = table[165], ip -= 0x2ce
44	377	0x3430d7	378	0x3433a5	0x3430d7	long_branch_backedge	2	2	184	386	302	171	-0x2ce	next = table[171], ip -= 0x2ce
45	386	0x360dfd	387	0x3613b3	0x360dfd	long_branch_backedge	2	2	377	966	308	171	-0x5b6	next = table[171], ip -= 0x5b6
46	470	0x36f820	471	0x36faee	0x36f820	long_branch_backedge	2	2	184	386	266	165	-0x2ce	next = table[165], ip -= 0x2ce
47	190	0x26cd71	191	0x26f077	0x26cd71	sampled_operand_backedge	1	2	1550	6197	195	86	-0x2306	sampled operand footprint 0x6; observed target table[86], delta -0x2306
48	195	0x292f3e	216	0x2c13cd	0x292f3e	long_branch_backedge	1	22	1537	1878	266	171	-0x2e48f	next = table[171], ip -= 0x2e48f
49	217	0x30e872	379	0x34355f	0x30e872	sampled_operand_backedge	1	163	27744	541190	311	42	-0x34ced	sampled operand footprint 0xa; observed target table[42], delta -0x34ced
50	235	0x31b54f	236	0x31ba35	0x31b54f	long_branch_backedge	1	2	322	511	308	354	-0x4e6	next = table[354], ip -= 0x4e6
51	244	0x31c239	246	0x31c79f	0x31c239	long_branch_backedge	1	3	355	577	266	165	-0x566	next = table[165], ip -= 0x566
52	305	0x3369fc	339	0x33e9e2	0x3369fc	sampled_operand_backedge	1	35	5929	16144	299	169	-0x7fe6	sampled operand footprint 0x6; observed target table[169], delta -0x7fe6
53	344	0x33f914	345	0x33fdfa	0x33f914	long_branch_backedge	1	2	322	511	308	171	-0x4e6	next = table[171], ip -= 0x4e6
54	392	0x362615	393	0x362b22	0x362615	long_branch_backedge	1	2	333	533	117	354	-0x50d	next = table[354], ip -= 0x50d
55	398	0x363d84	399	0x364264	0x363d84	long_branch_backedge	1	2	321	509	266	165	-0x4e0	next = table[165], ip -= 0x4e0
56	401	0x364c72	436	0x36a09c	0x364c72	sampled_operand_backedge	1	36	3307	8937	195	310	-0x542a	sampled operand footprint 0x6; observed target table[310], delta -0x542a
57	403	0x364e5f	462	0x36daed	0x364e5f	sampled_operand_backedge	1	60	5905	17246	195	310	-0x8c8e	sampled operand footprint 0x6; observed target table[310], delta -0x8c8e
58	405	0x36504c	498	0x371fd7	0x36504c	sampled_operand_backedge	1	94	9006	68567	299	310	-0xcf8b	sampled operand footprint 0x6; observed target table[310], delta -0xcf8b
