program	range	blocks	rows	primary_trace_rows	string_refs	exact_string_contexts	top_string_texts	top_string_opcodes	behavior_tags	confidence	evidence	external_edges	next_action
024	0x179f43..0x17a420	3	325	325	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
025	0x18b66f..0x18c467	7	929	929	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
026	0x1a480d..0x1a5f08	13	1496	1496	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
027	0x1a5f3d..0x1a6041	1	70	70	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
028	0x1ec0ab..0x1ed483	9	1317	1317	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
029	0x22fe2d..0x2304b8	6	436	73109	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
030	0x230722..0x231237	4	740	42753	0	0			vm_dispatch_math_only_so_far	none	no program-local string/data evidence yet	0	defer until control graph names this program or new data refs appear
031	0x2316bf..0x231b74	2	315	315	1	1	_ZGTtdlPv	vmop_199_plus0x3_state_add_const_slot_multi_path:1	cxx_runtime	low_to_medium	cxx_runtime:_z	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
032	0x249468..0x24bd2a	16	2708	5416	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	2	confirm tags by reducing nearby opcode windows and native/import bridge targets
033	0x26cd71..0x26cf3b	1	113	452	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
034	0x26db07..0x26f097	1	1437	5745	1	1	YYYYY	vmop_028_plus0x3_state_add_const_slot_u16_0:1	control_transfer_or_native_bridge_candidate	low_to_medium	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
035	0x292986..0x293689	13	834	1175	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
036	0x2bec2e..0x2bf068	3	272	272	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
037	0x2bf297..0x2bf50f	2	157	157	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
038	0x2bf97c..0x2bf9cc	1	14	14	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
039	0x2bfe6f..0x2c05b1	4	476	476	1	1	socket	vmop_172_plus0x4_state_add_const_slot_mba_stateful:1	networking	low_to_medium	networking:socket	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
040	0x2c1156..0x2c13ed	2	165	165	1	1	basic_string::append	vmop_140_plus0x6_state_add_const_slot_multi_path:1	cxx_runtime	low_to_medium	cxx_runtime:basic_string	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
