section	offset	end	size	realsz	name	safe_name	kind	nbbs	ninstrs	edges	indegree	outdegree	nlocals	nargs	stackframe	noreturn	signature
.text	0x504a30	0x504abe	142	142	method.std::basic_ifstream_char__std::char_traits_char___.virtual_0	native_stub_00504a30_method_std_basic_ifstream_char_std_char_traits_char_virtual_0	native_discovered	1	30	1	0	3	0	1	8	0	method.std::basic_ifstream_char__std::char_traits_char___.virtual_0 (int64_t arg1);
.text	0x504b50	0x504bd6	134	134	method.std::basic_ofstream_char__std::char_traits_char___.virtual_0	native_stub_00504b50_method_std_basic_ofstream_char_std_char_traits_char_virtual_0	native_discovered	1	29	1	0	3	0	1	8	0	method.std::basic_ofstream_char__std::char_traits_char___.virtual_0 (int64_t arg1);
.text	0x504c60	0x504cee	142	142	method.std::basic_ofstream_char__std::char_traits_char___.virtual_8	native_stub_00504c60_method_std_basic_ofstream_char_std_char_traits_char_virtual_8	native_discovered	1	31	0	0	4	0	1	8	0	method.std::basic_ofstream_char__std::char_traits_char___.virtual_8 (int64_t arg1);
.text	0x504d80	0x504e16	150	150	method.std::basic_ifstream_char__std::char_traits_char___.virtual_8	native_stub_00504d80_method_std_basic_ifstream_char_std_char_traits_char_virtual_8	native_discovered	1	32	0	0	4	0	1	8	0	method.std::basic_ifstream_char__std::char_traits_char___.virtual_8 (int64_t arg1);
.text	0x504eb0	0x504ef0	64	64	method.std::basic_filebuf_char__std::char_traits_char___.virtual_8	native_stub_00504eb0_method_std_basic_filebuf_char_std_char_traits_char_virtual_8	native_discovered	1	16	0	0	3	0	1	8	0	method.std::basic_filebuf_char__std::char_traits_char___.virtual_8 (int64_t arg1);
.text	0x5050b0	0x505130	128	128	fcn.005050b0	native_stub_005050b0_fcn_005050b0	r2_discovered	1	27	0	1	1	0	1	8	0	fcn.005050b0 (int64_t arg1);
.text	0x505130	0x50520e	222	222	fcn.00505130	native_stub_00505130_fcn_00505130	r2_discovered	7	54	9	25	5	1	1	40	0	fcn.00505130 (int64_t arg1);
.text	0x505260	0x505298	56	56	fcn.00505260	native_stub_00505260_fcn_00505260	r2_discovered	1	14	0	26	2	0	1	8	0	fcn.00505260 (int64_t arg1);
.text	0x505870	0x505a3a	458	458	fcn.00505870	native_stub_00505870_fcn_00505870	r2_discovered	1	77	0	3	2	0	2	24	0	fcn.00505870 (int64_t arg1, int64_t arg2);
.text	0x505ca0	0x505da6	262	262	fcn.00505ca0	native_stub_00505ca0_fcn_00505ca0	r2_discovered	10	66	13	29	7	1	3	56	0	fcn.00505ca0 (int64_t arg1, int64_t arg2, int64_t arg3);
.text	0x506f00	0x506f8e	142	142	method.std::basic_ofstream_wchar_t__std::char_traits_wchar_t___.virtual_8	native_stub_00506f00_method_std_basic_ofstream_wchar_t_std_char_traits_wchar_t_virtual_8	native_discovered	1	31	0	0	4	0	1	8	0	method.std::basic_ofstream_wchar_t__std::char_traits_wchar_t___.virtual_8 (int64_t arg1);
.text	0x507020	0x5070ae	142	142	method.std::basic_ifstream_wchar_t__std::char_traits_wchar_t___.virtual_0	native_stub_00507020_method_std_basic_ifstream_wchar_t_std_char_traits_wchar_t_virtual_0	native_discovered	1	30	1	0	3	0	1	8	0	method.std::basic_ifstream_wchar_t__std::char_traits_wchar_t___.virtual_0 (int64_t arg1);
