section	start	stop	bytes	symbol	normalized_symbol	categories	classification_confidence	classification_reason	provenance
.plt	0x1ffd0	0x1ffe0	16	_Unwind_DeleteException@plt	_Unwind_DeleteException	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x1ffe0	0x1fff0	16	pthread_cond_timedwait@plt	pthread_cond_timedwait	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x1fff0	0x20000	16	__wctype_l@plt	__wctype_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20000	0x20010	16	__memcpy_chk@plt	__memcpy_chk	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20010	0x20020	16	gmtime@plt	gmtime	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20020	0x20030	16	__cxa_atexit@plt	__cxa_atexit	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20030	0x20040	16	ZydisCalcAbsoluteAddress@plt	ZydisCalcAbsoluteAddress	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x20040	0x20050	16	__cxa_current_exception_type@plt	__cxa_current_exception_type	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20050	0x20060	16	blake3_compress_xof_avx512@plt	blake3_compress_xof_avx512	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x20060	0x20070	16	setsockopt@plt	setsockopt	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x20070	0x20080	16	sysconf@plt	sysconf	host_environment_inventory	high	host/process environment import	native_linkage_stub_inventory
.plt	0x20080	0x20090	16	getpid@plt	getpid	host_environment_inventory	high	host/process environment import	native_linkage_stub_inventory
.plt	0x20090	0x200a0	16	pthread_mutex_init@plt	pthread_mutex_init	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x200a0	0x200b0	16	fgets@plt	fgets	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x200b0	0x200c0	16	__towupper_l@plt	__towupper_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x200c0	0x200d0	16	__cxa_call_unexpected@plt	__cxa_call_unexpected	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x200d0	0x200e0	16	__wcsxfrm_l@plt	__wcsxfrm_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x200e0	0x200f0	16	__fxstat64@plt	__fxstat64	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
