source_entry	opcode_name	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	smt2	solver_output_excerpt
258	vmop_258_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	266	179	((((((u16_0 - state0) & 0x1769756eu) ^ (0xfbf8fe86u + flags0)) ^ 0xa1b079au) | ((0xfbf8fe86u + flags0) ^ state0)) | (((u16_2 - 0x1510614fu) - flags0) ^ 0x1d7272f4u)) | 0x45609bd8u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_258.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
259	vmop_259_plus0xa_state_formula_slot_unknown	compiler_expression_recovered	proved_equivalent	678	205	(((((((0x71457984u + flags0) ^ 0xa5101765u) | (u16_0 | state0)) | (flags0 ^ 0x9715c8du)) | (flags0 ^ 0x8a70cd93u)) | ((u32_2 - state0) & 0xac614be8u)) | ((flags0 - 0x539eb418u) ^ 0x9715c8du)) | 0x8301911eu	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_259.smt2	"unsat\n(error ""line 10 column 10: model is not available"")"
260	vmop_260_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	1676	231	((((((0x5a98810u + flags0) & 0x624bad50u) ^ 0x470c080du) | ((flags0 - 0x7eae8e8fu) | (0x5a98810u + flags0))) | ((0x5a98810u + flags0) & 0x5af0e1dbu)) | (((0x5a98810u + flags0) & 0x2efb7283u) ^ (state0 + 0x581f6275u))) | 0x3f274edfu	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_260.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
261	vmop_261_plus0x6_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	27	30	(state0 + u16_2) + 0x4c539d29u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_261.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
264	vmop_264_plus0xa_state_formula_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	36	41	((0x9045cc9eu + u16_8) + state0) & state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_264.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
266	vmop_266_minus0x2e8_sampled_backedge_slot_unknown	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_266.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
267	vmop_267_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	384	143	((((((0x2bce070cu + u16_0) + state0) & 0x22c7ea36u) | flags0) | (state0 & 0x22c7ea36u)) | ((flags0 & 0x99af118au) ^ 0x10c4506bu)) | 0xbd6dccf3u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_267.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
268	vmop_268_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	410	216	(((((u16_0 + 0x71bd1bb1u) - state0) | ((0x33c0c75bu + flags0) & 0x81482e01u)) | state0) | (((0x71bd1bb1u - flags0) & (0x33c0c75bu + flags0)) & 0xef0600u)) | ((u16_2 - state0) ^ ((0x33c0c75bu + flags0) & 0x41582100u))	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_268.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
269	vmop_269_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	195	177	((((0x4f60a287u + u16_3) + state0) ^ ((flags0 & state0) & 0x6f7fff69u)) ^ (flags0 & state0)) | ((((flags0 & state0) & 0x6f7fff69u) ^ state0) | ((flags0 & state0) ^ 0x545b4609u))	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_269.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
273	vmop_273_plus0x4_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	260	199	(((((0x4b959cd0u + u16_0) + state0) & ((0x549dfe3eu + u16_2) - state0)) & 0x908616eu) ^ (0xd1f419a0u + flags0)) | ((((state0 + 0x4b959cd0u) & ((0x549dfe3eu + u16_2) - state0)) & 0x908616eu) ^ flags0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_273.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
276	vmop_276_plus0xa_state_formula_slot_unknown	compiler_expression_recovered	proved_equivalent	182	180	((((u16_0 + state0) & 0x7246aa41u) ^ (0xfccd5e96u + (flags0 - u32_2))) ^ flags0) | ((((state0 & 0x7246aa41u) ^ flags0) | ((flags0 - u32_2) - 0x6729e4ebu)) | (0x47166ef1u - flags0))	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_276.smt2	"unsat\n(error ""line 10 column 10: model is not available"")"
278	vmop_278_plus0xa_state_preserve_slot_multi_path	compiler_expression_recovered	proved_equivalent	54	63	((u16_2 - state0) | (state0 | flags0)) | (flags0 + 0x68baea26u)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_278.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
281	vmop_281_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	298	239	((((0xce9bd574u + (state0 + u16_2)) & flags0) ^ 0x5b9839d1u) | (((0xce9bd574u + state0) ^ 0x5b9839d1u) | ((0xe13dc7afu - flags0) ^ 0x12a6b5dfu))) | ((((u16_0 + 0x6445395fu) ^ (0xce9bd574u + state0)) ^ (0xe13dc7afu - flags0)) ^ 0x5b9839d1u)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_281.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
282	vmop_282_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	67	46	((flags0 - 0x54c8658au) & 0x48f2009u) ^ state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_282.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
283	vmop_283_plus0x5_state_preserve_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_283.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
