observation	delta	shape	constant_bytes	skeleton_hash	events	entries	top_entries	top_targets	top_ops	skeleton
exact	+0x4	VVCC	b2=0xe8,b3=0x01	00ffdd1cc51dff57	12094	1	184@0x9d694:12094	340@0xbf435:1208,28@0x7e390:1166,337@0xbec0e:993,66@0x855ff:931,18@0x7be9b:885,114@0x90319:813	WF+0x170/4:7,RF+0x23/4:6,RF+0x81/8:3,RF+0x194/1:2,RF+0xa/8:2,RF+0x170/4:2	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r13
exact	+0x4	VVVV	-	43946aa3cde350f8	12038	1	268@0xb0007:12038	243@0xaab6a:816,28@0x7e390:796,64@0x85059:710,185@0x9d964:693,215@0xa4609:585,305@0xb78b0:479	RF+0x170/4:6,RF+0x23/4:6,WF+0x170/4:5,WF+0x23/4:5,RF+0x81/8:5,RF+0x0/8:3	RF+0xa/8:mov;IPADV+0x2;RF+0x10f/8:mov;RIP+0x2/2:movzx;RF+0x170/4:sub;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r15;RF+0x170/4:mov
exact	+0x4	VVCC	b2=0xe8,b3=0x01	11226ded3d309dd4	11742	1	174@0x9bd8f:11742	28@0x7e390:1083,258@0xadf2c:1081,114@0x90319:941,347@0xc088d:812,337@0xbec0e:757,185@0x9d964:748	WF+0x170/4:6,RF+0x81/8:5,RF+0x23/4:4,RF+0x170/4:3,RF+0x0/8:3,RF+0x194/1:3	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r15
exact	+0x4	VVCC	b2=0xe8,b3=0x01	797757e4ba7acd88	10874	1	305@0xb78b0:10874	307@0xb8064:1290,189@0x9e7af:771,297@0xb64d7:684,28@0x7e390:581,338@0xbf128:576,199@0xa0631:546	RF+0x81/8:5,RF+0x170/4:4,WF+0x23/4:3,RF+0x194/1:2,RF+0xa/8:2,RF+0x0/8:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax
exact	+0x4	VVCC	b2=0xe8,b3=0x01	ecb6484efb0cdc85	10598	1	123@0x91a59:10598	337@0xbec0e:1011,114@0x90319:972,66@0x855ff:944,347@0xc088d:901,64@0x85059:880,18@0x7be9b:646	RF+0x81/8:6,WF+0x23/4:4,RF+0x23/4:3,RF+0x0/8:3,RF+0x170/4:3,RF+0xa/8:2	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx
exact	+0x4	CCVV	b0=0xe8,b1=0x01	868a7a966976575d	10138	1	176@0x9c10b:10138	307@0xb8064:959,28@0x7e390:933,189@0x9e7af:821,340@0xbf435:797,18@0x7be9b:752,337@0xbec0e:714	RF+0x71/8:4,RF+0x23/4:3,WF+0x170/4:3,RF+0x170/4:2,RF+0x0/8:2,RF+0x194/1:2	RF+0xa/8:mov;IPADV+0x2;RF+0x10f/8:mov;RIP+0x2/2:movzx;RF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r13
exact	+0x4	CCVV	b0=0xe8,b1=0x01	2c680d76fd4ba859	9921	1	315@0xb9451:9921	28@0x7e390:1006,337@0xbec0e:731,307@0xb8064:617,215@0xa4609:544,64@0x85059:543,157@0x98a9a:512	WF+0x170/4:5,RF+0x23/4:3,RF+0x81/8:3,RF+0x71/8:2,RF+0x194/1:2,RF+0xa/8:2	RF+0xa/8:mov;IPADV+0x2;RIP+0x2/2:movzx;RF+0x10f/8:mov;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12
exact	+0x4	VVCC	b2=0xe8,b3=0x01	4891ede5048eedad	9886	1	26@0x7dbbb:9886	157@0x98a9a:959,66@0x855ff:687,114@0x90319:655,28@0x7e390:652,258@0xadf2c:567,185@0x9d964:518	WF+0x23/4:13,RF+0x170/4:7,RF+0x23/4:6,WF+0x170/4:3,RF+0x0/8:3,RF+0x71/8:2	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdi
exact	+0x4	VVVV	-	d9f70260d5ea45ec	9820	1	203@0xa1484:9820	258@0xadf2c:699,297@0xb64d7:584,64@0x85059:479,315@0xb9451:473,189@0x9e7af:461,66@0x855ff:445	RF+0x23/4:9,WF+0x170/4:8,RF+0x170/4:5,WF+0x23/4:3,RF+0x81/8:3,RF+0x0/8:3	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12
exact	+0x4	VVCC	b2=0xe8,b3=0x01	4492759d9a2080e9	9723	1	287@0xb45d2:9723	28@0x7e390:769,297@0xb64d7:686,199@0xa0631:651,189@0x9e7af:621,196@0x9fbcd:582,258@0xadf2c:541	RF+0x81/8:6,WF+0x170/4:5,RF+0x23/4:4,WF+0x23/4:4,RF+0x194/1:2,RF+0x170/4:2	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdi
