kind	source_entry	source_target	target_entry	target	delta	events	unique_start_ips	unique_end_ips	source_blocks	target_blocks	source_sites	target_sites	missing_start_ips	missing_end_ips	byte_statuses	operand_min_len	operand_shape	lifted_ir
long_branch_backedge	302	0xb7586	171	0x9b4b3	-0x2ce	5	2	2	32@0x33f278-0x345572:1,33@0x3603af-0x3655ea:1	32@0x33f278-0x345572:1,33@0x3603af-0x3655ea:1	32@0x33f278-0x345572+0x412d:1,33@0x3603af-0x3655ea+0x2bba:1	32@0x33f278-0x345572+0x3e5f:1,33@0x3603af-0x3655ea+0x28ec:1	0	0	backedge_sample:5	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x2ce
long_branch_backedge	308	0xb837c	354	0xc2241	-0x2ce	5	2	2	28@0x334a3d-0x337115:1,34@0x3674c3-0x36a0bc:1	28@0x334a3d-0x337115:1,34@0x3674c3-0x36a0bc:1	28@0x334a3d-0x337115+0xe16:1,34@0x3674c3-0x36a0bc+0xe12:1	28@0x334a3d-0x337115+0xb48:1,34@0x3674c3-0x36a0bc+0xb44:1	0	0	backedge_sample:5	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x2ce
long_branch_backedge	117	0x90acd	354	0xc2241	-0x767	4	1	1	30@0x33b647-0x33d2df:1	30@0x33b647-0x33d2df:1	30@0x33b647-0x33d2df+0xf69:1	30@0x33b647-0x33d2df+0x802:1	0	0	backedge_sample:4	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x767
long_branch_backedge	266	0xaf8af	165	0x9a24c	-0x55d	4	1	1	32@0x33f278-0x345572:1	32@0x33f278-0x345572:1	32@0x33f278-0x345572+0x2434:1	32@0x33f278-0x345572+0x1ed7:1	0	0	backedge_sample:4	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x55d
long_branch_backedge	266	0xaf8af	354	0xc2241	-0x78e	4	1	1	29@0x337e84-0x33a6d2:1	29@0x337e84-0x33a6d2:1	29@0x337e84-0x33a6d2+0xf8c:1	29@0x337e84-0x33a6d2+0x7fe:1	0	0	backedge_sample:4	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x78e
long_branch_backedge	302	0xb7586	354	0xc2241	-0x24c	4	1	1	0@0xd0ac0-0xd144b:1	0@0xd0ac0-0xd144b:1	0@0xd0ac0-0xd144b+0x3eb:1	0@0xd0ac0-0xd144b+0x19f:1	0	0	backedge_sample:4	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x24c
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x55d	4	1	1	32@0x33f278-0x345572:1	32@0x33f278-0x345572:1	32@0x33f278-0x345572+0x3ce6:1	32@0x33f278-0x345572+0x3789:1	0	0	backedge_sample:4	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x55d
long_branch_forward	145	0x95b5c	165	0x9a24c	+0xbec	4	1	1	18@0x26cd71-0x26cf3b:1	19@0x26db07-0x26f097:1	18@0x26cd71-0x26cf3b+0x1aa:1	19@0x26db07-0x26f097+0x0:1	0	0	prefix_32_of_3052:4	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip += 0xbec
long_branch_backedge	117	0x90acd	171	0x9b4b3	-0x2ce	3	1	1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7+0x21bf:1	26@0x31aa27-0x31f2b7+0x1ef1:1	0	0	backedge_sample:3	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x2ce
long_branch_backedge	117	0x90acd	165	0x9a24c	-0xbc0	3	1	1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc+0x265d:1	34@0x3674c3-0x36a0bc+0x1a9d:1	0	0	backedge_sample:3	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0xbc0
long_branch_backedge	117	0x90acd	354	0xc2241	-0xbc0	3	1	1	35@0x36b124-0x36db0d:1	35@0x36b124-0x36db0d:1	35@0x36b124-0x36db0d+0x244d:1	35@0x36b124-0x36db0d+0x188d:1	0	0	backedge_sample:3	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0xbc0
long_branch_backedge	266	0xaf8af	354	0xc2241	-0x557	3	1	1	25@0x30e872-0x316692:1	25@0x30e872-0x316692:1	25@0x30e872-0x316692+0xdd3:1	25@0x30e872-0x316692+0x87c:1	0	0	backedge_sample:3	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x557
long_branch_backedge	266	0xaf8af	171	0x9b4b3	-0x55d	3	1	1	28@0x334a3d-0x337115:1	28@0x334a3d-0x337115:1	28@0x334a3d-0x337115+0x9cf:1	28@0x334a3d-0x337115+0x472:1	0	0	backedge_sample:3	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x55d
long_branch_backedge	302	0xb7586	165	0x9a24c	-0x2ce	3	1	1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7+0x1455:1	26@0x31aa27-0x31f2b7+0x1187:1	0	0	backedge_sample:3	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x2ce
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x2ce	3	1	1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea+0x144b:1	33@0x3603af-0x3655ea+0x117d:1	0	0	backedge_sample:3	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x2ce
long_branch_forward	145	0x95b5c	354	0xc2241	+0x60	3	1	1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc+0x25b0:1	34@0x3674c3-0x36a0bc+0x2610:1	0	0	prefix_32_of_96:3	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x60
long_branch_forward	210	0xa2da3	171	0x9b4b3	+0x30	3	3	3	32@0x33f278-0x345572:2,27@0x33170b-0x333bcf:1	32@0x33f278-0x345572:2,27@0x33170b-0x333bcf:1	27@0x33170b-0x333bcf+0x23a:1,32@0x33f278-0x345572+0xf1b:1,32@0x33f278-0x345572+0x3555:1	27@0x33170b-0x333bcf+0x26a:1,32@0x33f278-0x345572+0xf4b:1,32@0x33f278-0x345572+0x3585:1	0	0	prefix_32_of_48:3	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[171], ip += 0x30
long_branch_forward	210	0xa2da3	354	0xc2241	+0x60	3	1	1	35@0x36b124-0x36db0d:1	35@0x36b124-0x36db0d:1	35@0x36b124-0x36db0d+0x23a0:1	35@0x36b124-0x36db0d+0x2400:1	0	0	prefix_32_of_96:3	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x60
long_branch_forward	246	0xab427	165	0x9a24c	+0x792	3	1	1	31@0x33db28-0x33ea02:1	31@0x33db28-0x33ea02:1	31@0x33db28-0x33ea02+0x624:1	31@0x33db28-0x33ea02+0xdb6:1	0	0	prefix_32_of_1938:3	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip += 0x792
long_branch_backedge	117	0x90acd	165	0x9a24c	-0x2ce	2	1	1	32@0x33f278-0x345572:1	32@0x33f278-0x345572:1	32@0x33f278-0x345572+0x33cc:1	32@0x33f278-0x345572+0x30fe:1	0	0	backedge_sample:2	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x2ce
long_branch_backedge	266	0xaf8af	165	0x9a24c	-0x2ce	2	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0xe12:1	36@0x36ecdc-0x371ff7+0xb44:1	0	0	backedge_sample:2	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x2ce
long_branch_backedge	266	0xaf8af	354	0xc2241	-0x2ce	2	1	1	32@0x33f278-0x345572:1	32@0x33f278-0x345572:1	32@0x33f278-0x345572+0x1b1a:1	32@0x33f278-0x345572+0x184c:1	0	0	backedge_sample:2	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x2ce
long_branch_backedge	308	0xb837c	354	0xc2241	-0x584	2	1	1	32@0x33f278-0x345572:1	32@0x33f278-0x345572:1	32@0x33f278-0x345572+0x2f85:1	32@0x33f278-0x345572+0x2a01:1	0	0	backedge_sample:2	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x584
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x5b6	2	1	1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea+0x1004:1	33@0x3603af-0x3655ea+0xa4e:1	0	0	backedge_sample:2	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x5b6
long_branch_forward	75	0x873fc	165	0x9a24c	+0x288	2	2	2	28@0x334a3d-0x337115:1,33@0x3603af-0x3655ea:1	28@0x334a3d-0x337115:1,33@0x3603af-0x3655ea:1	28@0x334a3d-0x337115+0x74f:1,33@0x3603af-0x3655ea+0xd84:1	28@0x334a3d-0x337115+0x9d7:1,33@0x3603af-0x3655ea+0x100c:1	0	0	prefix_32_of_648:2	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip += 0x288
long_branch_forward	75	0x873fc	165	0x9a24c	+0x30	2	2	2	26@0x31aa27-0x31f2b7:1,32@0x33f278-0x345572:1	26@0x31aa27-0x31f2b7:1,32@0x33f278-0x345572:1	26@0x31aa27-0x31f2b7+0x15de:1,32@0x33f278-0x345572+0x1ca3:1	26@0x31aa27-0x31f2b7+0x160e:1,32@0x33f278-0x345572+0x1cd3:1	0	0	prefix_32_of_48:2	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip += 0x30
long_branch_forward	145	0x95b5c	354	0xc2241	+0x30	2	2	2	28@0x334a3d-0x337115:1,32@0x33f278-0x345572:1	28@0x334a3d-0x337115:1,32@0x33f278-0x345572:1	28@0x334a3d-0x337115+0x23e:1,32@0x33f278-0x345572+0x27cd:1	28@0x334a3d-0x337115+0x26e:1,32@0x33f278-0x345572+0x27fd:1	0	0	prefix_32_of_48:2	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x30
long_branch_forward	145	0x95b5c	171	0x9b4b3	+0x77	2	2	2	6@0x1209d2-0x122e42:2	6@0x1209d2-0x122e42:2	6@0x1209d2-0x122e42+0x10e8:1,6@0x1209d2-0x122e42+0x18fb:1	6@0x1209d2-0x122e42+0x115f:1,6@0x1209d2-0x122e42+0x1972:1	0	0	prefix_32_of_119:2	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[171], ip += 0x77
long_branch_forward	210	0xa2da3	354	0xc2241	+0x288	2	2	2	34@0x3674c3-0x36a0bc:1,35@0x36b124-0x36db0d:1	34@0x3674c3-0x36a0bc:1,35@0x36b124-0x36db0d:1	34@0x3674c3-0x36a0bc+0x74b:1,35@0x36b124-0x36db0d+0x772:1	34@0x3674c3-0x36a0bc+0x9d3:1,35@0x36b124-0x36db0d+0x9fa:1	0	0	prefix_32_of_648:2	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x288
long_branch_forward	210	0xa2da3	171	0x9b4b3	+0x28b	2	2	2	28@0x334a3d-0x337115:1,32@0x33f278-0x345572:1	28@0x334a3d-0x337115:1,32@0x33f278-0x345572:1	28@0x334a3d-0x337115+0xb93:1,32@0x33f278-0x345572+0x1897:1	28@0x334a3d-0x337115+0xe1e:1,32@0x33f278-0x345572+0x1b22:1	0	0	prefix_32_of_651:2	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[171], ip += 0x28b
long_branch_forward	246	0xab427	354	0xc2241	+0x28b	2	2	2	32@0x33f278-0x345572:1,33@0x3603af-0x3655ea:1	32@0x33f278-0x345572:1,33@0x3603af-0x3655ea:1	32@0x33f278-0x345572+0x3149:1,33@0x3603af-0x3655ea+0x11c8:1	32@0x33f278-0x345572+0x33d4:1,33@0x3603af-0x3655ea+0x1453:1	0	0	prefix_32_of_651:2	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x28b
