source_entry	opcode_name	problem_kind	trace_rows	trace_files	dynamic_start_vm_ips	dynamic_target_entries	pre_state_samples	pre_flags_samples	post_state_samples	post_flags_samples	byte_samples	required_inputs	capture_status
167	vmop_167_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	5018	vm_instruction_trace.tsv:2509;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2509	0xd0bb6;0xd1102;0xd40a2;0xd430e;0xd4989;0xd4b83;0xd5321;0xd5741;0xd5c17;0xd74ae;0xd78cb;0xda5b0;0x11ad54;0x11afe0;0x11b6a6;0x11c4f9;0x11cdf7;0x11d021;0x11d307;0x11d7a2;0x11da1b;0x11ddf5;0x11e37c;0x11ea62;...+150	283;295;351					e8013d010a64;e8013d01c52d;e8013d01cd29;e8013d010342;e8013d019f1d;e8013d011499;e8013d012680;e8013d01d56b	pre_state;raw_vm_bytes:u16_4	no_state_samples_in_current_traces
168	vmop_168_plus0x4_state_add_const_slot_multi_path	algebraic_mba	28736	vm_instruction_trace.tsv:14368;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:14368	0xd0aeb;0xd0b51;0xd0b6b;0xd0c61;0xd0da2;0xd0df0;0xd0e71;0xd1046;0xd1152;0xd3fb5;0xd402d;0xd404f;0xd4231;0xd423c;0xd4261;0xd429d;0xd42bb;0xd43e2;0xd441e;0xd442d;0xd4469;0xd44ac;0xd44c7;0xd44fa;...+1341	3;18;26;28;30;31;33;37;49;52;64;66;70;79;83;94;99;114;121;124;125;128;140;146;...+42					ce57d6d9;65d062d7;d04f8ed8;b4d4fed5;e35516d9;e7f9e4d0;4c6f06d5;83f803d4	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
172	vmop_172_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	25062	vm_instruction_trace.tsv:12531;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:12531	0xd0b2f;0xd0c1b;0xd0c50;0xd0d83;0xd0dbf;0xd0e89;0xd1091;0xd1099;0xd10e4;0xd116b;0xd11b8;0xd1348;0xd1357;0xd400c;0xd40e1;0xd4252;0xd42e1;0xd48d9;0xd493e;0xd4af4;0xd4afc;0xd4b2d;0xd4b3f;0xd4d45;...+1069	3;18;26;28;30;33;37;49;64;66;70;74;79;83;88;114;121;124;125;128;130;131;140;146;...+43					a2afe300;2afaa30a;78b5eb03;47b7db0f;b0213b0b;f324d309;7e13ab0d;dd22e30a	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
173	vmop_173_plus0x2_state_add_const_slot_multi_path	algebraic_mba	10202	vm_instruction_trace.tsv:5101;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:5101	0xd0f11;0xd4153;0xd5778;0xd57a5;0xd57bd;0xd5a28;0x11add9;0x11b003;0x11b273;0x11b28b;0x11b2a1;0x11b4b5;0x11b70f;0x11b725;0x11b923;0x11bfa5;0x11c320;0x11c5bf;0x11cbda;0x11cbf2;0x11d05c;0x11e174;0x11e845;0x11e89f;...+511	17;18;28;30;43;48;62;64;65;66;90;92;114;117;121;124;128;140;146;154;157;165;168;171;...+40					7a0f;6b82;0b0c;df0a;7307;4709;8789;8f01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
174	vmop_174_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	23484	vm_instruction_trace.tsv:11742;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:11742	0xd0cb0;0xd0ce7;0xd0d13;0xd0d3f;0xd0fa6;0xd0fd2;0xd0ffe;0xd11f1;0xd1207;0xd121d;0xd13e9;0xd4178;0xd41e6;0xd4207;0xd4a27;0xd4a3d;0xd4c1b;0xd4c89;0xd4cb5;0xd4dff;0xd4ef9;0xd4fb1;0xd4fbc;0xd51a1;...+865	18;28;40;50;64;66;95;114;119;175;181;185;189;195;199;215;216;258;261;264;278;297;299;307;...+6					a90ee801;3b74e801;cf75e801;fb0ee801;a898e801;988be801;6751e801;a2bfe801	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
175	vmop_175_plus0x2cef7_central_or_long_slot_unknown	dispatch_unknown	6	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:5;vm_instruction_trace.tsv:1	0xd1445;0x17a420;0x1a6041;0x316672;0x34556c	310			0x664d0ead	0x42000800	5133070080000f95c09c41535241554d89dd4c89ea415d4989d35a5548bda900;cb1702008000;515b07008000;031703008000;bd3903008000	pre_state;pre_flags	no_state_samples_in_current_traces
176	vmop_176_plus0x4_state_add_const_slot_multi_path	algebraic_mba	20276	vm_instruction_trace.tsv:10138;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:10138	0xd0fe8;0xd11d5;0xd1212;0xd126a;0xd1280;0xd1396;0xd1436;0xd415c;0xd41af;0xd4331;0xd4352;0xd437e;0xd4394;0xd43cb;0xd47eb;0xd47f6;0xd4801;0xd4864;0xd4a32;0xd4a48;0xd4a69;0xd4c26;0xd4c68;0xd4caa;...+854	18;28;40;64;66;69;78;80;95;114;119;175;181;185;189;195;199;215;216;258;261;264;278;297;...+8					e801db9b;e8017de5;e801e2d8;e801cadd;e801f451;e801db52;e8017ac9;e801597a	pre_state;pre_flags;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
179	vmop_179_plus0x5_state_add_const_slot_multi_path	algebraic_mba	1474	vm_instruction_trace.tsv:737;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:737	0x11c7ca;0x11e191;0x11efb0;0x1212f7;0x121579;0x121b6d;0x121dc7;0x1220a8;0x12237f;0x122b05;0x172bde;0x172e9c;0x173b06;0x1a5bbb;0x2311af;0x2495a2;0x249a93;0x26ceb3;0x26e02c;0x26e512;0x26e9f0;0x26ecfb;0x26ef63;0x30f496;...+83	3;18;28;43;49;64;66;79;83;99;114;118;131;157;168;172;189;196;199;201;203;215;217;220;...+9					3a5ef384ee;3af633442e;3aaeb96276;3a7ef300f3;3af6baad55;3a47c9adc7;3abb9cb157;3a8df323f6	pre_state;pre_flags;raw_vm_bytes:u16_1,u16_3	no_state_samples_in_current_traces
180	vmop_180_plus0x4_state_mixed_slot_mba_stateful	algebraic_mba	3696	vm_instruction_trace.tsv:1848;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1848	0xd4b9d;0xdac61;0x11adc9;0x11b473;0x11b6c0;0x11b8f7;0x11bb39;0x11c1c2;0x11c873;0x11cb40;0x11d0bd;0x11d7bc;0x11d807;0x11df09;0x11eca3;0x11ef76;0x11f08a;0x1212c9;0x121b37;0x12207a;0x122355;0x122ad4;0x128c85;0x128ef6;...+358	3;18;28;43;49;64;66;79;83;114;157;168;172;185;189;196;199;203;215;220;239;258;268;269;...+7					e30be801;7308e801;1306e801;db06e801;c30be801;430fe801;930fe801;8310e801	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
181	vmop_181_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	2814	vm_instruction_trace.tsv:1407;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1407	0xd49d8;0xd4de7;0xd5596;0xd5a6c;0xd7546;0xda405;0xdae8e;0x11ae35;0x11b2b9;0x11b4fb;0x11ce76;0x11df82;0x11ed24;0x12138a;0x1223bb;0x17115a;0x1716fc;0x171b96;0x171dc0;0x172077;0x172cad;0x173e6e;0x1742c2;0x174483;...+60	18;28;64;66;114;185;189;199;215;258;297;307;337;340;347					3d01e8016ce4;3d01e80188e2;3d01e801bca7;3d01e801566a;3d01e8019bf1;3d01e801ba90;3d01e8012746;3d01e8012f83	pre_state;raw_vm_bytes:u16_4	no_state_samples_in_current_traces
