rank	entry	target	function	model_function	sidecar	ip_advance	slot_status	slot_expr	effects
22	25	0x7d941	function_7d941	vm_tier1_entry_025	vm_unobserved_handlers_retdec_batch01.c	11	state_effect_only_no_dispatch_return		ip += 11; retdec_tail=state = (state0 + s16(ip+4)) ^ state0; word compare/pointer step; ip_reads=+0x0/2,+0x7/2,+0x9/2,+0x6/1,+0x2/2,+0x4/2; frame_reads=0xa,0x170,0x71,0x199,0x10f; frame_writes=0x23,0x170,0xa
23	228	0xa6f79	function_a6f79	vm_tier1_entry_228	vm_unobserved_handlers_retdec_batch01.c	11	state_effect_only_no_dispatch_return		ip += 11; retdec_tail=state = (s16(ip+4) ^ 0x5537ca3f) & state_after_flag_or; dword compare/pointer step; ip_reads=+0x0/2,+0x2/2,+0x9/2,+0x6/1,+0x7/2,+0x4/2; frame_reads=0xa,0x170,0x199,0x23,0x10f; frame_writes=0x170,0x23,0xa
24	77	0x88131	function_88131	vm_tier1_entry_077	vm_unobserved_handlers_retdec_batch02.c	5	state_effect_only_no_dispatch_return		ip += 5; retdec_tail=state = state0 + s16(ip+0); flag/operand rewrite body precedes tail; ip_reads=+0x2/1,+0x3/2,+0x0/2; frame_reads=0xa,0x0,0x71,0x10f; frame_writes=0x71,0x0,0x23,0x170,0xa
25	59	0x84302	function_84302	vm_tier1_entry_059	vm_unobserved_handlers_retdec_batch02.c	11	state_effect_only_no_dispatch_return		ip += 11; retdec_tail=state = (s16(ip+6) - 0x26d85c20) & state0; qword compare/pointer step; ip_reads=+0x8/2,+0x2/2,+0x4/2,+0xa/1,+0x0/2,+0x6/2; frame_reads=0xa,0x81,0x199,0x71,0x10f; frame_writes=0x170,0xa
26	6	0x7971e	function_7971e	vm_tier1_entry_006	vm_unobserved_handlers_retdec_batch02.c	9	state_effect_only_no_dispatch_return		ip += 9; retdec_tail=state = state0 + 0x17cd41c1 + (state0 ^ s16(ip+7)); paired word pointer step; ip_reads=+0x3/2,+0x0/2,+0x5/2,+0x7/2; frame_reads=0xa,0x81,0x199,0x10f,0x170; frame_writes=0x170,0xa
27	155	0x980ab	function_980ab	vm_tier1_entry_155	vm_unobserved_handlers_retdec_batch02.c	9	state_effect_only_no_dispatch_return		ip += 9; retdec_tail=state = (s16(ip+2) - 0x24797ebc) | state0; byte pointer step; ip_reads=+0x0/2,+0x4/2,+0x6/2,+0x2/2; frame_reads=0xa,0x170,0x0,0x199,0x10f; frame_writes=0x170,0xa
28	298	0xb6902	function_b6902	vm_tier1_entry_298	vm_unobserved_handlers_retdec_batch02.c	9	pointer_effect_no_state_slot		ip += 9; retdec_tail=paired word pointer step; no clean state/dispatch slot in RetDec tail; ip_reads=+0x5/2,+0x3/2,+0x0/2,+0x7/2; frame_reads=0xa,0x199,0x10f,0x170; frame_writes=0xa
29	162	0x99b3c	function_99b3c	vm_tier1_entry_162	vm_unobserved_handlers_retdec_batch02.c	11	state_effect_only_no_dispatch_return		ip += 11; retdec_tail=state adjusted by operand/constant chain after byte compare; no clean dispatch slot; ip_reads=+0x7/2,+0x3/2,+0x5/2,+0x2/1,+0x0/2,+0x9/2; frame_reads=0xa,0x199,0x10f; frame_writes=0x170,0xa
30	286	0xb42e2	function_b42e2	vm_tier1_entry_286	vm_unobserved_handlers_retdec_batch02.c	5	state_effect_only_no_dispatch_return		ip += 5; retdec_tail=state = (state0 + s16(ip+2)) ^ state0; flag/operand rewrite body precedes tail; ip_reads=+0x4/1,+0x0/2,+0x2/2; frame_reads=0xa,0x0,0x170,0x23,0x194,0x71,0x10f; frame_writes=0x170,0x71,0x0,0x23,0xa
31	84	0x8983b	function_8983b	vm_tier1_entry_084	vm_unobserved_handlers_retdec_batch02.c	5	masked_return_slot_requires_g3	(state0 + s16(ip+0)) & g3_mask	ip += 5; retdec_tail=state = state0 + (state0 + s16(ip+0)); return is masked by g3; ip_reads=+0x3/2,+0x2/1,+0x0/2; frame_reads=0xa,0x0,0x170,0x194,0x23,0x71,0x10f; frame_writes=0x170,0x71,0x0,0xa
32	14	0x7b3be	function_7b3be	vm_tier1_entry_014	vm_unobserved_handlers_retdec_batch02.c	5	state_effect_only_no_dispatch_return		ip += 5; retdec_tail=state = (s16(ip+0) - 0x7584d103) ^ (state0 & flags0); flag/operand rewrite body precedes tail; ip_reads=+0x4/1,+0x2/2,+0x0/2; frame_reads=0xa,0x0,0x60,0xe1,0x23,0x71,0x10f; frame_writes=0x71,0x170,0x0,0x60,0xa
33	197	0xa006b	function_a006b	vm_tier1_entry_197	vm_unobserved_handlers_retdec_batch02.c	5	state_effect_only_no_dispatch_return		ip += 5; retdec_tail=state = state0 - (state0 ^ s16(ip+2)); predicate scratch side effects present; ip_reads=+0x0/2,+0x4/1,+0x2/2; frame_reads=0xa,0x10f,0x170,0x81; frame_writes=0x199,0x170,0xa
34	193	0x9f77c	function_9f77c	vm_tier1_entry_193	vm_unobserved_handlers_retdec_batch02.c	9	state_effect_only_no_dispatch_return		ip += 9; retdec_tail=state = (-0x1aead89a - state0 + s16(ip+5)) ^ state0; paired word pointer step; ip_reads=+0x3/2,+0x7/2,+0x0/2,+0x5/2; frame_reads=0xa,0x23,0x71,0x199,0x10f,0x170; frame_writes=0x170,0xa
35	72	0x868bd	function_868bd	vm_tier1_entry_072	vm_unobserved_handlers_retdec_batch03.c	11	state_effect_only_no_dispatch_return		ip += 11; retdec_tail=state = (state0 & 0x1cdfcc1d) - 0x17395727 - ((state0 & 0x1cdfcc1d) ^ s16(ip+0)); byte compare/pointer step; ip_reads=+0x9/2,+0x3/2,+0x7/2,+0x2/1,+0x5/2,+0x0/2; frame_reads=0xa,0x199,0x81,0x10f,0x170; frame_writes=0x170,0xa
36	97	0x8c5b9	function_8c5b9	vm_tier1_entry_097	vm_unobserved_handlers_retdec_batch03.c	5	state_effect_only_no_dispatch_return		ip += 5; retdec_tail=state = (s16(ip+3) - state0) & state0; flag/operand rewrite body precedes tail; ip_reads=+0x0/1,+0x1/2,+0x3/2; frame_reads=0xa,0x60,0x0,0x194,0x23,0x71,0x10f,0x170; frame_writes=0x170,0x71,0x60,0x0,0xa
