segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
61	0x2c0468	0x2c05b1	0x149	79	79	34	0	0	9d12a353da42b85be57c12ed17ed55fe0f124f2fb4ea8d86cb23a4a642838231	26:7,189:5,268:5,287:5,258:4,64:4,43:3,28:3	26:7,189:5,268:5,287:5,258:4,64:4,43:3,28:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0xbc5:1	2b00f5749900e8053aaea57c9ee801b4815801c6136cd71512f340e48e86e8014812625e39b4e67f32e30abefce80103a4377bbe280024e057746abce801c5d7	a3453c92f7bc313d01bbce0d4e77ded0ed4072d8d4b3005610ae005e653d0143ab000000c50b00003d012273c50858ed2bbcef70761009e8013d5de2931d8b35
62	0x2c1156	0x2c13ed	0x297	166	166	64	0	0	b429c504d5e2da7d489085d229b068cfa0b7a8374c2b2a9918ca20eb679565b5	258:9,66:9,114:7,189:6,215:6,337:6,28:6,157:6	258:9,66:9,114:7,189:6,215:6,337:6,28:6,157:6	+0x4:101,+0x3:40,+0x2:9,+0x5:9,+0x6:5,+0xe:1,-0x2e48f:1	1e00101fe8010b0ee801b4295ff9f1acdcf7614dac0086003d01cc687a24dc9753f66800102601013ea0f80a323d01f66b004a0b1cd7ffc7660bba8244143069	3d017e6e007ee56851934ff4921326f6cb100250275f9158a4863c3d0119e12cab0000008fe4028033013a45ad12635bacbd8bf552e30ae801f31c6800618400
63	0x30e872	0x316692	0x7e20	502609	8445	140	0	0	4daca1e9518594046015ef292baf05b08476ef8a6e90667b9106bd6f732f5ad7	337:19246,258:18656,340:18486,28:18049,114:17691,189:17599,18:17504,64:17496	337:19246,258:18656,340:18486,28:18049,114:17691,189:17599,18:17504,64:17496	+0x4:320545,+0x3:125271,+0x5:21047,+0x2:20144,+0x6:11911,+0xa:3199,+0x2d:182,+0x10:91	0000a9006201e8014200b1933af164fc002106dd61b01ae8015a5eb58ff9ab00144bab000514e801e4978900b29a0eeed809f0e80129f16605727f96c38963b0	061bc8c454a2e8017e2671823c9e88b2006117e80121a5ec933a8dadf6c9e8015133070080000f95c09c41535241554d89dd4c89ea415d4989d35a5548bda900
64	0x31aa27	0x31e23f	0x3818	4934	3574	147	0	0	9eab328e56f52334af4d412f66e4559560454e12780eafe056fb0539bf414813	18:159,258:137,28:136,66:135,337:131,189:129,347:123,307:113	18:159,258:137,28:136,66:135,337:131,189:129,347:123,307:113	+0x4:2384,+0x3:951,+0x5:715,+0x2:569,+0x6:252,+0x16:14,-0x40:14,+0x11:12	e8016201020126c20776a7ae7b03fdbdfbdeade801323134686eab00335eab00e80151f6e4defcfd1008fc8d417bb76ab0e8015801940f377349db5d2800e801	4701fcb7b7528ee8014cf33a90ee3acce80153ab2a963acc7524e5a849e801f103aca3efb6ba0acee801c0905ffc339af8e801a95e235b34a0bdc60269dae801
65	0x31e24d	0x31e42c	0x1df	124	124	42	0	0	5ffce026ab1f573cb8353715d3a4c4682fe04627e8e01e6c5fbdbf08812ed313	18:8,258:8,337:8,66:7,340:6,28:5,20:5,333:4	18:8,258:8,337:8,66:7,340:6,28:5,20:5,333:4	+0x4:84,+0x3:34,+0x6:2,+0x5:2,+0x2:1,+0x11:1	4d017bdf990018a82a6c628dabada3e8018bac3af0902052fee43b0be8017cf8063db448944180dbd08900e801b2fc341c2800b4a768b3692800e5a1e80123fd	e89f3a8dad2ecfe801001b230103a358b221e801a5aa98744d19ebe273e801e92c549ac0054e3a52e8016fb581fb3a9a3a9af3e8010b913a2b8d69db1a79e801
66	0x31e43a	0x31f2b1	0xe77	793	793	100	0	0	0d72502b119c246b781aa12712df958d01d9aac7b0328070b344dfa67bd3802e	189:31,28:30,297:29,114:29,337:29,347:28,64:27,340:26	189:31,28:30,297:29,114:29,337:29,347:28,64:27,340:26	+0x4:487,+0x3:197,+0x5:42,+0x2:36,+0x6:22,+0xe:3,+0x11:2,+0x1d02e:1	2901310eebba22613ad292b6efda10e801a00a3a144aab00cbf0ab00e801b2f50b896c4c7bde89003c9f3e68d3e8010002bf51fcf468448b5ed0e8016ccd0373	2a5066c7af4d74e801e805e864f168e7de70e8014b564c55082d80e8013475f1caa5b7c005048a2de801af37ec9f708dadb64be801075e3a4c2099004088e801
67	0x33170b	0x3334ac	0x1da1	3465	1961	126	0	0	8ba702e10a61e28aa94a3ac99ab902e5cbe3ac68df10e65c4d22a19288cd95ce	18:128,258:115,340:109,347:108,189:105,297:98,28:97,64:93	18:128,258:115,340:109,347:108,189:105,297:98,28:97,64:93	+0x4:1786,+0x3:714,+0x5:413,+0x2:335,+0x6:160,+0x16:17,-0x40:17,+0x11:10	6201e801bd00990094eb593f2a8f91655e4801e80131eedd10bda309cc5f8bab4cb6e80111a65dd3d58900beab0ca95ddee8015801884bc78fbeab4188dae801	2a6f3bcb89e801022e40323f709386210d75e801f6fe596d0128003885e801bb8b4cc427013a6d78e801a4b3ab00ff96820a33e801d80a5641093d81d29be801
68	0x3334ba	0x333bc9	0x70f	454	454	82	0	0	9a3db5b377a0c09a05501d655e4f1138e3022796e185cc8041cc3133473fbfd8	64:18,215:18,189:18,114:18,185:18,337:16,199:15,340:15	64:18,215:18,189:18,114:18,185:18,337:16,199:15,340:15	+0x4:284,+0x3:114,+0x5:22,+0x2:20,+0x6:11,+0xe:2,+0x55:1	4000a5a69900e92286d58809fc2553e8014a0dabdfeebb90b790f06f3dbae80101074cec972d8900eaad35a326e80110088872971c03f8b666d0e801ccc34005	ae26f00c37e80172d97a19bddd12915b30d0e80194b20e75c3803ab283e80179c944e380050ee801205c13953c13601137e80149f9a00a1f1e059900ed5be801
69	0x334a3d	0x3369f2	0x1fb5	3376	2100	135	0	0	61351866c5329108712069cbf93212300cbb182e84362871ebf85b8e1369d8cb	64:114,340:91,28:89,18:87,307:86,66:85,337:84,43:83	64:114,340:91,28:89,18:87,307:86,66:85,337:84,43:83	+0x4:1598,+0x3:628,+0x5:511,+0x2:408,+0x6:182,+0x16:14,-0x40:14,+0xa:6	0000a9006201e8015401c40e990052033e77e248b4a2e5e801b41bcacd1ad5afa16ebc961e9ae8018c7ff00134128900880948a951e8010eea8cff430bd4da28	f8eb8031f7e8019122c8a14601d80353ca36e801c7a5c89670492a307ce801e805bd6ee800e4e8018875241aab007005a86d4fe801d2521432489900e8014f4c
70	0x3369fc	0x33710f	0x713	457	457	87	0	0	d5f49356ceae70e30f5c4d4b155796e1440ac9713bb7940f66d4fb4ce46408c0	258:21,114:19,337:16,185:16,297:16,18:16,66:16,28:15	258:21,114:19,337:16,185:16,297:16,18:16,66:16,28:15	+0x4:287,+0x3:114,+0x5:22,+0x2:20,+0x6:11,+0xa:2,+0x55:1	ab00e8019d006fd599001008531c2729e33d9ae801a77b3301880a480c96344d06c9e80140059c0d6d65d293691c218651e801e09270ec387c3adf91247be801	4a366a231d2b99e801c31c3eec3b23010be4e8016ab45a75dabdaec273e801e3f43a887704a4e801187791225cebf5cd16e801bc9e1e858ce7365089e8012ece
