block	start_vm_ip	byte_end_min	terminal_vm_ip	terminal_target_vm_ip	successor_block	successor_vm_ip	edge_kind	row_count	exact_rows	decoded_rows	events	terminal_events	source_entries	target_entries	target_coverage_statuses	row_kinds	state_classes	provenance	leader_reasons	terminal_kind	terminal_source_entry	terminal_target_entry	terminal_delta	terminal_semantic_ir	source_block
20	0xd5d09	0xd5ebc	0xd5eb8	0xd5ebc		0xd5ebc	covered_synthetic_fallthrough	116	116	0	116	1	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	target_footprint_of_6:1	exact_instruction:116	state_add_const:100,state_mixed:10,state_const_post:6	vm_instruction_lift:116	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	123	195	+0x4	next = 195@0x9fb50:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x1d5d
21	0xd718e	0xd73ae	0xd73aa	0xd73ae		0xd73ae	covered_synthetic_fallthrough	145	145	0	145	1	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	hidden_span_of_14:1	exact_instruction:145	state_add_const:128,state_mixed:12,state_const_post:4,state_preserve:1	vm_instruction_lift:145	after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	174	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	2@0xd718e-0xd790a+0x0
22	0xd73bc	0xd75f1	0xd75ed	0xd75f1		0xd75f1	covered_synthetic_fallthrough	150	150	0	150	1	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	hidden_span_of_14:1	exact_instruction:150	state_add_const:137,state_mixed:9,state_const_post:3,state_preserve:1	vm_instruction_lift:150	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	158	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	2@0xd718e-0xd790a+0x22e
23	0xd75ff	0xd77c8	0xd77c4	0xd77c8		0xd77c8	covered_synthetic_fallthrough	121	121	0	121	1	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	hidden_span_of_17:1	exact_instruction:121	state_add_const:108,state_mixed:9,state_const_post:3,state_preserve:1	vm_instruction_lift:121	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	158	69	+0x4	next = 69@0x85f24:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	2@0xd718e-0xd790a+0x471
24	0xd77d9	0xd78f5	0xd78ea	0xda38f	25	0xda38f	decoded_control	73	72	1	73	1	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3		exact_instruction:72,long_branch_forward:1	state_add_const:61,state_mixed:9,state_const_post:2,sampled_backedge:1	vm_instruction_lift:72,long_branch:1	synthetic_successor_target:hidden_span_of_17:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	long_branch_forward	75	171	+0x2aa5	next = table[171], ip += 0x2aa5	2@0xd718e-0xd790a+0x64b
25	0xda38f	0xda4b0	0xda4ac	0xda4b0		0xda4b0	covered_synthetic_fallthrough	78	78	0	78	1	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	hidden_span_of_14:1	exact_instruction:78	state_add_const:68,state_mixed:8,state_const_post:2	vm_instruction_lift:78	synthetic_successor_target:prefix_32_of_10917:1,long_branch_forward_target:1,after_decoded_control:1	exact_instruction	184	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	3@0xda38f-0xda607+0x0
26	0xda4be	0xda5f2	0xda5e7	0xdac57	27	0xdac57	decoded_control	79	78	1	79	1	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3		exact_instruction:78,long_branch_forward:1	state_add_const:70,state_mixed:4,state_const_post:3,state_preserve:1,sampled_long_or_sparse:1	vm_instruction_lift:78,long_branch:1	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	long_branch_forward	210	165	+0x670	next = table[165], ip += 0x670	3@0xda38f-0xda607+0x12f
27	0xdac57	0xdad78	0xdad74	0xdad78		0xdad78	covered_synthetic_fallthrough	78	78	0	78	1	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	hidden_span_of_14:1	exact_instruction:78	state_add_const:71,state_mixed:6,state_const_post:1	vm_instruction_lift:78	synthetic_successor_target:prefix_32_of_1648:1,long_branch_forward_target:1,after_decoded_control:1	exact_instruction	176	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	4@0xdac57-0xdaf3f+0x0
28	0xdad86	0xdaf39	0xdaf35	0xdaf39		0xdaf39	covered_synthetic_fallthrough	116	116	0	116	1	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	target_footprint_of_6:1	exact_instruction:116	state_add_const:101,state_mixed:13,state_const_post:2	vm_instruction_lift:116	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	184	195	+0x4	next = 195@0x9fb50:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	4@0xdac57-0xdaf3f+0x12f
29	0x11ac5e	0x11aee0	0x11aedc	0x11aee0		0x11aee0	covered_synthetic_fallthrough	170	170	0	170	1	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	hidden_span_of_14:1	exact_instruction:170	state_add_const:151,state_mixed:14,state_const_post:4,state_preserve:1	vm_instruction_lift:170	after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	20	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_mixed	5@0x11ac5e-0x11f4da+0x0
30	0x11aeee	0x11b122	0x11b11e	0x11b122		0x11b122	covered_synthetic_fallthrough	150	150	0	150	1	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	hidden_span_of_14:1	exact_instruction:150	state_add_const:133,state_mixed:11,state_const_post:5,state_preserve:1	vm_instruction_lift:150	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	176	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	5@0x11ac5e-0x11f4da+0x290
31	0x11b130	0x11b364	0x11b360	0x11b364		0x11b364	covered_synthetic_fallthrough	150	150	0	150	1	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	hidden_span_of_14:1	exact_instruction:150	state_add_const:134,state_mixed:13,state_const_post:3	vm_instruction_lift:150	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	5@0x11ac5e-0x11f4da+0x4d2
32	0x11b372	0x11b5a6	0x11b5a2	0x11b5a6		0x11b5a6	covered_synthetic_fallthrough	150	150	0	150	1	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	hidden_span_of_14:1	exact_instruction:150	state_add_const:130,state_mixed:16,state_const_post:4	vm_instruction_lift:150	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	5@0x11ac5e-0x11f4da+0x714
33	0x11b5b4	0x11b7e8	0x11b7e4	0x11b7e8		0x11b7e8	covered_synthetic_fallthrough	150	150	0	150	1	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	hidden_span_of_14:1	exact_instruction:150	state_add_const:136,state_mixed:11,state_const_post:3	vm_instruction_lift:150	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	5@0x11ac5e-0x11f4da+0x956
34	0x11b7f6	0x11ba2a	0x11ba26	0x11ba2a		0x11ba2a	covered_synthetic_fallthrough	150	150	0	150	1	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	hidden_span_of_14:1	exact_instruction:150	state_add_const:131,state_mixed:17,state_const_post:1,state_preserve:1	vm_instruction_lift:150	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	5@0x11ac5e-0x11f4da+0xb98
