source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
329	0x340f31-0x340f43	329	0x340f31-0x340f43	intra_block	68	4	168:17,28:17,337:17,251:17	28:17,337:17,251:17,198:17	+0x4:34,+0x3:17,+0x5:17	exact:68
274	0x333730-0x33382d	274	0x333730-0x33382d	intra_block	66	66	337:5,172:4,64:4,287:4,185:3,199:3,33:3,203:3	337:5,172:4,64:4,287:4,185:3,199:3,33:3,203:3	+0x4:48,+0x3:16,+0x2:1,+0x6:1	exact:66
301	0x33a233-0x33a330	301	0x33a233-0x33a330	intra_block	66	66	172:4,185:4,18:4,26:4,203:4,189:4,33:4,337:3	172:4,185:4,18:4,26:4,203:4,189:4,33:4,337:3	+0x4:48,+0x3:16,+0x2:1,+0x6:1	exact:66
164	0x2303be-0x2304b8	164	0x2303be-0x2304b8	intra_block	65	65	66:9,347:6,184:5,114:4,123:3,340:3,20:3,189:2	66:9,347:6,184:6,114:4,123:3,340:3,20:3,258:2	+0x4:37,+0x3:18,+0x5:4,+0x2:3,+0x6:3	exact:65
165	0x230722-0x230b1b			out_of_recovered	64	1	123:64	50:64	+0x4:64	exact:64
166	0x230b2c-0x230e07			out_of_recovered	64	1	176:64	321:64	+0x4:64	exact:64
167	0x230e18-0x231217			out_of_recovered	64	1	257:64	308:64	+0x2:64	exact:64
388	0x369ad3-0x369b20	388	0x369ad3-0x369b20	intra_block	57	19	354:3,121:3,183:3,337:3,297:3,157:3,220:3,352:3	121:3,183:3,337:3,297:3,157:3,220:3,352:3,172:3	+0x4:21,+0x5:12,+0x2:9,+0x3:9,+0x6:6	exact:57
411	0x36d524-0x36d571	411	0x36d524-0x36d571	intra_block	57	19	114:6,43:6,256:6,199:6,319:6,354:3,273:3,183:3	256:9,114:6,43:6,199:6,319:6,273:3,183:3,18:3	+0x4:21,+0x5:12,+0x2:9,+0x3:9,+0x6:6	exact:57
278	0x334c91-0x334ca3	278	0x334c91-0x334ca3	intra_block	56	4	215:14,43:14,64:14,0:14	43:14,64:14,0:14,144:14	+0x4:28,+0x3:14,+0x5:14	exact:56
72	0x1210d6-0x121199	72	0x1210d6-0x121199	intra_block	52	52	258:6,123:5,174:5,307:4,199:4,114:4,64:3,176:3	258:6,123:5,174:5,307:4,199:4,114:4,64:3,176:3	+0x4:33,+0x3:17,+0x2:1,+0x6:1	exact:52
213	0x30eed0-0x30eee2	213	0x30eed0-0x30eee2	intra_block	52	4	199:13,337:13,157:13,326:13	337:13,157:13,326:13,352:13	+0x4:26,+0x3:13,+0x5:13	exact:52
244	0x31df8f-0x31e052	244	0x31df8f-0x31e052	intra_block	52	52	174:5,28:4,347:4,189:3,161:3,337:3,20:3,176:3	174:6,28:4,347:4,189:3,161:3,337:3,20:3,176:3	+0x4:33,+0x3:17,+0x2:1,+0x6:1	exact:52
12	0xd4bfc-0xd4cb9	12	0xd4bfc-0xd4cb9	intra_block	50	50	28:6,184:4,258:4,185:3,176:3,340:3,64:2,174:2	28:6,184:4,258:4,174:3,176:3,340:3,185:2,64:2	+0x4:32,+0x3:17,+0x6:1	exact:50
52	0x11da4b-0x11db08	52	0x11da4b-0x11db08	intra_block	50	50	123:5,158:3,215:3,307:3,114:3,174:3,258:3,185:3	123:5,158:4,215:3,307:3,114:3,174:3,258:3,185:3	+0x4:32,+0x3:17,+0x6:1	exact:50
54	0x11dc37-0x11dcf5	54	0x11dc37-0x11dcf5	intra_block	50	50	28:5,114:4,337:4,161:4,176:4,20:4,340:3,297:3	28:5,337:4,161:4,176:4,20:4,340:3,297:3,114:3	+0x4:33,+0x3:16,+0x6:1	exact:50
246	0x31e182-0x31e23f	246	0x31e182-0x31e23f	intra_block	50	50	176:5,114:5,64:4,199:3,18:3,161:3,297:3,189:3	176:5,114:5,64:4,18:3,161:3,297:3,123:3,189:3	+0x4:32,+0x3:17,+0x6:1	exact:50
248	0x31e36f-0x31e42c	248	0x31e36f-0x31e42c	intra_block	50	50	20:5,189:4,66:4,337:4,258:4,199:3,161:3,18:3	20:5,189:4,66:4,161:4,337:4,258:4,199:3,18:3	+0x4:32,+0x3:17,+0x6:1	exact:50
250	0x31e55c-0x31e619	250	0x31e55c-0x31e619	intra_block	50	50	337:5,28:4,20:4,174:4,158:4,258:3,66:3,347:3	20:5,337:5,174:4,158:4,258:3,28:3,66:3,347:3	+0x4:32,+0x3:17,+0x6:1	exact:50
253	0x31e77f-0x31e842	253	0x31e77f-0x31e842	intra_block	50	50	144:4,114:3,185:2,91:2,220:2,173:2,347:2,199:2	144:4,114:3,185:2,91:2,220:2,173:2,347:2,199:2	+0x4:21,+0x3:9,+0x5:9,+0x2:8,+0x6:3	exact:50
361	0x364d98-0x364e55	361	0x364d98-0x364e55	intra_block	50	50	297:5,161:4,66:4,123:4,340:3,337:3,176:3,347:3	297:5,161:4,66:4,123:4,340:3,337:3,176:3,347:3	+0x4:32,+0x3:17,+0x6:1	exact:50
363	0x364f84-0x365042	363	0x364f84-0x365042	intra_block	50	50	340:5,258:4,184:4,18:4,158:4,161:4,297:4,215:3	340:5,184:4,18:4,158:4,161:4,297:4,215:3,258:3	+0x4:33,+0x3:16,+0x6:1	exact:50
365	0x365190-0x36523e	365	0x365190-0x36523e	intra_block	44	44	253:2,347:2,301:2,173:2,30:2,108:2,297:2,256:2	253:2,347:2,301:2,173:2,30:2,108:2,297:2,256:2	+0x4:17,+0x2:8,+0x5:8,+0x3:7,+0x6:4	exact:44
392	0x36b124-0x36b35e			out_of_recovered	42	1	52:42	316:42	+0x5:42	exact:42
393	0x36b374-0x36b386			out_of_recovered	41	1	352:41	117:41	+0x2:41	exact:41
