rank	entry	target	priority_score	priority_class	next_action	selected_start	selected_stop	span_bytes	insns	function_count	covered_bytes	sidecar	function_names	function_ranges	semantics_observation	calls	rets	table_reads	ip_reads	frame_reads	frame_writes
119	116	0x90a1b	5933	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x90a1b	0x90c31	533	127	2	520	vm_unobserved_handlers_retdec_batch01.c	function_90a1b,function_90acd	0x90a1b-0x90acd,0x90acd-0x90c23	unobserved	0	1	dyn/8	+0x0/4,+0x0/2,+0x4/4	0xa,0x10f	0xa,0x1dc
120	309	0xb84a7	6003	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xb84a7	0xb8705	603	140	2	593	vm_unobserved_handlers_retdec_batch01.c	function_b84a7,function_b8556	0xb84a7-0xb8556,0xb8556-0xb86f8	unobserved	0	1	dyn/8	+0x0/4,+0x0/2,+0x2/2	0xa,0x194,0x23,0x71,0x10f	0x23,0x1dc,0xa
121	265	0xaf57f	6026	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xaf57f	0xaf8bc	826	184	1	816	vm_unobserved_handlers_retdec_batch03.c	function_af57f	0xaf57f-0xaf8af	unobserved	2	0	dyn/8	+0x18/2,+0x1a/2,+0x12/2,+0xa/2,+0x16/2,+0xe/2,+0x14/2,+0xc/2,+0x6/2,+0x0/2,+0x2/2,+0x1e/2,+0x20/2,+0x4/2,+0x1c/2,+0x10/2,+0x8/2	0xa,0x0,0x10f,0x170	0x170,0xa
122	233	0xa81c4	6064	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xa81c4	0xa845e	664	154	2	652	vm_unobserved_handlers_retdec_batch02.c	function_a81c4,function_a823e	0xa81c4-0xa823e,0xa823e-0xa8450	unobserved	0	1	dyn/8	+0x0/2,+0x3/2,+0x9/2,+0x2/2,+0x5/2,+0x2/1,+0x7/2	0xa,0x199,0x81,0x10f,0x170	0x1dc,0x23,0x170,0xa
123	227	0xa6f03	6176	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xa6f03	0xa720b	776	177	2	763	vm_unobserved_handlers_retdec_batch02.c	function_a6f03,function_a6f79	0xa6f03-0xa6f79,0xa6f79-0xa71fe	unobserved	0	1	dyn/8	+0x0/2,+0x2/2,+0x9/2,+0x6/1,+0x7/2,+0x4/2	0xa,0x170,0x199,0x23,0x10f	0x170,0x1dc,0x23,0xa
124	58	0x8428c	6191	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x8428c	0x845a3	791	179	2	778	vm_unobserved_handlers_retdec_batch02.c	function_8428c,function_84302	0x8428c-0x84302,0x84302-0x84596	unobserved	0	1	dyn/8	+0x2/2,+0x0/2,+0x8/2,+0x4/2,+0xa/1,+0x6/2	0xa,0x81,0x199,0x71,0x10f	0x1dc,0x170,0xa
125	288	0xb4980	6250	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xb4980	0xb4c0e	650	154	3	643	vm_unobserved_handlers_retdec_batch01.c	function_b4980,function_b4a2b,function_b4c05	0xb4980-0xb4a2b,0xb4a2b-0xb4c00,0xb4c05-0xb4c08	unobserved	0	1	dyn/8	+0x6/2,+0x4/2,+0x0/4,+0x2/2,+0x0/2	0xa,0x170,0xbb,0x81,0x0,0x10f	0x1dc,0xa
126	110	0x8f834	6309	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x8f834	0x8fafa	709	164	3	699	vm_unobserved_handlers_retdec_batch02.c	function_8f834,function_8f8ae,function_8faf1	0x8f834-0x8f8ae,0x8f8ae-0x8faec,0x8faf1-0x8faf4	unobserved	0	1	dyn/8	+0x2/4,+0x0/2,+0x0/1,+0x1/2,+0x3/2	0xa,0x0,0x170,0xbb,0x71,0x10f	0x170,0x71,0x1dc,0x0,0xa
127	126	0x92615	6315	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x92615	0x929a8	915	213	2	902	vm_unobserved_handlers_retdec_batch04.c	function_92615,function_926c3	0x92615-0x926c3,0x926c3-0x9299b	unobserved	0	1	dyn/8	+0x3/2,+0x6/2,+0x4/2,+0x0/4,+0x2/1,+0x0/2	0xa,0x194,0x0,0xbb,0x81,0x71,0x10f,0x170,0x23	0x71,0x1dc,0x0,0x170,0xa
128	303	0xb769c	6345	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xb769c	0xb78bd	545	125	4	535	vm_unobserved_handlers_retdec_batch01.c	function_b769c,function_b7717,function_b78b2,function_b78b5	0xb769c-0xb7717,0xb7717-0xb78b0,0xb78b2-0xb78b4,0xb78b5-0xb78b6	unobserved	0	1	dyn/8	+0x2/2,+0x0/2,+0x4/2,+0x6/2	0xa,0x170,0x0,0x10f	0x1dc,0x23,0xa
129	342	0xbfb99	6390	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xbfb99	0xbff78	990	224	2	977	vm_unobserved_handlers_retdec_batch04.c	function_bfb99,function_bfc0d	0xbfb99-0xbfc0d,0xbfc0d-0xbff6a	unobserved	0	1	dyn/8	+0x0/2,+0x5/2,+0x3/2,+0x2/2,+0x2/1,+0x9/2,+0x7/2	0xa,0x170,0x199,0x0,0x10f	0x170,0x1dc,0xa
130	353	0xc21c3	6401	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xc21c3	0xc241d	601	135	4	591	vm_unobserved_handlers_retdec_batch01.c	function_c21c3,function_c2241,function_c2414,function_c2417	0xc21c3-0xc2241,0xc2241-0xc240f,0xc2414-0xc2416,0xc2417-0xc2418	unobserved	0	1	dyn/8	+0x0/2,+0x2/4	0xa,0x23,0x170,0x0,0xbb,0x10f	0x170,0x23,0x1dc,0xf3,0xa
131	15	0x7b6cb	6467	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x7b6cb	0x7baf7	1067	244	2	1054	vm_unobserved_handlers_retdec_batch05.c	function_7b6cb,function_7b77c	0x7b6cb-0x7b77c,0x7b77c-0x7bae9	unobserved	0	1	dyn/8	+0x0/4,+0x0/1,+0x3/2,+0x1/2	0xa,0x60,0x0,0x71,0x23,0xe1,0x10f,0x81	0x170,0x71,0x1dc,0x60,0x0,0xa
132	53	0x8371d	6472	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x8371d	0x83b4d	1072	252	2	1059	vm_unobserved_handlers_retdec_batch05.c	function_8371d,function_837cb	0x8371d-0x837cb,0x837cb-0x83b40	unobserved	0	1	dyn/8	+0x0/4,+0x3/2,+0x2/1,+0x0/2	0xa,0x0,0x60,0x23,0x194,0x71,0x10f,0x170	0x170,0x71,0x1dc,0x0,0x60,0xa
133	163	0x99e21	6479	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x99e21	0x9a259	1079	245	2	1067	vm_unobserved_handlers_retdec_batch05.c	function_99e21,function_99e99	0x99e21-0x99e99,0x99e99-0x9a24c	unobserved	0	1	dyn/8	+0x2/2,+0x0/2,+0x4/1	0xa,0x0,0x60,0x194,0x71,0x23,0x10f,0x170	0x170,0x71,0x1dc,0x0,0x60,0xa
134	252	0xacefd	6481	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xacefd	0xad339	1081	245	2	1071	vm_unobserved_handlers_retdec_batch05.c	function_acefd,function_acfb1	0xacefd-0xacfb1,0xacfb1-0xad32c	unobserved	0	1	dyn/8	+0x0/4,+0x2/4,+0x0/2	0x81,0xa,0x170,0x23,0x0,0x194,0x10f	0x170,0x23,0x1dc,0x60,0xa
135	98	0x8c8ec	6530	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x8c8ec	0x8cc8f	930	207	3	920	vm_unobserved_handlers_retdec_batch04.c	function_8c8ec,function_8c99a,function_8cc86	0x8c8ec-0x8c99a,0x8c99a-0x8cc81,0x8cc86-0x8cc89	unobserved	0	1	dyn/8	+0x6/2,+0x4/2,+0x0/4,+0x0/1,+0x3/2,+0x1/2	0xa,0x0,0x60,0xbb,0x81,0xe1,0x71,0x10f,0x170	0x71,0x1dc,0x0,0x60,0x170,0xa
136	149	0x96eb4	6530	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x96eb4	0x9731e	1130	252	2	1117	vm_unobserved_handlers_retdec_batch05.c	function_96eb4,function_96f2a	0x96eb4-0x96f2a,0x96f2a-0x97311	unobserved	0	1	dyn/8	+0x0/2,+0x2/2,+0x4/1	0xa,0x0,0x60,0x194,0x71,0x23,0x10f	0x71,0x170,0x1dc,0x60,0x0,0xa
137	226	0xa6e55	6550	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xa6e55	0xa720b	950	224	3	937	vm_unobserved_handlers_retdec_batch04.c	function_a6e55,function_a6f03,function_a6f79	0xa6e55-0xa6f03,0xa6f03-0xa6f79,0xa6f79-0xa71fe	unobserved	0	2	dyn/8	+0x0/2,+0x2/2,+0x4/2,+0x6/2,+0x0/4,+0x9/2,+0x6/1,+0x7/2	0xa,0xbb,0x170,0x199,0x23,0x10f	0x1dc,0x170,0x23,0xa
138	7	0x799c7	6602	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x799c7	0x79db1	1002	228	3	994	vm_unobserved_handlers_retdec_batch04.c	function_799c7,function_79a3d,function_79da7	0x799c7-0x79a3d,0x79a3d-0x79da3,0x79da7-0x79dad	unobserved	0	1	dyn/8	+0x0/2,+0x3/2,+0x2/2,+0x2/1	0xa,0x60,0x0,0x23,0x194,0x71,0x10f	0x71,0x1dc,0x60,0x0,0x170,0xa
139	139	0x94ddf	6609	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x94ddf	0x951d0	1009	226	3	996	vm_unobserved_handlers_retdec_batch04.c	function_94ddf,function_94e5a,function_951cb	0x94ddf-0x94e5a,0x94e5a-0x951c2,0x951cb-0x951cc	unobserved	0	1	dyn/8	+0x0/4,+0x4/2,+0x2/4,+0x0/2	0x23,0xa,0x170,0x81,0x0,0x194,0xbb,0x10f	0x23,0x170,0x1dc,0x60,0xa
140	205	0xa1a95	6695	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xa1a95	0xa1edd	1095	253	3	1096	vm_unobserved_handlers_retdec_batch05.c	function_a1a95,function_a1b3e,function_a1ecf	0xa1a95-0xa1b3e,0xa1b3e-0xa1ecf,0xa1ecf-0xa2361	unobserved	0	1	dyn/8	+0x1/2,+0x6/2,+0x4/2,+0x0/4,+0x0/1,+0x3/2	0xa,0x71,0x60,0x0,0xbb,0x194,0x10f	0x71,0x1dc,0x60,0x0,0x170,0xa
141	143	0x957d9	6708	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x957d9	0x95b69	908	208	4	903	vm_unobserved_handlers_retdec_batch03.c	function_957d9,function_95887,function_95b5e,function_95b67	0x957d9-0x95887,0x95887-0x95b5c,0x95b5e-0x95b60,0x95b67-0x95b69	unobserved	0	1	dyn/8	+0x6/2,+0x4/2,+0x0/4,+0x0/2	0xa,0x0,0x194,0x81,0x170,0xbb,0x71,0x16f,0x23,0x10f	0x170,0x23,0x1dc,0xa
142	202	0xa13d6	6792	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xa13d6	0xa1946	1392	307	2	1379	vm_unobserved_handlers_retdec_batch05.c	function_a13d6,function_a1484	0xa13d6-0xa1484,0xa1484-0xa1939	unobserved	0	1	dyn/8	+0x6/2,+0x4/2,+0x0/4,+0x2/2,+0x0/2	0x23,0xa,0x170,0x81,0x0,0x194,0xbb,0x10f	0x170,0x23,0x1dc,0x81,0xa
143	270	0xb0930	6889	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xb0930	0xb0e3d	1289	285	3	1285	vm_unobserved_handlers_retdec_batch05.c	function_b0930,function_b09ab,function_b0e32	0xb0930-0xb09ab,0xb09ab-0xb0e30,0xb0e32-0xb0e37	unobserved	0	1	dyn/8	+0x0/4,+0x4/2,+0x0/8,+0x8/2	0xa,0x23,0x170,0x81,0x0,0xbb,0x194,0x10f	0x170,0x23,0x1dc,0x60,0xa
144	29	0x7e7cd	6898	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x7e7cd	0x7ece0	1298	298	3	1288	vm_unobserved_handlers_retdec_batch05.c	function_7e7cd,function_7e849,function_7ecda	0x7e7cd-0x7e849,0x7e849-0x7ecd2,0x7ecda-0x7ecdd	unobserved	0	1	dyn/8	+0x0/2,+0x2/4,+0x2/2	0x81,0xa,0x170,0x23,0x194,0x0,0xbb,0x71,0x10f	0x23,0x170,0x1dc,0x60,0xa
145	1	0x78835	6903	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x78835	0x78c84	1103	244	4	1093	vm_unobserved_handlers_retdec_batch05.c	function_78835,function_788e2,function_78c79,function_78c7f	0x78835-0x788e2,0x788e2-0x78c77,0x78c79-0x78c7b,0x78c7f-0x78c80	unobserved	0	1	dyn/8	+0x6/2,+0x4/2,+0x0/4,+0x2/4,+0x2/8,+0x0/2	0xa,0x23,0x170,0x71,0xbb,0x81,0x194,0x10f	0x170,0x23,0x1dc,0x60,0xa
146	133	0x93ff3	6966	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x93ff3	0x94485	1166	263	4	1160	vm_unobserved_handlers_retdec_batch05.c	function_93ff3,function_9406d,function_9447d,function_94483	0x93ff3-0x9406d,0x9406d-0x94478,0x9447d-0x9447f,0x94483-0x94484	unobserved	0	1	dyn/8	+0x0/2,+0x2/2,+0x0/4,+0x4/2	0xa,0x23,0x170,0x81,0x194,0x0,0x10f	0x23,0x170,0x1dc,0x16f,0x0,0xa
147	113	0x9026f	6987	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x9026f	0x908a3	1587	350	2	1574	vm_unobserved_handlers_retdec_batch06.c	function_9026f,function_90319	0x9026f-0x90319,0x90319-0x90895	unobserved	0	1	dyn/8	+0x6/2,+0x4/2,+0x0/4,+0x2/2,+0x0/2	0x23,0x170,0xa,0x81,0x0,0x194,0xbb,0x71,0x10f	0x23,0x170,0x1dc,0x0,0x16f,0xa
148	21	0x7ca98	7204	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x7ca98	0x7d014	1404	319	4	1394	vm_unobserved_handlers_retdec_batch05.c	function_7ca98,function_7cb43,function_7d009,function_7d00c	0x7ca98-0x7cb43,0x7cb43-0x7d007,0x7d009-0x7d00b,0x7d00c-0x7d00d	unobserved	0	1	dyn/8	+0x0/4,+0x2/1,+0x0/2,+0x3/2	0x81,0xa,0x194,0x23,0x0,0x170,0x60,0x71,0x10f	0x23,0x170,0x71,0x1dc,0x60,0x0,0xa
149	219	0xa517b	7216	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xa517b	0xa5896	1816	400	2	1806	vm_unobserved_handlers_retdec_batch06.c	function_a517b,function_a522e	0xa517b-0xa522e,0xa522e-0xa5889	unobserved	0	1	dyn/8	+0x0/4,+0x0/1,+0x1/2,+0x3/2	0xa,0x170,0x81,0x71,0x23,0x0,0x60,0x194,0x10f	0x170,0x23,0x71,0x1dc,0x0,0x60,0xa
150	11	0x7a4d8	7261	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x7a4d8	0x7ace6	2061	459	1	2048	vm_unobserved_handlers_retdec_batch06.c	function_7a4d8	0x7a4d8-0x7acd8	unobserved	0	1	dyn/8	+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2	0xa,0x12,0xbb,0x10f,0x170	0x12,0x1dc,0x170,0xa
151	132	0x93f79	7288	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x93f79	0x94485	1288	300	5	1282	vm_unobserved_handlers_retdec_batch05.c	function_93f79,function_93ff3,function_9406d,function_9447d,function_94483	0x93f79-0x93ff3,0x93ff3-0x9406d,0x9406d-0x94478,0x9447d-0x9447f,0x94483-0x94484	unobserved	0	2	dyn/8	+0x0/2,+0x2/4,+0x2/2,+0x0/4,+0x4/2	0xa,0x23,0x170,0x81,0xbb,0x194,0x0,0x10f	0x23,0x170,0x1dc,0x16f,0x0,0xa
152	194	0x9faa4	7292	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x9faa4	0xa0078	1492	332	4	1488	vm_unobserved_handlers_retdec_batch05.c	function_9faa4,function_9fb50,function_9fbcd,function_a006d	0x9faa4-0x9fb50,0x9fb50-0x9fbcd,0x9fbcd-0xa006b,0xa006d-0xa0076	unobserved	0	2	dyn/8	+0x4/2,+0x0/4,+0x6/2,+0x0/2,+0x2/2	0xa,0x23,0x170,0x71,0xbb,0x81,0x194,0x10f	0x170,0x23,0x1dc,0x81,0xa
153	318	0xba683	7439	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0xba683	0xbadb2	1839	415	3	1828	vm_unobserved_handlers_retdec_batch06.c	function_ba683,function_ba72f,function_badaa	0xba683-0xba72f,0xba72f-0xbada5,0xbadaa-0xbadac	unobserved	0	1	dyn/8	+0x6/2,+0x4/2,+0x0/4,+0x4/1,+0x0/2,+0x2/2	0xa,0x23,0x170,0x0,0x71,0x81,0x60,0xbb,0x194,0x10f	0x23,0x170,0x71,0x1dc,0x0,0x60,0xa
154	93	0x8bcef	7447	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x8bcef	0x8c42a	1847	414	3	1838	vm_unobserved_handlers_retdec_batch06.c	function_8bcef,function_8bd69,function_8c41e	0x8bcef-0x8bd69,0x8bd69-0x8c41c,0x8c41e-0x8c41f	unobserved	0	1	dyn/8	+0x2/4,+0x0/2,+0x0/1,+0x3/2,+0x1/2	0x170,0xa,0x0,0x23,0x194,0x60,0x71,0xbb,0x81,0x10f	0x23,0x170,0x71,0x1dc,0x60,0x0,0xa
155	32	0x7efa8	7689	tier4_native_call_or_ret_side_effect	audit_call_ret_side_effects_before_inlining	0x7efa8	0x7f7d1	2089	459	3	2079	vm_unobserved_handlers_retdec_batch06.c	function_7efa8,function_7f7c6,function_7f7c9	0x7efa8-0x7f7c4,0x7f7c6-0x7f7c8,0x7f7c9-0x7f7ca	unobserved	0	1	dyn/8	+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2	0xa,0x12,0xbb,0x10f,0x170	0x12,0x1dc,0x170,0xa
