rank	entry	target	priority_score	priority_class	next_action	selected_start	selected_stop	span_bytes	insns	function_count	covered_bytes	sidecar	function_names	function_ranges	semantics_observation	calls	rets	table_reads	ip_reads	frame_reads	frame_writes
70	327	0xbc320	2439	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xbc320	0xbc474	339	75	3	329	vm_unobserved_handlers_retdec_batch00.c	function_bc320,function_bc468,function_bc46b	0xbc320-0xbc466,0xbc468-0xbc46a,0xbc46b-0xbc46c	unobserved	0	0	dyn/8	+0x2/2,+0x0/2,+0x6/2,+0x4/2	0xa,0x10f,0x170,0x194	0x170,0xa
71	109	0x8f6d1	2465	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x8f6d1	0x8f841	365	77	3	363	vm_unobserved_handlers_retdec_batch00.c	function_8f6d1,function_8f838,function_8f840	0x8f6d1-0x8f834,0x8f838-0x8f83f,0x8f840-0x8f841	unobserved	0	0	dyn/8	+0x2/2,+0x6/2,+0x4/2,+0x0/2	0xa,0x194,0x10f,0x170	0x170,0xa
72	115	0x90895	2503	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x90895	0x90a28	403	92	3	393	vm_unobserved_handlers_retdec_batch00.c	function_90895,function_90a1d,function_90a20	0x90895-0x90a1b,0x90a1d-0x90a1f,0x90a20-0x90a21	unobserved	0	0	dyn/8	+0x2/2,+0x0/2,+0x4/2,+0x6/2	0xa,0x23,0x170,0x0,0x10f	0x170,0xa
73	304	0xb7717	2522	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xb7717	0xb78bd	422	88	3	412	vm_unobserved_handlers_retdec_batch00.c	function_b7717,function_b78b2,function_b78b5	0xb7717-0xb78b0,0xb78b2-0xb78b4,0xb78b5-0xb78b6	unobserved	0	0	dyn/8	+0x4/2,+0x2/2,+0x6/2,+0x0/2	0xa,0x170,0x0,0x10f	0x23,0xa
74	135	0x94478	2532	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x94478	0x94629	432	94	3	422	vm_unobserved_handlers_retdec_batch00.c	function_94478,function_9461d,function_94623	0x94478-0x9461b,0x9461d-0x9461f,0x94623-0x94624	unobserved	0	0	dyn/8	+0x0/2,+0x7/2,+0x3/2,+0x5/2	0xa,0x170,0x0,0x199,0x10f	0xa
75	141	0x951c2	2608	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x951c2	0x953bf	508	112	3	498	vm_unobserved_handlers_retdec_batch00.c	function_951c2,function_953b3,function_953b6	0x951c2-0x953b1,0x953b3-0x953b5,0x953b6-0x953b7	unobserved	0	0	dyn/8	+0x6/2,+0x0/2,+0x4/2,+0x2/2	0xa,0x71,0x10f,0x170	0xa
76	341	0xbf889	2694	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xbf889	0xbfba6	794	163	2	787	vm_unobserved_handlers_retdec_batch02.c	function_bf889,function_bfb9b	0xbf889-0xbfb99,0xbfb9b-0xbfb9e	unobserved	0	0	dyn/8	+0x0/2,+0x4/2,+0x2/2,+0x7/2	0xa,0x170,0x199,0x81,0x10f	0x23,0x170,0xa
77	120	0x9106a	2696	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x9106a	0x91387	796	174	2	786	vm_unobserved_handlers_retdec_batch02.c	function_9106a,function_9137e	0x9106a-0x91379,0x9137e-0x91381	unobserved	0	0	dyn/8	+0x4/2,+0x6/2,+0x9/2,+0x8/1,+0x2/2,+0x0/2	0xa,0x71,0x199,0x10f	0x23,0x170,0xa
78	147	0x96918	2708	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x96918	0x96b7b	608	128	3	601	vm_unobserved_handlers_retdec_batch01.c	function_96918,function_96b77,function_96b7a	0x96918-0x96b6e,0x96b77-0x96b79,0x96b7a-0x96b7b	unobserved	0	0	dyn/8	+0x0/1,+0x3/2,+0x1/2	0xa,0x0,0x71,0x23,0x10f	0x71,0x0,0x170,0xa
79	275	0xb180e	2709	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xb180e	0xb1b3a	809	178	2	802	vm_unobserved_handlers_retdec_batch02.c	function_b180e,function_b1b32	0xb180e-0xb1b2d,0xb1b32-0xb1b35	unobserved	0	0	dyn/8	+0x5/2,+0x7/2,+0x9/2,+0x0/1,+0x3/2,+0x1/2	0xa,0x170,0x0,0x199,0x23,0x10f	0x23,0x170,0xa
80	152	0x9768c	2712	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x9768c	0x979b8	812	178	2	804	vm_unobserved_handlers_retdec_batch02.c	function_9768c,function_979b0	0x9768c-0x979ab,0x979b0-0x979b5	unobserved	0	0	dyn/8	+0x9/2,+0x1/2,+0x7/2,+0x0/1,+0x3/2,+0x5/2	0xa,0x170,0x199,0x0,0x10f	0x170,0xa
81	19	0x7c30a	2714	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x7c30a	0x7c638	814	176	2	804	vm_unobserved_handlers_retdec_batch02.c	function_7c30a,function_7c630	0x7c30a-0x7c62b,0x7c630-0x7c633	unobserved	0	0	dyn/8	+0x4/2,+0x2/2,+0x9/2,+0x8/1,+0x0/2,+0x6/2	0xa,0x81,0x199,0x10f,0x170	0x170,0xa
82	296	0xb625d	2747	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xb625d	0xb64e5	647	152	3	637	vm_unobserved_handlers_retdec_batch01.c	function_b625d,function_b64dc,function_b64df	0xb625d-0xb64d7,0xb64dc-0xb64de,0xb64df-0xb64e0	unobserved	0	0	dyn/8	+0x0/1,+0x1/2,+0x3/2	0xa,0x0,0x81,0x194,0x71,0x10f	0x71,0x0,0x170,0xa
83	329	0xbc676	2747	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xbc676	0xbc9c6	847	187	2	837	vm_unobserved_handlers_retdec_batch03.c	function_bc676,function_bc9bd	0xbc676-0xbc9b8,0xbc9bd-0xbc9c0	unobserved	0	0	dyn/8	+0x3/2,+0x0/1,+0x1/2	0xa,0x0,0x170,0x194,0x71,0x10f,0x23	0x170,0x71,0x0,0xa
84	177	0x9c3f7	2760	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x9c3f7	0x9c758	860	194	2	865	vm_unobserved_handlers_retdec_batch03.c	function_9c3f7,function_9c74a	0x9c3f7-0x9c74a,0x9c74a-0x9ca8d	unobserved	0	0	dyn/8	+0x3/2,+0x2/1,+0x0/2	0xa,0x10f	0x199,0x170,0xa
85	103	0x8df9c	2763	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x8df9c	0x8e2fd	863	193	2	856	vm_unobserved_handlers_retdec_batch03.c	function_8df9c,function_8e2f7	0x8df9c-0x8e2ef,0x8e2f7-0x8e2fc	unobserved	0	0	dyn/8	+0x3/2,+0x2/1,+0x0/2	0xa,0x0,0x60,0x81,0x194,0x71,0x10f,0x170	0x71,0x0,0x60,0x170,0xa
86	24	0x7d5ec	2766	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x7d5ec	0x7d94f	866	191	2	860	vm_unobserved_handlers_retdec_batch03.c	function_7d5ec,function_7d945	0x7d5ec-0x7d941,0x7d945-0x7d94c	unobserved	0	0	dyn/8	+0x0/2,+0x4/2,+0x9/2,+0x6/1,+0x7/2,+0x2/2	0xa,0x23,0x199,0x10f,0x170	0x23,0xa
87	343	0xbfc0d	2774	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xbfc0d	0xbff78	874	188	2	875	vm_unobserved_handlers_retdec_batch03.c	function_bfc0d,function_bff6a	0xbfc0d-0xbff6a,0xbff6a-0xc02e4	unobserved	0	0	dyn/8	+0x5/2,+0x3/2,+0x0/2,+0x2/1,+0x9/2,+0x7/2	0xa,0x170,0x199,0x0,0x10f	0x170,0xa
88	51	0x83061	2783	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x83061	0x833d5	883	185	2	873	vm_unobserved_handlers_retdec_batch03.c	function_83061,function_833cc	0x83061-0x833c7,0x833cc-0x833cf	unobserved	0	0	dyn/8	+0x9/2,+0x2/2,+0x0/2,+0x4/1,+0x5/2,+0x7/2	0xa,0x170,0x23,0x199,0x10f	0x23,0x170,0xa
89	8	0x79a3d	2784	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x79a3d	0x79db1	884	192	2	876	vm_unobserved_handlers_retdec_batch03.c	function_79a3d,function_79da7	0x79a3d-0x79da3,0x79da7-0x79dad	unobserved	0	0	dyn/8	+0x3/2,+0x2/1,+0x0/2	0xa,0x60,0x0,0x23,0x194,0x71,0x10f	0x71,0x60,0x0,0x170,0xa
90	277	0xb1fd5	2787	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xb1fd5	0xb2350	887	201	2	887	vm_unobserved_handlers_retdec_batch03.c	function_b1fd5,function_b2346	0xb1fd5-0xb2342,0xb2346-0xb2350	unobserved	0	0	dyn/8	+0x3/2,+0x2/1,+0x0/2	0xa,0x0,0x170,0x60,0x194,0x23,0x71,0x10f	0x71,0x170,0x60,0x0,0xa
91	4	0x792f8	2803	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x792f8	0x79682	903	197	2	896	vm_unobserved_handlers_retdec_batch03.c	function_792f8,function_79677	0x792f8-0x79675,0x79677-0x7967a	unobserved	0	0	dyn/8	+0x0/4,+0x4/2	0x170,0x194,0x23,0x0,0x81,0xa,0x10f	0x170,0x23,0x16f,0x0,0xa
92	212	0xa3a4b	2805	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xa3a4b	0xa3dd4	905	189	2	897	vm_unobserved_handlers_retdec_batch03.c	function_a3a4b,function_a3dc9	0xa3a4b-0xa3dc7,0xa3dc9-0xa3dce	unobserved	0	0	dyn/8	+0x0/2,+0x4/2,+0x6/2,+0x2/2	0xa,0x170,0x199,0x23,0x10f	0x23,0x170,0xa
93	211	0xa36c9	2811	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xa36c9	0xa3a59	911	197	2	901	vm_unobserved_handlers_retdec_batch04.c	function_a36c9,function_a3a4d	0xa36c9-0xa3a4b,0xa3a4d-0xa3a50	unobserved	0	0	dyn/8	+0x0/4,+0x0/8,+0x8/2	0x81,0x23,0x170,0xa,0x71,0x10f	0x23,0x170,0x60,0xa
94	312	0xb87aa	2833	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xb87aa	0xb8b4f	933	205	2	923	vm_unobserved_handlers_retdec_batch04.c	function_b87aa,function_b8b47	0xb87aa-0xb8b42,0xb8b47-0xb8b4a	unobserved	0	0	dyn/8	+0x0/1,+0x1/2,+0x3/2	0x194,0x81,0xa,0x0,0x60,0x170,0x23,0x71,0x10f	0x170,0x71,0x23,0x0,0x60,0xa
95	104	0x8e2ef	2875	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x8e2ef	0x8e6c2	975	208	2	977	vm_unobserved_handlers_retdec_batch04.c	function_8e2ef,function_8e6b6	0x8e2ef-0x8e6b4,0x8e6b6-0x8e6c2	unobserved	0	0	dyn/8	+0x0/1,+0x1/2,+0x3/2	0x23,0xa,0x60,0x0,0x194,0x71,0x10f,0x170	0x23,0x71,0x60,0x0,0xa
96	27	0x7dfbf	2889	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x7dfbf	0x7e39d	989	203	2	982	vm_unobserved_handlers_retdec_batch04.c	function_7dfbf,function_7e392	0x7dfbf-0x7e390,0x7e392-0x7e397	unobserved	0	0	dyn/8	+0x3/2,+0x2/1,+0x0/2	0xa,0x170,0x10f	0x199,0x170,0xa
97	89	0x8b028	2893	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x8b028	0x8b342	793	174	3	783	vm_unobserved_handlers_retdec_batch02.c	function_8b028,function_8b336,function_8b339	0x8b028-0x8b334,0x8b336-0x8b338,0x8b339-0x8b33a	unobserved	0	0	dyn/8	+0x1/2,+0x5/2,+0x3/2,+0x0/1,+0x7/2,+0x9/2	0xa,0x199,0x81,0x10f,0x170,0x23	0x170,0xa
98	230	0xa757f	2965	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xa757f	0xa79a9	1065	236	2	1063	vm_unobserved_handlers_retdec_batch04.c	function_a757f,function_a799e	0xa757f-0xa799b,0xa799e-0xa79a9	unobserved	0	0	dyn/8	+0x4/1,+0x0/2,+0x2/2	0x81,0x71,0x0,0xa,0x60,0x23,0x194,0x170,0x10f	0x170,0x23,0x71,0x60,0x0,0xa
99	294	0xb5d7c	2978	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xb5d7c	0xb60ed	878	201	3	876	vm_unobserved_handlers_retdec_batch03.c	function_b5d7c,function_b60e2,function_b60e7	0xb5d7c-0xb60e0,0xb60e2-0xb60e4,0xb60e7-0xb60ed	unobserved	0	0	dyn/8	+0x0/2,+0x4/1,+0x2/2	0xa,0x10f,0x170	0x199,0x170,0xa
100	2	0x788e2	3030	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x788e2	0x78c84	930	197	3	920	vm_unobserved_handlers_retdec_batch04.c	function_788e2,function_78c79,function_78c7f	0x788e2-0x78c77,0x78c79-0x78c7b,0x78c7f-0x78c80	unobserved	0	0	dyn/8	+0x2/4,+0x2/8,+0x0/2	0x23,0xa,0x170,0x71,0x81,0x194,0x10f	0x170,0x23,0x60,0xa
101	166	0x9a46e	3031	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x9a46e	0x9a8df	1131	250	2	1125	vm_unobserved_handlers_retdec_batch05.c	function_9a46e,function_9a8d4	0x9a46e-0x9a8d2,0x9a8d4-0x9a8d5	unobserved	0	0	dyn/8	+0x2/4,+0x0/2	0x170,0x23,0x81,0x71,0xa,0x0,0x10f	0x170,0x23,0x16f,0x0,0xa
102	271	0xb09ab	3066	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xb09ab	0xb0e3d	1166	248	2	1162	vm_unobserved_handlers_retdec_batch05.c	function_b09ab,function_b0e32	0xb09ab-0xb0e30,0xb0e32-0xb0e37	unobserved	0	0	dyn/8	+0x0/4,+0x0/8,+0x8/2	0x23,0x170,0xa,0x81,0x0,0x194,0x10f	0x170,0x23,0x60,0xa
103	10	0x7a04f	3070	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x7a04f	0x7a4e6	1170	259	2	1164	vm_unobserved_handlers_retdec_batch05.c	function_7a04f,function_7a4e3	0x7a04f-0x7a4d8,0x7a4e3-0x7a4e6	unobserved	0	0	dyn/8	+0x4/1,+0x2/2,+0x0/2	0x0,0x170,0x81,0x194,0xa,0x23,0x60,0x71,0x10f	0x170,0x23,0x71,0x0,0x60,0xa
104	249	0xac440	3075	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xac440	0xac80f	975	206	3	965	vm_unobserved_handlers_retdec_batch04.c	function_ac440,function_ac804,function_ac807	0xac440-0xac802,0xac804-0xac806,0xac807-0xac808	unobserved	0	0	dyn/8	+0x9/2,+0x4/2,+0x2/2,+0x8/1,+0x6/2,+0x0/2	0xa,0x81,0x23,0x199,0x10f,0x170	0x23,0x170,0xa
105	207	0xa1ecf	3083	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xa1ecf	0xa236e	1183	256	2	1173	vm_unobserved_handlers_retdec_batch05.c	function_a1ecf,function_a2366	0xa1ecf-0xa2361,0xa2366-0xa2369	unobserved	0	0	dyn/8	+0x0/4,+0x4/2	0x23,0x81,0x170,0x0,0xa,0x194,0x10f	0x170,0x16f,0x0,0x23,0xa
106	134	0x9406d	3144	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x9406d	0x94485	1044	226	3	1038	vm_unobserved_handlers_retdec_batch04.c	function_9406d,function_9447d,function_94483	0x9406d-0x94478,0x9447d-0x9447f,0x94483-0x94484	unobserved	0	0	dyn/8	+0x0/4,+0x4/2	0x23,0x170,0x81,0xa,0x194,0x0,0x10f	0x23,0x170,0x16f,0x0,0xa
107	223	0xa6470	3215	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0xa6470	0xa68cf	1115	244	3	1116	vm_unobserved_handlers_retdec_batch05.c	function_a6470,function_a68c4,function_a68ca	0xa6470-0xa68c2,0xa68c4-0xa68c9,0xa68ca-0xa68cf	unobserved	0	0	dyn/8	+0x2/1,+0x3/2,+0x0/2	0x81,0x71,0xa,0x60,0x0,0x194,0x23,0x10f,0x170	0x170,0x71,0x60,0x0,0xa
