program	path	entrypoint	start	end	size	blocks	ir_rows	mba_cases	mba_ready_cases	mba_missing_cases	row_kind_mix	edge_kind_mix	mba_edge_kind_mix	state_ir_mix	byte_status_mix	top_source_entries	top_target_entries	primary_trace_rows	primary_trace_unique_ips	primary_trace_kind_mix	top_primary_trace_sources	top_primary_trace_targets	state_inlined	state_summarized	state_preserved	concrete_next_entry	decoded_long_control	folded_internal_edges	folded_hidden_span_edges	folded_external_edges	string_ref_count	strings	status	semantic_gap	next_action
052	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_052.c	vm_program_atlas_052_decompiled_folded	0x33b647	0x33d2d9	0x1c92	5	1891	5	5	0	exact_instruction:1889,long_branch_forward:1,long_branch_backedge:1	decoded_control:2,covered_synthetic_fallthrough:2,fallthrough:1	decoded_control:2,covered_synthetic_fallthrough:2,fallthrough:1	state_add_const:1692,state_mixed:135,state_const_post:49,state_preserve:13,sampled_long_or_sparse:1,sampled_backedge:1	exact:1889,prefix_32_of_1828:1:1,backedge_sample:4:1	18:66,337:58,189:57,28:55,347:54,297:50,258:50,340:46	18:66,337:58,189:57,28:55,347:54,297:50,258:50,340:46	3374	1891	tail:3369,dispatch:5	18:112,28:100,337:92,340:88,189:87,258:86,43:85,347:82	18:112,28:100,337:92,340:88,189:87,258:86,43:84,347:82	1883	0	8	1889	2	3	1	1	2	dropping unexpected ChangeCipherSpec; GLIBC_2.17	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
053	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_053.c	vm_program_atlas_053_decompiled_folded	0x33db28	0x33e849	0xd21	9	853	9	9	0	exact_instruction:851,long_branch_forward:2	covered_synthetic_fallthrough:6,decoded_control:2,fallthrough:1	covered_synthetic_fallthrough:6,decoded_control:2,fallthrough:1	state_add_const:743,state_mixed:86,state_const_post:18,state_preserve:4,sampled_long_or_sparse:1,sampled_backedge:1	exact:851,prefix_32_of_1938:3:1,prefix_32_of_96:9:1	340:36,337:36,189:32,258:32,28:31,18:30,297:27,307:26	340:36,337:36,189:32,258:32,28:31,18:29,297:27,307:26	7767	853	tail:7767	340:342,337:342,189:303,258:303,28:282,18:279,215:249,297:249	340:342,337:342,189:303,258:303,28:282,18:270,215:249,297:249	848	0	5	851	2	1	6	2	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
054	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_054.c	vm_program_atlas_054_decompiled_folded	0x33e889	0x33ea02	0x179	2	92	2	2	0	exact_instruction:90,long_branch_backedge:1,sampled_operand_backedge:1	decoded_control:2	decoded_control:2	state_add_const:81,state_mixed:5,state_const_post:4,sampled_backedge:2	exact:90,backedge_sample:9:1,backedge_sample:1:1	174:6,189:5,258:5,199:4,108:4,215:4,337:3,297:3	174:6,189:5,258:5,199:4,108:4,215:4,337:3,297:3	400	92	tail:399,dispatch:1	108:24,189:21,199:18,320:18,174:18,337:15,297:15,258:15	108:24,189:21,199:18,320:18,174:18,337:15,297:15,258:15	91	0	1	91	1	0	0	2	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
055	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_055.c	vm_program_atlas_055_decompiled_folded	0x33f278	0x34556c	0x62f4	45	6540	45	45	0	exact_instruction:6511,long_branch_forward:14,long_branch_backedge:14,sampled_operand_backedge:1	decoded_control:29,fallthrough:14,covered_synthetic_fallthrough:2	decoded_control:29,fallthrough:14,covered_synthetic_fallthrough:2	state_add_const:4031,state_mixed:365,state_const_post:174,state_preserve:24,sampled_backedge:14,sampled_long_or_sparse:10,exact:5	exact:6511,prefix_32_of_48:1:6,backedge_sample:2:5,prefix_32_of_648:1:4,backedge_sample:10:3,prefix_32_of_651:1:3,backedge_sample:1:2,backedge_sample:4:2	28:187,18:184,258:172,66:169,189:168,64:166,114:164,340:164	28:187,18:184,258:171,66:168,189:166,64:166,114:164,340:164	11755	6540	tail:11736,dispatch:19	28:355,189:311,18:300,340:297,66:293,258:275,114:273,337:273	28:355,18:300,189:299,340:297,66:292,114:273,337:273,258:270	6493	0	47	6512	28	42	1	2	17	_ITM_registerTMCloneTable; __freelocale; NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE; /home/richard/code/mbedtls/library/ssl_tls.c; pthread_cond_timedwait; pthread_mutex_destroy; uname	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
056	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_056.c	vm_program_atlas_056_decompiled_folded	0x3603af	0x36525e	0x4eaf	22	5215	22	22	0	exact_instruction:5203,long_branch_forward:7,long_branch_backedge:5	decoded_control:12,fallthrough:5,covered_synthetic_fallthrough:5	decoded_control:12,fallthrough:5,covered_synthetic_fallthrough:5	state_add_const:290,state_mixed:193,state_const_post:94,state_preserve:23,sampled_backedge:6,sampled_long_or_sparse:4,exact:2	exact:5203,prefix_32_of_651:1:2,backedge_sample:3:2,prefix_32_of_529:1:2,backedge_sample:1:2,prefix_32_of_648:1:1,backedge_sample:2:1,prefix_32_of_47:1:1	337:178,18:174,66:161,340:160,189:151,64:145,28:143,114:140	337:178,18:174,66:161,340:160,189:151,64:145,28:142,114:139	6962	5215	tail:6944,dispatch:18	18:228,337:220,66:206,340:193,189:189,64:184,114:177,28:173	18:228,337:220,66:206,340:193,189:189,64:184,114:176,28:172	5177	0	38	5203	12	16	5	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
057	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_057.c	vm_program_atlas_057_decompiled_folded	0x365458	0x3654a8	0x50	1	14	1	1	0	exact_instruction:13,long_branch_forward:1	decoded_control:1	decoded_control:1	state_const_post:1,sampled_long_or_sparse:1	exact:13,prefix_32_of_88:1:1	165:2,28:2,189:1,268:1,253:1,220:1,173:1,258:1	28:2,189:1,268:1,253:1,220:1,173:1,165:1,258:1	14	14	tail:14	165:2,28:2,189:1,268:1,253:1,220:1,173:1,258:1	28:2,189:1,268:1,253:1,220:1,173:1,165:1,258:1	13	0	1	13	1	0	0	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
058	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_058.c	vm_program_atlas_058_decompiled_folded	0x3654e0	0x3655e4	0x104	1	70	1	1	0	exact_instruction:70	covered_synthetic_fallthrough:1	covered_synthetic_fallthrough:1	state_const_post:3,state_add_const:2,state_mixed:1	exact:70	189:6,258:6,176:5,18:4,185:3,340:3,158:3,66:3	189:6,258:6,176:5,18:4,185:3,340:3,158:3,66:3	70	70	tail:70	189:6,258:6,176:5,18:4,185:3,340:3,158:3,66:3	189:6,258:6,176:5,18:4,185:3,340:3,158:3,66:3	70	0	0	70	0	0	0	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
059	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_059.c	vm_program_atlas_059_decompiled_folded	0x3674c3	0x369a93	0x25d0	24	2468	24	24	0	exact_instruction:2460,long_branch_forward:5,long_branch_backedge:3	covered_synthetic_fallthrough:12,decoded_control:8,fallthrough:4	covered_synthetic_fallthrough:12,decoded_control:8,fallthrough:4	state_add_const:120,state_mixed:89,state_const_post:39,sampled_long_or_sparse:4,state_preserve:4,sampled_backedge:3,exact:1	exact:2460,prefix_32_of_48:1:1,backedge_sample:39:1,prefix_32_of_648:1:1,backedge_sample:9:1,prefix_32_of_651:1:1,backedge_sample:3:1,prefix_32_of_1937:1:1	66:82,340:81,189:79,114:77,18:73,28:72,64:70,258:68	66:82,340:80,189:79,114:76,18:73,28:72,64:70,258:68	8056	2468	tail:8056	340:278,66:259,114:250,189:223,297:216,347:211,215:210,199:207	340:275,66:259,189:223,297:216,114:211,215:210,347:210,199:207	2455	0	13	2460	8	10	12	2	4	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w; _ITM_registerTMCloneTable; __freelocale; basic_string::_S_construct null not valid	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
060	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_060.c	vm_program_atlas_060_decompiled_folded	0x369ad3	0x36a0bc	0x5e9	4	387	4	4	0	exact_instruction:385,long_branch_backedge:1,sampled_operand_backedge:1	decoded_control:2,covered_synthetic_fallthrough:2	decoded_control:2,covered_synthetic_fallthrough:2	state_add_const:14,state_mixed:12,state_const_post:5,sampled_backedge:2,state_preserve:1	exact:385,backedge_sample:3:1,backedge_sample:1:1	18:21,337:18,64:18,347:17,114:15,185:14,199:13,123:13	18:21,337:18,64:18,347:17,114:15,185:14,199:13,123:13	429	387	tail:428,dispatch:1	18:23,337:20,347:19,64:18,114:15,185:14,28:13,199:13	18:23,337:20,347:19,64:18,114:15,185:14,28:13,199:13	385	0	2	386	1	0	2	2	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
061	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_061.c	vm_program_atlas_061_decompiled_folded	0x36b124	0x36d4e4	0x23c0	22	2335	22	22	0	exact_instruction:2329,long_branch_forward:4,long_branch_backedge:2	covered_synthetic_fallthrough:13,decoded_control:6,fallthrough:3	covered_synthetic_fallthrough:13,decoded_control:6,fallthrough:3	state_add_const:123,state_mixed:108,state_const_post:48,state_preserve:4,sampled_long_or_sparse:3,sampled_backedge:2,exact:1	exact:2329,prefix_32_of_48:1:1,backedge_sample:41:1,prefix_32_of_648:1:1,backedge_sample:10:1,prefix_32_of_1937:1:1,prefix_32_of_96:3:1	18:87,114:80,258:79,337:77,340:74,215:72,189:68,28:64	18:87,114:80,258:79,337:77,340:74,215:72,189:68,28:64	8004	2335	tail:8004	18:340,258:281,114:262,189:255,199:254,66:236,347:234,337:229	18:340,258:281,114:262,189:255,199:244,66:236,347:234,337:229	2325	0	10	2329	6	7	13	2	2	_ITM_registerTMCloneTable; __freelocale	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
062	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_062.c	vm_program_atlas_062_decompiled_folded	0x36d524	0x36db0d	0x5e9	4	387	4	4	0	exact_instruction:385,long_branch_backedge:1,sampled_operand_backedge:1	decoded_control:2,covered_synthetic_fallthrough:2	decoded_control:2,covered_synthetic_fallthrough:2	state_add_const:22,state_mixed:20,state_const_post:9,sampled_backedge:2,state_preserve:1	exact:385,backedge_sample:3:1,backedge_sample:1:1	28:19,337:19,114:18,18:17,258:16,185:14,64:14,66:13	28:19,337:19,114:18,18:17,258:16,185:14,64:14,66:13	429	387	tail:428,dispatch:1	114:22,18:19,28:19,337:19,258:16,185:14,64:14,43:13	114:22,18:19,28:19,337:19,258:16,185:14,64:14,43:13	385	0	2	386	1	0	2	2	1	:$23	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
063	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_063.c	vm_program_atlas_063_decompiled_folded	0x36ecdc	0x3715ae	0x28d2	28	2661	28	28	0	exact_instruction:2650,long_branch_forward:8,long_branch_backedge:3	decoded_control:11,covered_synthetic_fallthrough:11,fallthrough:6	decoded_control:11,covered_synthetic_fallthrough:11,fallthrough:6	state_add_const:125,state_mixed:98,state_const_post:48,sampled_long_or_sparse:6,sampled_backedge:5,state_preserve:3	exact:2650,prefix_32_of_48:1:1,backedge_sample:22:1,prefix_32_of_648:1:1,backedge_sample:5:1,prefix_32_of_651:1:1,backedge_sample:2:1,prefix_32_of_633:1:1	18:93,28:89,337:85,66:76,114:75,347:71,64:68,340:68	18:93,28:89,337:85,66:75,114:75,347:70,64:68,340:68	44029	2661	tail:44029	340:1457,28:1430,18:1351,337:1341,66:1261,64:1137,258:1088,297:1079	340:1456,28:1430,18:1351,337:1341,66:1236,64:1137,258:1088,297:1079	2645	0	16	2650	11	14	11	3	4	pclose; _ITM_registerTMCloneTable; __freelocale; client hello, adding server name extension: %s	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
064	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_064.c	vm_program_atlas_064_decompiled_folded	0x3716c7	0x37176c	0xa5	2	35	2	2	0	exact_instruction:33,long_branch_backedge:1,long_branch_forward:1	decoded_control:2	decoded_control:2	state_const_post:3,sampled_backedge:1,state_add_const:1,sampled_long_or_sparse:1	exact:33,backedge_sample:125:1,prefix_32_of_120:25:1	354:2,347:2,154:2,301:2,18:2,140:2,189:2,108:2	347:2,154:2,301:2,18:2,140:2,189:2,108:2,196:2	2975	35	tail:2975	140:250,108:250,354:150,347:150,154:150,301:150,18:150,189:150	140:250,108:250,347:150,154:150,301:150,18:150,189:150,268:125	33	0	2	33	2	0	0	2	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
065	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_065.c	vm_program_atlas_065_decompiled_folded	0x3717c4	0x371ff7	0x833	6	529	6	6	0	exact_instruction:527,long_branch_backedge:1,sampled_operand_backedge:1	covered_synthetic_fallthrough:4,decoded_control:2	covered_synthetic_fallthrough:4,decoded_control:2	state_add_const:27,state_mixed:18,state_const_post:6,state_preserve:3,exact:1,sampled_backedge:1	exact:527,backedge_sample:25:1,backedge_sample:1:1	307:24,340:23,114:23,28:21,64:20,66:18,347:18,18:18	307:24,340:23,114:23,28:21,64:20,66:18,347:18,18:18	4441	529	tail:4440,dispatch:1	64:284,18:234,114:191,307:168,347:162,189:161,215:157,28:141	64:284,18:234,114:191,307:168,347:162,189:161,215:157,28:141	526	0	3	528	1	0	4	2	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
