start_vm_ip	source_entry	source_target	delta	bytes	byte_status	count	top_targets	top_site	state_class	state_events	top_state_add	top_flag_add	top_byte_add	state_affine_status	state_affine_cv_status	state_affine_cv_pct	state_affine_terms	state_static_pct	state_static_mismatches	static_dispatch_pct	static_dispatch_mismatches	static_ip_pct	static_ip_mismatches	dispatch_model	dispatch_model_pct	target_reg	slot_kind	slot_reg_or_temp	byte_index_reg	static_load_site	static_index_add_site	tail_role_events	dispatch_formula	dispatch_formula_class	dispatch_formula_pct	dispatch_affine_status	dispatch_affine_pct	dispatch_affine_terms	dispatch_affine_cv_status	dispatch_affine_cv_pct
0x22ff8d	43	0x8173d	+0x4	b77ba301	exact	256	199@0xa0631:256	0x81b7c	state_add_const	256	-0x4001ff6d:256	+0x1d7738d8:256	+0x0:256	fit	robust	100.0	17	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	rax	r14			5310	constant:0xd0	constant_target	11.2	inconsistent	0.0	0	no_train_fit	0.0
0x22ff91	199	0xa0631	+0x3	86c159	exact	256	127@0x926c3:256	0xa0a9c	state_add_const	256	+0x4f528846:256	+0x113b31c2:256	+0xd8:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rax	live_slot	r11	r8			6207	constant:0x810	constant_target	8.2	inconsistent	0.0	0	no_train_fit	0.0
0x22ff94	127	0x926c3	+0x5	df22c93d01	exact	256	108@0x8f24b:256	0x92998	state_add_const	256	-0x4f5afe00:256	+0x0:256	+0x0:256	fit	robust	100.0	48	100.0	0	100.0	0	100.0	0	static_100	100.0	r14	live_slot	rsi	r12			384	constant:0x360	constant_target	66.7	fit	100.0	16	robust	100.0
0x22ff99	108	0x8f24b	+0x2	ce1e	exact	256	337@0xbec0e:256	0x8f6cf	state_add_const	256	+0x3bb16f7a:256	+0x0:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rcx	live_slot	r15	rdi			2430	constant:0xa88	constant_target	12.8	inconsistent	0.0	0	no_train_fit	0.0
0x22ff9b	337	0xbec0e	+0x4	f3965005	exact	256	253@0xacfb1:256	0xbf126	state_add_const	256	+0x42524c8c:256	-0xa7e99e0:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rbx	live_slot	r10	r11			7506	constant:0x210	constant_target	6.4	inconsistent	0.0	0	no_train_fit	0.0
0x22ff9f	253	0xacfb1	+0x6	46c134a10408	exact	256	297@0xb64d7:256	0xad329	state_add_const	256	-0x9e09c64:256	+0xc360330:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	rdi	rdx			708	constant:0x948	constant_target	37.6	inconsistent	0.0	0	no_train_fit	0.0
0x22ffa5	297	0xb64d7	+0x3	fca726	exact	256	203@0xa1484:256	0xb68ff	state_add_const	256	-0x21cd5cf:256	+0xe00fc8a:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r13	live_slot	rcx	r15			6487	constant:0x620	constant_target	8.7	inconsistent	0.0	0	no_train_fit	0.0
0x22ffa8	203	0xa1484	+0x4	a7993fba	exact	256	52@0x833c7:256	0xa1936	state_add_const	256	-0x713bd5bc:256	+0xb171ba6:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r12	live_slot	r14	rdi			3283	post&0x1fff	state_expr	18.2	fit	100.0	9	robust	100.0
0x22ffac	52	0x833c7	+0x5	82b0473d01	exact	256	75@0x873fc:256	0x8371b	state_add_const	256	+0x78e10258:256	+0x0:256	+0x0:256	fit	partial	98.8	311	100.0	0	100.0	0	100.0	0	static_100	100.0	rcx	live_slot	rax				726	constant:0x258	constant_target	39.4	fit	100.0	147	partial	98.8
0x22ffea	165	0x9a24c	+0x2	7200	exact	256	114@0x90319:256	0x9a46b	state_const_post	271	+0x7c453249:255,-0x3a62e032:14,-0x100:1,-0x1054e34a:1	-0xc4000d0:255,-0x3121fe2f:14,-0x34028945:1,-0x3ff05e38:1	+0x0:271	fit	robust	100.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r9	live_slot	rcx				632	(u16_0&0x1ff)*8	other_expr	100.0	fit	100.0	9	robust	100.0
0x22ffec	114	0x90319	+0x4	d95ea6ac	exact	256	30@0x7e849:256	0x90893	state_add_const	256	-0x667ea8aa:256	+0x0:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rdi	live_slot	r11	rdx			7732	constant:0x210	constant_target	9.0	inconsistent	0.0	0	no_train_fit	0.0
0x22fff0	30	0x7e849	+0x4	b664cf57	exact	256	203@0xa1484:256	0x7ecd0	state_add_const	256	+0x64fd160c:256	+0x72c68380:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rdi	live_slot	r11	r9			1050	constant:0x658	constant_target	25.6	inconsistent	0.0	0	no_train_fit	0.0
0x22fff4	203	0xa1484	+0x4	4f91aff7	exact	256	297@0xb64d7:256	0xa1936	state_add_const	256	+0x2449b9e:256	-0x46a108fc:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r12	live_slot	r14	rdi			3283	post&0x1fff	state_expr	18.2	fit	100.0	9	robust	100.0
0x22fff8	297	0xb64d7	+0x3	c3fc4e	exact	256	301@0xb708d:256	0xb68ff	state_add_const	256	-0x52bf090f:256	+0xe00fc8a:256	+0x16:255,+0x0:1	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r13	live_slot	rcx	r15			6487	constant:0x620	constant_target	8.7	inconsistent	0.0	0	no_train_fit	0.0
0x22fffb	301	0xb708d	+0x5	003d014768	exact	256	173@0x9ba74:256	0xb7583	state_add_const	256	-0x2a178d89:256	+0x20797c0f:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	rax	rbx			2037	constant:0x500	constant_target	26.4	inconsistent	0.0	0	no_train_fit	0.0
0x230000	173	0x9ba74	+0x2	af82	exact	256	64@0x85059:256	0x9bd8c	state_mixed	257	+0x7c138f98:256,-0x1d3045de:1	-0xa9fefdd:256,-0xb1fd377:1	+0x0:257	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r11	live_slot	r12	r9			2374	constant:0x200	constant_target	14.4	inconsistent	0.0	0	no_train_fit	0.0
0x230002	64	0x85059	+0x4	338a93fd	exact	256	121@0x91379:256	0x8536e	state_add_const	256	+0x14025238:256	+0x729dddb0:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r13	live_slot	rsi	r14			6177	constant:0x638	constant_target	9.9	inconsistent	0.0	0	no_train_fit	0.0
0x230006	121	0x91379	+0x4	7b93372f	exact	256	307@0xb8064:256	0x9170b	state_add_const	256	-0x57d9051d:256	+0x13302830:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rdx	live_slot	r10	rsi			740	constant:0x998	constant_target	36.8	inconsistent	0.0	0	no_train_fit	0.0
0x23000a	307	0xb8064	+0x3	709dae	exact	256	157@0x98a9a:256	0xb837a	state_add_const	256	-0x7aa74e1b:256	+0x7fb3ffe0:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rcx	live_slot	rdx	r13			7052	constant:0x570	constant_target	6.4	inconsistent	0.0	0	no_train_fit	0.0
0x23000d	157	0x98a9a	+0x4	87ced300	exact	256	201@0xa0dca:256	0x99026	state_add_const	256	-0x29ad36e8:256	-0x473b18b9:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r9	live_slot	rcx	rdi			4834	constant:0x210	constant_target	8.8	inconsistent	0.0	0	no_train_fit	0.0
