segment	program	program_range	start_seq	end_seq	row_count	first_vm_ip	last_vm_ip	last_end_vm_ip	first_source_entry	last_source_entry	first_target_entry	last_target_entry	behavior_tags	confidence	string_refs	top_strings	outgoing_targets	external_or_exit_edges
56	043	0x31df8f..0x31e862	153048	153170	123	0x31e24d	0x31e428	0x31e42c	165	161	333	356	control_transfer_or_native_bridge_candidate	low	0		043:7,048:1,052:1,044:1	0
57	050	0x337e84..0x33a350	153171	156864	3694	0x337e84	0x339fab	0x339faf	169	20	354	216	control_transfer_or_native_bridge_candidate	low	0		050:14,051:1	0
58	053	0x33db28..0x33e849	156865	157716	852	0x33db28	0x33e829	0x33e889	310	75	171	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
59	054	0x33e889..0x33ea02	157717	157737	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
60	053	0x33db28..0x33e849	157738	158466	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
61	054	0x33e889..0x33ea02	158467	158487	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
62	053	0x33db28..0x33e849	158488	159216	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
63	054	0x33e889..0x33ea02	159217	159237	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
64	053	0x33db28..0x33e849	159238	159516	279	0x33dd15	0x33e14c	0x33e8de	165	246	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
65	054	0x33e889..0x33ea02	159517	159586	70	0x33e8de	0x33e9de	0x33e9e2	165	20	199	299	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
66	050	0x337e84..0x33a350	159587	159818	232	0x339fbd	0x33a330	0x33a385	354	308	18	354	control_transfer_or_native_bridge_candidate	low	0		050:14,051:1	0
67	051	0x33a385..0x33a6cc	159819	160038	220	0x33a385	0x33a6c8	0x33a6cc	354	176	254	299	control_transfer_or_native_bridge_candidate	low	0		051:1,external_or_exit:1	1
68	043	0x31df8f..0x31e862	160039	160162	124	0x31e43a	0x31e619	0x33b647	354	95	297	42	control_transfer_or_native_bridge_candidate	low	0		043:7,048:1,052:1,044:1	0
69	052	0x33b647..0x33d2d9	160163	163536	3374	0x33b647	0x33d2d5	0x33d2d9	42	176	310	195	tls_or_ssl;host_environment	medium	2	dropping unexpected ChangeCipherSpec || GLIBC_2.17	052:4,external_or_exit:1	1
70	043	0x31df8f..0x31e862	163537	163666	130	0x31e627	0x31e842	0x31ea5c	165	246	64	354	control_transfer_or_native_bridge_candidate	low	0		043:7,048:1,052:1,044:1	0
71	044	0x31ea5c..0x31eaac	163667	163680	14	0x31ea5c	0x31ea8c	0x31eae4	354	316	268	354	control_transfer_or_native_bridge_candidate	low	0		045:1	0
72	045	0x31eae4..0x31f2b1	163681	164200	520	0x31eae4	0x31f2ad	0x31f2b1	354	184	273	195	threading_sync	low_to_medium	1	pthread_cond_wait	045:3,external_or_exit:1	1
73	010	0x11c2aa..0x11de59	164201	164324	124	0x11d929	0x11db08	0x33f278	354	278	157	323	control_transfer_or_native_bridge_candidate	low	0		010:12,055:1,056:1,011:1	0
74	055	0x33f278..0x34556c	164325	173819	9495	0x33f278	0x34355f	0x30e872	323	311	310	42	tls_or_ssl;threading_sync;host_environment;cxx_runtime	medium	17	_ITM_registerTMCloneTable || __freelocale || NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE || /home/richard/code/mbedtls/library/ssl_tls.c || ...+3	055:43,041:1,external_or_exit:1	1
75	041	0x30e872..0x316692	173820	676320	502501	0x30e872	0x316672	0x343569	42	175	169	310	crypto_hashing;cxx_runtime;disassembly_metadata	medium	5	_ITM_registerTMCloneTable || __freelocale || blake3_hasher_finalize || unsigned __int128 || ...+1	041:12,055:1	0
76	055	0x33f278..0x34556c	676321	678580	2260	0x343569	0x345568	0x34556c	310	176	171	175	tls_or_ssl;threading_sync;host_environment;cxx_runtime	medium	17	_ITM_registerTMCloneTable || __freelocale || NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE || /home/richard/code/mbedtls/library/ssl_tls.c || ...+3	055:43,041:1,external_or_exit:1	1
77	010	0x11c2aa..0x11de59	678581	678704	124	0x11db16	0x11dcf5	0x3603af	354	278	203	86	control_transfer_or_native_bridge_candidate	low	0		010:12,055:1,056:1,011:1	0
78	056	0x3603af..0x36525e	678705	685298	6594	0x3603af	0x364c64	0x364c68	86	158	169	264	control_transfer_or_native_bridge_candidate	low	0		056:21,057:1	0
79	059	0x3674c3..0x369a93	685299	691617	6319	0x3674c3	0x369a73	0x369ad3	169	145	165	354	cxx_runtime	medium	4	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w || _ITM_registerTMCloneTable || __freelocale || basic_string::_S_construct null not valid	059:22,060:2	0
80	060	0x369ad3..0x36a0bc	691618	691638	21	0x369ad3	0x369b20	0x368f60	354	117	121	165	control_transfer_or_native_bridge_candidate	low	0		060:2,059:1,056:1	0
81	059	0x3674c3..0x369a93	691639	692367	729	0x368f60	0x369a73	0x369ad3	165	145	200	354	cxx_runtime	medium	4	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w || _ITM_registerTMCloneTable || __freelocale || basic_string::_S_construct null not valid	059:22,060:2	0
82	060	0x369ad3..0x36a0bc	692368	692388	21	0x369ad3	0x369b20	0x368f60	354	117	121	165	control_transfer_or_native_bridge_candidate	low	0		060:2,059:1,056:1	0
83	059	0x3674c3..0x369a93	692389	693117	729	0x368f60	0x369a73	0x369ad3	165	145	200	354	cxx_runtime	medium	4	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w || _ITM_registerTMCloneTable || __freelocale || basic_string::_S_construct null not valid	059:22,060:2	0
84	060	0x369ad3..0x36a0bc	693118	693138	21	0x369ad3	0x369b20	0x368f60	354	117	121	165	control_transfer_or_native_bridge_candidate	low	0		060:2,059:1,056:1	0
85	059	0x3674c3..0x369a93	693139	693417	279	0x368f60	0x369397	0x369b28	165	246	200	354	cxx_runtime	medium	4	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w || _ITM_registerTMCloneTable || __freelocale || basic_string::_S_construct null not valid	059:22,060:2	0
86	060	0x369ad3..0x36a0bc	693418	693783	366	0x369b28	0x36a09c	0x364c72	354	195	64	310	control_transfer_or_native_bridge_candidate	low	0		060:2,059:1,056:1	0
87	056	0x3603af..0x36525e	693784	693907	124	0x364c72	0x364e51	0x364e55	310	158	171	216	control_transfer_or_native_bridge_candidate	low	0		056:21,057:1	0
88	061	0x36b124..0x36d4e4	693908	700174	6267	0x36b124	0x36d4c4	0x36d524	169	210	171	354	cxx_runtime	medium	2	_ITM_registerTMCloneTable || __freelocale	061:20,062:2	0
89	062	0x36d524..0x36db0d	700175	700195	21	0x36d524	0x36d571	0x36c9b1	354	117	114	354	control_transfer_or_native_bridge_candidate	low_to_medium	1	:$23	062:2,061:1,056:1	0
90	061	0x36b124..0x36d4e4	700196	700924	729	0x36c9b1	0x36d4c4	0x36d524	354	210	168	354	cxx_runtime	medium	2	_ITM_registerTMCloneTable || __freelocale	061:20,062:2	0
91	062	0x36d524..0x36db0d	700925	700945	21	0x36d524	0x36d571	0x36c9b1	354	117	114	354	control_transfer_or_native_bridge_candidate	low_to_medium	1	:$23	062:2,061:1,056:1	0
92	061	0x36b124..0x36d4e4	700946	701674	729	0x36c9b1	0x36d4c4	0x36d524	354	210	168	354	cxx_runtime	medium	2	_ITM_registerTMCloneTable || __freelocale	061:20,062:2	0
93	062	0x36d524..0x36db0d	701675	701695	21	0x36d524	0x36d571	0x36c9b1	354	117	114	354	control_transfer_or_native_bridge_candidate	low_to_medium	1	:$23	062:2,061:1,056:1	0
