source_block	source_start_vm_ip	source_terminal_vm_ip	target_block	target_vm_ip	edge_kind	target_coverage_statuses	events	terminal_kind	source_entry	target_entry	delta	semantic_ir
42	0x11c211	0x11c256	43	0x11c2aa	decoded_control		1	long_branch_forward	117	165	+0x54	next = table[165], ip += 0x54
43	0x11c2aa	0x11c3f5		0x11c3f9	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
44	0x11c407	0x11c67e		0x11c682	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100; state=state_mixed
45	0x11c690	0x11ca26		0x11ca2a	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
46	0x11ca38	0x11ccf3		0x11ccf7	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	161	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
47	0x11cd05	0x11cf1d		0x11cf21	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
48	0x11cf2f	0x11d203		0x11d207	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	161	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
49	0x11d215	0x11d3cf		0x11d3d3	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	158	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
50	0x11d3e1	0x11d69e		0x11d6a2	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	176	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
51	0x11d6b0	0x11d917		0x11d91b	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	123	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
52	0x11d929	0x11da35		0x11da3a	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	245	145	+0x5	next = 145@0x95b5c:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
53	0x11da4b	0x11db08	340	0x33f278	decoded_control		1	sampled_operand_forward	278	323	+0x221770	sampled operand footprint 0xa; observed target table[323], delta +0x221770
54	0x11db16	0x11dc22		0x11dc27	covered_synthetic_fallthrough	hidden_span_of_16:1	1	exact_instruction	245	210	+0x5	next = 210@0xa2da3:1, ip += +0x5; dispatch_model=static_100
55	0x11dc37	0x11dcf5	385	0x3603af	decoded_control		1	sampled_operand_forward	278	86	+0x2426ba	sampled operand footprint 0xa; observed target table[86], delta +0x2426ba
56	0x11dd03	0x11de0f		0x11de14	covered_synthetic_fallthrough	hidden_span_of_19:1	1	exact_instruction	245	210	+0x5	next = 210@0xa2da3:1, ip += +0x5; dispatch_model=static_100
57	0x11de27	0x11de39	58	0x11de9f	decoded_control		1	long_branch_forward	266	171	+0x66	next = table[171], ip += 0x66
58	0x11de9f	0x11e029		0x11e02d	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	161	78	+0x4	next = 78@0x883c0:1, ip += +0x4; dispatch_model=static_100
59	0x11e03e	0x11e14a		0x11e14f	covered_synthetic_fallthrough	hidden_span_of_16:1	1	exact_instruction	125	316	+0x5	next = 316@0xb987b:1, ip += +0x5; dispatch_model=static_100
60	0x11e15f	0x11e278		0x11e27c	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
61	0x11e28a	0x11e39b	62	0x11e574	decoded_control		1	long_branch_forward	75	165	+0x1d9	next = table[165], ip += 0x1d9
62	0x11e574	0x11e691		0x11e695	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
63	0x11e6a3	0x11e95e		0x11e962	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	184	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
64	0x11e970	0x11eb88		0x11eb8c	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
65	0x11eb9a	0x11edcb		0x11edcf	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	161	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
66	0x11eddd	0x11eeee	67	0x11ef65	decoded_control		1	long_branch_forward	210	171	+0x77	next = table[171], ip += 0x77
