source_entry	source_target	delta	events	source_event_pct	unique_start_ips	unique_signatures	shape	word_shape	target_entropy	top_targets	top_sites	top_byte_values	byte_layout	word_layout
83	0x8947b	+0x5	2508	100.0	432	432	VVCCC	VC	2.897	173@0x9ba74:548,108@0x8f24b:441,160@0x994cf:336,257@0xadbfd:286,352@0xc1ec4:284,144@0x95887:271	tail@0x89839:2508	a819003d01:125,bc19003d01:93,9491003d01:92,1092003d01:92,2b9b003d01:91,5d9d003d01:91	b0=var179(top=0xa8:5.0%);b1=var175(top=0x19:9.8%);b2=0x00;b3=0x3d;b4=0x01	w0=var426(top=0x19a8:5.0%);w1=0x3d00
350	0xc1926	+0x4	2414	100.0	231	231	VVVV	VV	4.204	183@0x9d495:318,258@0xadf2c:257,281@0xb2db6:257,91@0x8b6de:203,114@0x90319:158,180@0x9cf32:147	tail@0xc1d46:2414	6aa6b734:256,12c1d734:256,4688a638:125,ba4f273f:92,0693863e:91,49824c35:91	b0=var143(top=0x12:10.9%);b1=var102(top=0xa6:10.6%);b2=var82(top=0xb7:10.6%);b3=var11(top=0x34:25.8%)	w0=var225(top=0xa66a:10.6%);w1=var161(top=0x34b7:10.6%)
192	0x9f00a	+0x5	2339	100.0	231	231	VVCCV	VC	2.809	198@0xa037e:509,257@0xadbfd:419,108@0x8f24b:383,256@0xad849:324,144@0x95887:319,173@0x9ba74:181	tail@0x9f779:2339	0ad73d0100:256,4ea33d0100:256,34aa3d0100:125,96d13d0100:125,2fdb3d0100:91,a1923d01df:91	b0=var148(top=0x4e:11.2%);b1=var139(top=0xd7:10.9%);b2=0x3d;b3=0x01;b4=var23(top=0x00:90.0%)	w0=var231(top=0xd70a:10.9%);w1=0x013d
183	0x9d495	+0x4	2326	100.0	379	379	CCVV	CV	4.408	114@0x90319:323,297@0xb64d7:232,215@0xa4609:140,333@0xbd8af:137,337@0xbec0e:136,18@0x7be9b:123	tail@0x9d692:2326	e8013e84:129,e801002a:125,e801074a:125,e801a8c1:92,e801ce7c:92,e801c688:92	b0=0xe8;b1=0x01;b2=var142(top=0xc6:8.5%);b3=var152(top=0x84:7.4%)	w0=0x01e8;w1=var347(top=0x843e:5.5%)
91	0x8b6de	+0x4	2251	100.0	363	363	VVCC	VC	4.437	340@0xbf435:205,258@0xadf2c:201,337@0xbec0e:180,220@0xa522e:171,199@0xa0631:144,347@0xc088d:138	tail@0x8b8c9:2251	c15be801:125,4008e801:93,3c20e801:92,d000e801:91,f4a8e801:91,786ae801:91	b0=var142(top=0x78:5.9%);b1=var143(top=0x04:6.4%);b2=0xe8;b3=0x01	w0=var333(top=0x5bc1:5.6%);w1=0x01e8
154	0x97ce6	+0x4	2209	100.0	252	252	VVVV	VV	4.245	91@0x8b6de:389,180@0x9cf32:275,196@0x9fbcd:157,185@0x9d964:156,105@0x8e6b4:134,189@0x9e7af:104	tail@0x980a9:2209	b96a8f7b:125,f03af048:125,08487055:91,b3e8f3b1:91,1536b300:91,c7adc7b8:91	b0=var156(top=0xb3:7.0%);b1=var157(top=0x2d:5.8%);b2=var145(top=0x8f:5.7%);b3=var133(top=0x00:11.5%)	w0=var249(top=0x6ab9:5.7%);w1=var235(top=0x7b8f:5.7%)
121	0x91379	+0x4	2198	100.0	215	215	VVVV	VV	4.160	307@0xb8064:350,180@0x9cf32:244,114@0x90319:190,91@0x8b6de:171,196@0x9fbcd:117,66@0x855ff:117	tail@0x9170b:2198	7b93372f:256,418fe003:92,b74d12af:92,6fd410fb:91,b61d9a4b:91,e0e7077d:91	b0=var124(top=0x7b:11.8%);b1=var131(top=0x93:11.6%);b2=var140(top=0x37:11.7%);b3=var145(top=0x2f:11.6%)	w0=var204(top=0x937b:11.6%);w1=var213(top=0x2f37:11.6%)
140	0x94e5a	+0x6	2190	100.0	248	248	VVVVVV	VVV	4.486	64@0x85059:260,189@0x9e7af:224,185@0x9d964:208,347@0xc088d:189,37@0x80685:132,17@0x7bae9:125	tail@0x951c0:2190	ce952b9ef379:150,10b7ad40ef5c:125,c19355aac13b:125,3e1807977d16:91,62f5ed6de1a2:91,07ccb8526878:91	b0=var143(top=0xce:6.8%);b1=var148(top=0xab:8.5%);b2=var158(top=0x2b:7.0%);b3=var152(top=0x45:12.9%);b4=var146(top=0xf3:6.9%);b5=var145(top=0x79:6.8%)	w0=var247(top=0x95ce:6.8%);w1=var247(top=0x9e2b:6.8%);w2=var242(top=0x79f3:6.8%)
273	0xb11ca	+0x4	2115	100.0	218	218	VVVV	VV	4.261	183@0x9d495:269,199@0xa0631:258,180@0x9cf32:171,196@0x9fbcd:159,347@0xc088d:155,258@0xadf2c:123	tail@0xb1545:2115	abcace32:256,eaa985db:92,f8eaad83:92,e6e49a82:91,0a8a0a02:91,90effca9:91	b0=var112(top=0xab:12.1%);b1=var45(top=0xca:16.6%);b2=var136(top=0xce:12.1%);b3=var142(top=0x32:13.3%)	w0=var195(top=0xcaab:12.1%);w1=var215(top=0x32ce:12.1%)
320	0xbada5	+0x5	2080	100.0	232	232	VCCVV	VV	2.929	173@0x9ba74:379,198@0xa037e:371,256@0xad849:314,160@0x994cf:243,257@0xadbfd:234,352@0xc1ec4:226	tail@0xbb1db:2080	003d01d40c:125,003d016cb0:91,003d014ccc:91,003d01ac4c:91,c33d01bb31:91,003d015bc7:91	b0=var24(top=0x00:83.6%);b1=0x3d;b2=0x01;b3=var107(top=0xac:9.1%);b4=var106(top=0x0c:6.1%)	w0=var24(top=0x3d00:83.6%);w1=var107(top=0xac01:9.1%)
