segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
10	0x179f43	0x17a420	0x4dd	327	327	63	0	0	dedd59d5fb72e6e2faee96512fe8b16768b64405c4a54b1d6fb3cd2a180bdb7f	64:22,18:20,189:16,114:15,66:15,215:14,347:12,258:12	64:22,18:20,189:16,114:15,66:15,215:14,347:12,258:12	+0x4:212,+0x3:88,+0x2:9,+0x5:9,+0x6:7,+0xe:2	4c011cd77fcfdc4be801aaf6509a4185bda7a21db2003d01b730ce23d981125db8065801e88389effedea80feb3d01262a002a88291c2106828d14013acd7647	68f7e7d4e0e80176484b0f1f58f8896e9eafe8019ac5b1878056443949e801c20aac7a448900696fe801902ac89bd528e44234e80110085c0d59ebc26a74e801
11	0x18b66f	0x18c467	0xdf8	935	935	91	0	0	9f2ffb9211b9fcdbed4c6e139458c559c2609499ebd1d48daf09763d71057375	18:39,114:38,66:36,189:36,64:34,199:33,307:33,337:32	18:39,114:38,66:36,189:36,64:34,199:33,307:33,337:32	+0x4:590,+0x3:232,+0x5:45,+0x2:41,+0x6:21,+0xe:5,+0x11:1	ab00e8012b003d7999005cab3ac495bd54e801ce7eefdd8fcbdfed46cff00b36987ee801f254e62e97503ab27703505d63e801bc4604efabd62800d000004783	2a9b945afae8017f83c8779fbf20923aa29ae801f509370011595a5eefe801f390cc6169dded4427e801ef9c9bf0fa35afe8017a3db1eefe92fd99006a6ae801
12	0x1a480d	0x1a6041	0x1834	1578	1578	126	0	0	f01378713d284a522ed97969f87fc4badf854d369c438b62804180d596e46a61	28:66,337:65,307:56,258:55,64:54,18:53,340:51,189:48	28:66,337:65,307:56,258:55,64:54,18:53,340:51,189:48	+0x4:947,+0x3:375,+0x5:108,+0x2:85,+0x6:49,+0xe:6,+0x11:4,+0x10:2	ab00e80151016895990017af9900d00adc29a9e801cd6fbc3f7331173c973b0be801fcba97f4890070873a74a689000a2be801179ac5d5b5713aba47280007c8	6a2162b4ade801eaae3a55b42c122301e8bae8011008c892941c03e801ee37cb172a5c908900e801d3906e04b28474073ae80194e2880a288b75424b93d9e801
13	0x1ec0ab	0x1ed483	0x13d8	1325	1325	103	0	0	46dcabcfdcfb226097b37ec743b00833dcfa307797ff704786dcd1064181a7c1	258:56,340:54,66:53,347:51,18:46,28:43,114:43,64:42	258:56,340:54,66:53,347:51,18:46,28:43,114:43,64:42	+0x4:813,+0x3:323,+0x5:74,+0x2:67,+0x6:40,+0xe:7,+0x11:1	e801ab004d0173e9990037f026178809e8a90be801c82aee9858015f3088d4fce801f0f8740bce426005684228cb02ce9ce801ed3dfca792f47974142800e801	23e0a1bf028af1e8014b203ad1e624e75045e8019a0f9bc37abdae0a77e8012fc694d6933046e80166174a45adc1838ecc54b4e801e5a57eb2ac24e2e573e801
14	0x22fe2d	0x2304b8	0x68b	73367	437	97	0	0	ec2adce75e4c985462306890231cdee01f6e73c3820df3080766683cf48a6e7d	258:3589,347:2567,28:2562,215:2561,114:2312,66:2059,189:2057,199:2054	258:3589,347:2567,28:2562,215:2561,114:2312,66:2059,189:2057,199:2054	+0x4:39519,+0x3:15653,+0x5:8968,+0x2:7431,+0x6:1028,+0x11:257,-0x6d:255,-0x3c4:255	6201e801020146c2077668565ecfd00cbaf45be80110a3db0f7de18ce2d3d0b6ba3fe80189c675d8099daf81001ce6fd9fe801b47e7007b8f81ce5bb7c3ae801	470119d8dc9475e801ba6914d94fc69ae8010654fc1a280099d55ce801187d53913a540cce00d830e8010489e31c0f5005c8ebe801b80ada427f801e126fe801
15	0x230722	0x231237	0xb15	42881	742	113	0	0	cd0cd2ce3fdfbab1e24029221da798b011b29f2b70ec8d20fb64d3799ffb7bcc	347:1606,258:1540,307:1410,337:1284,18:1223,28:1221,66:1219,64:1158	347:1606,258:1540,307:1410,337:1284,18:1223,28:1221,66:1219,64:1158	+0x4:22999,+0x3:9634,+0x5:5059,+0x2:4163,+0x6:770,+0x11:128,+0xd:64,-0x9de:64	e8016201d700680a88c3f99900fc801c08e801340481868e424c0d2a2a56a6cf26bbe801189cc2685e35399cbb5c91e801e9f9bed5afdef524f14bae53259093	c56f2d220557623748c53d013ffa143aab00cbd0ab00f8038c99a12b3d0127f9ab000000de090080e5525a9b2f6dfa2257e801e8015f6d3d018cb7d9775361de
16	0x2316bf	0x231b74	0x4b5	316	316	59	0	0	8a8dd499a003407389e625506923052cf5a424f615e839f91b8fef8f8681937e	66:18,258:17,18:17,189:16,340:12,347:12,215:11,114:11	66:18,258:17,18:17,189:16,340:12,347:12,215:11,114:11	+0x4:208,+0x3:86,+0x5:8,+0x2:6,+0x6:6,+0xd:1,+0xe:1	a500e8012b00757b99005fbf0776f7533a821de801d84a1ca85806c8df9157c3e80129f69798961a90131e3662e0f685dbe8014de3cfd96008cdc8097d6be801	62fda461abe80139fa3b8b3adc3ad87be49de801f87b50641807923ad7e801fbe324ab6d74bae801be3f08272e3882c4e1d9ebe80124430caa7005882375e801
17	0x249468	0x24bd2a	0x28c2	5444	2722	109	0	0	77468a5191d53f4c6ac3ad8465ce3033d967140115168a009e18c1cbd41ec5dc	18:240,28:206,258:206,337:194,340:192,64:188,114:180,189:174	18:240,28:206,258:206,337:194,340:192,64:188,114:180,189:174	+0x4:3296,+0x3:1314,+0x5:334,+0x2:292,+0x6:178,+0xe:28,+0x2341b:2	6201e801bd009900bcef4ffebab5cf19bbc439e801c9bd87c48db9c9633aab00e801588bac3181f6cf1ad49e7213346a9fe801dbcf2800d80a7c91820bc3e801	2ee3bd5b495ef8e80107e7ad21a000e5e8018b31241a280008056815d9e8011616890016415bbe74e8010b9698921dc232e8010f7fb4b5ab750f4158e8017e70
18	0x26cd71	0x26cf3b	0x1ca	452	113	56	0	0	9b96b14cdfda0107b080fdf5985bb5c7712c23c860eb0958aefd5c0e045ff5a6	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	+0x4:272,+0x3:96,+0x5:40,+0x2:28,+0x6:12,+0xbec:4	36010000e801a500420031983a761999004b4399004414e801144aab007fdfab00e0892ae80199f5f08afc904015afa2afe3006e34e8017d2bfa73d82800930f	f791821eb6000aaf3d01e92b57f66b8bb0fd600a14ac21765506ae3d01695848a5000000ec0b00003d01226005cfb8eb00c5036f80909d5a47e8015ead78020e
19	0x26db07	0x26f097	0x1590	5745	1437	101	0	0	8303f731d40bba8c2a8e801d91d0f2c8c299c6d67b7fbf35c066e498909d8a07	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	+0x4:3440,+0x3:1392,+0x5:352,+0x2:308,+0x6:220,+0xa:32,-0x2306:1	c7000f483a2a8933bcee8d6e3e4005e801b4d4fed5003d01dc3f912abd4937b01068912836a140129ae35516d93d01be2e00f625c40cb300780114793aad9458	f88e01a00004e801adf6719dafab0834ebeabfe8013ab5ab6d8e99f8f273e8017e56060080009c5050ff3424488b04244883c4084883c40848c70424a9000000
20	0x292986	0x293689	0xd03	1187	845	103	0	0	3e072117344e8458f15efa21dc76f98407aef525c511d0e99e14f2f4fb166a53	28:60,189:52,114:49,18:46,258:43,64:41,340:40,66:40	28:60,189:52,114:49,18:46,258:43,64:41,340:40,66:40	+0x4:750,+0x3:302,+0x5:53,+0x2:39,+0x6:31,+0x11:7,+0xe:4,+0x10:1	e801a500b9004bab3a8c91ce5499d09ed8e801a9faef80ef026b1795ff9057b6364fe8010fb680ff97d3890052c50d5a26e801ec71d51c477c3e68caccbde801	00003d0100b48ce4adb300a61a097bc5d3090d43f05007c0dabcb93d01a5000000910100003d01225dede1a7ec0024f8f9fde7d4c5c6b24cdd772a63ee3d014b
21	0x2bec2e	0x2bf50f	0x8e1	432	432	78	0	0	303dcf87b28f3f2e49f1b60a2a3fc85e775d499d11ac10d908cb888c8718697f	64:21,199:21,114:18,66:17,340:17,297:17,185:16,258:16	64:21,199:21,114:18,66:17,340:17,297:17,185:16,258:16	+0x4:278,+0x3:110,+0x5:15,+0x2:14,+0x6:10,+0xe:2,+0x11:1,+0x24f:1	9a00a038e801c30be801bc9a3a99301f2943ba3cd6e1c7003d013706c184125de805c30dec90c01db453f7680000acc73d01f922c3dab3001e8936082cb68f7a	025b474ed227f73d01dff7582bdf3e18a5b3000dc7ab4019ff9b0da9e63d01ada50000008d0400003d012213cf8f7d9b716b541142c13be801401e359809881a
