entry	target	observed_target	target_hits	tail_site	tail_reg	tail_distance	tail_site_hits	source_events	unique_vm_ips	top_ip_deltas	top_targets	top_sites	static_stop	insns	span_bytes	cond_jumps	jmps	calls	rets	frame_reads	frame_writes	ip_reads	table_reads	top_mnemonics
17	0x7bae9	1	758	0x7be98	r14	0x3af	758	758	73	+0x5:758	300@0xb6c36:256,122@0x9170d:150,28@0x7e390:132,18@0x7be9b:31,92@0x8b8cb:31	tail@0x7be98:758	0x7bea8	202	959	7	2	0	0	0x170:5,0x23:4,0xa:3,0x0:3,0x81:2,0x194:1,0x10f:1	0x23:7,0x170:4,0x16f:1,0x0:1,0xa:1	+0x0/2:1,+0x2/1:1,+0x3/2:1	dyn/8:1	mov:65,add:60,and:17,xor:16,sub:12,or:11,cmp:10,jne:4
18	0x7be9b	1	25447	0x7c308	rsi	0x46d	25538	25445	2500	+0x3:25445	114@0x90319:1729,189@0x9e7af:1579,347@0xc088d:1461,258@0xadf2c:1384,337@0xbec0e:1249	tail@0x7c308:25445	0x7c318	242	1148	4	2	0	0	0x23:7,0x194:5,0x170:3,0x0:2,0xa:2,0x81:1,0x71:1,0x10f:1	0x23:6,0x170:4,0x194:1,0xa:1	+0x2/1:1,+0x0/2:1	dyn/8:1	mov:72,add:67,and:28,xor:27,or:17,sub:17,cmp:6,je:4
19	0x7c30a	0	0	0x7c628	r12	0x31e	0	0	0				0x7c638	176	814	2	2	0	0	0xa:8,0x81:1,0x199:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x4/2:2,+0x2/2:2,+0x9/2:1,+0x8/1:1,+0x0/2:1,+0x6/2:1	dyn/8:1	add:52,mov:46,and:21,sub:16,or:13,xor:13,movzx:6,cmp:3
20	0x7c62b	1	9482	0x7ca96	rcx	0x46b	9482	9482	857	+0x4:9482	114@0x90319:1276,258@0xadf2c:806,337@0xbec0e:719,185@0x9d964:712,347@0xc088d:691	tail@0x7ca96:9482	0x7caa6	241	1145	3	3	0	0	0x23:4,0x81:3,0x0:3,0xa:3,0x170:3,0x194:2,0x10f:1	0x170:6,0x23:3,0xa:1	+0x0/2:1,+0x2/2:1	dyn/8:1	mov:66,add:62,and:29,sub:28,xor:24,or:18,cmp:5,jmp:3
21	0x7ca98	0	0	0x7d004	r14	0x56c	0	0	0				0x7d014	319	1404	10	3	0	1	0x81:6,0xa:5,0x194:4,0x23:4,0x0:4,0x170:3,0x60:2,0x71:2,0x10f:1	0x23:5,0x170:4,0x71:2,0x1dc:1,0x60:1,0x0:1,0xa:1	+0x0/4:2,+0x2/1:1,+0x0/2:1,+0x3/2:1	dyn/8:1	mov:104,add:77,and:27,sub:25,pop:18,xor:15,or:14,cmp:12
22	0x7cb43	0	0	0x7d004	r14	0x4c1	0	0	0				0x7d014	265	1233	8	2	0	0	0x81:6,0x194:4,0x23:4,0x0:4,0x170:3,0xa:3,0x60:2,0x71:2,0x10f:1	0x23:5,0x170:4,0x71:2,0x60:1,0x0:1,0xa:1	+0x2/1:1,+0x0/2:1,+0x3/2:1	dyn/8:1	mov:90,add:67,and:27,sub:25,xor:15,or:14,cmp:10,je:4
23	0x7d007	0	0	0x7d5e9	r9	0x5e2	0	0	0				0x7d5f9	329	1521	6	2	0	0	0x0:5,0x81:4,0x71:3,0xa:3,0x23:2,0x60:2,0x194:2,0x170:2,0x10f:1	0x170:5,0x71:2,0x23:1,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x0/2:1,+0x3/2:1	dyn/8:1	mov:86,add:84,and:39,or:35,sub:31,xor:30,cmp:9,jne:4
24	0x7d5ec	0	0	0x7d93f	rcx	0x353	0	0	0				0x7d94f	191	866	3	2	0	0	0xa:8,0x23:1,0x199:1,0x10f:1,0x170:1	0x23:1,0xa:1	+0x0/2:2,+0x4/2:2,+0x9/2:1,+0x6/1:1,+0x7/2:1,+0x2/2:1	dyn/8:1	add:51,mov:46,and:27,sub:20,xor:18,or:12,movzx:6,cmp:4
25	0x7d941	0	0	0x7dbb8	r12	0x277	0	0	0				0x7dbc8	140	647	2	2	0	0	0xa:8,0x170:3,0x71:2,0x199:1,0x10f:1	0x23:1,0x170:1,0xa:1	+0x0/2:2,+0x7/2:2,+0x9/2:1,+0x6/1:1,+0x2/2:1,+0x4/2:1	dyn/8:1	add:44,mov:43,sub:13,or:12,xor:7,movzx:6,and:6,cmp:3
26	0x7dbbb	1	9887	0x7dfbd	rdi	0x402	9886	9886	849	+0x4:9886	157@0x98a9a:959,66@0x855ff:687,114@0x90319:655,28@0x7e390:652,258@0xadf2c:567	tail@0x7dfbd:9886	0x7dfcd	216	1042	11	2	0	0	0x170:7,0x23:6,0x0:3,0x71:2,0x194:2,0x81:2,0xa:2,0x10f:1	0x23:13,0x170:3,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:70,add:62,xor:16,sub:15,cmp:14,and:12,or:11,je:9
27	0x7dfbf	0	0	0x7e38d	r10	0x3ce	0	0	0				0x7e39d	203	989	8	2	0	0	0xa:3,0x170:2,0x10f:1	0x199:4,0x170:1,0xa:1	+0x3/2:1,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:43,or:38,add:34,and:31,xor:20,sub:14,cmp:8,jne:7
28	0x7e390	1	26606	0x7e7ca	r11	0x43a	26614	26605	2333	+0x3:26605	347@0xc088d:2146,258@0xadf2c:1654,340@0xbf435:1637,337@0xbec0e:1601,114@0x90319:1452	tail@0x7e7ca:26605	0x7e7da	231	1095	4	3	0	0	0x23:7,0x170:5,0x81:3,0xa:2,0x0:1,0x194:1,0x10f:1	0x23:7,0x170:4,0x194:1,0xa:1	+0x2/1:1,+0x0/2:1	dyn/8:1	mov:69,add:59,and:29,xor:22,sub:21,or:17,cmp:5,je:4
29	0x7e7cd	0	0	0x7ecd0	rdi	0x503	2590	0	0				0x7ece0	298	1298	6	5	0	1	0x81:6,0xa:4,0x170:4,0x23:4,0x194:2,0x0:2,0xbb:1,0x71:1,0x10f:1	0x23:4,0x170:2,0x1dc:1,0x60:1,0xa:1	+0x0/2:2,+0x2/4:1,+0x2/2:1	dyn/8:1	mov:83,add:76,and:32,sub:28,xor:23,or:18,pop:15,cmp:8
30	0x7e849	1	2590	0x7ecd0	rdi	0x487	2590	2590	244	+0x4:2590	183@0x9d495:397,203@0xa1484:350,91@0x8b6de:266,192@0x9f00a:256,337@0xbec0e:187	tail@0x7ecd0:2590	0x7ece0	261	1174	6	5	0	0	0x81:6,0x170:4,0x23:4,0x194:2,0x0:2,0xa:2,0x71:1,0x10f:1	0x23:4,0x170:2,0x60:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:71,add:68,and:32,sub:28,xor:23,or:18,cmp:8,je:6
31	0x7ecd2	1	2	0x7efa6	rax	0x2d4	2	2	1	+0x5:2	352@0xc1ec4:2	tail@0x7efa6:2	0x7efb6	165	739	5	1	0	0	0x0:3,0xa:3,0x170:2,0x194:1,0x71:1,0x10f:1	0x71:2,0x0:1,0xa:1	+0x4/1:1,+0x0/2:1,+0x2/2:1	dyn/8:1	mov:40,add:38,and:18,sub:17,or:15,xor:14,cmp:6,jne:4
32	0x7efa8	0	0	0x7f7c1	r8	0x819	0	0	0				0x7f7d1	459	2089	38	3	0	1	0xa:6,0x12:1,0xbb:1,0x10f:1,0x170:1	0x12:19,0x1dc:1,0x170:1,0xa:1	+0x6/2:1,+0x8/1:1,+0x0/4:1,+0x4/2:1,+0x9/2:1,+0xb/2:1	dyn/8:1	mov:98,add:93,and:57,sub:48,xor:36,or:35,jne:25,cmp:22
33	0x7f7c4	1	9248	0x7fba1	rdi	0x3dd	9247	9247	806	+0x4:9247	258@0xadf2c:873,307@0xb8064:735,157@0x98a9a:700,114@0x90319:514,167@0x9a8d2:489	tail@0x7fba1:9247	0x7fbb1	206	1004	10	3	0	0	0x23:5,0x194:4,0x81:4,0x170:3,0x71:2,0xa:2,0x0:1,0x10f:1	0x23:5,0x170:2,0xa:1	+0x0/2:1,+0x2/2:1	dyn/8:1	mov:65,add:65,or:16,and:13,cmp:11,xor:10,sub:10,je:8
34	0x7fba3	0	0	0x7fd4a	r13	0x1a7	0	0	0				0x7fd5a	96	439	1	2	0	0	0xa:6,0x199:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x1/2:2,+0x5/2:2,+0x7/2:1,+0x3/2:1	dyn/8:1	add:35,mov:30,sub:9,xor:6,movzx:5,and:5,or:2,jmp:2
35	0x7fd4d	1	1	0x8009e	r8	0x351	1	1	1	+0x5:1	256@0xad849:1	tail@0x8009e:1	0x800ae	180	865	3	1	0	0	0xa:3,0x0:2,0x60:2,0x71:2,0xe1:1,0x10f:1,0x170:1,0x81:1	0x71:2,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:51,add:48,xor:20,sub:20,or:18,and:10,cmp:3,jne:2
36	0x800a1	1	4	0x80682	r15	0x5e1	4	4	1	+0x5:4	108@0x8f24b:4	tail@0x80682:4	0x80692	329	1521	7	2	0	0	0x23:3,0x71:3,0xa:3,0x0:2,0x60:2,0x81:1,0x194:1,0x10f:1,0x170:1	0x170:5,0x23:3,0x71:2,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:78,add:72,sub:42,xor:39,and:38,or:37,cmp:7,jne:4
37	0x80685	1	2035	0x80d77	rdx	0x6f2	2035	2035	221	+0x5:2035	160@0x994cf:437,257@0xadbfd:427,256@0xad849:373,144@0x95887:276,352@0xc1ec4:163	tail@0x80d77:2035	0x80d87	396	1793	10	5	0	0	0x81:8,0x0:5,0x194:4,0x170:4,0xa:3,0x23:2,0x60:2,0x71:2,0x10f:1	0x23:4,0x170:3,0x71:2,0x60:1,0x0:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:101,add:100,xor:44,and:42,sub:38,or:36,cmp:13,je:6
38	0x80d79	0	0	0x80ef3	r8	0x17a	0	0	0				0x80f03	85	394	2	2	0	0	0xa:4,0x23:1,0x10f:1,0x170:1	0x23:2,0x170:1,0xa:1	+0x0/2:1,+0x6/2:1,+0x4/2:1,+0x2/2:1	dyn/8:1	add:29,mov:25,and:6,sub:6,movzx:4,or:4,xor:3,cmp:2
39	0x80ef6	0	0	0x8115a	r9	0x264	0	0	0				0x8116a	133	628	3	2	0	0	0xa:8,0x23:1,0x81:1,0x199:1,0x10f:1,0x170:1	0x23:2,0x170:1,0xa:1	+0x4/2:2,+0x8/2:2,+0x0/2:1,+0xa/1:1,+0x2/2:1,+0x6/2:1	dyn/8:1	mov:43,add:41,or:11,and:9,sub:7,movzx:6,xor:5,cmp:4
40	0x8115d	1	928	0x8129b	rcx	0x13e	928	928	93	+0x6:928	66@0x855ff:102,64@0x85059:102,340@0xbf435:100,215@0xa4609:99,297@0xb64d7:97	tail@0x8129b:928	0x812ab	73	333	0	1	0	0	0x170:3,0xa:3,0x10f:1	0x23:2,0x170:1,0xa:1	+0x0/2:1,+0x2/2:1,+0x4/2:1	dyn/8:1	mov:25,add:24,xor:6,and:5,or:5,sub:3,movzx:3,push:1
41	0x8129d	0	0	0x815e7	r15	0x34a	0	0	0				0x815f7	183	858	4	1	0	0	0xa:3,0x0:2,0x60:2,0x194:2,0x23:1,0x71:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:55,add:46,xor:22,and:17,sub:16,or:9,cmp:4,jne:3
42	0x815ea	1	3	0x8173b	rax	0x151	13	3	3	+0x4:3	169@0x9af18:2,310@0xb8556:1	tail@0x8173b:3	0x8174b	77	352	0	1	0	0	0x170:3,0x0:1,0x23:1,0xa:1,0x10f:1	0x23:3,0x170:1,0xa:1	+0x2/2:1	dyn/8:1	mov:27,add:20,and:8,sub:7,xor:7,or:5,cmp:1,shl:1
43	0x8173d	1	16137	0x81b7c	r8	0x43f	16148	16135	1458	+0x4:16135	347@0xc088d:1058,287@0xb45d2:806,337@0xbec0e:770,26@0x7dbbb:765,189@0x9e7af:762	tail@0x81b7c:16135	0x81b8c	228	1100	3	3	0	0	0x81:4,0x23:3,0x170:3,0x71:2,0x194:2,0x0:2,0xa:2,0x10f:1	0x23:2,0x170:1,0x81:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	add:61,mov:59,xor:31,sub:26,and:24,or:14,cmp:5,je:3
44	0x81b7f	0	0	0x81f2c	rbx	0x3ad	0	0	0				0x81f3c	201	956	8	2	0	0	0xa:3,0x10f:1,0x170:1	0x199:4,0x170:1,0xa:1	+0x3/2:1,+0x0/1:1,+0x1/2:1	dyn/8:1	mov:49,add:33,xor:30,and:25,or:24,sub:17,cmp:8,jne:7
45	0x81f2e	0	0	0x820df	rcx	0x1b1	0	0	0				0x820ef	92	445	1	2	0	0	0xa:6,0x199:1,0x10f:1	0x170:1,0xa:1	+0x3/2:2,+0x5/2:2,+0x7/2:1,+0x0/2:1	dyn/8:1	mov:31,add:28,sub:10,movzx:5,and:5,or:5,xor:4,jmp:2
46	0x820e1	0	0	0x822b9	r9	0x1d8	0	0	0				0x822c9	104	488	1	2	0	0	0xa:4,0x71:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x0/2:1,+0x2/2:1,+0x4/2:1,+0x6/2:1	dyn/8:1	add:35,mov:29,sub:13,xor:6,and:6,or:5,movzx:4,jmp:2
47	0x822bc	0	0	0x82474	r11	0x1b8	0	0	0				0x82484	99	456	1	2	0	0	0xa:6,0x81:2,0x199:1,0x0:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x7/2:2,+0x3/2:2,+0x1/2:1,+0x5/2:1	dyn/8:1	mov:38,add:35,and:6,movzx:5,or:4,sub:4,cmp:2,jmp:2
48	0x82477	1	283	0x8281e	rdx	0x3a7	283	283	93	+0x5:283	239@0xa991e:31,317@0xba1e2:30,269@0xb045b:26,66@0x855ff:25,281@0xb2db6:18	tail@0x8281e:283	0x8282e	202	951	6	1	0	0	0x23:8,0x71:5,0xa:3,0x170:2,0x0:1,0x10f:1	0x170:8,0x23:5,0x16f:1,0x0:1,0xa:1	+0x3/2:1,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:67,add:59,xor:20,and:19,sub:13,or:8,cmp:7,jne:4
49	0x82820	1	4132	0x82e73	r8	0x653	4132	4132	415	+0x5:4132	144@0x95887:1018,352@0xc1ec4:600,257@0xadbfd:590,198@0xa037e:521,160@0x994cf:514	tail@0x82e73:4132	0x82e83	357	1635	3	3	0	0	0x81:5,0x0:4,0x170:4,0xa:4,0x194:3,0x23:2,0x60:2,0x71:1,0x10f:1	0x170:5,0x23:3,0x71:2,0x0:1,0x60:1,0xa:1	+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:104,add:85,or:43,xor:40,and:36,sub:33,cmp:6,je:3
50	0x82e76	1	324	0x833c5	rdx	0x54f	0	0	0				0x833d5	305	1374	7	3	0	1	0xa:19,0xbb:6,0x50:2,0x170:2,0x23:1,0x199:1,0x10f:1	0x23:2,0x170:2,0x1dc:1,0xa:1	+0x7/4:4,+0x0/1:2,+0x1/1:2,+0x9/2:2,+0x2/2:2,+0x3/4:1,+0x2/1:1,+0xb/2:1,+0x0/2:1,+0x4/1:1,+0x5/2:1,+0x7/2:1	dyn/8:1	mov:98,add:95,xor:19,and:17,sub:16,pop:16,or:14,movzx:9
51	0x83061	0	0	0x833c5	rdx	0x364	0	0	0				0x833d5	185	883	3	2	0	0	0xa:8,0x170:2,0x23:1,0x199:1,0x10f:1	0x23:2,0x170:2,0xa:1	+0x9/2:2,+0x2/2:2,+0x0/2:1,+0x4/1:1,+0x5/2:1,+0x7/2:1	dyn/8:1	add:53,mov:51,xor:19,and:17,or:14,sub:14,movzx:6,cmp:4
52	0x833c7	1	1103	0x8371b	rcx	0x354	1103	1103	55	+0x5:1103	316@0xb987b:335,75@0x873fc:297,145@0x95b5c:156,196@0x9fbcd:91,64@0x85059:67	tail@0x8371b:1103	0x8372b	185	866	5	1	0	0	0xa:4,0x60:2,0x0:2,0x71:2,0x194:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x60:1,0x170:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:51,add:44,xor:22,sub:16,or:15,and:15,cmp:9,jne:4
53	0x8371d	0	0	0x83b3d	r12	0x420	1	0	0				0x83b4d	252	1072	7	2	0	1	0xa:6,0x0:2,0x60:2,0x23:1,0x194:1,0x71:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x1dc:1,0x0:1,0x60:1,0xa:1	+0x0/4:2,+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:66,add:61,pop:18,and:18,sub:18,xor:18,or:13,cmp:7
54	0x837cb	1	1	0x83b3d	r12	0x372	1	1	1	+0x5:1	256@0xad849:1	tail@0x83b3d:1	0x83b4d	198	898	5	1	0	0	0xa:4,0x0:2,0x60:2,0x23:1,0x194:1,0x71:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x0:1,0x60:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:52,add:51,and:18,sub:18,xor:18,or:13,cmp:5,jne:4
55	0x83b40	0	0	0x83e73	r9	0x333	0	0	0				0x83e83	184	831	5	1	0	0	0xa:4,0x60:2,0x194:2,0x0:2,0x71:1,0x10f:1,0x170:1	0x71:2,0x60:1,0x0:1,0x170:1,0xa:1	+0x0/2:2,+0x4/1:1,+0x2/2:1	dyn/8:1	mov:53,add:47,sub:19,or:16,xor:12,and:9,cmp:5,jne:4
56	0x83e76	1	27	0x841f6	r14	0x380	27	27	4	+0x5:27	160@0x994cf:13,173@0x9ba74:10,108@0x8f24b:4	tail@0x841f6:27	0x84206	201	912	5	1	0	0	0xa:4,0x0:2,0x60:2,0x194:1,0x71:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x60:1,0x170:1,0xa:1	+0x2/2:2,+0x4/1:1,+0x0/2:1	dyn/8:1	mov:51,add:48,and:26,or:20,xor:18,sub:10,cmp:5,jne:4
57	0x841f9	0	0	0x84289	r9	0x90	0	0	0				0x84299	34	157	0	1	0	0	0xa:2,0xa1:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:15,add:12,movzx:2,sub:2,xor:1,and:1,jmp:1
58	0x8428c	0	0	0x84593	r11	0x307	0	0	0				0x845a3	179	791	2	2	0	1	0xa:10,0x81:1,0x199:1,0x71:1,0x10f:1	0x1dc:1,0x170:1,0xa:1	+0x2/2:3,+0x0/2:2,+0x8/2:2,+0x4/2:1,+0xa/1:1,+0x6/2:1	dyn/8:1	mov:58,add:49,pop:16,sub:15,and:10,or:8,xor:8,movzx:6
59	0x84302	0	0	0x84593	r11	0x291	0	0	0				0x845a3	143	673	2	2	0	0	0xa:8,0x81:1,0x199:1,0x71:1,0x10f:1	0x170:1,0xa:1	+0x8/2:2,+0x2/2:2,+0x4/2:1,+0xa/1:1,+0x0/2:1,+0x6/2:1	dyn/8:1	mov:46,add:42,sub:15,and:10,or:8,xor:8,movzx:6,cmp:2
60	0x84596	0	0	0x84760	rdx	0x1ca	0	0	0				0x84770	100	474	2	3	0	0	0xa:6,0x81:1,0x199:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x3/2:2,+0x0/2:2,+0x7/2:1,+0x5/2:1	dyn/8:1	mov:33,add:31,sub:10,or:6,movzx:5,and:5,jmp:3,xor:3
61	0x84762	0	0	0x84aa0	r8	0x33e	0	0	0				0x84ab0	178	843	2	2	0	0	0xa:8,0x194:1,0x199:1,0x71:1,0x10f:1,0x170:1	0x23:1,0x170:1,0xa:1	+0x3/2:2,+0x0/2:2,+0x9/2:1,+0x2/1:1,+0x7/2:1,+0x5/2:1	dyn/8:1	add:48,mov:45,sub:22,or:18,xor:16,and:14,movzx:6,cmp:3
