source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
264	0x3137fc-0x3139d4	264	0x3137fc-0x3139d4	intra_block	11375	125	189:728,215:637,114:637,307:546,333:455,337:455,66:455,185:455	189:728,215:637,114:637,307:546,333:455,337:455,66:455,185:455	+0x4:7735,+0x3:3094,+0x2:182,+0x6:182,+0x5:182	exact:11375
267	0x313e8f-0x314067	267	0x313e8f-0x314067	intra_block	11375	125	340:728,18:637,114:637,215:546,347:546,189:546,346:455,157:364	340:728,18:637,114:637,215:546,347:546,189:546,346:455,157:364	+0x4:7735,+0x3:3094,+0x2:182,+0x6:182,+0x5:182	exact:11375
270	0x314522-0x3146fa	270	0x314522-0x3146fa	intra_block	11375	125	215:819,26:637,28:637,337:637,64:546,347:455,258:455,307:455	215:819,26:637,28:637,337:637,64:546,347:455,258:455,307:455	+0x4:7735,+0x3:3094,+0x2:182,+0x6:182,+0x5:182	exact:11375
273	0x314bb5-0x314d8d	273	0x314bb5-0x314d8d	intra_block	11375	125	347:819,28:728,297:728,337:637,340:546,43:546,66:546,315:455	347:819,28:728,297:728,337:637,340:546,43:546,66:546,315:455	+0x4:7735,+0x3:3094,+0x2:182,+0x6:182,+0x5:182	exact:11375
547	0x370f18-0x371477	547	0x370f18-0x371477	intra_block	11050	352	198:400,66:375,28:350,340:350,168:325,185:325,140:325,199:300	198:400,66:375,28:350,340:350,168:325,185:325,140:325,199:300	+0x4:4775,+0x3:1925,+0x5:1875,+0x2:1525,+0x6:950	exact:11050
255	0x31268e-0x31285b	255	0x31268e-0x31285b	intra_block	11011	121	337:728,215:546,258:546,199:546,66:546,28:455,347:455,114:364	337:728,215:546,258:546,199:546,66:546,28:455,347:455,114:364	+0x4:7462,+0x3:3003,+0x6:273,+0x5:182,+0x2:91	exact:11011
242	0x3109d2-0x310c9b	242	0x3109d2-0x310c9b	intra_block	9471	189	340:645,337:463,28:375,215:372,189:370,66:369,307:368,158:368	340:645,337:463,28:375,215:372,189:370,66:369,307:368,158:368	+0x4:5301,+0x3:2319,+0x2:832,+0x5:741,+0x6:278	exact:9471
172	0x230912-0x230b1b	172	0x230912-0x230b1b	intra_block	8832	138	347:512,268:448,337:448,185:384,307:384,340:320,297:320,49:256	347:512,337:448,185:384,268:384,307:384,340:320,297:320,49:256	+0x4:4352,+0x3:2048,+0x5:1216,+0x2:960,+0x6:256	exact:8832
548	0x371488-0x37158e	548	0x371488-0x37158e	intra_block	8375	67	183:375,297:375,257:375,43:375,340:375,157:250,239:250,337:250	297:375,257:375,43:375,340:375,157:250,239:250,337:250,352:250	+0x4:3500,+0x5:1625,+0x3:1500,+0x2:1250,+0x6:500	exact:8375
279	0x31580e-0x31595f	279	0x31580e-0x31595f	intra_block	8190	90	340:819,199:455,184:455,174:364,215:364,307:273,258:273,297:273	340:819,199:455,184:455,174:364,215:364,176:364,307:273,258:273	+0x4:4550,+0x3:2093,+0x2:728,+0x5:546,+0x6:273	exact:8190
257	0x3129aa-0x312ae4	257	0x3129aa-0x312ae4	intra_block	7553	83	114:546,337:546,28:455,184:455,215:364,307:364,199:273,347:273	114:546,337:546,28:455,184:455,215:364,307:364,199:273,347:273	+0x4:4186,+0x3:2002,+0x2:546,+0x5:546,+0x6:273	exact:7553
167	0x22fe2d-0x22ffb1	167	0x22fe2d-0x22ffb1	intra_block	7242	102	258:771,172:260,199:260,43:259,337:259,185:258,297:258,203:257	258:771,172:260,199:260,43:259,337:259,185:258,297:258,203:257	+0x4:3124,+0x3:1297,+0x2:1282,+0x5:1282,+0x6:257	exact:7242
244	0x310dca-0x310ee6	244	0x310dca-0x310ee6	intra_block	6825	75	340:546,114:455,185:364,337:364,18:364,184:364,347:273,28:273	340:546,114:455,184:455,185:364,337:364,18:364,347:273,28:273	+0x4:4095,+0x3:1820,+0x5:364,+0x2:364,+0x6:182	exact:6825
243	0x310ca5-0x310dba	243	0x310ca5-0x310dba	intra_block	6624	72	114:552,307:552,26:368,168:368,203:276,215:276,243:276,66:276	114:552,307:552,26:368,168:368,203:276,215:276,243:276,66:276	+0x4:4784,+0x3:1564,+0x2:92,+0x6:92,+0x5:92	exact:6624
256	0x312868-0x31297d	256	0x312868-0x31297d	intra_block	6552	72	305:546,64:546,333:455,168:364,189:273,28:273,196:273,307:273	305:546,64:546,333:455,168:364,189:273,28:273,196:273,307:273	+0x4:4732,+0x3:1547,+0x2:91,+0x6:91,+0x5:91	exact:6552
278	0x3156ca-0x3157e1	278	0x3156ca-0x3157e1	intra_block	6552	72	305:364,333:364,189:364,157:273,199:273,66:273,346:273,43:273	305:364,333:364,189:364,157:273,199:273,66:273,346:273,43:273	+0x4:4641,+0x3:1547,+0x6:182,+0x2:91,+0x5:91	exact:6552
281	0x315bbf-0x315cc0	281	0x315bbf-0x315cc0	intra_block	6097	67	157:546,18:455,64:364,315:364,189:273,196:273,28:273,33:273	157:546,18:455,64:364,315:364,189:273,196:273,28:273,33:273	+0x4:4459,+0x3:1456,+0x2:91,+0x6:91	exact:6097
546	0x370cbe-0x370f0a	546	0x370cbe-0x370f0a	intra_block	3875	155	337:200,66:175,307:175,64:175,347:175,28:150,174:150,43:125	337:200,66:175,307:175,64:175,347:175,28:150,174:150,43:125	+0x4:2425,+0x3:975,+0x2:175,+0x5:175,+0x6:125	exact:3875
171	0x230722-0x230905	171	0x230722-0x230905	intra_block	3584	128	161:325,258:260,189:200,64:198,215:197,28:197,297:196,337:196	161:325,258:260,189:200,64:198,215:197,28:197,297:196,337:196	+0x4:2262,+0x3:1122,+0x2:67,+0x5:67,+0x6:66	exact:3584
545	0x370a91-0x370cb0	545	0x370a91-0x370cb0	intra_block	3575	143	258:275,18:150,307:125,337:125,347:100,144:100,185:100,268:100	258:275,18:150,307:125,337:125,144:100,185:100,268:100,49:100	+0x4:1875,+0x3:775,+0x5:400,+0x2:375,+0x6:150	exact:3575
537	0x370256-0x3703d8	537	0x370256-0x3703d8	intra_block	2651	102	18:130,114:130,340:104,28:104,337:104,185:104,215:104,258:104	18:130,114:130,28:104,337:104,185:104,215:104,258:104,161:104	+0x4:1430,+0x3:650,+0x5:234,+0x2:233,+0x6:104	exact:2651
544	0x3708f2-0x370a81	544	0x3708f2-0x370a81	intra_block	2575	103	337:150,28:125,315:125,114:125,199:100,18:100,43:100,172:75	337:150,28:125,315:125,114:125,199:100,18:100,43:100,172:75	+0x4:1575,+0x3:550,+0x5:200,+0x2:150,+0x6:100	exact:2575
549	0x3716c7-0x371714	549	0x3716c7-0x371714	intra_block	2375	19	140:250,354:125,268:125,347:125,154:125,91:125,199:125,301:125	140:250,108:250,268:125,347:125,154:125,91:125,199:125,301:125	+0x4:875,+0x5:500,+0x2:375,+0x3:375,+0x6:250	exact:2375
551	0x3717c4-0x3718ff	551	0x3717c4-0x3718ff	intra_block	2100	84	64:125,18:125,66:100,189:100,114:100,185:100,158:100,347:75	64:125,18:125,66:100,189:100,114:100,185:100,158:100,347:75	+0x4:1175,+0x3:550,+0x2:175,+0x5:125,+0x6:75	exact:2100
543	0x3707b1-0x3708e4	543	0x3707b1-0x3708e4	intra_block	2025	81	199:125,347:100,64:100,258:100,297:100,18:75,340:75,83:75	199:125,347:100,64:100,258:100,297:100,18:75,340:75,83:75	+0x4:1150,+0x3:550,+0x5:125,+0x2:125,+0x6:75	exact:2025
480	0x36772d-0x367c0e	480	0x36772d-0x367c0e	intra_block	2014	322	66:83,173:74,215:72,340:72,144:62,196:61,180:54,114:54	66:83,173:74,215:72,340:72,144:62,196:61,180:54,114:54	+0x4:815,+0x5:407,+0x2:322,+0x3:321,+0x6:149	exact:2014
539	0x370508-0x370624	539	0x370508-0x370624	intra_block	1875	75	340:150,297:125,28:125,184:100,347:100,66:75,337:75,258:75	340:150,297:125,184:125,28:125,347:100,337:75,258:75,174:75	+0x4:1075,+0x3:525,+0x5:125,+0x2:100,+0x6:50	exact:1875
378	0x33bea5-0x33c5b0	378	0x33bea5-0x33c5b0	intra_block	1868	467	28:60,18:56,340:56,168:56,258:48,198:48,43:48,257:48	28:60,18:56,340:56,168:56,258:48,198:48,43:48,257:48	+0x4:768,+0x5:384,+0x3:300,+0x2:296,+0x6:120	exact:1868
538	0x3703e6-0x3704f7	538	0x3703e6-0x3704f7	intra_block	1846	71	287:130,189:130,33:130,43:104,347:104,172:78,340:78,307:78	287:130,189:130,33:130,43:104,347:104,172:78,340:78,307:78	+0x4:1326,+0x3:442,+0x2:26,+0x6:26,+0x5:26	exact:1846
540	0x370632-0x370743	540	0x370632-0x370743	intra_block	1775	71	287:175,157:100,64:100,185:100,18:100,196:75,43:75,258:75	287:175,157:100,64:100,185:100,18:100,196:75,43:75,258:75	+0x4:1275,+0x3:425,+0x2:25,+0x6:25,+0x5:25	exact:1775
552	0x37190d-0x371a20	552	0x37190d-0x371a20	intra_block	1775	71	64:125,215:100,18:100,203:100,305:100,337:100,114:75,268:75	64:125,215:100,18:100,203:100,305:100,337:100,114:75,268:75	+0x4:1250,+0x3:425,+0x6:50,+0x2:25,+0x5:25	exact:1775
363	0x3387ea-0x338e10	363	0x3387ea-0x338e10	intra_block	1636	409	18:64,258:52,189:48,168:48,172:44,340:44,64:40,297:40	18:64,258:52,189:48,168:48,172:44,340:44,64:40,297:40	+0x4:756,+0x3:284,+0x5:284,+0x2:220,+0x6:92	exact:1636
507	0x36b8a7-0x36bb16	507	0x36b8a7-0x36bb16	intra_block	1610	161	18:70,64:60,66:60,114:60,43:60,199:50,160:50,320:50	18:70,160:60,64:60,66:60,114:60,43:60,320:50,144:50	+0x4:660,+0x5:350,+0x3:260,+0x2:250,+0x6:90	exact:1610
389	0x33de30-0x33e02a	389	0x33de30-0x33e02a	intra_block	1596	133	258:96,185:84,189:84,26:72,337:60,28:60,199:60,340:60	258:96,185:84,189:84,26:72,337:60,28:60,199:60,340:60	+0x4:1044,+0x3:420,+0x5:60,+0x2:36,+0x6:36	exact:1596
481	0x367c1f-0x367e8e	481	0x367c1f-0x367e8e	intra_block	1449	161	297:45,70:45,160:45,347:45,66:45,189:45,144:45,157:45	297:45,70:45,160:45,347:45,66:45,189:45,144:45,157:45	+0x4:594,+0x5:315,+0x3:234,+0x2:225,+0x6:81	exact:1449
506	0x36b6a4-0x36b896	506	0x36b6a4-0x36b896	intra_block	1408	128	189:66,157:66,333:55,18:55,258:55,243:44,168:44,28:44	189:66,157:66,333:55,18:55,258:55,243:44,168:44,28:44	+0x4:792,+0x3:286,+0x5:143,+0x2:110,+0x6:77	exact:1408
392	0x33e2e8-0x33e532	392	0x33e2e8-0x33e532	intra_block	1395	155	189:81,337:72,64:63,28:63,297:63,185:54,199:54,168:45	189:81,337:72,64:63,28:63,297:63,185:54,199:54,168:45	+0x4:873,+0x3:351,+0x5:81,+0x2:63,+0x6:27	exact:1395
529	0x36ef46-0x36f427	529	0x36ef46-0x36f427	intra_block	1262	322	258:50,66:47,18:42,215:42,144:40,268:39,157:38,168:38	258:50,66:47,18:42,215:42,144:40,268:39,157:38,168:38	+0x4:511,+0x5:255,+0x2:202,+0x3:201,+0x6:93	exact:1262
393	0x33e540-0x33e707	393	0x33e540-0x33e707	intra_block	1080	120	340:81,315:72,307:54,337:54,28:54,174:54,347:45,18:45	340:81,315:72,307:54,337:54,28:54,174:54,347:45,18:45	+0x4:738,+0x3:297,+0x6:18,+0x5:18,+0x2:9	exact:1080
411	0x340f4b-0x34142c	411	0x340f4b-0x34142c	intra_block	1074	322	64:38,18:33,183:33,257:32,185:32,124:31,108:30,337:28	64:38,18:33,183:33,257:32,185:32,124:31,108:30,337:28	+0x4:435,+0x5:217,+0x2:172,+0x3:171,+0x6:79	exact:1074
422	0x3427fd-0x342cde	422	0x3427fd-0x342cde	intra_block	1074	322	66:38,198:36,160:34,18:31,28:28,258:27,157:26,30:25	66:38,198:36,160:34,18:31,28:28,258:27,157:26,30:25	+0x4:435,+0x5:217,+0x2:172,+0x3:171,+0x6:79	exact:1074
388	0x33dcce-0x33de22	388	0x33dcce-0x33de22	intra_block	906	89	340:63,297:48,114:48,174:48,199:48,185:48,123:48,337:39	340:63,123:60,297:48,114:48,174:48,199:48,185:48,337:39	+0x4:510,+0x3:249,+0x2:57,+0x5:48,+0x6:42	exact:906
391	0x33e15d-0x33e2da	391	0x33e15d-0x33e2da	intra_block	900	100	114:63,18:45,307:45,340:36,215:36,347:36,297:36,176:36	114:63,307:45,340:36,215:36,347:36,297:36,18:36,176:36	+0x4:477,+0x3:225,+0x5:90,+0x2:72,+0x6:36	exact:900
