entry	target	observation	events	unique_vm_ips	delta	shape	constant_bytes	frame_reads	frame_writes	ip_reads	table_reads	calls	rets	target_entropy	top_targets	top_sites	top_deltas
179	0x9ca8d	exact	737	107	+0x5	EVVVV	-	0x81,0x170,0xa,0x71,0x0,0x23,0x10f,0x194	0x170,0x23,0x60,0xa	+0x3/2,+0x0/1,+0x1/2	dyn/8	0	0	2.454	99@0x8c99a:131,337@0xbec0e:117,268@0xb0007:106,43@0x8173d:103,18@0x7be9b:83,203@0xa1484:22	tail@0x9cf2f:737	+0x5:737
180	0x9cf32	exact	1848	382	+0x4	VVCC	b2=0xe8,b3=0x01	0xa,0x81,0x194,0x23,0x170,0x10f	0x23,0x170,0xa	+0x2/2,+0x0/2	dyn/8	0	0	2.452	168@0x9aa83:355,79@0x885b0:232,337@0xbec0e:148,269@0xb045b:134,157@0x98a9a:129,297@0xb64d7:117	tail@0x9d13d:1848	+0x4:1848
181	0x9d13f	exact	1407	84	+0x6	CCCCVV	b0=0x3d,b1=0x01,b2=0xe8,b3=0x01	0xa,0x10f,0x170	0x170,0xa	+0x0/2,+0x2/2,+0x4/2	dyn/8	0	0	2.478	215@0xa4609:256,189@0x9e7af:189,297@0xb64d7:120,337@0xbec0e:108,347@0xc088d:100,340@0xbf435:98	tail@0x9d24a:1407	+0x6:1407
182	0x9d24c	unobserved	0	0	-	-	-	0xa,0x23,0x10f	0x23,0x170,0xa	+0x2/2,+0x6/2,+0x0/2,+0x4/2	dyn/8	0	0	0.000			
183	0x9d495	exact	2325	379	+0x4	CCVV	b0=0xe8,b1=0x01	0xa,0x23,0x0,0x71,0x10f,0x170	0x170,0x23,0xa	+0x0/2,+0x2/2	dyn/8	0	0	2.480	114@0x90319:323,297@0xb64d7:232,215@0xa4609:140,333@0xbd8af:137,337@0xbec0e:136,18@0x7be9b:123	tail@0x9d692:2325	+0x4:2325
184	0x9d694	exact	12091	856	+0x4	VVCC	b2=0xe8,b3=0x01	0x23,0x81,0x194,0xa,0x170,0x0,0x10f	0x170,0x23,0xa	+0x2/2,+0x0/2	dyn/8	0	0	2.570	340@0xbf435:1207,28@0x7e390:1166,337@0xbec0e:993,66@0x855ff:929,18@0x7be9b:885,114@0x90319:813	tail@0x9d961:12091	+0x4:12091
185	0x9d964	exact	21616	1885	+0x3	VVE	-	0x23,0x170,0xa,0x81,0x0,0x194,0x10f	0x23,0x170,0x194,0xa	+0x2/1,+0x0/2	dyn/8	0	0	2.576	337@0xbec0e:1335,64@0x85059:1324,347@0xc088d:1270,174@0x9bd8f:1182,258@0xadf2c:1099,168@0x9aa83:964	tail@0x9dcab:21616	+0x3:21616
186	0x9dcae	exact	50	13	+0x5	VCCVV	b1=0x3d,b2=0x01	0xa,0x0,0x60,0x23,0x194,0x71,0x10f,0x170	0x23,0x71,0x0,0x60,0x170,0xa	+0x1/2,+0x0/1,+0x3/2	dyn/8	0	0	1.999	257@0xadbfd:25,144@0x95887:9,173@0x9ba74:6,160@0x994cf:4,198@0xa037e:2,256@0xad849:2	tail@0x9e07a:50	+0x5:50
187	0x9e07d	exact	5	1	+0x5	CCCCC	b0=0x3d,b1=0x3d,b2=0x01,b3=0x89,b4=0x76	0xa,0x0,0x170,0x194,0x71,0x81,0x10f	0x71,0x0,0x170,0xa	+0x1/2,+0x0/1,+0x3/2	dyn/8	0	0	0.000	173@0x9ba74:5	tail@0x9e333:5	+0x5:5
188	0x9e336	exact	1	1	+0x5	CCCCC	b0=0xff,b1=0xfe,b2=0x3d,b3=0x01,b4=0x00	0x0,0x194,0xa,0x60,0x81,0x23,0x71,0x170,0x10f	0x170,0x71,0x0,0x60,0xa	+0x4/1,+0x2/2,+0x0/2	dyn/8	0	0	0.000	173@0x9ba74:1	tail@0x9e7ac:1	+0x5:1
189	0x9e7af	exact	25104	2278	+0x4	VVVV	-	0x170,0x81,0x0,0xa,0x23,0x71,0x194,0x10f	0x23,0x170,0x0,0x16f,0xa	+0x0/2,+0x2/2	dyn/8	0	0	2.562	18@0x7be9b:1894,297@0xb64d7:1503,215@0xa4609:1354,174@0x9bd8f:1273,307@0xb8064:1197,43@0x8173d:1121	tail@0x9eac9:25104	+0x4:25104
190	0x9eacb	exact	224	10	+0x5	CCVVV	b0=0x3d,b1=0x01	0xa,0x0,0x60,0x81,0x194,0x71,0x10f,0x170	0x71,0x0,0x60,0x170,0xa	+0x0/2,+0x2/1,+0x3/2	dyn/8	0	0	1.077	352@0xc1ec4:134,257@0xadbfd:86,144@0x95887:4	tail@0x9ede7:224	+0x5:224
191	0x9ede9	unobserved	0	0	-	-	-	0xa,0x0,0x71,0x10f,0x170,0x23	0x170,0x71,0x0,0xa	+0x4/1,+0x0/2,+0x2/2	dyn/8	0	0	0.000			
192	0x9f00a	exact	2338	231	+0x5	VVCCV	b2=0x3d,b3=0x01	0x170,0x0,0x23,0x194,0x71,0xa,0x60,0x81,0x10f	0x23,0x170,0x71,0x60,0x0,0xa	+0x4/1,+0x2/2,+0x0/2	dyn/8	0	0	2.523	198@0xa037e:509,257@0xadbfd:419,108@0x8f24b:383,256@0xad849:324,144@0x95887:318,173@0x9ba74:181	tail@0x9f779:2338	+0x5:2338
193	0x9f77c	unobserved	0	0	-	-	-	0xa,0x23,0x71,0x199,0x10f,0x170	0x170,0xa	+0x3/2,+0x7/2,+0x0/2,+0x5/2	dyn/8	0	0	0.000			
194	0x9faa4	unobserved	0	0	-	-	-	0xa,0x23,0x170,0x71,0xbb,0x81,0x194,0x10f	0x170,0x23,0x1dc,0x81,0xa	+0x4/2,+0x0/4,+0x6/2,+0x0/2,+0x2/2	dyn/8	0	2	0.000			
195	0x9fb50	sampled_backedge	3	3	-0x2306	sampled	-	0x23,0xa,0x170,0x71,0x81,0x194,0xbb,0x10f	0x170,0x23,0x1dc,0x81,0xa	+0x0/4,+0x4/2,+0x0/2,+0x2/2	dyn/8	0	1	0.918	310@0xb8556:2,86@0x8a37f:1	dispatch@0xc80b9:3	-0x2306:1,-0x542a:1,-0x8c8e:1
196	0x9fbcd	exact	14371	1138	+0x4	VVVV	-	0x23,0x170,0x71,0xa,0x81,0x194,0x10f	0x170,0x23,0x81,0xa	+0x0/2,+0x2/2	dyn/8	0	0	2.565	18@0x7be9b:1113,189@0x9e7af:988,340@0xbf435:880,66@0x855ff:807,258@0xadf2c:771,33@0x7f7c4:666	tail@0xa0068:14371	+0x4:14371
197	0xa006b	unobserved	0	0	-	-	-	0xa,0x10f,0x170,0x81	0x199,0x170,0xa	+0x0/2,+0x4/1,+0x2/2	dyn/8	0	0	0.000			
