block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
36	0x11b5b4	0x11b7e8	0x234	150	150	55	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	exact:150
37	0x11b7f6	0x11ba2a	0x234	150	150	54	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	exact:150
38	0x11ba38	0x11bb7e	0x146	85	85	41	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	exact:85
39	0x11bb8f	0x11bbd4	0x45	18	18	18	183:1,203:1,297:1,337:1,49:1,198:1,185:1,124:1	203:1,297:1,337:1,49:1,198:1,185:1,124:1,43:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1	exact:18
40	0x11bc28	0x11bd5f	0x137	84	84	37	123:7,66:5,64:4,114:4,28:4,347:4,337:4,273:3	123:7,66:5,64:4,114:4,28:4,347:4,337:4,273:3	+0x4:49,+0x3:22,+0x2:6,+0x5:5,+0x6:2	exact:84
41	0x11bd6d	0x11beb3	0x146	85	85	43	315:5,168:4,258:4,287:4,215:4,114:4,337:3,185:3	315:5,168:4,258:4,287:4,215:4,114:4,337:3,185:3	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	exact:85
42	0x11bec4	0x11bf09	0x45	18	18	18	183:1,66:1,196:1,64:1,79:1,198:1,200:1,203:1	66:1,196:1,64:1,79:1,198:1,200:1,203:1,258:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1	exact:18
43	0x11bf5d	0x11c0ac	0x14f	90	90	44	347:6,18:5,333:4,114:4,66:4,297:4,176:4,20:4	347:6,18:5,333:4,114:4,66:4,297:4,176:4,20:4	+0x4:51,+0x3:23,+0x2:7,+0x5:6,+0x6:3	exact:90
44	0x11c0ba	0x11c200	0x146	85	85	41	64:4,307:4,203:4,315:4,168:3,287:3,66:3,243:3	64:4,307:4,203:4,315:4,168:3,287:3,66:3,243:3	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	exact:85
45	0x11c211	0x11c256	0x45	18	18	16	18:2,168:2,322:1,183:1,49:1,108:1,64:1,28:1	168:2,322:1,183:1,49:1,108:1,64:1,28:1,200:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1	exact:18
46	0x11c2aa	0x11c3f9	0x14f	90	90	46	347:6,20:6,307:5,114:4,215:4,189:4,340:3,185:3	347:6,20:6,307:5,114:4,215:4,189:4,340:3,185:3	+0x4:51,+0x3:23,+0x2:7,+0x5:6,+0x6:3	exact:90
47	0x11c407	0x11c682	0x27b	169	169	60	347:8,28:8,297:7,258:7,215:7,333:7,114:7,185:6	347:8,28:8,297:7,258:7,215:7,333:7,114:7,185:6	+0x4:105,+0x3:41,+0x5:10,+0x2:9,+0x6:4	exact:169
48	0x11c690	0x11ca2a	0x39a	244	244	77	307:11,64:10,297:8,114:8,337:8,18:8,347:7,28:7	307:11,64:10,297:8,114:8,337:8,18:8,347:7,28:7	+0x4:137,+0x3:53,+0x5:25,+0x2:21,+0x6:8	exact:244
49	0x11ca38	0x11ccf7	0x2bf	187	187	60	64:9,258:8,189:8,215:8,114:8,66:7,28:7,307:7	64:9,258:8,189:8,215:8,114:8,66:7,28:7,307:7	+0x4:113,+0x3:44,+0x5:13,+0x2:12,+0x6:5	exact:187
50	0x11cd05	0x11cf21	0x21c	144	144	48	18:10,114:10,337:7,199:6,196:6,297:6,305:5,258:5	18:10,114:10,337:7,199:6,196:6,297:6,305:5,258:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
51	0x11cf2f	0x11d207	0x2d8	193	193	65	258:11,66:8,114:7,337:7,172:7,185:7,297:6,347:6	258:11,66:8,114:7,337:7,172:7,185:7,297:6,347:6	+0x4:114,+0x3:45,+0x5:15,+0x2:13,+0x6:6	exact:193
52	0x11d215	0x11d3d3	0x1be	119	119	40	28:7,337:7,347:7,243:6,66:6,196:6,307:5,18:5	28:7,337:7,347:7,243:6,66:6,196:6,307:5,18:5	+0x4:82,+0x3:33,+0x6:2,+0x2:1,+0x5:1	exact:119
53	0x11d3e1	0x11d6a2	0x2c1	187	187	66	337:8,185:8,340:8,114:7,215:7,18:7,258:6,172:6	337:8,185:8,340:8,114:7,215:7,18:7,258:6,172:6	+0x4:111,+0x3:44,+0x5:15,+0x2:12,+0x6:5	exact:187
54	0x11d6b0	0x11d91b	0x26b	164	164	63	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	+0x4:100,+0x3:41,+0x5:10,+0x2:8,+0x6:5	exact:164
55	0x11d929	0x11da3a	0x111	72	72	34	66:6,305:4,114:4,18:4,157:3,340:3,346:3,64:3	66:6,305:4,114:4,18:4,157:3,340:3,346:3,64:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
56	0x11da4b	0x11db08	0xbd	51	51	23	123:5,158:4,215:3,307:3,114:3,174:3,258:3,185:3	123:5,158:4,215:3,307:3,114:3,174:3,258:3,185:3	+0x4:33,+0x3:17,+0x6:1	exact:51
57	0x11db16	0x11dc27	0x111	72	72	33	28:5,189:5,33:4,346:4,203:3,337:3,168:3,347:3	28:5,189:5,33:4,346:4,203:3,337:3,168:3,347:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
