source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
216	0xa4a61	112	15	dispatch@0xcdac7:108,dispatch@0xc80b9:4	310@0xb8556:82,169@0x9af18:30	+0xa:112	0x1e8:82,0xab:28,0x162:2	0x162:53,0x1e8:30,0xa5:15,0xab:14	0x14d:15,0xa8:14,0xcb:14,0xb9:13,0xd7:13	0x99:14,0xe523:14,0xa483:13,0xa88:13,0x9a07:13	0x99:16,0x7635:14,0x543a:13,0xd0ce:13,0xd888:13	0xe367:14,0xcd68:13,0x339a:13,0x227d:13,0x1ca1:13
148	0x96b6e	105	12	tail@0x96eb1:105	160@0x994cf:74,173@0x9ba74:10,352@0xc1ec4:8,144@0x95887:6,108@0x8f24b:4	+0x5:105	0x2a91:64,0x4b2:5,0xeef:5,0x22f1:4,0xec54:4	0x7112:64,0x802d:5,0xf8df:5,0xd6dc:4,0x5461:4	0xd864:64,0xea74:5,0xf8cc:5,0xcc87:4,0xb387:4	0x4e8:64,0x3e8d:5,0x7afc:5,0xbe3:4,0xf59e:4		
95	0x8c41c	97	15	dispatch@0xcdac7:83,dispatch@0xc80b9:14	169@0x9af18:62,310@0xb8556:32,86@0x8a37f:2,42@0x815ea:1	+0xa:94,+0x2341b:2,+0x1d02e:1	0xab:33,0x1e8:32,0x162:27,0x136:2,0xa5:2	0x1e8:62,0x162:14,0xa5:13,0xab:5,0x0:2	0x151:28,0x42:19,0x9d:14,0x10c:14,0xa8:13	0x94f0:14,0x97f9:14,0x1c4a:14,0x99e0:13,0xd4ff:13	0x99:43,0x8b3a:14,0x6576:14,0xd4b6:13,0xc2eb:4	0xfcec:14,0x99da:14,0x4392:14,0x2580:13,0x3390:13
280	0xb2661	86	7	tail@0xb2db4:86	257@0xadbfd:66,198@0xa037e:7,256@0xad849:5,173@0x9ba74:4,160@0x994cf:4	+0x5:86	0xfa3f:64,0x96ae:5,0x1b3e:5,0x87ce:4,0x2231:4	0x3a14:64,0xcd47:5,0x2740:5,0xf0d:4,0xa384:4	0xab:64,0xa70e:5,0x6936:5,0xbfc2:4,0x68:4	0xd0cb:64,0x492:5,0x1402:5,0x753:4,0x1574:4		
278	0xb2342	83	9	dispatch@0xcdac7:82,dispatch@0xc80b9:1	169@0x9af18:56,310@0xb8556:26,323@0xbb6e6:1	+0xa:82,+0x221770:1	0x162:28,0x1e8:26,0xa5:15,0xab:13,0x136:1	0x1e8:56,0xa5:26,0x0:1	0x154:40,0x9d:14,0x10c:14,0xbd:14,0x1e8:1	0x1c4a:14,0x99:14,0x12ac:13,0xec4:13,0x1334:13	0x99:54,0x67ae:14,0xe914:14,0x9d:1	0x6b6:14,0x26e8:14,0x6160:13,0xdaa:13,0x1060:13
190	0x9eacb	81	6	tail@0x9ede7:81	257@0xadbfd:68,352@0xc1ec4:9,144@0x95887:4	+0x5:81	0xf647:64,0xbc2:4,0xf81f:4,0x972f:4,0x9c2:3	0xa88:64,0xfed8:4,0xeea7:4,0xc78d:4,0x2c73:3	0x7bdc:64,0x5732:4,0xea76:4,0xb32a:4,0x2c3a:3	0x60ed:64,0x71e8:4,0xd570:4,0xf381:4,0xd88e:3		
94	0x8bd69	74	4	tail@0x8c41a:74	173@0x9ba74:68,160@0x994cf:3,144@0x95887:3	+0x5:74	0x81f:64,0x19f:4,0x1471:3,0x9bb7:3	0x62a9:64,0x1179:4,0x3c8:3,0xa2a7:3	0x2546:64,0xc23a:4,0xa4ac:3,0xeb:3	0x920:64,0x88da:4,0x5360:3,0x3b1:3		
250	0xac802	72	4	tail@0xacbc3:72	43@0x8173d:68,196@0x9fbcd:3,157@0x98a9a:1	+0x3:72	0x4ea3:64,0x793:4,0x4d38:3,0xd7b:1	0x33d7:64,0x79ef:4,0xd955:3,0x91:1	0x7d50:64,0xc7fc:4,0x496d:3,0xd448:1	0xb0:64,0xb3:4,0xa650:3,0x6254:1		
311	0xb86f8	70	12	dispatch@0xcdac7:56,dispatch@0xc80b9:14	169@0x9af18:36,310@0xb8556:32,42@0x815ea:2	+0xa:68,+0x169eb:1,-0x34ced:1	0x1e8:32,0xab:18,0xa5:14,0x162:4,0x0:2	0x1e8:36,0xab:27,0xa5:5,0xa9:2	0x151:18,0x12:17,0x133:13,0x2b:13,0x1c:4	0x9568:14,0xd3a:13,0x7ded:13,0x620:13,0xaa0:4	0x99:32,0x17b0:13,0xdc3a:13,0x810:4,0x4d3a:4	0xae47:14,0x3590:13,0x9d3a:13,0xfca3:13,0x991a:4
266	0xaf8af	70	11	tail@0xafa1d:70	171@0x9b4b3:55,354@0xc2241:10,165@0x9a24c:5	-0x40:52,-0x55d:7,-0x78e:4,-0x557:3,-0x2ce:2	0x154:18,0x151:17,0xfd:10,0x72:7,0x9a:4	0x12cc:18,0x9978:17,0xb88e:10,0x6373:7,0x38a0:4	0x79:35,0x0:10,0xac6c:7,0x1e8:4,0xff34:4	0x5486:18,0x37bf:17,0x0:10,0x79:7,0xf43:4		
