source_entry	source_target	kind	site	target_entry	target	count	unique_vm_ips	frames	top_ip_deltas
340	0xbf435	tail	0xbf886	192	0x9f00a	102	1	1	+0x4:102
18	0x7be9b	tail	0x7c308	105	0x8e6b4	102	1	1	+0x3:102
105	0x8e6b4	tail	0x8eb77	350	0xc1926	102	1	1	+0x5:102
350	0xc1926	tail	0xc1d46	281	0xb2db6	102	1	1	+0x4:102
281	0xb2db6	tail	0xb3125	269	0xb045b	102	1	1	+0x4:102
160	0x994cf	tail	0x99757	215	0xa4609	102	1	1	+0x2:102
345	0xc02e4	tail	0xc0532	52	0x833c7	102	1	1	+0x6:102
52	0x833c7	tail	0x8371b	316	0xb987b	102	1	1	+0x5:102
316	0xb987b	tail	0xba0cc	165	0x9a24c	102	1	1	-0x3c4:102
189	0x9e7af	tail	0x9eac9	28	0x7e390	49	25	1	+0x4:49
28	0x7e390	tail	0x7e7ca	64	0x85059	49	23	1	+0x3:49
258	0xadf2c	tail	0xae32f	18	0x7be9b	48	21	1	+0x4:48
307	0xb8064	tail	0xb837a	64	0x85059	47	20	1	+0x3:47
64	0x85059	tail	0x8536e	66	0x855ff	44	23	1	+0x4:44
337	0xbec0e	tail	0xbf126	297	0xb64d7	44	21	1	+0x4:44
18	0x7be9b	tail	0x7c308	337	0xbec0e	43	23	1	+0x3:43
337	0xbec0e	tail	0xbf126	215	0xa4609	43	20	1	+0x4:43
28	0x7e390	tail	0x7e7ca	340	0xbf435	41	17	1	+0x3:41
18	0x7be9b	tail	0x7c308	64	0x85059	40	17	1	+0x3:40
340	0xbf435	tail	0xbf886	199	0xa0631	39	19	1	+0x4:39
28	0x7e390	tail	0x7e7ca	114	0x90319	39	19	1	+0x3:39
347	0xc088d	tail	0xc0d7b	307	0xb8064	38	18	1	+0x4:38
161	0x9975a	tail	0x99b3a	28	0x7e390	37	15	1	+0x4:37
66	0x855ff	tail	0x859f9	114	0x90319	37	15	1	+0x3:37
337	0xbec0e	tail	0xbf126	18	0x7be9b	36	20	1	+0x4:36
258	0xadf2c	tail	0xae32f	66	0x855ff	36	17	1	+0x4:36
307	0xb8064	tail	0xb837a	189	0x9e7af	35	16	1	+0x3:35
185	0x9d964	tail	0x9dcab	347	0xc088d	35	17	1	+0x3:35
340	0xbf435	tail	0xbf886	297	0xb64d7	34	21	1	+0x4:34
347	0xc088d	tail	0xc0d7b	18	0x7be9b	33	19	1	+0x4:33
18	0x7be9b	tail	0x7c308	184	0x9d694	32	14	1	+0x3:32
114	0x90319	tail	0x90893	297	0xb64d7	32	16	1	+0x4:32
258	0xadf2c	tail	0xae32f	185	0x9d964	32	18	1	+0x4:32
43	0x8173d	tail	0x81b7c	18	0x7be9b	32	15	1	+0x4:32
297	0xb64d7	tail	0xb68ff	64	0x85059	32	14	1	+0x3:32
64	0x85059	tail	0x8536e	18	0x7be9b	32	19	1	+0x4:32
114	0x90319	tail	0x90893	157	0x98a9a	31	18	1	+0x4:31
28	0x7e390	tail	0x7e7ca	258	0xadf2c	30	16	1	+0x3:30
185	0x9d964	tail	0x9dcab	189	0x9e7af	29	16	1	+0x3:29
340	0xbf435	tail	0xbf886	43	0x8173d	29	14	1	+0x4:29
