source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
257	0xadbfd	568	42	tail@0xadf29:568	172@0x9b68a:306,157@0x98a9a:102,43@0x8173d:102,28@0x7e390:8,258@0xadf2c:6	+0x2:568	0x715a:102,0x7569:102,0xd8db:102,0xe5b3:102,0xd0c8:102	0x3ab:102,0xe33:102,0xb3:102,0xdc3:102,0xae7c:102	0x1536:102,0x6962:102,0x4f58:102,0x9c74:102,0x8e2e:102	0xbb4:102,0xbbc1:102,0x9f3c:102,0x43b2:102,0x15a:102	0xffd7:102,0xaba9:102,0x870b:102,0xa4fc:102,0x7962:102	0x8dc7:102,0x7bef:102,0x6282:102,0x426a:102,0xcf04:102
144	0x95887	554	49	tail@0x95b59:554	258@0xadf2c:256,18@0x7be9b:103,168@0x9aa83:102,64@0x85059:11,347@0xc088d:9	+0x2:554	0xd224:256,0x3960:102,0x4441:102,0xb06:4,0xba05:4	0x89f1:256,0x2037:102,0xd9ae:102,0x15a:4,0xac0f:4	0x7bb7:256,0xdb02:102,0xf7c:102,0x9f7f:4,0xfdd6:4	0x1a3:256,0x7c2:102,0x79:102,0x1790:4,0x8612:4	0xc186:256,0x68e7:102,0x5771:102,0x4cba:4,0xc146:4	0xdf59:256,0xec00:102,0x9edc:102,0x3190:4,0x8:4
184	0x9d694	550	128	tail@0x9d961:550	28@0x7e390:120,66@0x855ff:119,337@0xbec0e:116,340@0xbf435:24,114@0x90319:22	+0x4:550	0xad8:108,0xad05:102,0x8cf0:102,0x1e8:12,0xaa0:11	0x39e6:102,0x8878:102,0x6449:102,0x24:8,0x13d:7	0x5d0d:102,0xcb7e:102,0xca65:102,0x508:9,0x80:9	0xe881:103,0xe900:102,0xe828:102,0xe800:9,0xe8ae:5	0x1201:104,0xe86d:102,0x3401:102,0xe873:10,0x8101:8	0x300a:102,0x9101:102,0xef1b:102,0xa001:14,0xe801:10
158	0x99029	535	118	tail@0x992ca:535	258@0xadf2c:120,340@0xbf435:119,64@0x85059:116,114@0x90319:27,66@0x855ff:20	+0x4:535	0xd730:102,0x85f:102,0x83ef:102,0x1e8:10,0x200:7	0xd3:102,0x758d:102,0xbf37:102,0x26:8,0x123:8	0xa0:105,0xbd51:102,0x25e0:102,0x80:10,0x580:6	0xaae:102,0x33af:102,0xe884:102,0xe83a:8,0xfd00:8	0xe870:103,0xe88a:102,0xa501:102,0x1:8,0xe829:6	0x4001:102,0x8701:102,0x237c:102,0xe801:9,0x1e8:5
287	0xb45d2	533	126	tail@0xb497e:533	297@0xb64d7:114,28@0x7e390:107,199@0xa0631:102,189@0x9e7af:24,307@0xb8064:19	+0x4:533	0x158:105,0x1bc7:102,0x25fd:102,0x1e8:7,0x4a14:4	0x173a:102,0xd8:102,0xf337:102,0x13d:9,0xab:4	0xb790:102,0xec32:102,0xf70f:102,0x658:7,0x560:6	0x109a:102,0x5849:102,0x2e82:102,0xe810:7,0xab:6	0xa530:102,0x516c:102,0x84cd:102,0x8f8:7,0xc401:5	0xe875:104,0xe8d8:103,0x9eef:102,0xe800:6,0xe82a:4
49	0x82820	521	39	tail@0x82e73:521	144@0x95887:270,257@0xadbfd:106,198@0xa037e:105,108@0x8f24b:13,352@0xc1ec4:13	+0x5:521	0x990f:256,0xf4e7:102,0xc83b:102,0x8bd8:4,0x63e9:4	0xd224:256,0xe5b3:102,0x3830:102,0x452b:4,0x4b8a:4	0x89f1:256,0xdc3:102,0xdca6:102,0x68:9,0xa70d:4	0x7bb7:256,0x9c74:102,0x14ef:102,0x55:4,0xf092:4	0x1a3:256,0x43b2:102,0x9cfc:102,0x82f7:4,0x7c99:4	0xc186:256,0xa4fc:102,0x960:102,0x9cc3:4,0x1314:4
174	0x9bd8f	508	107	tail@0x9c08c:508	258@0xadf2c:122,114@0x90319:108,199@0xa0631:107,28@0x7e390:20,307@0xb8064:20	+0x4:508	0x365:102,0x7247:102,0x4087:102,0x1e8:9,0xad8:8	0x7e71:102,0x23c7:102,0x533a:102,0x26:8,0x13d:7	0x3d8:105,0x507:102,0xa2b0:102,0x80:24,0x580:5	0x813c:102,0x5a1a:102,0x506f:102,0xfd00:8,0xe8ec:5	0xe8de:102,0xe8b4:102,0xe8e9:102,0x1:8,0xdd01:6	0x5801:102,0x501:102,0xf001:102,0x1e8:11,0xf801:7
220	0xa522e	485	44	tail@0xa5886:485	144@0x95887:215,108@0x8f24b:115,198@0xa037e:110,160@0x994cf:16,352@0xc1ec4:10	+0x5:485	0x9087:102,0x47c7:102,0x3eb:102,0x9bb7:102,0x2a91:4	0x3960:102,0x87bf:102,0xe6a7:102,0x4441:102,0x49bd:4	0x68:104,0x2037:102,0xe33a:102,0xd9ae:102,0xb037:4	0xdb02:102,0xde68:102,0x390:102,0xf7c:102,0x6810:4	0x7c2:102,0x54d4:102,0xa600:102,0x79:102,0x13:5	0x68e7:102,0x54a8:102,0xcf68:102,0x5771:102,0xa136:4
268	0xb0007	476	134	tail@0xb0458:476	243@0xaab6a:111,301@0xb708d:106,18@0x7be9b:27,185@0x9d964:21,340@0xbf435:18	+0x4:476	0x3d00:106,0x933d:102,0x1e8:12,0x15e:8,0x29c9:5	0x1e8:139,0x9001:102,0x68:9,0x3d00:7,0xf861:5	0xe318:102,0xd53a:102,0x1e8:8,0x13d:7,0xe101:5	0xd8ef:102,0xfdaf:102,0x1e8:31,0x13d:5,0xe80a:4	0xe80a:102,0xc6e:102,0xe819:8,0xe829:6,0xe826:6	0xe6e:102,0x3ef4:102,0x13d:14,0xe801:5,0x7080:4
161	0x9975a	463	130	tail@0x99b3a:463	18@0x7be9b:120,66@0x855ff:113,28@0x7e390:37,114@0x90319:27,337@0xbec0e:25	+0x4:463	0xc940:102,0x1091:102,0xaa0:12,0x200:10,0x810:10	0x7c68:102,0x501e:102,0x13d:8,0xab:6,0xc715:4	0xa46d:102,0x2f77:102,0x80:9,0x580:8,0x570:6	0x3c8:102,0xe8c0:102,0xe800:10,0xe83a:6,0xe8ae:6	0xe86c:102,0xc101:102,0x7a01:8,0xe86f:7,0xe82d:6	0x6501:102,0x5fd6:102,0x1001:10,0x3a01:6,0x9001:6
