seq	frame	source_entry	source_target	start_vm_ip	end_vm_ip	delta	kind	site	target_entry	target	w0	w1	w2	w3	w4	w5	bytes	byte_status	pre_flags	post_flags	pre_state	post_state	state_delta	pre_byte	post_byte
1049	0x787fe407836d	310	0xb8556	0x315005	0x31522f	+0x22a	dispatch	0xcdac7	310	0xb8556	0x1e8	0xab	0x2b	0x7ded	0x99	0x9d3a	e801ab002b00ed7d99003a9daf99001ceee5a3e801abfa76d8093db434706b58	prefix_32_of_554	0xe34473c6	0x69b0303a	0xe74477c6	0x69145e5a	-0x7e30196c	0x3a	0x3a
1050	0x787fe407836d	310	0xb8556	0x31522f	0x315486	+0x257	dispatch	0xcdac7	169	0x9af18	0x1e8	0xab	0xc7	0x4f47	0x2c3a	0xae89	e801ab00c700474f3a2c89ae01349650eb981ae801bbffdce71f77f3025db1c8	prefix_32_of_599	0x69b0303a	0x841ab3c5	0x69145e5a	0x841ab3c5	+0x1b06556b	0x3a	0x3a
1051	0x787fe407836d	169	0x9af18	0x315486	0x3156ca	+0x244	dispatch	0xcdac7	169	0x9af18	0xa5	0x1e8	0x12	0x620	0xdc3a	0xfca3	a500e801120020063adca3fce00d85dd41f69ae801e0a76a83e8bb0003922025	prefix_32_of_580	0x841ab3c5	0xf613f930	0x841ab3c5	0x3ffce85e	-0x441dcb67	0x3a	0x3a
1052	0x787fe407836d	169	0x9af18	0x3156ca	0x315969	+0x29f	dispatch	0xcdac7	169	0x9af18	0xab	0x1e8	0x9d	0xcf07	0x99	0xf9a4	ab00e8019d0007cf9900a4f90133438c86ac48e801f3e7ab00737721d5bfd52a	prefix_32_of_671	0xf613f930	0x2ab32381	0x3ffce85e	0x2af72783	-0x1505c0db	0x3a	0x3a
1053	0x787fe407836d	169	0x9af18	0x315969	0x315bbf	+0x256	dispatch	0xcdac7	169	0x9af18	0xab	0x1e8	0x129	0x1e31	0x8ee1	0x6ea2	ab00e8012901311ee18ea26eeb88cf9ecf06bee8010aaba3094961d69865e9dc	prefix_32_of_598	0x2ab32381	0x6e5d9892	0x2af72783	0x4000d60c	+0x1509ae89	0x3a	0x3a
1054	0x787fe407836d	169	0x9af18	0x315bbf	0x310ca5	-0x4f1a	dispatch	0xcdac7	310	0xb8556	0xab	0x1e8	0x10c	0x1c4a	0x63e6	0x5af	ab00e8010c014a1ce663af053cd2e4092be80199f5de2fb4dd1429a30a54917a	backedge_sample	0x6e5d9892	0x148226cc	0x4000d60c	0xffaffb65	+0xbfaf2559	0x3a	0x3a
1055	0x787fe407836d	310	0xb8556	0x310ca5	0x310ef0	+0x24b	dispatch	0xcdac7	310	0xb8556	0x1e8	0xa5	0xcb	0x9ebf	0x7635	0x390	e801a500cb00bf9e35769003042ba8fcee6d9ce801f7d8ab009003dc5941168f	prefix_32_of_587	0x148226cc	0x14100010	0xffaffb65	0x3f0612b2	-0xc0a9e8b3	0x3a	0x3a
1056	0x787fe407836d	310	0xb8556	0x310ef0	0x311163	+0x273	dispatch	0xcdac7	169	0x9af18	0x1e8	0x162	0x154	0xf7c	0x99	0x92e7	e801620154017c0f9900e792dc1375ac08b602e801bf8c2f019289f5a0fa7e69	prefix_32_of_627	0x14100010	0xc83095f0	0x3f0612b2	0x400110fe	+0xfafe4c	0x3a	0x3a
1057	0x787fe407836d	169	0x9af18	0x311163	0x3113a5	+0x242	dispatch	0xcdac7	169	0x9af18	0xa5	0x1e8	0x10c	0x1c4a	0x67ae	0x6b6	a500e8010c014a1cae67b6063aa56428d9e80129f1186774139007d64940f679	prefix_32_of_578	0xc83095f0	0x7adeff2e	0x400110fe	0x78de0800	+0x38dcf702	0x3a	0x3a
1058	0x787fe407836d	169	0x9af18	0x3113a5	0x3115e7	+0x242	dispatch	0xcdac7	310	0xb8556	0x162	0x1e8	0xbd	0x99	0xe914	0x26e8	6201e801bd00990014e9e826ba56639900de34e8017709ab00041dab006485b4	prefix_32_of_578	0x7adeff2e	0x2948	0x78de0800	0x2948	-0x78dddeb8	0x3a	0x3a
1059	0x787fe407836d	310	0xb8556	0x3115e7	0x311829	+0x242	dispatch	0xcdac7	169	0x9af18	0x1e8	0xa5	0x9d	0xd56f	0x99	0xad8	e801a5009d006fd59900d80a53f58761012fcee8011603b240666e6e27e60d3a	prefix_32_of_578	0x2948	0x3acddfde	0x2948	0x585c5c02	+0x585c32ba	0x3a	0x3a
1060	0x787fe407836d	169	0x9af18	0x311829	0x311a6b	+0x242	dispatch	0xcdac7	169	0x9af18	0xab	0x1e8	0x151	0x94f0	0x99	0xfcec	ab00e8015101f0949900ecfc8b0cd809e4e80111f8d746656b7dce813884ab00	prefix_32_of_578	0x3acddfde	0xef1b287	0x585c5c02	0x69145f5a	+0x10b80358	0x3a	0x3a
1061	0x787fe407836d	169	0x9af18	0x311a6b	0x311cad	+0x242	dispatch	0xcdac7	310	0xb8556	0xa5	0x1e8	0x72	0x64cb	0xac8c	0x620	a500e8017200cb648cac200648efdaf5e0bf18e8015f2dab001a531a84d8ab00	prefix_32_of_578	0xef1b287	0x524c03c5	0x69145f5a	0x7df7dfda	+0x14e38080	0x3a	0x3a
1062	0x787fe407836d	310	0xb8556	0x311cad	0x311f69	+0x2bc	dispatch	0xcdac7	310	0xb8556	0x1e8	0xa5	0x10c	0x1c4a	0x6c86	0x7438	e801a5000c014a1c866c38749900ba703aa3e6e801859db8ec9f9147b7bebdaa	prefix_32_of_700	0x524c03c5	0x8e78f1da	0x7df7dfda	0xeb377ffe	+0x6d3fa024	0x3a	0x3a
1063	0x787fe407836d	310	0xb8556	0x311f69	0x31223a	+0x2d1	dispatch	0xcdac7	310	0xb8556	0x1e8	0xa5	0x14d	0xe523	0x99	0xe367	e801a5004d0123e5990067e332d17995c6459ee801880a70a4781ff2ff90977e	prefix_32_of_721	0x8e78f1da	0x8e4e0de5	0xeb377ffe	0x7bd7fefb	-0x6f5f8103	0x3a	0x3a
1064	0x787fe407836d	310	0xb8556	0x31223a	0x312464	+0x22a	dispatch	0xcdac7	169	0x9af18	0x1e8	0xab	0x151	0x9568	0x99	0xae47	e801ab0051016895990047ae9900f3a03a2e3ae801d80a443786cf06c648acd7	prefix_32_of_554	0x8e4e0de5	0x347541db	0x7bd7fefb	0x69945ffa	-0x12439f01	0x3a	0x3a
1065	0x787fe407836d	169	0x9af18	0x312464	0x31268e	+0x22a	dispatch	0xcdac7	310	0xb8556	0xab	0x1e8	0x42	0x97f9	0x8b3a	0x99da	ab00e8014200f9973a8bda99009a299900e801e4734b803a09b993007451ab00	prefix_32_of_554	0x347541db	0x5675bb90	0x69945ffa	0xffc76ef9	+0x96330eff	0x3a	0x3a
1066	0x787fe407836d	310	0xb8556	0x31268e	0x312868	+0x1da	dispatch	0xcdac7	169	0x9af18	0x1e8	0x162	0x10c	0x1c4a	0x6576	0x4392	e80162010c014a1c76659243358b8809c82954e8014c0cab0058019c10f7f483	prefix_32_of_474	0x5675bb90	0x221c12	0xffc76ef9	0x3f06a742	-0xc0c0c7b7	0x3a	0x3a
