site	events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	entry_index_reg	entry_index_events	entry_index_pct	table_reg	table_events	table_pct	frame_reg	frame_events	frame_pct	top_targets
0xc21c0	455	r10	455	100.0	r11	455	100.0	r14	1	0.2							rbp	455	100.0	292:256,258:106,345:7,66:7,189:6,307:6,128:5,172:5
0x91e7f	435	rdx	435	100.0	r8	435	100.0	rdi	435	100.0	r11	105	24.1				rbp	435	100.0	18:105,50:102,337:26,307:20,189:19,297:18,64:16,258:16
0x7ca96	430	rcx	430	100.0				rax	430	100.0	r10	15	3.5				r13	430	100.0	114:119,181:102,189:20,337:20,185:17,18:15,215:14,258:14
0x9bd8c	409	r11	409	100.0	r12	409	100.0	r9	409	100.0	r14	1	0.2				rbp	409	100.0	64:107,196:102,349:102,340:9,185:9,347:8,307:6,297:6
0xb7bb8	396	rax	396	100.0	r10	396	100.0	rcx	396	100.0							rbp	396	100.0	189:117,199:105,258:23,347:20,340:17,333:12,172:11,18:11
0x9b687	395	r14	395	100.0	r13	395	100.0	rbx	395	100.0							rbp	395	100.0	322:256,196:104,297:7,66:6,337:5,268:4,28:3,114:2
0x8371b	360	rcx	360	100.0	rax	360	100.0										rbp	360	100.0	75:256,316:102,145:1,334:1
0x92f1f	330	rdx	330	100.0	r13	330	100.0	rcx	330	100.0							rbp	330	100.0	268:102,64:102,215:102,220:5,185:4,199:4,301:2,307:2
0x7fba1	321	rdi	321	100.0	r8	321	100.0	rsi	321	100.0							rbp	321	100.0	297:114,18:17,307:17,66:17,168:11,157:11,215:10,338:10
0x9c3f4	318	r13	318	100.0	r9	318	100.0	rcx	318	100.0							rbp	318	100.0	28:126,18:23,114:21,337:19,66:16,185:16,64:15,189:14
0xaaf3c	313	rsi	313	100.0	r14	313	100.0	rcx	313	100.0	r15	16	5.1				r9	313	100.0	307:107,347:20,337:18,338:18,64:17,18:16,189:13,185:10
0xad329	306	r8	306	100.0	rdi	306	100.0	rdx	306	100.0							rbp	306	100.0	297:260,28:12,43:6,70:4,83:4,189:3,340:2,333:2
0xa94a3	290	rdx	290	100.0	r13	290	100.0	r10	290	100.0							rbp	290	100.0	352:257,108:12,198:9,160:6,144:3,256:2,173:1
0x88a55	289	r10	289	100.0	r9	289	100.0	r14	289	100.0							rbp	289	100.0	160:119,257:114,256:15,173:14,352:12,198:8,144:4,108:3
0xbb6e3	283	r8	283	100.0	rax	283	100.0	r9	283	100.0							r15	283	100.0	157:256,91:6,183:4,333:3,215:2,43:2,3:2,180:2
0xb593d	260	rbx	260	100.0													r10	260	100.0	185:256,18:4
0x8b6db	258	r12	258	100.0													rbp	258	100.0	49:256,330:2
0x92998	256	r14	256	100.0	rsi	256	100.0	r12	256	100.0							rbp	256	100.0	108:256
0x87c25	255	r14	255	100.0				r15	255	100.0							rbp	255	100.0	171:255
0xc1d46	252	rdi	252	100.0	rax	252	100.0										rbp	252	100.0	258:102,281:102,91:10,43:5,180:4,196:4,199:4,168:4
0x80d77	250	rdx	250	100.0	r15	250	100.0	r9	250	100.0							rbp	250	100.0	257:110,256:102,352:9,108:8,160:6,198:6,144:5,173:4
0x9f779	242	r14	242	100.0	rbx	242	100.0	rdi	242	100.0							rbp	242	100.0	198:109,257:102,173:12,352:10,144:5,256:3,160:1
0x7ecd0	240	rdi	240	100.0	r11	240	100.0	r9	240	100.0							rbp	240	100.0	203:102,192:102,180:9,269:6,337:3,79:3,66:2,18:2
0xaeda0	231	rcx	231	100.0	r15	231	100.0	rdi	231	100.0	r10	2	0.9				rbp	231	100.0	189:102,340:102,203:5,337:4,180:3,49:2,268:2,215:2
0xbada2	227	r8	227	100.0	r15	227	100.0	r13	227	100.0							rbp	227	100.0	173:110,257:103,256:8,198:3,108:2,144:1
0xc088b	217	rsi	217	100.0	r13	217	100.0	rdi	217	100.0	r8	10	4.6				rbp	217	100.0	268:23,333:20,64:18,66:13,337:13,338:13,28:12,215:11
0xb092e	193	rax	193	100.0	r11	193	100.0	r15	193	100.0							rbp	193	100.0	160:117,352:18,108:15,173:11,198:11,257:10,144:9,256:2
0xadbfa	182	r9	182	100.0				r14	182	100.0							rbp	182	100.0	340:110,258:9,200:7,114:6,140:4,215:4,260:4,333:4
0xc0532	159	r14	159	100.0				r11	159	100.0							rbp	159	100.0	52:102,64:8,196:8,340:7,157:6,79:6,215:4,3:4
0xb86f5	143	r13	143	100.0	r12	143	100.0	r9	143	100.0							rbp	143	100.0	171:112,165:16,354:15
0x86763	142	r8	142	100.0	rax	142	100.0	r13	142	100.0				r10	142	100.0	rbp	142	100.0	108:113,198:8,144:6,257:6,256:4,160:2,352:2,173:1
