site	reg	role	events	site_events	coverage_pct	top_entries	top_values	top_site_targets
0xaeeff	r12	target_value	23	23	100.0	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1	0x735389e7be9b:10,0x735389eadf2c:5,0x735389ebec0e:2,0x735389e90319:2,0x735389eb64d7:1,0x735389ec088d:1,0x735389ebf435:1,0x735389e7e390:1	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1
0xaeeff	rbp	frame_pointer	23	23	100.0	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1	0x735389e7836d:23	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1
0xb497e	rdx	table_slot_other	23	533	4.3	64:17,287:6	0x735389ec3918:17,0x735389ec4010:6	297:114,28:107,199:102,189:24,307:19,43:17,347:15,18:13
0xbdd16	r8	entry_index	22	582	3.8	18:22	0x12:22	215:111,258:109,305:107,18:22,28:19,66:17,185:16,346:16
0x96915	r12	target_value	21	21	100.0	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1	0x735389e855ff:6,0x735389e7e390:4,0x735389ebec0e:2,0x735389e8947b:2,0x735389eb045b:2,0x735389e9b68a:2,0x735389ebf435:1,0x735389ea1484:1	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1
0x96915	r14	slot_pointer	21	21	100.0	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1	0x735389ec3928:6,0x735389ec37f8:4,0x735389ec41a0:2,0x735389ec39b0:2,0x735389ec3f80:2,0x735389ec3c78:2,0x735389ec41b8:1,0x735389ec3d70:1	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1
0x96915	r14	table_slot_match	21	21	100.0	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1	0x735389ec3928:6,0x735389ec37f8:4,0x735389ec41a0:2,0x735389ec39b0:2,0x735389ec3f80:2,0x735389ec3c78:2,0x735389ec41b8:1,0x735389ec3d70:1	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1
0x96915	rbp	frame_pointer	21	21	100.0	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1	0x735389e7836d:21	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1
0x96915	rdx	byte_index	21	21	100.0	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1	0x210:6,0xe0:4,0xa88:2,0x298:2,0x868:2,0x560:2,0xaa0:1,0x658:1	66:6,28:4,337:2,83:2,269:2,172:2,340:1,203:1
0xa5886	rbx	entry_index	21	485	4.3	144:18,160:3	0x90:18,0xa0:3	144:215,108:115,198:110,160:16,352:10,256:9,173:6,257:4
0xc240d	rax	frame_pointer	21	43	48.8	28:4,114:3,189:2,168:2,172:2,215:2,340:2,185:1	0x735389e7836d:21	168:7,268:5,185:5,28:4,114:4,172:4,189:2,66:2
0xc088b	rdx	byte_index	18	217	8.3	64:18	0x200:18	268:23,333:20,64:18,66:13,337:13,338:13,28:12,215:11
0xaaf3c	r15	entry_index	16	313	5.1	18:16	0x12:16	307:107,347:20,337:18,338:18,64:17,18:16,189:13,185:10
0xaeeff	r8	table_slot_other	16	23	69.6	261:16	0x735389ec3f40:16	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1
0x7ca96	r10	entry_index	15	430	3.5	18:15	0x12:15	114:119,181:102,189:20,337:20,185:17,18:15,215:14,258:14
0xa4a5e	r15	byte_index	14	1571	0.9	64:14	0x200:14	301:262,347:135,189:121,114:120,172:119,258:116,123:113,196:110
0xa646d	r13	target_value	14	14	100.0	114:6,18:3,258:2,3:2,35:1	0x735389e90319:6,0x735389e7be9b:3,0x735389eadf2c:2,0x735389e78c77:2,0x735389e7fd4d:1	114:6,18:3,258:2,3:2,35:1
0xa646d	r14	byte_index	14	14	100.0	114:6,18:3,258:2,3:2,35:1	0x390:6,0x90:3,0x810:2,0x18:2,0x118:1	114:6,18:3,258:2,3:2,35:1
0xa646d	rbp	frame_pointer	14	14	100.0	114:6,18:3,258:2,3:2,35:1	0x735389e7836d:14	114:6,18:3,258:2,3:2,35:1
0xa646d	rsi	slot_pointer	14	14	100.0	114:6,18:3,258:2,3:2,35:1	0x735389ec3aa8:6,0x735389ec37a8:3,0x735389ec3f28:2,0x735389ec3730:2,0x735389ec3830:1	114:6,18:3,258:2,3:2,35:1
0xa646d	rsi	table_slot_match	14	14	100.0	114:6,18:3,258:2,3:2,35:1	0x735389ec3aa8:6,0x735389ec37a8:3,0x735389ec3f28:2,0x735389ec3730:2,0x735389ec3830:1	114:6,18:3,258:2,3:2,35:1
0xa2933	r11	slot_pointer	13	13	100.0	258:4,83:2,203:2,333:2,43:2,215:1	0x735389ec3f28:4,0x735389ec39b0:2,0x735389ec3d70:2,0x735389ec4180:2,0x735389ec3870:2,0x735389ec3dd0:1	258:4,83:2,203:2,333:2,43:2,215:1
0xa2933	r11	table_slot_match	13	13	100.0	258:4,83:2,203:2,333:2,43:2,215:1	0x735389ec3f28:4,0x735389ec39b0:2,0x735389ec3d70:2,0x735389ec4180:2,0x735389ec3870:2,0x735389ec3dd0:1	258:4,83:2,203:2,333:2,43:2,215:1
0xa2933	rbp	frame_pointer	13	13	100.0	258:4,83:2,203:2,333:2,43:2,215:1	0x735389e7836d:13	258:4,83:2,203:2,333:2,43:2,215:1
0xa2933	rbx	target_value	13	13	100.0	258:4,83:2,203:2,333:2,43:2,215:1	0x735389eadf2c:4,0x735389e8947b:2,0x735389ea1484:2,0x735389ebd8af:2,0x735389e8173d:2,0x735389ea4609:1	258:4,83:2,203:2,333:2,43:2,215:1
0xb497e	r12	byte_index	13	533	2.4	18:13	0x90:13	297:114,28:107,199:102,189:24,307:19,43:17,347:15,18:13
0x8281e	r12	byte_index	12	12	100.0	18:4,317:3,28:2,291:1,154:1,350:1	0x90:4,0x9e8:3,0xe0:2,0x918:1,0x4d0:1,0xaf0:1	18:4,317:3,28:2,291:1,154:1,350:1
0x8281e	rbp	frame_pointer	12	12	100.0	18:4,317:3,28:2,291:1,154:1,350:1	0x735389e7836d:12	18:4,317:3,28:2,291:1,154:1,350:1
0x8281e	rdx	target_value	12	12	100.0	18:4,317:3,28:2,291:1,154:1,350:1	0x735389e7be9b:4,0x735389eba1e2:3,0x735389e7e390:2,0x735389eb4edd:1,0x735389e97ce6:1,0x735389ec1926:1	18:4,317:3,28:2,291:1,154:1,350:1
0x99b3a	r10	frame_pointer	10	463	2.2	340:4,337:3,64:2,307:1	0x735389e7836d:10	18:120,66:113,28:37,114:27,337:25,258:20,340:16,297:15
0x9af16	rdx	slot_pointer	10	915	1.1	64:10	0x735389ec3918:10	315:210,337:116,340:116,189:111,347:108,258:20,26:19,287:19
0x9af16	rdx	table_slot_match	10	915	1.1	64:10	0x735389ec3918:10	315:210,337:116,340:116,189:111,347:108,258:20,26:19,287:19
0xaeeff	rdx	byte_index	10	23	43.5	18:10	0x90:10	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1
0xc088b	r8	entry_index	10	217	4.6	64:10	0x40:10	268:23,333:20,64:18,66:13,337:13,338:13,28:12,215:11
0xb540d	r10	byte_index	9	9	100.0	28:4,79:4,122:1	0xe0:4,0x278:4,0x3d0:1	28:4,79:4,122:1
0xb540d	rbp	frame_pointer	9	9	100.0	28:4,79:4,122:1	0x735389e7836d:9	28:4,79:4,122:1
0xb540d	rdx	target_value	9	9	100.0	28:4,79:4,122:1	0x735389e7e390:4,0x735389e885b0:4,0x735389e9170d:1	28:4,79:4,122:1
0x9c08c	rbx	frame_pointer	8	508	1.6	64:3,261:2,356:2,321:1	0x735389e7836d:8	258:122,114:108,199:107,28:20,307:20,18:19,340:13,189:12
0xbada2	r11	byte_index	8	227	3.5	256:8	0x800:8	173:110,257:103,256:8,198:3,108:2,144:1
0x8a49b	r10	slot_pointer	7	7	100.0	310:5,169:2	0x735389ec40c8:5,0x735389ec3c60:2	310:5,169:2
0x8a49b	r10	table_slot_match	7	7	100.0	310:5,169:2	0x735389ec40c8:5,0x735389ec3c60:2	310:5,169:2
0x8a49b	r8	target_value	7	7	100.0	310:5,169:2	0x735389eb8556:5,0x735389e9af18:2	310:5,169:2
0x8a49b	rbp	frame_pointer	7	7	100.0	310:5,169:2	0x735389e7836d:7	310:5,169:2
0x8a49b	rcx	byte_index	7	7	100.0	310:5,169:2	0x9b0:5,0x548:2	310:5,169:2
0x8f6cf	rsi	byte_index	7	595	1.2	18:7	0x90:7	337:257,333:107,215:103,28:11,347:11,258:10,199:9,18:7
0x91a57	r11	byte_index	6	6	100.0	246:5,334:1	0x7b0:5,0xa70:1	246:5,334:1
0x91a57	rbp	frame_pointer	6	6	100.0	246:5,334:1	0x735389e7836d:6	246:5,334:1
