source_entry	source_target	events	unique_targets	status	matched_events	coverage_pct	inconsistent_rows	total_terms	state_terms	post_terms	byte_terms	top_targets	bit_formulas
165	0x9a24c	632	22	fit	632	100.0	0	9	0	0	9	0x390:271,0xa68:94,0xaa0:31,0x860:31,0x658:29,0x90:27,0x200:20,0x4e8:16	y0=0;y1=0;y2=0;y3=b0.0;y4=b0.1;y5=b0.2;y6=b0.3;y7=b0.4;y8=b0.5;y9=b0.6;y10=b0.7;y11=b1.0;y12=0
239	0xa991e	619	48	inconsistent	0	0.0	390	0	0	0	0	0x948:98,0xa00:44,0xe0:43,0x638:37,0x4e8:26,0x620:25,0x810:25,0x230:23	
183	0x9d495	611	30	inconsistent	0	0.0	457	0	0	0	0	0xa88:37,0x90:35,0x4e8:33,0x560:32,0x390:31,0xaa0:27,0x6e0:27,0x620:26	
140	0x94e5a	560	40	inconsistent	0	0.0	230	0	0	0	0	0x998:67,0x5f0:64,0x5c8:48,0xaa0:29,0xad8:29,0x200:23,0xe0:23,0x5e8:21	
91	0x8b6de	546	30	fit	546	100.0	0	18	9	9	0	0x810:42,0xaa0:41,0x278:34,0x298:32,0xa88:32,0x18:28,0xad8:27,0x6e0:27	y0=0;y1=0;y2=0;y3=state.3^post.3;y4=state.4^post.4;y5=state.5^post.5;y6=state.6^post.6;y7=state.7^post.7;y8=state.8^post.8;y9=state.9^post.9;y10=state.10^post.10;y11=state.11^post.11;y12=0
351	0xc1d48	542	29	fit	542	100.0	0	274	143	91	34	0x948:256,0x810:28,0x5e8:28,0x560:26,0xe0:21,0x3c8:17,0x7f0:17,0xa68:16	y0=0;y1=0;y2=0;y3=1^state.2^state.3^state.4^state.5^state.6^state.10^state.12^state.17^state.18^...+21;y4=1^state.0^state.1^state.3^state.5^state.6^state.7^state.8^state.11^state.13^...+19;y5=state.3^state.4^state.7^state.8^state.9^state.10^state.13^state.14^state.15^state.16^...+21;y6=1^state.2^state.3^state.4^state.5^state.8^state.10^state.11^state.12^state.13^...+23;y7=1^state.2^state.3^state.6^state.11^state.13^state.14^state.15^state.16^state.21^...+16;y8=state.1^state.7^state.8^state.9^state.12^state.13^state.17^state.18^state.19^state.20^...+21;y9=1^state.1^state.2^state.9^state.11^state.17^state.18^state.19^state.20^state.23^...+20;y10=1^state.1^state.2^state.6^state.7^state.8^state.10^state.11^state.13^state.15^...+26;y11=state.0^state.3^state.4^state.6^state.7^state.9^state.10^state.16^state.17^state.19^...+17;y12=0
99	0x8c99a	531	8	fit	531	100.0	0	70	68	0	0	0x630:384,0x568:129,0x800:6,0x500:4,0x360:3,0x480:2,0x808:2,0xb00:1	y0=0;y1=0;y2=0;y3=1^state.0^state.2^state.5^state.7^state.8^state.9^state.12^state.15;y4=state.2^state.5^state.7^state.11^state.12^state.15;y5=state.0^state.2^state.3^state.4^state.5^state.8;y6=state.0^state.3^state.4^state.7^state.8^state.11^state.12^state.15;y7=state.2^state.5^state.7^state.8^state.11^state.12^state.22;y8=state.0^state.3^state.4^state.7^state.8^state.9^state.11^state.15^state.22;y9=state.1^state.7^state.9^state.11^state.12^state.15^state.22;y10=state.0^state.1^state.2^state.3^state.4^state.5^state.7^state.11^state.22;y11=1^state.1^state.2^state.3^state.4^state.7^state.12^state.15^state.22;y12=0
180	0x9cf32	478	30	inconsistent	0	0.0	385	0	0	0	0	0x540:44,0x278:38,0x948:30,0x4e8:30,0x868:29,0x658:25,0x90:23,0xa88:22	
292	0xb540f	476	26	fit	476	100.0	0	224	155	33	32	0x5c8:259,0xaf0:64,0x998:64,0x2e0:8,0x638:7,0x2d0:7,0xac8:6,0xa60:6	y0=0;y1=0;y2=0;y3=state.0^state.2^state.6^state.7^state.11^state.13^state.18^state.20^state.24^state.25^...+13;y4=state.1^state.4^state.6^state.8^state.11^state.12^state.13^state.14^state.15^state.16^...+13;y5=1^state.0^state.1^state.5^state.6^state.7^state.9^state.11^state.12^state.19^...+17;y6=state.1^state.2^state.3^state.4^state.6^state.8^state.11^state.12^state.13^state.14^...+17;y7=1^state.1^state.2^state.3^state.6^state.7^state.8^state.9^state.12^state.13^...+21;y8=1^state.1^state.2^state.3^state.5^state.7^state.8^state.11^state.12^state.13^...+16;y9=state.1^state.5^state.6^state.8^state.12^state.13^state.15^state.16^state.17^state.18^...+12;y10=state.0^state.1^state.2^state.3^state.4^state.6^state.7^state.9^state.11^state.12^...+20;y11=1^state.1^state.5^state.12^state.17^state.24^state.25^state.26^state.28^state.30^...+5;y12=0
208	0xa2361	456	26	fit	456	100.0	0	200	118	62	16	0x278:75,0xaa0:66,0x560:65,0x948:64,0x188:64,0x998:21,0x158:14,0x390:13	y0=0;y1=0;y2=0;y3=1^post.3;y4=post.4;y5=1^state.0^state.3^state.5^state.7^state.8^state.9^state.10^state.12^state.13^...+24;y6=1^state.0^state.2^state.4^state.6^state.8^state.9^state.10^state.12^state.13^...+26;y7=state.0^state.1^state.2^state.3^state.8^state.9^state.12^state.15^state.18^state.19^...+19;y8=1^state.0^state.4^state.5^state.9^state.10^state.12^state.14^state.17^state.19^...+12;y9=state.1^state.2^state.5^state.6^state.7^state.9^state.10^state.11^state.13^state.16^...+18;y10=state.0^state.4^state.6^state.7^state.10^state.11^state.13^state.14^state.19^state.21^...+13;y11=state.0^state.5^state.6^state.7^state.8^state.11^state.12^state.13^state.18^state.20^...+15;y12=0
