source_entry	source_target	events	unique_targets	full_status	full_terms	full_state_terms	full_post_terms	full_byte_terms	tested_folds	train_fit_folds	test_events	matched_events	coverage_pct	cv_status	top_targets	full_bit_formulas
287	0xb45d2	2612	25	inconsistent	0	0	0	0	5	0	2612	0	0.0	no_train_fit	0xe0:341,0x948:338,0x638:324,0x560:172,0xad8:151,0x998:127,0x5e8:109,0x810:103	
176	0x9c10b	2512	31	inconsistent	0	0	0	0	5	0	2512	0	0.0	no_train_fit	0xe0:439,0x998:220,0x5e8:210,0xa88:194,0x90:158,0xaa0:151,0x390:150,0x810:145	
20	0x7c62b	2490	28	inconsistent	0	0	0	0	5	0	2490	0	0.0	no_train_fit	0x390:454,0x5a8:287,0x810:208,0x210:164,0x5e8:136,0xad8:127,0xa88:124,0x200:121	
198	0xa037e	2441	59	inconsistent	0	0	0	0	5	0	2441	0	0.0	no_train_fit	0x960:326,0x90:276,0x5c8:265,0xa88:265,0x6b8:259,0x810:111,0xaf0:71,0x2d0:69	
108	0x8f24b	2430	59	inconsistent	0	0	0	0	5	0	2430	0	0.0	no_train_fit	0xa88:310,0xa68:290,0x6b8:283,0x998:161,0x680:128,0x158:110,0xe0:108,0xaa0:100	
257	0xadbfd	2408	61	inconsistent	0	0	0	0	5	0	2408	0	0.0	no_train_fit	0x560:774,0x158:269,0x4e8:267,0xad8:88,0xaa0:83,0x9a0:81,0x6b8:74,0x888:68	
173	0x9ba74	2374	60	inconsistent	0	0	0	0	5	0	2374	0	0.0	no_train_fit	0x200:342,0x620:278,0xae8:264,0x658:139,0xaa0:111,0xe0:107,0x390:106,0x5c8:87	
300	0xb6c36	2210	41	inconsistent	0	0	0	0	5	0	2210	0	0.0	no_train_fit	0x810:517,0x6e0:274,0xa68:261,0xa88:259,0x5c8:257,0x948:141,0x968:129,0x5b8:83	
243	0xaab6a	2189	25	inconsistent	0	0	0	0	5	0	2189	0	0.0	no_train_fit	0x998:336,0xe0:157,0x210:136,0x538:130,0x90:127,0x5e8:111,0x390:105,0xa90:102	
144	0x95887	2050	60	inconsistent	0	0	0	0	5	0	2050	0	0.0	no_train_fit	0x810:304,0x540:277,0x90:273,0x860:117,0xad8:104,0x4e8:74,0x4d0:67,0x390:46	
301	0xb708d	2037	8	inconsistent	0	0	0	0	5	0	2037	0	0.0	no_train_fit	0x500:538,0x568:396,0xb00:374,0x630:324,0x808:124,0x480:95,0x800:94,0x360:92	
33	0x7f7c4	2035	25	inconsistent	0	0	0	0	5	0	2035	0	0.0	no_train_fit	0x948:305,0x810:155,0x210:127,0x998:120,0x4e8:111,0x538:93,0x200:92,0xaa0:87	
346	0xc0535	1997	25	inconsistent	0	0	0	0	5	0	1997	0	0.0	no_train_fit	0xe0:192,0x4e8:155,0x390:138,0x210:128,0x540:118,0x810:109,0x200:104,0xa88:96	
220	0xa522e	1926	8	inconsistent	0	0	0	0	5	0	1926	0	0.0	no_train_fit	0x480:597,0x360:400,0x630:301,0x568:159,0xb00:151,0x800:132,0x500:129,0x808:57	
332	0xbd36d	1880	44	inconsistent	0	0	0	0	5	0	1880	0	0.0	no_train_fit	0xad8:266,0x2d0:256,0x390:256,0x318:256,0x9f8:256,0x810:93,0xaa0:73,0x158:69	
49	0x82820	1844	8	inconsistent	0	0	0	0	5	0	1844	0	0.0	no_train_fit	0x480:471,0x630:361,0x808:320,0x360:261,0x500:145,0x568:135,0xb00:110,0x800:41	
352	0xc1ec4	1775	59	inconsistent	0	0	0	0	5	0	1775	0	0.0	no_train_fit	0x810:350,0x920:257,0x998:104,0x3c8:84,0x5e8:81,0x4e8:77,0x4d0:71,0x680:66	
256	0xad849	1516	58	inconsistent	0	0	0	0	5	0	1516	0	0.0	no_train_fit	0xaa0:296,0x860:141,0x638:91,0x810:86,0x888:85,0x4e8:84,0xa88:77,0x5e8:53	
79	0x885b0	1337	8	inconsistent	0	0	0	0	5	0	1337	0	0.0	no_train_fit	0x808:385,0x500:319,0x630:136,0x800:125,0x360:123,0x480:107,0x568:91,0xb00:51	
260	0xae90b	1266	38	inconsistent	0	0	0	0	5	0	1266	0	0.0	no_train_fit	0x5e8:266,0xaa0:256,0x968:78,0x5b8:66,0x948:66,0x560:65,0x810:65,0xe0:65	
350	0xc1926	1176	39	inconsistent	0	0	0	0	5	0	1176	0	0.0	no_train_fit	0x810:257,0x8c8:257,0x390:80,0x6b8:67,0x5c8:66,0xa00:64,0x6e0:64,0x5b8:62	
192	0x9f00a	1120	8	inconsistent	0	0	0	0	5	0	1120	0	0.0	no_train_fit	0x630:333,0x808:289,0x360:175,0x800:124,0x568:111,0x500:34,0x480:27,0xb00:27	
319	0xba72f	1113	8	inconsistent	0	0	0	0	5	0	1113	0	0.0	no_train_fit	0x568:385,0x808:285,0x500:147,0x480:97,0xb00:82,0x800:51,0x360:44,0x630:22	
273	0xb11ca	1072	37	inconsistent	0	0	0	0	5	0	1072	0	0.0	no_train_fit	0x638:258,0x5b8:93,0x620:81,0xad8:78,0x200:68,0x998:67,0x290:64,0x348:64	
171	0x9b4b3	1069	27	fit	9	0	0	9	5	5	1069	1069	100.0	robust	0x620:351,0xa10:256,0xa88:73,0x5c8:69,0xa68:29,0x158:28,0xaa0:23,0x210:22	y0=0;y1=0;y2=0;y3=b0.0;y4=b0.1;y5=b0.2;y6=b0.3;y7=b0.4;y8=b0.5;y9=b0.6;y10=b0.7;y11=b1.0;y12=0
30	0x7e849	1050	36	inconsistent	0	0	0	0	5	0	1050	0	0.0	no_train_fit	0x658:269,0x600:256,0x998:79,0x4e8:67,0x2d8:65,0x5b8:62,0x5a0:45,0xa88:30	
37	0x80685	1003	8	inconsistent	0	0	0	0	5	0	1003	0	0.0	no_train_fit	0x800:330,0x808:279,0x500:152,0x480:69,0x568:54,0x360:50,0xb00:44,0x630:25	
3	0x78c77	999	8	fit	34	0	17	11	5	5	999	999	100.0	robust	0x500:221,0x568:182,0xb00:142,0x480:110,0x808:105,0x800:89,0x360:79,0x630:71	y0=0;y1=0;y2=0;y3=1^post.4^b0.4;y4=post.4;y5=1^post.5;y6=1^post.4^post.5;y7=1^post.4^post.9^post.11^b1.1^b1.3;y8=post.9^b1.1;y9=1^post.4^post.10^b1.2;y10=post.10^post.11^b1.2^b1.3;y11=1^post.4^post.5^post.10^post.11^b0.4^b0.6^b1.2^b1.3;y12=0
128	0x9299b	955	29	fit	216	100	52	62	5	5	955	926	97.0	partial	0x200:260,0x6b8:257,0x860:256,0x18:70,0x998:11,0x638:8,0x948:8,0x5c8:7	y0=0;y1=0;y2=0;y3=state.1^state.2^state.4^state.7^state.9^state.11^state.12^state.14^state.17^state.18^...+24;y4=1^state.0^state.2^state.3^state.6^state.7^state.9^state.12^state.14^state.16^...+23;y5=state.0^state.2^state.9^state.10^state.11^state.18^state.20^state.21^state.22^state.23^...+20;y6=post.6;y7=1^state.5^state.7^state.10^state.11^state.13^state.15^state.16^state.17^state.22^...+15;y8=post.8;y9=state.0^state.2^state.3^state.7^state.9^state.10^state.11^state.12^state.13^state.14^...+24;y10=state.0^state.2^state.4^state.5^state.10^state.11^state.12^state.13^state.14^state.15^...+23;y11=state.2^state.4^state.9^state.12^state.13^state.17^state.20^state.21^state.27^state.28^...+15;y12=0
269	0xb045b	900	8	inconsistent	0	0	0	0	5	0	900	0	0.0	no_train_fit	0x500:301,0x360:178,0xb00:87,0x808:77,0x568:75,0x800:72,0x630:59,0x480:51	
154	0x97ce6	869	41	inconsistent	0	0	0	0	5	0	869	0	0.0	no_train_fit	0x620:78,0x5c8:77,0x5a0:76,0x948:71,0x810:69,0x188:67,0x210:66,0xa00:64	
345	0xc02e4	860	49	inconsistent	0	0	0	0	5	0	860	0	0.0	no_train_fit	0x1a0:303,0x600:76,0x390:73,0x620:44,0x560:30,0x540:28,0x200:22,0xaa0:20	
322	0xbb3c9	834	33	inconsistent	0	0	0	0	5	0	834	0	0.0	no_train_fit	0x4e8:256,0xa88:132,0x2d8:77,0x18:67,0x318:64,0x5b8:49,0xad8:40,0x200:18	
254	0xad32c	822	37	fit	10	0	9	1	5	5	822	822	100.0	robust	0x210:262,0x948:81,0xe0:69,0x188:65,0xad8:65,0x5b8:60,0x2d8:50,0x5a0:50	y0=0;y1=0;y2=0;y3=post.3;y4=post.4;y5=post.5;y6=post.5^b2.6;y7=post.7;y8=post.8;y9=post.9;y10=post.10;y11=post.11;y12=0
121	0x91379	737	38	inconsistent	0	0	0	0	5	0	737	0	0.0	no_train_fit	0x998:271,0x2d8:68,0x540:65,0x5a0:55,0x5b8:48,0x390:32,0x810:18,0x968:16	
320	0xbada5	731	8	inconsistent	0	0	0	0	5	0	731	0	0.0	no_train_fit	0x800:130,0x360:123,0x630:120,0x500:116,0x568:78,0xb00:61,0x808:59,0x480:44	
