source_entry	source_target	events	unique_post_states	full_status	matched_events	coverage_pct	inconsistent_rows	total_terms	state_terms	flag_terms	vm_byte_terms	byte_terms	tested_folds	train_fit_folds	test_events	cv_matched_events	cv_coverage_pct	cv_status	top_post_states	bit_formulas
278	0xb2342	82	8	fit	82	100.0	0	83	74	0	0	0	5	5	82	80	97.6	partial	0x400110fe:14,0x78de0800:14,0x5f8f8af3:13,0xbffcca14:13,0xf21b0800:13,0x3ffce85e:13,0xf9957e52:1,0x78ef0800:1	s0=state.0;s1=state.1;s2=state.2;s3=state.3;s4=state.1^state.2^state.3;s5=state.5;s6=state.1;s7=state.5;s8=0;s9=state.1^state.2;s10=state.0^state.1^state.3;s11=1^state.0^state.5;s12=state.1^state.3^state.5;s13=state.1^state.5;s14=state.1^state.2^state.3^state.5;s15=state.2^state.5;s16=state.16;s17=1^state.0^state.1^state.2^state.3;s18=state.18;s19=1^state.1^state.3^state.5;s20=state.1^state.3^state.5^state.16^state.18;s21=1^state.0^state.1^state.2^state.3^state.5^state.16^state.18;s22=state.1^state.3^state.18;s23=state.18;s24=state.0^state.1^state.2^state.3^state.5;s25=1^state.0^state.2^state.18;s26=state.2^state.5;s27=state.18;s28=1^state.0^state.5;s29=1^state.5;s30=1^state.0^state.2^state.5;s31=1^state.1^state.2^state.5^state.18
190	0x9eacb	81	6	fit	81	100.0	0	49	44	0	0	0	5	5	81	81	100.0	robust	0xf080800:64,0x5c100300:4,0x9c040808:4,0xee50000:4,0x90c00800:3,0x1ce40300:2	s0=0;s1=0;s2=0;s3=state.0;s4=0;s5=0;s6=0;s7=0;s8=state.0^state.1^state.2^state.4;s9=state.0^state.1^state.2^state.4;s10=0;s11=1^state.1^state.3^state.4;s12=0;s13=0;s14=0;s15=0;s16=state.0^state.2^state.3;s17=0;s18=state.3;s19=state.0^state.1^state.3;s20=state.0^state.1^state.4;s21=state.0^state.3;s22=1^state.0^state.3^state.4;s23=1^state.0^state.3^state.4;s24=state.0^state.1^state.3;s25=state.1^state.2;s26=state.4;s27=state.4;s28=1^state.1^state.2;s29=0;s30=state.0^state.1^state.4;s31=1^state.0^state.4
94	0x8bd69	74	4	fit	74	100.0	0	25	16	0	0	0	5	5	74	74	100.0	robust	0xe966:64,0x2966:4,0x32be:3,0x323d:3	s0=state.0^state.7;s1=1^state.0^state.7;s2=1;s3=1^state.0;s4=1^state.0;s5=1;s6=state.0;s7=1^state.7;s8=state.0;s9=1^state.0;s10=0;s11=state.0;s12=1^state.0;s13=1;s14=state.0^state.2;s15=state.0^state.2;s16=0;s17=0;s18=0;s19=0;s20=0;s21=0;s22=0;s23=0;s24=0;s25=0;s26=0;s27=0;s28=0;s29=0;s30=0;s31=0
250	0xac802	72	4	fit	72	100.0	0	61	39	0	0	0	5	5	72	71	98.6	partial	0x5fde335e:64,0xef5f795c:4,0x3fade73f:3,0x5f7dbcf8:1	s0=state.0;s1=state.2;s2=1^state.2^state.6;s3=1;s4=1;s5=state.0^state.2^state.6;s6=1^state.0;s7=state.2^state.6;s8=1^state.2^state.6;s9=state.2;s10=state.0^state.2^state.6;s11=1^state.2;s12=1^state.0;s13=1;s14=1^state.0^state.6;s15=state.0^state.2^state.6;s16=1^state.0^state.2;s17=1^state.0^state.2^state.6;s18=1;s19=1;s20=1^state.0;s21=state.0^state.2^state.6;s22=1^state.0;s23=state.2;s24=1;s25=1;s26=1;s27=1;s28=state.6;s29=1^state.0^state.6;s30=1^state.0;s31=1^state.6
311	0xb86f8	67	10	fit	67	100.0	0	110	102	0	0	0	5	5	67	64	95.5	partial	0x7bd7fefb:13,0xf8e60910:13,0xe74477c6:13,0x841ab3c5:13,0xe9cdbd2a:4,0xbffd4e77:4,0xceebcfb8:4,0xdfe1fdbf:1	s0=state.0;s1=state.1;s2=state.2;s3=state.3;s4=state.4;s5=state.5;s6=state.6;s7=state.7;s8=state.8;s9=state.2^state.3^state.4^state.6^state.8;s10=state.1^state.2^state.3^state.4^state.8;s11=1^state.3^state.4^state.6^state.7^state.8;s12=state.0^state.1^state.2^state.6;s13=1^state.0^state.1^state.2^state.3^state.4^state.6^state.7;s14=state.1^state.2^state.3^state.6;s15=state.1^state.2^state.3^state.5^state.6^state.7;s16=state.5;s17=state.0^state.5^state.7^state.8;s18=state.0^state.2^state.3^state.4;s19=state.1^state.7;s20=1^state.1^state.2^state.5^state.6^state.7^state.8;s21=1^state.3^state.4^state.5^state.8;s22=1^state.1^state.2^state.5^state.6^state.7;s23=state.0^state.1^state.3^state.6^state.7^state.8;s24=state.1;s25=state.1^state.2^state.3^state.6;s26=1^state.0^state.1^state.3^state.8;s27=state.6^state.8;s28=state.2^state.3^state.8;s29=1^state.1^state.2^state.3;s30=1^state.0^state.2^state.6;s31=state.0^state.1^state.5^state.7^state.8
317	0xba1e2	66	44	fit	66	100.0	0	371	274	0	0	81	5	5	66	32	48.5	partial	0x18e7eeed:4,0x18e80754:4,0x18e806b4:4,0x18e8048d:4,0x18e83c4c:4,0x18e7f78d:3,0x18e82105:3,0x18e883b4:2	s0=1^b0.0;s1=0;s2=1;s3=b0.0^b0.3;s4=state.0^state.1^state.5^state.8^state.9^state.10^state.14^state.17^state.18^state.19^...+12;s5=1^state.2^state.3^state.4^state.5^state.7^state.8^state.9^state.10^state.11^...+18;s6=state.0^state.4^state.6^state.7^state.10^state.12^state.13^state.17^state.19^state.24^...+6;s7=1^state.0^state.7^state.10^state.11^state.13^state.14^state.15^state.16^state.17^...+9;s8=state.0^state.1^state.3^state.5^state.6^state.7^state.8^state.9^state.10^state.11^...+17;s9=state.0^state.3^state.5^state.8^state.12^state.14^state.16^state.26^state.28^state.31^...+3;s10=1^state.0^state.1^state.2^state.3^state.6^state.7^state.8^state.9^state.10^...+11;s11=state.1^state.2^state.3^state.5^state.9^state.12^state.13^state.16^state.18^state.20^...+17;s12=1^state.0^state.3^state.4^state.5^state.10^state.11^state.13^state.14^state.15^...+12;s13=1^state.0^state.3^state.4^state.5^state.10^state.11^state.13^state.14^state.15^...+13;s14=1^state.0^state.1^state.6^state.7^state.8^state.9^state.12^state.14^state.18^...+13;s15=state.0^state.1^state.5^state.8^state.10^state.12^state.13^state.14^state.16^state.17^...+11;s16=1^state.0^state.5^state.6^state.8^state.9^state.11^state.13^state.14^state.15^...+15;s17=1^state.0^state.5^state.6^state.8^state.9^state.11^state.13^state.14^state.15^...+15;s18=1^state.0^state.5^state.6^state.8^state.9^state.11^state.13^state.14^state.15^...+15;s19=state.0^state.5^state.6^state.8^state.9^state.11^state.13^state.14^state.15^state.16^...+14;s20=0;s21=1;s22=1;s23=1;s24=0;s25=0;s26=0;s27=1;s28=1;s29=0;s30=0;s31=0
102	0x8d71d	64	1	fit	64	100.0	0	16	0	0	0	0	5	5	64	64	100.0	robust	0x3f069ec4:64	s0=0;s1=0;s2=1;s3=0;s4=0;s5=0;s6=1;s7=1;s8=0;s9=1;s10=1;s11=1;s12=1;s13=0;s14=0;s15=1;s16=0;s17=1;s18=1;s19=0;s20=0;s21=0;s22=0;s23=0;s24=1;s25=1;s26=1;s27=1;s28=1;s29=1;s30=0;s31=0
264	0xaf4cf	49	7	fit	49	100.0	0	95	78	0	0	0	5	5	49	47	95.9	partial	0x7f3e7f7b:13,0xc917a90d:13,0x69145e5a:13,0x984d244d:4,0xe76c8b67:4,0xfb8d8b71:1,0xebbf6e54:1	s0=state.0;s1=state.1;s2=state.2;s3=state.3;s4=1^state.1^state.3;s5=state.5;s6=state.6;s7=0;s8=1^state.5^state.6;s9=1^state.0^state.5;s10=1^state.1^state.2^state.6;s11=state.0^state.5^state.6;s12=state.0^state.3^state.5;s13=1^state.0^state.3;s14=state.0^state.1^state.2^state.5;s15=state.1^state.2^state.6;s16=1^state.1;s17=state.3^state.5^state.6;s18=1;s19=1^state.0^state.1^state.2^state.3^state.6;s20=1^state.0^state.1^state.2^state.5^state.6;s21=1^state.0^state.1;s22=1^state.1^state.3^state.6;s23=1^state.0^state.1^state.5;s24=state.0^state.5^state.6;s25=state.1^state.2^state.3^state.5;s26=1^state.0^state.2^state.3;s27=1^state.0^state.1^state.3^state.5;s28=1^state.1^state.3^state.5^state.6;s29=1^state.0^state.5;s30=state.0^state.5^state.6;s31=1^state.0^state.3^state.5
0	0x78561	48	4	fit	48	100.0	0	35	22	0	0	0	5	5	48	48	100.0	robust	0x2519ccf7:17,0x2519fa83:14,0x25198152:10,0x25190b27:7	s0=1^state.0;s1=1;s2=1^state.2;s3=0;s4=state.4;s5=1^state.2;s6=state.4;s7=state.2^state.4;s8=1^state.2^state.4;s9=1^state.4;s10=state.0^state.4;s11=1^state.0;s12=state.0^state.2;s13=state.0^state.2;s14=state.2^state.4;s15=state.0^state.2^state.4;s16=1;s17=0;s18=0;s19=1;s20=1;s21=0;s22=0;s23=0;s24=1;s25=0;s26=1;s27=0;s28=0;s29=1;s30=0;s31=0
242	0xaa87d	43	8	fit	43	100.0	0	116	100	0	0	0	5	5	43	39	90.7	partial	0xfbfb525a:14,0xfc0507b0:12,0xaffa3ebc:9,0xeffe5f9b:4,0xa3850390:1,0xa3fe9eb7:1,0xa3fa29e0:1,0xb7fed694:1	s0=state.0;s1=state.1;s2=state.2;s3=state.1^state.5;s4=state.0^state.1^state.2^state.4^state.5;s5=1^state.0^state.1^state.2^state.3^state.4^state.8;s6=1^state.2^state.4^state.5;s7=1^state.0^state.1;s8=1^state.0^state.1^state.2;s9=state.0^state.1^state.2^state.4^state.5;s10=state.2^state.8;s11=1^state.0^state.1^state.2^state.3^state.4;s12=state.0^state.1^state.2^state.3;s13=1^state.1^state.2^state.3^state.4;s14=state.0^state.1^state.2^state.3^state.5;s15=state.0^state.2^state.3^state.5;s16=state.0^state.1^state.3^state.4^state.5;s17=1^state.3^state.4^state.5;s18=state.0^state.2^state.3^state.4;s19=1^state.3^state.4^state.5;s20=1^state.3^state.4^state.5;s21=1^state.3^state.4^state.5;s22=1^state.3^state.4^state.5;s23=1^state.3^state.8;s24=1^state.3^state.8;s25=1^state.3^state.8;s26=state.0^state.2^state.3^state.8;s27=state.1^state.3^state.5^state.8;s28=state.0^state.1^state.2^state.3^state.5^state.8;s29=1;s30=state.0^state.1^state.8;s31=1
