source_entry	source_target	events	target_matched_events	target_coverage_pct	target_mismatched_events	ip_matched_events	ip_coverage_pct	ip_mismatched_events	unknown_ops	branch_unknown	avg_steps	statuses	unique_target_exprs	unique_slot_exprs	unique_ip_exprs	top_target_exprs	top_slot_exprs	top_ip_exprs	example_status	example_pred_entry	example_actual_entry	example_bytes	example_target_expr
48	0x82477	119	119	100.0	0	119	100.0	0	357	0	187.7	ok:119	3	3	1	78=T[(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ flags0)))) + 0x4f1a7667)) - (mask32(flags0 & 0x6134e706)))) & (mask32(flags0 & 0x6134e706)))) ^ 0x79fc8ff4)) | (mask32((mask32(flags0 & 0x6134e706)) - 0x430c028c)))) & (mask32((mask32(f...#2db508514947;28=T[(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ (mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)))))) + 0x4f1a7667)) - (mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)))) & (mask32((mask32((mask32(flags0 ^ ...#2b3544c46107;13=T[(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ (mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)))))) + 0x4f1a7667)) - (mask32((mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) & 0x7e86fbd3)) ^ 0x41...#04060be20cf3	78=(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ flags0)))) + 0x4f1a7667)) - (mask32(flags0 & 0x6134e706)))) & (mask32(flags0 & 0x6134e706)))) ^ 0x79fc8ff4)) | (mask32((mask32(flags0 & 0x6134e706)) - 0x430c028c)))) & (mask32((mask32(fla...#1ef66cded6f8;28=(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ (mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)))))) + 0x4f1a7667)) - (mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)))) & (mask32((mask32((mask32(flags0 ^ 0x...#0334916c6242;13=(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ (mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)))))) + 0x4f1a7667)) - (mask32((mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) & 0x7e86fbd3)) ^ 0x41ba...#9fb39bf6f58a	119=0x5					
356	0xc291a	116	0	0.0	116	0	0.0	116	4627	0	225.0	ok:13,unknown_target:103	1	1	1	116=T[(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff]	116=(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff	116=0x5	unknown_target	-1	310	39fa2600800000fd0100	T[(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff]
216	0xa4a61	112	0	0.0	112	0	0.0	112	3696	0	211.0	unknown_target:112	1	1	1	112=T[(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff]	112=(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff	112=0x5	unknown_target	-1	169	4e7533008000ff4d0200	T[(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff]
148	0x96b6e	105	105	100.0	0	105	100.0	0	261	0	170.9	ok:105	1	1	1	105=T[(mask32((mask32(u16_3 - (mask32(state0 & flags0)))) ^ 0x502e5379)) & 0xffff]	105=(mask32((mask32(u16_3 - (mask32(state0 & flags0)))) ^ 0x502e5379)) & 0xffff	105=0x5					
95	0x8c41c	92	0	0.0	92	0	0.0	92	920	0	97.4	unknown_target:92	1	1	1	92=T[(mask32(u16_4 + 0x1f18e1aa)) & 0xffff]	92=(mask32(u16_4 + 0x1f18e1aa)) & 0xffff	92=0x8	unknown_target	-1	169	a8fb2600800000fd0100	T[(mask32(u16_4 + 0x1f18e1aa)) & 0xffff]
280	0xb2661	86	86	100.0	0	86	100.0	0	86	0	371.9	ok:86	1	1	1	86=T[(mask32(u16_0 - 0x267d402f)) & 0xffff]	86=(mask32(u16_0 - 0x267d402f)) & 0xffff	86=0x5					
278	0xb2342	82	0	0.0	82	0	0.0	82	738	0	176.0	unknown_target:82	1	1	1	82=T[(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff]	82=(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	82=0x5	unknown_target	-1	169	4ad833008000ff4d0200	T[(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff]
190	0x9eacb	81	81	100.0	0	81	100.0	0	84	0	159.3	ok:81	1	1	1	81=T[(mask32((mask32(u16_3 + state0)) + 0x20f4b909)) & 0xffff]	81=(mask32((mask32(u16_3 + state0)) + 0x20f4b909)) & 0xffff	81=0x5					
94	0x8bd69	74	74	100.0	0	74	100.0	0	74	0	359.8	ok:74	1	1	1	74=T[(mask32(u16_1 ^ (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 ^ (mask32(state0 + 0x551fa912)))) & 0x7af574e5)))) + (mask32(flags0 ^ (mask32(state0 + 0x551fa912)))))) | 0x23f8268c)))) & 0xffff]	74=(mask32(u16_1 ^ (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 ^ (mask32(state0 + 0x551fa912)))) & 0x7af574e5)))) + (mask32(flags0 ^ (mask32(state0 + 0x551fa912)))))) | 0x23f8268c)))) & 0xffff	74=0x5					
250	0xac802	72	72	100.0	0	72	100.0	0	0	0	190.1	ok:72	1	1	1	72=T[(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 ^ flags0)) + flags0)) ^ (mask32(flags0 | 0x75c2d7ad)))) + 0x3d28c7fc)) - 0xb911f97)))) + 0x71ad6fc6)) & 0xffff]	72=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 ^ flags0)) + flags0)) ^ (mask32(flags0 | 0x75c2d7ad)))) + 0x3d28c7fc)) - 0xb911f97)))) + 0x71ad6fc6)) & 0xffff	72=0x3					
