source_entry	source_target	branch_site	branch_mnemonic	events	taken_events	not_taken_events	unknown_events	unknown_pct	avg_steps_to_branch	top_predicate_classes	condition_sites	condition_mnemonics	top_condition_ops	top_left_exprs	top_right_exprs	top_left_values	top_right_values	zf_values	top_conditions
337	0xbec0e	0xbef67	je	7502	2344	5158	0	0.0	173.0	resolved:7502	0xbef62:7502	cmp:7502	eax, 0:7502	((flags0 + 0x61f749a7) & 0x2):7502	0x0:7502	0x2:5158,0x0:2344	0x0:7502	False:5158,True:2344	0xbef62:cmp:eax, 0:((flags0 + 0x61f749a7) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:5158,0xbef62:cmp:eax, 0:((flags0 + 0x61f749a7) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:2344
337	0xbec0e	0xbefac	je	7502	0	7502	0	0.0	184.1	resolved:7502	0xbefa8:7502	cmp:7502	r9b, 0:7502	low8((frame + 0x81)):7502	0x0:7502	frame+0x81:7502	0x0:7502	False:7502	0xbefa8:cmp:r9b, 0:low8((frame + 0x81))(frame+0x81) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8:7502
189	0x9e7af	0x9e84f	je	7459	3359	4100	0	0.0	35.0	resolved:7459	0x9e849:7459	cmp:7459	edi, 0:7459	((flags0 - 0x10705ace) & 0x2):7459	0x0:7459	0x2:4100,0x0:3359	0x0:7459	False:4100,True:3359	0x9e849:cmp:edi, 0:((flags0 - 0x10705ace) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:4100,0x9e849:cmp:edi, 0:((flags0 - 0x10705ace) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:3359
189	0x9e7af	0x9e880	je	7459	539	6920	0	0.0	42.7	resolved:7459	0x9e87c:7459	cmp:7459	r8b, 0:7459	seed(r8):4356,low8(seed(r8)):3103	0x0:7459	frame+0x170:1103,0x0:480,frame+0x0:308,0x3a:250,0x49:229	0x0:7459	False:6920,True:539	0x9e87c:cmp:r8b, 0:low8(seed(r8))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:1103,0x9e87c:cmp:r8b, 0:seed(r8)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:480,0x9e87c:cmp:r8b, 0:low8(seed(r8))(frame+0x0) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:308,0x9e87c:cmp:r8b, 0:seed(r8)(0x3a) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:250,0x9e87c:cmp:r8b, 0:seed(r8)(0x49) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:229
189	0x9e7af	0x9e8d1	je	7459	0	7459	0	0.0	59.7	resolved:7459	0x9e8cf:7459	cmp:7459	al, 0:7459	low8((frame + 0x0)):7459	0x0:7459	frame+0x0:7459	0x0:7459	False:7459	0x9e8cf:cmp:al, 0:low8((frame + 0x0))(frame+0x0) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8:7459
18	0x7be9b	0x7bed4	je	7392	654	6738	0	0.0	14.0	resolved:7392	0x7bed0:7392	cmp:7392	dil, 0:7392	seed(rdi):4847,low8(seed(rdi)):2545	0x0:7392	frame+0xa:865,frame+0x170:749,0x0:639,0x8:249,0x33:242	0x0:7392	False:6738,True:654	0x7bed0:cmp:dil, 0:low8(seed(rdi))(frame+0xa) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:865,0x7bed0:cmp:dil, 0:low8(seed(rdi))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:749,0x7bed0:cmp:dil, 0:seed(rdi)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:639,0x7bed0:cmp:dil, 0:seed(rdi)(0x8) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:249,0x7bed0:cmp:dil, 0:seed(rdi)(0x33) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:242
18	0x7be9b	0x7befe	je	7392	5184	2208	0	0.0	20.9	resolved:7392	0x7bef8:7392	cmp:7392	edi, 0:7392	(flags0 & 0x2):7392	0x0:7392	0x0:5184,0x2:2208	0x0:7392	True:5184,False:2208	0x7bef8:cmp:edi, 0:(flags0 & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:5184,0x7bef8:cmp:edi, 0:(flags0 & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:2208
18	0x7be9b	0x7bfe0	je	7392	5184	2208	0	0.0	64.7	resolved:7392	0x7bfda:7392	cmp:7392	ecx, 0:7392	(flags0 & 0x2):5184,(((flags0 | 0x954df65) + 0x5b466f3b) & 0x2):2208	0x0:7392	0x0:5184,0x2:2208	0x0:7392	True:5184,False:2208	0x7bfda:cmp:ecx, 0:(flags0 & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:5184,0x7bfda:cmp:ecx, 0:(((flags0 | 0x954df65) + 0x5b466f3b) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:2208
18	0x7be9b	0x7c17e	je	7392	0	7392	0	0.0	149.2	resolved:7392	0x7c178:7392	cmp:7392	ecx, 0:7392	((flags0 - 0x6a461e06) & 0x2):5184,(((((flags0 | 0x954df65) + 0x5b466f3b) + 0x4872934a) - 0x6a461e06) & 0x2):2208	0x0:7392	0x2:7392	0x0:7392	False:7392	0x7c178:cmp:ecx, 0:((flags0 - 0x6a461e06) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:5184,0x7c178:cmp:ecx, 0:(((((flags0 | 0x954df65) + 0x5b466f3b) + 0x4872934a) - 0x6a461e06) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:2208
66	0x855ff	0x85621	je	7189	827	6362	0	0.0	9.0	resolved:7189	0x8561d:7189	cmp:7189	r14b, 0:7189	seed(r14):4676,low8(seed(r14)):2513	0x0:7189	frame+0x170:1194,0x0:814,0xff:468,frame+0xa:467,frame+0x71:280	0x0:7189	False:6362,True:827	0x8561d:cmp:r14b, 0:low8(seed(r14))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:1194,0x8561d:cmp:r14b, 0:seed(r14)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:814,0x8561d:cmp:r14b, 0:seed(r14)(0xff) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:468,0x8561d:cmp:r14b, 0:low8(seed(r14))(frame+0xa) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:467,0x8561d:cmp:r14b, 0:low8(seed(r14))(frame+0x71) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:280
