source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	unique_target_exprs	unique_slot_exprs	unique_ip_exprs	top_target_exprs	top_slot_exprs	top_ip_exprs	top_actual_targets	path
17	0x7bae9	dfbfe5a7641750c5	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff]	4=(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff	4=0x5	220@0xa522e:4	0x7bafa:je:?;0x7bbdd:jne:1;0x7bbea:jne:1;0x7bbf8:jne:0;0x7bc05:jne:1;0x7bc7b:je:0;0x7bd0e:je:1
36	0x800a1	6eb380f706ec49f0	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32(u16_0 - (mask32((mask32((mask32((mask32(state0 + flags0)) ^ (mask32((mask32(flags0 & 0x73966fc6)) & 0x348b11be)))) ^ 0x72d0ef43)) | 0x7af5a860)))) & 0xffff]	4=(mask32(u16_0 - (mask32((mask32((mask32((mask32(state0 + flags0)) ^ (mask32((mask32(flags0 & 0x73966fc6)) & 0x348b11be)))) ^ 0x72d0ef43)) | 0x7af5a860)))) & 0xffff	4=0x5	108@0x8f24b:4	0x800b2:je:0;0x80346:je:0;0x803d6:jne:1;0x803e9:jne:1;0x803f7:jne:0;0x80404:jne:1;0x804d8:je:0
86	0x8a37f	e3b0c44298fc1c14	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[u16_0 << 0x3]	4=u16_0 << 0x3	4=0x4	310@0xb8556:4	-
95	0x8c41c	00faf1450a01263f	4	0	0.0	0	0.0	unknown_target:4	1	1	1	4=T[(mask32(u16_4 + 0x1f18e1aa)) & 0xffff]	4=(mask32(u16_4 + 0x1f18e1aa)) & 0xffff	4=0x8	310@0xb8556:4	0x8c53c:je:?
128	0x9299b	91bf05f3f343e4b6	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3aec)) - (mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea5...#54e0ef59b4f0	4=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3aec)) - (mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)...#a4fc43487c07	4=0x5	185@0x9d964:4	0x929dd:je:1;0x92a2e:je:1;0x92a94:je:0;0x92cb8:jne:1;0x92cdb:jne:1;0x92ceb:jne:1;0x92d07:jne:0;0x92d9f:je:1
130	0x931d3	ebeafe43f7b7b773	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32((mask32(u16_0 + (mask32((mask32(state0 | (mask32(flags0 - (mask32(state0 + 0x42718c2a)))))) + (mask32((mask32(flags0 - (mask32(state0 + 0x42718c2a)))) & 0x3a044344)))))) - 0x5121ff33)) & 0xffff]	4=(mask32((mask32(u16_0 + (mask32((mask32(state0 | (mask32(flags0 - (mask32(state0 + 0x42718c2a)))))) + (mask32((mask32(flags0 - (mask32(state0 + 0x42718c2a)))) & 0x3a044344)))))) - 0x5121ff33)) & 0xffff	4=0x5	144@0x95887:4	0x933d5:je:1;0x93509:jne:1;0x93524:jne:1;0x93546:jne:1;0x9355b:jne:0;0x93611:je:1;0x93660:je:0
131	0x937d0	71e5e0d47b599c7b	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32((mask32((mask32(flags0 + 0x75229706)) - 0x1ec4fc3d)) - (mask32((mask32(state0 | 0x8fb57c3)) + 0x4674713d)))) ^ 0x4382f497)) - 0x95703a1)) ^ 0xea909d9)))) - (mask32((ma...#dd8dbc3118a8	4=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32((mask32((mask32(flags0 + 0x75229706)) - 0x1ec4fc3d)) - (mask32((mask32(state0 | 0x8fb57c3)) + 0x4674713d)))) ^ 0x4382f497)) - 0x95703a1)) ^ 0xea909d9)))) - (mask32((mask...#6790f617ef78	4=0x5	108@0x8f24b:4	0x9395a:je:0;0x93a40:jne:1;0x93a65:jne:1;0x93a74:jne:0;0x93a99:jne:1;0x93b5d:je:0;0x93b8f:je:?;0x93bd0:je:0;0x93cc3:je:0;0x93cf0:je:0;0x93da3:je:0;0x93e3d:je:1
192	0x9f00a	25b32187cd64fd25	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32(u16_0 ^ (mask32((mask32((mask32(state0 + flags0)) + (mask32(flags0 + (mask32((mask32(state0 + flags0)) ^ 0x5d641cd7)))))) + (mask32(flags0 + (mask32((mask32(state0 + flags0)) ^ 0x5d641cd7)))))))) & 0xffff]	4=(mask32(u16_0 ^ (mask32((mask32((mask32(state0 + flags0)) + (mask32(flags0 + (mask32((mask32(state0 + flags0)) ^ 0x5d641cd7)))))) + (mask32(flags0 + (mask32((mask32(state0 + flags0)) ^ 0x5d641cd7)))))))) & 0xffff	4=0x5	173@0x9ba74:2,256@0xad849:1,352@0xc1ec4:1	0x9f0c6:je:1;0x9f163:je:1;0x9f2a8:jne:1;0x9f2ce:jne:1;0x9f2ea:jne:1;0x9f309:jne:0;0x9f512:je:0
208	0xa2361	975d39be5ca8b73a	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32(u16_3 - (mask32((mask32((mask32((mask32(state0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - 0x24472eba)) ^ 0x60ff2036)) + 0x7627b830)) - 0x42fb6768)) ^ (mask32(state0 + 0x7ad87935)))) ^ 0x39b69246)) ^ (mask32(state0 | 0x7a909dc0)))) ^ 0x58abcfc7)) | 0x147...#46fa023927e4	4=(mask32(u16_3 - (mask32((mask32((mask32((mask32(state0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - 0x24472eba)) ^ 0x60ff2036)) + 0x7627b830)) - 0x42fb6768)) ^ (mask32(state0 + 0x7ad87935)))) ^ 0x39b69246)) ^ (mask32(state0 | 0x7a909dc0)))) ^ 0x58abcfc7)) | 0x1477a...#fb4d75de8e9e	4=0x5	333@0xbd8af:2,83@0x8947b:2	0xa237a:je:0;0xa23bd:je:0;0xa24d5:je:0;0xa2510:je:0;0xa26dc:jne:1;0xa270b:jne:1;0xa272d:jne:1;0xa2755:jne:0
214	0xa3fe9	976254d9e1abe997	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x784f7133)))) ^ 0x7e64782)) & 0x5bda5c23)) + 0x352ca91c)) | (mask32((mask32((mask32((mask32((mask32(flags0 + 0x784f7133)) & 0x4cc9d7b)) & 0x79233229)) - 0x234dc07a)) - 0x2ce4baee)))) - 0x3231759e)))) - ...#5d83ea2fd74f	4=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x784f7133)))) ^ 0x7e64782)) & 0x5bda5c23)) + 0x352ca91c)) | (mask32((mask32((mask32((mask32((mask32(flags0 + 0x784f7133)) & 0x4cc9d7b)) & 0x79233229)) - 0x234dc07a)) - 0x2ce4baee)))) - 0x3231759e)))) - 0x...#efed1af306b7	4=0x5	257@0xadbfd:4	0xa4069:je:0;0xa4279:jne:1;0xa428a:jne:1;0xa42ad:jne:0;0xa42cd:jne:1;0xa445d:je:0
