source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	top_actual_targets	path
332	0xbd36d	f85a6c3806be5b49	1429	1429	100.0	1429	100.0	ok:1429	347@0xc088d:265,114@0x90319:256,319@0xba72f:256,99@0x8c99a:256,258@0xadf2c:92,340@0xbf435:73,91@0x8b6de:31,18@0x7be9b:26	0xbd488:je:0;0xbd544:je:?;0xbd6ed:je:1;0xbd73d:je:1
123	0x91a59	602456c009357cc7	1376	1376	100.0	1376	100.0	ok:1376	18@0x7be9b:310,114@0x90319:146,199@0xa0631:106,347@0xc088d:106,66@0x855ff:88,64@0x85059:72,337@0xbec0e:71,215@0xa4609:69	0x91a6a:je:?;0x91be2:jne:1;0x91c91:je:1;0x91cd7:je:0;0x91d11:je:1
199	0xa0631	cb141dee8e919ff1	1365	1365	100.0	1365	100.0	ok:1365	127@0x926c3:256,258@0xadf2c:79,189@0x9e7af:76,43@0x8173d:75,273@0xb11ca:68,174@0x9bd8f:58,340@0xbf435:45,196@0x9fbcd:44	0xa0676:je:0;0xa0921:je:0;0xa094b:je:?;0xa0985:je:0
108	0x8f24b	8877d7eba92eb84b	1363	1363	100.0	1363	100.0	ok:1363	337@0xbec0e:291,333@0xbd8af:279,345@0xc02e4:88,307@0xb8064:81,260@0xae90b:68,172@0x9b68a:67,208@0xa2361:64,199@0xa0631:30	0x8f368:jne:1;0x8f38e:jne:1;0x8f3a8:jne:1;0x8f438:jne:0;0x8f4f4:je:1;0x8f53a:je:0;0x8f55b:je:1
198	0xa037e	8f6dca42eecaa90d	1341	1341	100.0	1341	100.0	ok:1341	18@0x7be9b:273,185@0x9d964:264,90@0x8b334:69,332@0xbd36d:68,340@0xbf435:38,66@0x855ff:38,157@0x98a9a:37,268@0xb0007:37	0xa0391:je:?;0xa04a9:jne:1;0xa04b6:jne:1;0xa04c4:jne:1;0xa04f1:jne:0
243	0xaab6a	7204b37097a107f9	1341	1341	100.0	1341	100.0	ok:1341	307@0xb8064:317,28@0x7e390:108,114@0x90319:94,338@0xbf128:83,18@0x7be9b:78,66@0x855ff:75,185@0x9d964:62,189@0x9e7af:57	0xaac27:je:0;0xaad24:jne:?;0xaad35:jne:1;0xaad56:je:0;0xaad65:je:1
346	0xc0535	e0941b1118210f2d	1302	1302	100.0	1302	100.0	ok:1302	114@0x90319:113,28@0x7e390:106,168@0x9aa83:98,66@0x855ff:96,157@0x98a9a:82,258@0xadf2c:79,64@0x85059:72,337@0xbec0e:70	0xc056a:je:?;0xc05d7:je:1;0xc0628:je:?;0xc064e:je:?;0xc06a9:jne:?;0xc06ba:jne:1;0xc06dc:je:0;0xc06ec:je:1;0xc074c:je:1
33	0x7f7c4	734d5a9027a3d795	1296	1296	100.0	1296	100.0	ok:1296	297@0xb64d7:282,307@0xb8064:88,157@0x98a9a:76,114@0x90319:66,258@0xadf2c:61,64@0x85059:59,172@0x9b68a:56,167@0x9a8d2:52	0x7f7fd:je:1;0x7f845:je:1;0x7f916:jne:?;0x7f927:jne:1;0x7f94a:je:0;0x7f95a:je:1;0x7f983:je:?;0x7f9b7:je:1;0x7f9e8:je:1
257	0xadbfd	5c56934929ff6438	1285	1285	100.0	1285	100.0	ok:1285	172@0x9b68a:769,43@0x8173d:262,28@0x7e390:19,168@0x9aa83:16,333@0xbd8af:16,347@0xc088d:13,124@0x91e81:11,203@0xa1484:11	0xadc1e:je:0;0xadcc0:jne:1;0xadccc:jne:1;0xadcd9:jne:1;0xadd06:jne:0;0xadd6a:je:?;0xadda4:je:0
315	0xb9451	9796936e710897cc	1274	1274	100.0	1274	100.0	ok:1274	215@0xa4609:288,28@0x7e390:278,114@0x90319:80,297@0xb64d7:73,157@0x98a9a:59,43@0x8173d:46,338@0xbf128:44,340@0xbf435:41	0xb94cc:je:0;0xb961d:jne:?;0xb9652:jne:1;0xb9690:je:0;0xb969f:je:1;0xb971f:je:0
160	0x994cf	561db656c124c784	1267	1267	100.0	1267	100.0	ok:1267	172@0x9b68a:260,350@0xc1926:256,43@0x8173d:85,215@0xa4609:75,185@0x9d964:70,307@0xb8064:70,333@0xbd8af:64,18@0x7be9b:41	0x99521:jne:1;0x9952e:jne:1;0x9953c:jne:1;0x9956c:jne:0;0x995b7:je:1
157	0x98a9a	428d22ea362d575c	1227	1227	100.0	1227	100.0	ok:1227	201@0xa0dca:261,28@0x7e390:72,340@0xbf435:71,154@0x97ce6:66,52@0x833c7:65,118@0x90c23:64,185@0x9d964:54,66@0x855ff:51	0x98ab4:je:1;0x98afb:je:1;0x98b42:je:1;0x98d6b:je:0;0x98db0:je:0;0x98e31:je:?;0x98e54:je:0
