source_entry	source_target	events	unique_targets	best_class	best_formula	matched_events	coverage_pct	top_targets
79	0x885b0	1337	8	constant_target	constant:0x808	385	28.8	0x808:385,0x500:319,0x630:136,0x800:125,0x360:123,0x480:107,0x568:91,0xb00:51
260	0xae90b	1266	38	constant_target	constant:0x5e8	266	21.0	0x5e8:266,0xaa0:256,0x968:78,0x5b8:66,0x948:66,0x560:65,0x810:65,0xe0:65
350	0xc1926	1176	39	constant_target	constant:0x810	257	21.9	0x810:257,0x8c8:257,0x390:80,0x6b8:67,0x5c8:66,0xa00:64,0x6e0:64,0x5b8:62
192	0x9f00a	1120	8	constant_target	constant:0x630	333	29.7	0x630:333,0x808:289,0x360:175,0x800:124,0x568:111,0x500:34,0x480:27,0xb00:27
319	0xba72f	1113	8	constant_target	constant:0x568	385	34.6	0x568:385,0x808:285,0x500:147,0x480:97,0xb00:82,0x800:51,0x360:44,0x630:22
273	0xb11ca	1072	37	constant_target	constant:0x638	258	24.1	0x638:258,0x5b8:93,0x620:81,0xad8:78,0x200:68,0x998:67,0x290:64,0x348:64
171	0x9b4b3	1069	27	other_expr	(u16_0&0x1ff)*8	1069	100.0	0x620:351,0xa10:256,0xa88:73,0x5c8:69,0xa68:29,0x158:28,0xaa0:23,0x210:22
30	0x7e849	1050	36	constant_target	constant:0x658	269	25.6	0x658:269,0x600:256,0x998:79,0x4e8:67,0x2d8:65,0x5b8:62,0x5a0:45,0xa88:30
37	0x80685	1003	8	constant_target	constant:0x800	330	32.9	0x800:330,0x808:279,0x500:152,0x480:69,0x568:54,0x360:50,0xb00:44,0x630:25
3	0x78c77	999	8	constant_target	constant:0x500	221	22.1	0x500:221,0x568:182,0xb00:142,0x480:110,0x808:105,0x800:89,0x360:79,0x630:71
128	0x9299b	955	29	constant_target	constant:0x200	260	27.2	0x200:260,0x6b8:257,0x860:256,0x18:70,0x998:11,0x638:8,0x948:8,0x5c8:7
269	0xb045b	900	8	constant_target	constant:0x500	301	33.4	0x500:301,0x360:178,0xb00:87,0x808:77,0x568:75,0x800:72,0x630:59,0x480:51
154	0x97ce6	869	41	constant_target	constant:0x620	78	9.0	0x620:78,0x5c8:77,0x5a0:76,0x948:71,0x810:69,0x188:67,0x210:66,0xa00:64
345	0xc02e4	860	49	constant_target	constant:0x1a0	303	35.2	0x1a0:303,0x600:76,0x390:73,0x620:44,0x560:30,0x540:28,0x200:22,0xaa0:20
322	0xbb3c9	834	33	constant_target	constant:0x4e8	256	30.7	0x4e8:256,0xa88:132,0x2d8:77,0x18:67,0x318:64,0x5b8:49,0xad8:40,0x200:18
254	0xad32c	822	37	state_expr	post&0xfff	334	40.6	0x210:262,0x948:81,0xe0:69,0x188:65,0xad8:65,0x5b8:60,0x2d8:50,0x5a0:50
121	0x91379	737	38	constant_target	constant:0x998	271	36.8	0x998:271,0x2d8:68,0x540:65,0x5a0:55,0x5b8:48,0x390:32,0x810:18,0x968:16
320	0xbada5	731	8	constant_target	constant:0x800	130	17.8	0x800:130,0x360:123,0x630:120,0x500:116,0x568:78,0xb00:61,0x808:59,0x480:44
52	0x833c7	726	11	constant_target	constant:0x258	286	39.4	0x258:286,0x9e0:265,0x200:65,0x690:41,0x488:26,0xa70:18,0x620:13,0x7b0:8
167	0x9a8d2	726	3	constant_target	constant:0xaf8	432	59.5	0xaf8:432,0x8d8:206,0x938:88
83	0x8947b	714	8	constant_target	constant:0x568	147	20.6	0x568:147,0x500:134,0x360:102,0x630:75,0xb00:71,0x800:68,0x480:62,0x808:55
253	0xacfb1	708	47	constant_target	constant:0x948	266	37.6	0x948:266,0xe0:43,0xa88:32,0x638:31,0x390:30,0x768:23,0x90:22,0xaa0:21
237	0xa8e1f	706	8	constant_target	constant:0xb00	346	49.0	0xb00:346,0x360:110,0x500:54,0x800:53,0x480:51,0x630:40,0x568:29,0x808:23
70	0x8610e	697	8	constant_target	constant:0x360	363	52.1	0x360:363,0x800:90,0x630:63,0x480:54,0x500:41,0xb00:39,0x808:27,0x568:20
124	0x91e81	639	41	constant_target	constant:0x158	102	16.0	0x158:102,0x4e8:76,0x600:42,0xa00:41,0x860:37,0x998:34,0x128:29,0x5c8:28
165	0x9a24c	632	22	other_expr	(u16_0&0x1ff)*8	632	100.0	0x390:271,0xa68:94,0xaa0:31,0x860:31,0x658:29,0x90:27,0x200:20,0x4e8:16
