entry	target	tail_site	tail_reg	tail_distance	target_hits	tail_site_hits	observed_target
70	0x8610e	0x86763	r8	0x655	697	697	1
71	0x86766	0x868bb	rsi	0x155	0	0	0
72	0x868bd	0x86be2	rdx	0x325	0	0	0
73	0x86be4	0x86d40	r13	0x15c	0	0	0
74	0x86d43	0x873fa	rsi	0x6b7	25	25	1
75	0x873fc	0x87c25	r14	0x829	318	271	1
76	0x87d17	0x8812f	rdi	0x418	0	0	0
77	0x88131	0x883be	rbx	0x28d	0	0	0
78	0x883c0	0x88a55	r10	0x695	6	1337	1
79	0x885b0	0x88a55	r10	0x4a5	1337	1337	1
80	0x88a58	0x8920b	r15	0x7b3	13	0	1
81	0x88c3f	0x8920b	r15	0x5cc	0	0	0
82	0x8920e	0x89478	r8	0x26a	135	135	1
83	0x8947b	0x89839	rdi	0x3be	714	714	1
84	0x8983b	0x89b35	rsi	0x2fa	0	0	0
85	0x89b37	0x8a37d	rdi	0x846	1	1	1
86	0x8a37f	0x8a49b	r8	0x11c	5	11	1
87	0x8a49e	0x8aa11	r14	0x573	12	12	1
88	0x8aa14	0x8b026	rsi	0x612	145	145	1
89	0x8b028	0x8b332	rcx	0x30a	0	0	0
90	0x8b334	0x8b6db	r12	0x3a7	441	441	1
91	0x8b6de	0x8b8c9	rdx	0x1eb	546	546	1
92	0x8b8cb	0x8bcec	r13	0x421	158	158	1
93	0x8bcef	0x8c41a	rbx	0x72b	0	74	0
94	0x8bd69	0x8c41a	rbx	0x6b1	74	74	1
95	0x8c41c	0x8c5b7	rdi	0x19b	118	0	1
96	0x8c4cf	0x8c5b7	rdi	0xe8	0	0	0
97	0x8c5b9	0x8c8e9	r11	0x330	0	0	0
98	0x8c8ec	0x8cc7f	rax	0x393	0	531	0
99	0x8c99a	0x8cc7f	rax	0x2e5	531	531	1
100	0x8cc81	0x8ceb2	rdi	0x231	0	0	0
101	0x8ceb4	0x8d71b	rcx	0x867	1	1	1
102	0x8d71d	0x8df99	r11	0x87c	65	64	1
103	0x8df9c	0x8e2ed	rcx	0x351	0	0	0
104	0x8e2ef	0x8e6b2	rsi	0x3c3	0	0	0
105	0x8e6b4	0x8eb77	rdx	0x4c3	414	414	1
106	0x8eb79	0x8eef1	r9	0x378	0	0	0
107	0x8eef4	0x8f248	r9	0x354	256	256	1
108	0x8f24b	0x8f6cf	rcx	0x484	2430	2430	1
109	0x8f6d1	0x8f831	r8	0x160	0	0	0
110	0x8f834	0x8faea	rdi	0x2b6	0	0	0
111	0x8f8ae	0x8faea	rdi	0x23c	0	0	0
112	0x8faec	0x9026c	r9	0x780	0	0	0
113	0x9026f	0x90893	rdi	0x624	0	7732	0
114	0x90319	0x90893	rdi	0x57a	7722	7732	1
115	0x90895	0x90a18	r12	0x183	0	0	0
116	0x90a1b	0x90c21	rax	0x206	0	58	0
117	0x90acd	0x90c21	rax	0x154	58	58	1
118	0x90c23	0x90eb9	r11	0x296	390	390	1
119	0x90ebc	0x91067	r11	0x1ab	243	243	1
120	0x9106a	0x91377	rbx	0x30d	0	0	0
121	0x91379	0x9170b	rdx	0x392	737	740	1
122	0x9170d	0x91a57	rdx	0x34a	121	121	1
123	0x91a59	0x91e7f	rdx	0x426	2829	2829	1
124	0x91e81	0x922c1	r12	0x440	639	639	1
125	0x922c4	0x92612	r14	0x34e	19	19	1
126	0x92615	0x92998	r14	0x383	0	384	0
127	0x926c3	0x92998	r14	0x2d5	384	384	1
128	0x9299b	0x92f1f	rdx	0x584	955	955	1
129	0x92f21	0x931d0	r11	0x2af	136	136	1
130	0x931d3	0x937cd	r13	0x5fa	4	4	1
131	0x937d0	0x93f76	r14	0x7a6	14	14	1
132	0x93f79	0x94475	r11	0x4fc	0	0	0
133	0x93ff3	0x94475	r11	0x482	0	0	0
134	0x9406d	0x94475	r11	0x408	0	0	0
135	0x94478	0x94619	rdx	0x1a1	0	0	0
136	0x9461b	0x94970	r13	0x355	2	2	1
137	0x94973	0x94c38	rax	0x2c5	0	0	0
138	0x94c3a	0x94ddc	r15	0x1a2	0	0	0
139	0x94ddf	0x951c0	rsi	0x3e1	0	560	0
140	0x94e5a	0x951c0	rsi	0x366	560	560	1
141	0x951c2	0x953af	rsi	0x1ed	0	0	0
142	0x953b1	0x957d6	r11	0x425	0	0	0
143	0x957d9	0x95b59	r8	0x380	0	2050	0
144	0x95887	0x95b59	r8	0x2d2	2050	2050	1
145	0x95b5c	0x9634f	r12	0x7f3	48	9	1
146	0x96407	0x96915	r12	0x50e	238	238	1
147	0x96918	0x96b6b	r12	0x253	0	0	0
